Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.30282763	0.028338283	-0.14428839	-0.35131723	16000	-2.2351742e-08	0.15825582	-0.005262628	-0.12933975	1.3564423	0.006042896	0.040125	127.0	36.10778093338013	0.5945009	0.7430773	3.2124295	0.04772371	0.0	0.0
1	500.0	0.044921722	0.010159726	0.094353534	0.0039284155	32000	1.4901161e-08	0.1793405	-0.003805615	-0.06880775	1.3564423	0.0038771513	0.0345625	127.0	66.77283143997192	1.5177239	1.634282	7.0066724	0.12886557	0.0	0.0
2	500.0	0.29091275	0.025386598	0.40273243	0.19430265	48000	-3.7252903e-09	0.6095889	-0.00504004	-0.13787541	1.3564423	0.0067515457	0.057125	127.0	101.24982738494873	2.9366713	3.1736147	13.807679	0.20158198	0.0	0.0
3	500.0	0.5891352	0.10597598	0.94118726	0.34834123	64000	-1.4901161e-08	0.83853114	-0.0069043506	-0.2501167	1.3564423	0.007837107	0.07075	127.0	135.70388293266296	3.9013526	3.8327143	14.977763	0.30633602	0.0	0.0
4	500.0	1.1686718	0.4515274	2.3384356	0.09324027	80000	-7.450581e-09	2.160558	-0.006393124	-0.7553414	1.3564423	0.004417586	0.06793749	127.0	172.21632289886475	7.6598973	5.5957727	27.8953	0.73881525	0.0	0.0
5	500.0	2.1205626	1.0138952	4.000739	-0.32700697	96000	1.4901161e-08	1.9794123	-0.007892205	-0.58914626	1.3564423	0.008977382	0.1038125	127.0	210.4937813282013	10.406675	5.604506	22.260166	1.5366868	0.0	0.0
6	500.0	3.053813	1.2601094	5.0022125	-0.5276433	112000	-1.4901161e-08	1.8052536	-0.008379741	-0.22155966	1.3564423	0.0066141696	0.0744375	127.0	249.45566487312317	10.922892	5.0807557	27.100325	4.1549954	0.0	0.0
7	500.0	3.1524282	1.5725999	5.468389	-0.9732371	128000	5.9604645e-08	3.9388533	-0.007962641	-1.353147	1.3564423	0.0076456405	0.094	127.0	285.1039021015167	16.920664	6.501608	34.35279	5.7171316	0.0	0.0
8	500.0	4.5649357	1.9365044	6.864231	-0.8130562	144000	-5.5879354e-09	2.7409143	-0.008671856	-0.6146592	1.3564423	0.008393291	0.08625	127.0	317.9749319553375	21.162178	5.019334	32.12002	12.200831	0.0	0.0
9	500.0	5.506032	1.8956647	7.5008545	-0.21712975	160000	1.4901161e-08	6.3556166	-0.008794876	-0.78326255	1.3564423	0.0076577123	0.077250004	127.0	353.62020325660706	25.911978	8.954071	53.569122	13.18525	0.0	0.0
10	500.0	6.4388213	1.7369328	7.9764924	0.46045804	176000	-7.450581e-09	4.212673	-0.0066667586	-0.16239506	1.3564423	0.0052865306	0.0490625	127.0	390.3159124851227	27.93161	7.427762	44.696926	15.71021	0.0	0.0
11	500.0	6.734939	1.7184424	8.135341	0.6757745	192000	0.0	8.772705	-0.007706904	-1.4465276	1.3564423	0.005579452	0.0615625	127.0	427.6791841983795	33.92034	10.538204	61.60633	15.984513	0.0	0.0
12	500.0	7.940712	1.8942369	9.241168	0.5935045	208000	3.7252903e-09	8.120021	-0.0069352137	-0.14384967	1.3564423	0.0057714027	0.051500004	127.0	463.5871560573578	33.484676	11.055273	59.43997	14.228912	0.0	0.0
13	500.0	7.9046574	1.6908249	9.167937	1.4379361	224000	0.0	7.3946385	-0.008654361	-0.63205844	1.3564423	0.008009037	0.0595625	127.0	499.65534806251526	33.02004	10.514688	53.924606	14.848706	0.0	0.0
14	500.0	7.759158	1.7917606	9.211628	0.8478776	240000	7.450581e-09	7.4148602	-0.009347467	-0.30938753	1.3564423	0.009578604	0.08325	127.0	534.7043194770813	34.225136	11.046965	63.836475	18.133371	0.0	0.0
15	500.0	8.138507	1.7073824	9.657394	2.011383	256000	-7.450581e-09	17.949905	-0.008731664	-3.941091	1.3564423	0.007916544	0.062375	127.0	570.005927324295	43.92167	15.42961	88.65508	21.98998	0.0	0.0
16	500.0	9.284776	2.7393818	11.258832	-5.6568217	272000	-1.4901161e-08	8.243122	-0.008611836	-0.6903854	1.3564423	0.0061721075	0.062375	127.0	604.8429396152496	42.51782	12.17864	68.67572	18.014841	0.0	0.0
17	500.0	9.839029	2.1478808	11.774021	0.28796342	288000	-1.8626451e-09	10.803496	-0.008889756	-0.9310528	1.3564423	0.0082586	0.061625004	127.0	642.1321413516998	44.90743	14.195908	78.08056	14.99205	0.0	0.0
18	500.0	9.930269	2.5037847	12.519076	2.160206	304000	0.0	8.086222	-0.008846914	-1.3363326	1.3564423	0.0070044734	0.06275	127.0	675.5717561244965	40.284187	11.604356	78.99971	18.617508	0.0	0.0
