Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.28560287	0.03010198	-0.15157247	-0.34240466	16000	-2.803281e-07	0.07433393	-0.006871905	-0.07017512	1.3564423	0.0069294022	0.0590625	127.0	39.758012533187866	0.11828896	0.092461295	0.5052329	0.021492481	0.0	0.0
1	500.0	-0.043594193	0.025488805	0.024900816	-0.07737603	32000	5.9604645e-08	0.0036679336	-0.007374773	-0.0031637289	1.3564423	0.006229271	0.0639375	127.0	97.79537081718445	0.12495189	0.08901842	0.36610317	0.024870504	0.0	0.0
2	500.0	0.023208192	0.017175635	0.060501225	-0.027949832	48000	-3.7252903e-09	0.0003743555	-0.010285258	-0.000119415105	1.3564423	0.006863068	0.08849999	127.0	151.87515449523926	0.13580747	0.06826031	0.31044772	0.045041353	0.0	0.0
3	500.0	0.025590984	0.009371292	0.05996713	-0.008712679	64000	2.6077032e-08	0.0025076591	-0.0055066925	-0.0008519894	1.3564423	0.006860722	0.05025	127.0	196.23832321166992	0.27511328	0.19799209	0.9719359	0.053193476	0.0	0.0
4	500.0	0.048471663	0.010714646	0.085860096	0.01559227	80000	3.7252903e-08	0.009079378	-0.0050659887	-0.003724122	1.3564423	0.004474854	0.0466875	127.0	237.1767773628235	0.5232806	0.35223567	1.8700227	0.13206263	0.0	0.0
5	500.0	0.106037915	0.015703186	0.16627814	0.04698316	96000	1.4901161e-08	0.019181497	-0.0078006634	-0.009463389	1.3564423	0.0055578128	0.065312505	127.0	273.97760462760925	0.89658827	0.48444796	2.0534093	0.19440047	0.0	0.0
6	500.0	0.22822714	0.060840648	0.37450784	0.05971256	112000	-2.2351742e-08	0.041133463	-0.0070675393	-0.01108638	1.3564423	0.0064826678	0.06937499	127.0	310.58470606803894	1.3121569	0.824543	4.7525744	0.47242394	0.0	0.0
7	500.0	0.31030554	0.11673173	0.549652	-0.011561763	128000	0.0	0.23181477	-0.005711984	-0.104494706	1.3564423	0.007793393	0.0766875	127.0	347.4399936199188	2.2924912	1.8806756	8.303632	0.48350698	0.0	0.0
8	500.0	0.65179944	0.2997995	1.3033144	-0.17381087	144000	-3.7252903e-09	0.8704071	-0.007257693	-0.4891086	1.3564423	0.00836196	0.08125	127.0	383.3924369812012	5.3519764	3.0749893	13.797931	1.5659498	0.0	0.0
9	500.0	1.4902833	0.7254899	2.8021958	-0.28723565	160000	-3.3527613e-08	1.819047	-0.0077140233	-0.95908225	1.3564423	0.0052640275	0.0783125	127.0	421.6286430358887	9.775291	4.1550784	20.216156	1.3494248	0.0	0.0
