Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.28546816	0.030103054	-0.15157247	-0.34240466	16000	-1.611188e-07	0.07415135	-0.0068966392	-0.070020735	1.3564423	0.007053122	0.060125	127.0	40.441181659698486	0.11723842	0.089321494	0.5052329	0.021492481	0.0	0.0
1	500.0	-0.043887105	0.02538335	0.024755463	-0.077596635	32000	8.754432e-08	0.003493761	-0.007819397	-0.0030491673	1.3564423	0.0065811235	0.065500006	127.0	74.49161028862	0.116836034	0.080405176	0.30874506	0.025404511	0.0	0.0
2	500.0	0.020293202	0.015601062	0.055554196	-0.023685899	48000	-2.9802322e-08	0.00031969452	-0.010459604	-9.787666e-05	1.3564423	0.0075026136	0.09325	127.0	107.793874502182	0.13141793	0.063020356	0.27658474	0.042698607	0.0	0.0
3	500.0	0.024917768	0.009516701	0.06645138	-0.006977819	64000	-4.284084e-08	0.0023632133	-0.0053199483	-0.0007564905	1.3564423	0.006354732	0.043250002	127.0	144.80405926704407	0.25754207	0.19599184	0.94265467	0.0501578	0.0	0.0
4	500.0	0.044656135	0.011005335	0.07099752	0.008641295	80000	-1.8626451e-08	0.007427646	-0.0051387195	-0.0028400305	1.3564423	0.004583411	0.0461875	127.0	179.97968745231628	0.47819173	0.32139048	1.7344598	0.1176395	0.0	0.0
5	500.0	0.0935758	0.011139364	0.13627636	0.04556702	96000	2.2351742e-08	0.013997961	-0.007316177	-0.0060663074	1.3564423	0.0056796237	0.0633125	127.0	216.2751886844635	0.763643	0.4405231	2.0955229	0.16296458	0.0	0.0
6	500.0	0.18843818	0.04002207	0.30383557	0.059926912	112000	0.0	0.014019046	-0.005751159	-0.0029128669	1.3564423	0.0057761646	0.0578125	127.0	253.8325550556183	0.8973784	0.5500535	3.155018	0.33556813	0.0	0.0
7	500.0	0.21370234	0.05835978	0.33575457	0.026774041	128000	-3.3527613e-08	0.016690377	-0.007782925	-0.0061019715	1.3564423	0.008298197	0.092125	127.0	289.59985280036926	1.1251435	0.59831774	3.2433493	0.44466883	0.0	0.0
8	500.0	0.28108087	0.07621315	0.48050374	0.016973011	144000	1.1175871e-08	0.115805626	-0.004925989	-0.039462402	1.3564423	0.007947657	0.0716875	127.0	325.3838517665863	1.6954489	1.4556911	9.177697	0.52945644	0.0	0.0
9	500.0	0.48214263	0.20718668	0.97776544	-0.08244874	160000	-3.7252903e-08	0.07595679	-0.009937082	-0.03808544	1.3564423	0.0074294275	0.1021875	127.0	364.20176553726196	2.7842698	1.1292584	5.0719204	0.54964846	0.0	0.0
