Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.29670608	0.029831674	-0.1637431	-0.3530981	16000	6.426126e-08	0.079230145	-0.0069164457	-0.07482289	1.3564423	0.007091658	0.058375	127.0	49.48394846916199	0.11715415	0.08911843	0.5042372	0.021480327	0.0	0.0
1	500.0	-0.046464674	0.025801435	0.025123872	-0.08187169	32000	1.3038516e-08	0.0036665783	-0.007935821	-0.0032129667	1.3564423	0.006401942	0.066625	127.0	86.55164837837219	0.116197005	0.079533875	0.29600614	0.02545454	0.0	0.0
2	500.0	0.020561589	0.016094837	0.05546277	-0.025583327	48000	7.450581e-09	0.00036563398	-0.010225307	-0.00011820591	1.3564423	0.0073990175	0.0929375	127.0	124.13110160827637	0.13726646	0.068222575	0.30062547	0.044683255	0.0	0.0
3	500.0	0.024558662	0.009611717	0.058419697	-0.008453511	64000	1.4901161e-08	0.0025169405	-0.0056114956	-0.0008802427	1.3564423	0.007013881	0.048	127.0	164.3761911392212	0.2747435	0.19668935	0.9150598	0.052256003	0.0	0.0
4	500.0	0.04756956	0.010501113	0.08530704	0.013919137	80000	-7.450581e-09	0.007282192	-0.0052671754	-0.0028534015	1.3564423	0.00448474	0.0453125	127.0	203.4289152622223	0.4894501	0.31418103	1.6326989	0.11972704	0.0	0.0
5	500.0	0.09604924	0.011752944	0.1342715	0.04856588	96000	2.2351742e-08	0.015139821	-0.0071690334	-0.00665503	1.3564423	0.0058488483	0.06475	127.0	237.04970836639404	0.7811935	0.46013728	2.1626377	0.17932318	0.0	0.0
6	500.0	0.19419214	0.044055108	0.31291538	0.0512264	112000	0.0	0.014495669	-0.00600434	-0.003185524	1.3564423	0.005980417	0.062875	127.0	269.99602580070496	0.92275333	0.5566851	3.1832669	0.34082663	0.0	0.0
7	500.0	0.22114632	0.06483391	0.35525537	0.013383478	128000	7.450581e-09	0.017868096	-0.007680144	-0.0061953138	1.3564423	0.008311953	0.090812504	127.0	305.073077917099	1.1366184	0.63095146	3.3832266	0.46299338	0.0	0.0
8	500.0	0.2883481	0.08355923	0.508793	0.0046299994	144000	1.4901161e-08	0.13644241	-0.004970123	-0.046636656	1.3564423	0.008108445	0.073750004	127.0	338.94270372390747	1.7559196	1.5728245	9.951364	0.6347322	0.0	0.0
9	500.0	0.5084072	0.22866625	1.0661654	-0.05399402	160000	1.3038516e-08	0.07702414	-0.009747334	-0.038250305	1.3564423	0.0073809456	0.0978125	127.0	372.11870765686035	2.8572996	1.1388663	5.162456	0.60175383	0.0	0.0
10	500.0	0.7074446	0.24114251	1.2042855	-0.06331836	176000	-7.450581e-09	0.06953051	-0.008630326	-0.013804438	1.3564423	0.0054034013	0.0808125	127.0	407.6760139465332	2.9834538	1.4757457	6.605541	0.6571768	0.0	0.0
11	500.0	0.8751875	0.29762092	1.287105	0.0255327	192000	-9.313226e-09	0.07909268	-0.009392437	-0.016254693	1.3564423	0.0074174083	0.086125	127.0	442.183221578598	3.839695	1.3923185	7.0680227	1.6537809	0.0	0.0
12	500.0	0.97226983	0.2742665	1.3502375	0.09096333	208000	1.4901161e-08	0.056761377	-0.007882216	-0.009407172	1.3564423	0.0054915636	0.063125	127.0	477.6471893787384	3.8554158	1.229927	6.6718264	2.060021	0.0	0.0
13	500.0	0.98335123	0.25757816	1.3320663	0.12258275	224000	-1.4901161e-08	0.101895854	-0.007089464	-0.028324481	1.3564423	0.0058113104	0.061375	127.0	513.1758830547333	4.6212554	1.7789593	8.773234	1.9932635	0.0	0.0
14	500.0	1.1589204	0.29834056	1.6366858	0.06430154	240000	1.4901161e-08	0.13026117	-0.008158678	-0.039132297	1.3564423	0.0071048727	0.069937505	127.0	552.0622532367706	5.3734856	2.0464618	9.496621	2.5514927	0.0	0.0
15	500.0	1.3134478	0.3287575	2.093201	0.1016817	256000	0.0	0.07862125	-0.007894825	-0.026380334	1.3564423	0.004320532	0.050499998	127.0	589.3642842769623	5.377489	1.7686533	9.484592	2.623358	0.0	0.0
16	500.0	1.2856355	0.37538064	2.158587	0.012496434	272000	-5.5879354e-09	0.054243773	-0.0090574045	-0.02106626	1.3564423	0.0066092405	0.070374995	127.0	628.322437286377	5.0583835	1.5775731	8.226113	2.7702768	0.0	0.0
17	500.0	1.2867206	0.3568829	2.0393622	0.0028797388	288000	1.8626451e-09	0.053406917	-0.006533074	-0.022178318	1.3564423	0.0045470945	0.051250003	127.0	664.4654257297516	5.1122723	1.6452732	8.884849	2.6789079	0.0	0.0
18	500.0	1.2444515	0.37089953	2.1054163	-0.143915	304000	-9.313226e-09	0.07701108	-0.0079654325	-0.024329282	1.3564423	0.0062464233	0.060812503	127.0	703.8512537479401	5.125564	1.7563612	10.471344	2.340385	0.0	0.0
19	500.0	1.3000686	0.4420804	3.151572	-0.19279881	320000	-2.9802322e-08	0.19789448	-0.0082920045	-0.056277044	1.3564423	0.006800048	0.07206251	127.0	744.1460607051849	5.7125587	2.4974241	15.478033	2.8817327	0.0	0.0
20	500.0	1.4556262	0.6274704	4.5746956	-0.5679168	336000	-1.1175871e-08	0.25684783	-0.006512122	-0.07823312	1.3564423	0.0036194073	0.0495625	127.0	781.0995657444	5.8461523	2.8398309	16.361647	2.466054	0.0	0.0
21	500.0	1.461706	0.89465994	6.4197025	-1.0556675	352000	-1.3038516e-08	0.19264895	-0.0074648764	-0.044074632	1.3564423	0.0058262474	0.047124997	127.0	817.0340883731842	5.3400836	2.3837082	15.277227	2.660046	0.0	0.0
22	500.0	1.2706705	0.92903656	6.205703	-0.5324642	368000	0.0	0.2976116	-0.0077811363	-0.08853787	1.3564423	0.0054054456	0.057499997	127.0	855.7462289333344	5.63986	3.0053968	15.35187	2.1434898	0.0	0.0
