Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.30142415	0.029452272	-0.169631	-0.35563612	16000	3.9301813e-07	0.083071	-0.006883836	-0.07833494	1.3564423	0.0071590664	0.0580625	127.0	37.78608417510986	0.13734028	0.07796323	0.40566385	0.043050025	0.0	0.0
1	500.0	-0.045068298	0.027145686	0.025601238	-0.082242504	32000	4.284084e-08	0.003691066	-0.007880967	-0.003272142	1.3564423	0.0064687263	0.065125	127.0	77.27894997596741	0.1293911	0.06879798	0.2713006	0.04023554	0.0	0.0
2	500.0	0.026415247	0.018402997	0.06479504	-0.02546668	48000	-1.8626451e-08	0.0005569397	-0.011027548	-0.00018726091	1.3564423	0.0071106898	0.1005	127.0	109.25516653060913	0.16167693	0.08566279	0.4051474	0.05044668	0.0	0.0
3	500.0	0.02916636	0.009571567	0.065287694	-0.002449423	64000	-7.0780516e-08	0.0031687724	-0.006086096	-0.0012565469	1.3564423	0.0077027287	0.056687504	127.0	140.76300191879272	0.3297138	0.21377696	0.98737514	0.07869072	0.0	0.0
4	500.0	0.059431244	0.012139212	0.09097394	0.025036186	80000	1.4901161e-08	0.014473053	-0.0052857306	-0.008148512	1.3564423	0.0042644795	0.047125	127.0	178.31788849830627	0.72427213	0.37538424	1.6870317	0.15595233	0.0	0.0
5	500.0	0.14735305	0.02420365	0.23265934	0.06262031	96000	-3.7252903e-08	0.041350015	-0.007895276	-0.02454604	1.3564423	0.0055146315	0.0664375	127.0	213.03611493110657	1.3282924	0.6108369	2.7835226	0.23052016	0.0	0.0
6	500.0	0.33762878	0.10378355	0.5712551	0.060609512	112000	-3.7252903e-09	0.121691294	-0.006953797	-0.046042234	1.3564423	0.006605436	0.0721875	127.0	245.6760230064392	2.225619	1.2075595	5.6710215	0.84505457	0.0	0.0
7	500.0	0.54238135	0.23310131	0.97915214	-0.058694676	128000	-3.7252903e-09	0.6575248	-0.005632842	-0.29859835	1.3564423	0.0077831764	0.0765625	127.0	280.904896736145	4.117818	2.8966315	11.207968	0.9169946	0.0	0.0
8	500.0	1.1227224	0.54042435	2.2382922	-0.32968828	144000	0.0	2.1669335	-0.007026909	-1.2768149	1.3564423	0.007843437	0.0735625	127.0	314.1825120449066	9.067902	4.3002796	18.805485	2.298492	0.0	0.0
9	500.0	2.4277542	1.1642172	4.207623	-0.4649644	160000	4.656613e-08	2.5584335	-0.007665325	-1.3712192	1.3564423	0.005297074	0.072312504	127.0	351.4143314361572	14.378794	4.373262	24.031096	0.9062137	0.0	0.0
10	500.0	3.8196504	1.6592811	5.999534	-0.3601653	176000	2.4214387e-08	1.834033	-0.0088954	-0.30294117	1.3564423	0.0060755527	0.071125	127.0	385.43364691734314	16.673885	4.899405	33.910915	9.212253	0.0	0.0
11	500.0	4.4286904	1.7220627	6.5845456	0.18443961	192000	-1.8626451e-09	2.836753	-0.0078090047	-0.62436104	1.3564423	0.0066677993	0.0773125	127.0	418.3158824443817	20.803204	5.8858356	34.39744	14.610747	0.0	0.0
12	498.125	5.2879133	1.8426735	7.2381907	0.5378869	208000	5.5879354e-09	3.517768	-0.0068002506	-0.2771932	1.3564423	0.0067683784	0.0700625	127.0	468.55192399024963	23.238413	7.774715	38.640343	12.093282	0.0	0.0
13	500.0	5.8323073	1.7849714	7.714894	0.83606696	224000	1.4901161e-08	2.701387	-0.008617615	-0.15558904	1.3564423	0.0066425763	0.0763125	127.0	537.4751420021057	22.943363	7.13105	41.257183	14.12644	0.0	0.0
14	500.0	5.7771406	1.662642	7.7256403	1.1967283	240000	-1.1175871e-08	6.4579186	-0.007638403	-1.7406054	1.3564423	0.006363453	0.059875004	127.0	599.7281012535095	29.514965	10.775028	45.745293	1.3900087	0.0	0.0
15	500.0	7.034476	2.0805032	8.942764	0.926721	256000	-1.4901161e-08	5.7275357	-0.007578533	-0.43235242	1.3564423	0.005858504	0.056125	127.0	660.3917052745819	30.762335	10.8479805	56.21227	18.203625	0.0	0.0
16	500.0	7.5281167	2.078121	9.640498	1.3305348	272000	7.450581e-09	6.1290827	-0.008466553	-0.38034105	1.3564423	0.006991657	0.0684375	127.0	710.6808934211731	33.092888	11.872149	57.326733	15.386704	0.0	0.0
17	500.0	8.084424	1.9712746	10.052385	1.5345968	288000	2.6077032e-08	4.4598274	-0.0069808583	-0.40495896	1.3564423	0.006180901	0.0500625	127.0	765.5272855758667	33.157177	9.440968	53.024826	18.222898	0.0	0.0
18	496.8125	8.167831	2.288233	10.964671	0.92559814	304000	1.6763806e-08	6.1946583	-0.008587543	-0.9543359	1.3564423	0.007141552	0.060812503	127.0	803.2960007190704	34.037766	12.90251	54.853455	4.461971	0.0	0.0
19	500.0	8.480994	2.5252733	11.572612	0.42765808	320000	0.0	7.253088	-0.006993927	-1.7776923	1.3564423	0.0060012387	0.0533125	127.0	837.9794924259186	36.636093	13.4199095	66.004585	5.594511	0.0	0.0
20	496.65625	9.256517	3.27752	12.952114	-1.9732981	336000	-1.1175871e-08	11.930862	-0.008724501	-2.199819	1.3564423	0.0052239345	0.07075	127.0	873.2738618850708	44.0071	15.730769	74.817314	15.180228	0.0	0.0
