Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.31270686	0.028357115	-0.15502265	-0.3602786	16000	-1.1175871e-08	0.16763952	-0.005606981	-0.14176723	1.3564423	0.0063140662	0.0425625	127.0	45.43238544464111	0.6511663	0.65679574	2.9791095	0.0825521	0.0	0.0
1	500.0	0.052293047	0.009762239	0.096999444	0.014981739	32000	-8.195639e-08	0.19770186	-0.0042142593	-0.086727805	1.3564423	0.004061553	0.039437503	127.0	82.0559823513031	1.7568856	1.6039976	7.341151	0.21584679	0.0	0.0
2	500.0	0.33652586	0.025311112	0.45377004	0.24744427	48000	-2.2351742e-08	0.67897344	-0.005250922	-0.18475413	1.3564423	0.006847479	0.056	127.0	119.64988136291504	3.5174456	3.1642752	12.763826	0.38768318	0.0	0.0
3	500.0	0.70522857	0.10750798	1.060059	0.4392266	64000	-7.450581e-09	0.8872186	-0.0071584606	-0.30798012	1.3564423	0.008294478	0.0734375	127.0	174.7571198940277	4.721596	3.715703	15.758267	0.66061664	0.0	0.0
4	500.0	1.3494184	0.4596929	2.491695	0.12174955	80000	0.0	2.0263708	-0.0063563124	-0.80438745	1.3564423	0.0043142727	0.064125	127.0	237.3650164604187	8.804127	4.842241	23.410118	1.2971423	0.0	0.0
5	500.0	2.3414018	0.9998654	4.081629	0.026997026	96000	1.4901161e-08	2.8930078	-0.008116042	-0.8985486	1.3564423	0.008942493	0.095375	127.0	281.7031729221344	12.6874485	5.9463234	28.346745	2.6782224	0.0	0.0
6	500.0	3.5380752	1.2621769	5.2663107	-0.06251968	112000	3.3527613e-08	1.3405837	-0.008741094	-0.2530771	1.3564423	0.0067381775	0.073687494	127.0	318.1299657821655	11.77828	3.995977	23.61739	5.2426624	0.0	0.0
7	500.0	3.3643003	1.4567779	5.367996	-0.4433766	128000	7.450581e-09	2.3818161	-0.008804506	-0.6476449	1.3564423	0.0077146348	0.092999995	127.0	351.9358537197113	16.473246	5.039598	27.306213	8.717277	0.0	0.0
8	500.0	4.341595	1.5967304	6.13693	-0.06561495	144000	-2.9802322e-08	2.3230414	-0.007353474	-0.21597546	1.3564423	0.0077484716	0.0715	127.0	385.95875453948975	18.72469	5.6779943	34.892193	10.91707	0.0	0.0
9	500.0	4.8601093	1.4904207	6.3989415	0.49966526	160000	2.2351742e-08	3.2788591	-0.006996681	-0.3120701	1.3564423	0.0052235825	0.0705	127.0	421.3728084564209	22.028578	6.9806848	39.80997	10.098276	0.0	0.0
10	500.0	5.4493213	1.3058262	6.613347	1.304671	176000	3.7252903e-09	2.324208	-0.0060471483	-0.25067887	1.3564423	0.003856312	0.044	127.0	457.065966129303	20.752392	5.3998966	31.61553	11.439432	0.0	0.0
11	500.0	5.0921865	1.0455087	5.9651427	1.6227766	192000	1.3038516e-08	4.6869583	-0.007089999	-0.71466815	1.3564423	0.005701529	0.062374998	127.0	512.4063003063202	25.613544	8.056186	43.674133	12.834706	0.0	0.0
12	500.0	5.921876	1.1814733	6.7664466	1.6971384	208000	7.450581e-09	5.2764807	-0.0060363864	-0.11251212	1.3564423	0.006412934	0.0524375	127.0	571.1557533740997	25.781609	10.160713	44.528957	12.623201	0.0	0.0
13	500.0	6.0481153	1.0094005	6.710963	2.0748153	224000	-3.7252903e-09	4.828688	-0.006539942	-0.33964735	1.3564423	0.006697256	0.051875	127.0	613.2694184780121	23.495716	9.480989	42.22137	11.523735	0.0	0.0
14	500.0	5.5480576	0.8665612	6.142643	2.050751	240000	-1.8626451e-09	5.3283215	-0.0070482404	-0.5626339	1.3564423	0.007002776	0.0555	127.0	648.2081913948059	27.995209	9.05986	49.958702	12.918769	0.0	0.0
15	500.0	6.228959	0.92081267	6.796227	2.3450265	256000	1.4901161e-08	8.590273	-0.006759627	-1.2796488	1.3564423	0.005823401	0.0559375	127.0	685.0658802986145	32.60917	12.221113	58.54211	16.80515	0.0	0.0
16	500.0	7.166574	1.2218585	7.9761853	2.0511467	272000	-1.6763806e-08	6.1319613	-0.007146932	-0.5801054	1.3564423	0.0057438174	0.0491875	127.0	720.8256299495697	30.792007	10.974538	53.742634	14.891689	0.0	0.0
17	500.0	7.007428	1.0354861	8.0627365	2.4145694	288000	-3.7252903e-09	4.971766	-0.0069816737	-0.9713223	1.3564423	0.005711607	0.054750003	127.0	756.3051934242249	32.03138	10.195774	48.601574	14.513936	0.0	0.0
18	500.0	7.2000995	1.1920213	8.9053955	2.3990555	304000	3.7252903e-08	5.220504	-0.0073823407	-1.6723248	1.3564423	0.0070485985	0.0684375	127.0	793.0984184741974	35.34121	11.02368	59.494923	17.275152	0.0	0.0
19	500.0	7.868914	1.5448798	10.438186	2.754444	320000	-1.4901161e-08	3.4031126	-0.008646473	-1.147934	1.3564423	0.0074307155	0.07525	127.0	829.9967949390411	36.44659	9.814232	56.29132	19.832895	0.0	0.0
20	500.0	8.619722	1.972087	11.623243	2.941158	336000	-3.7252903e-09	2.8880117	-0.008433802	-0.74540305	1.3564423	0.005295414	0.062875	127.0	863.835067987442	42.211327	8.010627	62.461002	26.256546	0.0	0.0
21	500.0	9.149851	2.1251168	12.273554	3.1468675	352000	-7.450581e-09	2.1058013	-0.01001253	-0.7851869	1.3564423	0.007525007	0.071125	127.0	896.7591698169708	38.200974	7.9395485	50.262115	19.184536	0.0	0.0
22	500.0	9.546769	2.2100472	12.673637	3.2320755	368000	1.1175871e-08	1.9679159	-0.0096576195	-0.21162665	1.3564423	0.0058335285	0.071499996	127.0	935.3803277015686	44.154606	6.678112	67.70329	31.119268	0.0	0.0
23	500.0	10.0480995	2.3461685	13.120132	3.6891496	384000	2.0489097e-08	1.6723847	-0.0110261245	-0.16728207	1.3564423	0.0063808663	0.069562495	127.0	974.7513952255249	43.3768	5.3909235	52.00921	29.387556	0.0	0.0
24	500.0	10.175064	2.2143173	12.591015	3.4675152	400000	-7.450581e-09	2.4595852	-0.009727312	-0.45905814	1.3564423	0.0047479197	0.068875	127.0	1010.5383541584015	42.670517	4.714723	49.21634	29.534906	0.0	0.0
25	500.0	9.978797	2.0509431	12.178743	3.6741147	416000	1.4901161e-08	0.8604307	-0.009092646	-0.08492512	1.3564423	0.0056861253	0.0591875	127.0	1047.1402468681335	44.429222	3.4061732	50.72778	37.764977	0.0	0.0
26	500.0	10.21427	2.1133091	12.294086	3.7863293	432000	3.7252903e-08	1.4421587	-0.00920302	-0.3383439	1.3564423	0.0063787084	0.0643125	127.0	1084.4000499248505	46.238754	5.221283	67.51021	37.026775	0.0	0.0
27	500.0	10.403793	2.3120282	12.967931	3.652032	448000	-7.450581e-09	1.6595331	-0.008680429	-0.22485144	1.3564423	0.00829367	0.0609375	127.0	1124.8375089168549	43.606102	5.030188	51.07888	31.999449	0.0	0.0
28	500.0	10.360992	2.2756736	12.904383	3.6187222	464000	7.450581e-09	1.0729603	-0.008449342	-0.2478327	1.3564423	0.0066978247	0.055375002	127.0	1162.3756930828094	46.622883	4.258523	52.857864	38.21648	0.0	0.0
29	500.0	10.7167015	2.2308843	13.053672	3.854685	480000	1.8626451e-08	2.304616	-0.009722939	-0.27383667	1.3564423	0.006852814	0.0695	127.0	1199.1915953159332	45.40529	6.9744782	52.920765	23.65538	0.0	0.0
30	500.0	10.381243	2.3432276	12.929944	1.5988998	496000	2.7939677e-09	1.346419	-0.007873081	-0.3499023	1.3564423	0.006362613	0.0565	127.0	1235.0617282390594	46.0692	4.052947	51.54364	33.347477	0.0	0.0
31	500.0	10.729554	2.1705976	13.026468	4.1511035	512000	-3.7252903e-09	1.1139686	-0.009492383	-0.103988454	1.3564423	0.0058232993	0.069	127.0	1274.946447610855	45.856537	4.376435	54.90471	36.583332	0.0	0.0
32	500.0	10.565942	2.4767363	12.953987	-3.2832532	528000	8.8475645e-09	2.9295204	-0.009770194	-0.5598288	1.3564423	0.0062398	0.0705	127.0	1323.1546382904053	46.26125	5.7727604	66.11855	39.00046	0.0	0.0
33	500.0	10.673842	2.305395	12.927072	1.3464842	544000	7.450581e-09	13.234514	-0.007861951	-4.1561007	1.3564423	0.008300375	0.084125005	127.0	1381.4127283096313	54.44922	13.859109	95.12719	41.023052	0.0	0.0
34	500.0	11.508816	2.89912	14.904282	1.6156034	560000	0.0	11.832321	-0.007184276	-1.9092946	1.3564423	0.007097668	0.074875	127.0	1434.4240777492523	52.82791	17.015436	101.92348	34.189034	0.0	0.0
35	500.0	11.699983	3.531798	16.350489	-2.7891006	576000	-2.9802322e-08	14.623411	-0.0078007756	-2.312864	1.3564423	0.006811682	0.083312504	127.0	1483.222497701645	54.877327	18.624588	104.63864	33.30211	0.0	0.0
36	500.0	12.195131	4.029613	17.885828	-0.05447831	592000	1.8626451e-08	16.225681	-0.008391578	-2.104954	1.3564423	0.0066698603	0.0759375	127.0	1522.1991333961487	57.570606	21.647333	106.357254	35.041203	0.0	0.0
37	500.0	13.250337	4.316679	19.388702	3.9351373	608000	1.4901161e-08	26.357645	-0.006327079	-5.913839	1.3564423	0.008169464	0.06575	127.0	1555.9826712608337	64.17047	27.746681	116.66099	28.84665	0.0	0.0
38	500.0	14.825975	5.7434125	21.522066	-9.741433	624000	-3.1664968e-08	26.460918	-0.008872335	-2.783734	1.3564423	0.007320244	0.0764375	127.0	1592.521867275238	65.050354	27.001377	109.24875	28.77985	0.0	0.0
39	500.0	14.12066	6.010883	22.45338	4.123824	640000	0.0	24.07346	-0.007631974	-1.6750975	1.3564423	0.006722401	0.068749994	127.0	1629.5117273330688	64.15932	28.508596	114.75476	29.584444	0.0	0.0
40	500.0	14.098676	5.932418	23.17128	3.965272	656000	-1.4901161e-08	19.821821	-0.007295631	-1.4186872	1.3564423	0.0072890925	0.078875005	127.0	1665.316883802414	59.865368	27.423674	108.27802	27.90577	0.0	0.0
41	500.0	13.384165	6.4697404	23.742315	-9.1122	672000	-1.1175871e-08	23.241116	-0.008450661	-3.3359394	1.3564423	0.004274712	0.0715	127.0	1702.9327976703644	58.51537	28.573708	117.39983	26.429377	0.0	0.0
42	500.0	14.123611	6.1946893	24.100698	3.2821581	688000	0.0	27.913368	-0.0074669523	-4.0570397	1.3564423	0.007501525	0.0666875	127.0	1742.1077542304993	67.824486	32.634136	110.184456	27.797722	0.0	0.0
43	500.0	15.386103	6.466597	25.28386	2.082705	704000	3.7252903e-09	23.634743	-0.008996023	-2.895793	1.3564423	0.005445094	0.068	127.0	1776.602895975113	62.081047	28.326061	107.28394	24.329498	0.0	0.0
