Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.29583856	0.02964571	-0.16414043	-0.35057282	16000	2.9616058e-07	0.08056328	-0.006647224	-0.07610146	1.3564423	0.0069073243	0.0544375	127.0	37.15938425064087	0.13651882	0.07751175	0.40314132	0.04274743	0.0	0.0
1	500.0	-0.043274023	0.026733484	0.026877604	-0.08035453	32000	1.2479722e-07	0.0034200775	-0.007609315	-0.0030418518	1.3564423	0.0064119967	0.0638125	127.0	74.87951636314392	0.12566698	0.06628832	0.2633077	0.038932122	0.0	0.0
2	500.0	0.025243068	0.018399693	0.06372097	-0.025501646	48000	-7.450581e-09	0.00046178818	-0.0107395	-0.0001600851	1.3564423	0.007392031	0.0993125	127.0	114.35704064369202	0.15243648	0.075064294	0.36099875	0.048255023	0.0	0.0
3	500.0	0.027155902	0.009860793	0.06356836	-0.007698491	64000	-5.9604645e-08	0.0029131835	-0.005959694	-0.0011622477	1.3564423	0.0075818677	0.0563125	127.0	170.1723256111145	0.31379515	0.20507249	0.9463954	0.07529542	0.0	0.0
4	500.0	0.05570582	0.01322505	0.0964671	0.019277662	80000	2.9802322e-08	0.012845637	-0.0055396995	-0.007114133	1.3564423	0.0049152877	0.047250003	127.0	222.9813356399536	0.67381346	0.3692893	1.7022465	0.14860792	0.0	0.0
5	500.0	0.13781522	0.023732267	0.220518	0.05025121	96000	5.2154064e-08	0.037900776	-0.008354554	-0.022954848	1.3564423	0.0054925047	0.0700625	127.0	272.6285035610199	1.2756884	0.5922468	2.6371648	0.197447	0.0	0.0
6	500.0	0.32605907	0.09973568	0.55714613	0.05130069	112000	-2.2351742e-08	0.11616656	-0.006741509	-0.04188378	1.3564423	0.006607735	0.0703125	127.0	306.4246668815613	2.139009	1.2379084	6.421374	0.7452066	0.0	0.0
7	500.0	0.52252316	0.21946757	0.93871224	-0.06638977	128000	9.313226e-09	0.6574922	-0.0058197323	-0.27604514	1.3564423	0.0077552544	0.079375	127.0	341.97122526168823	3.974813	2.934847	12.495035	1.0227697	0.0	0.0
8	500.0	1.065923	0.5122987	2.157095	-0.34415448	144000	1.3038516e-08	2.1222231	-0.0073385984	-1.2290721	1.3564423	0.008103878	0.077875	127.0	377.41375851631165	8.762989	4.4098334	18.62482	2.084613	0.0	0.0
9	500.0	2.349652	1.1283598	4.0774226	-0.4589833	160000	7.450581e-09	2.4289699	-0.007644494	-1.3454161	1.3564423	0.0050268644	0.06937499	127.0	413.43431067466736	14.089587	4.1327176	22.332764	2.9348533	0.0	0.0
