Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.29952356	0.029734889	-0.17005555	-0.35364783	16000	2.9057264e-07	0.07990226	-0.0071851625	-0.07553669	1.3564423	0.0071797706	0.060812503	127.0	35.34125518798828	0.11178437	0.057825536	0.28709993	0.046394087	0.0	0.0
1	500.0	-0.046971098	0.024922691	0.023335062	-0.08315926	32000	3.9115548e-08	0.0031969575	-0.007858584	-0.0029193494	1.3564423	0.0065449346	0.0661875	127.0	67.69671368598938	0.095816985	0.044427782	0.1932706	0.03512148	0.0	0.0
2	500.0	0.018366901	0.01683166	0.059621073	-0.028629448	48000	-1.1175871e-08	0.0005076186	-0.010139859	-0.00017190527	1.3564423	0.007428516	0.0948125	127.0	98.15534377098083	0.13979459	0.07755536	0.3788095	0.041302163	0.0	0.0
3	500.0	0.024883995	0.008941816	0.05483322	-0.008501239	64000	-7.450581e-09	0.0016344334	-0.0059114965	-0.00057434366	1.3564423	0.0075728977	0.0564375	127.0	130.91956520080566	0.24344437	0.15577099	0.6631364	0.06689079	0.0	0.0
4	500.0	0.04176355	0.010579631	0.07671993	0.0119576305	80000	4.4703484e-08	0.005284972	-0.0053244205	-0.002871551	1.3564423	0.004257301	0.0475625	127.0	163.14103484153748	0.4569049	0.2311436	0.9735801	0.08994651	0.0	0.0
5	500.0	0.09045572	0.01388641	0.1431121	0.034632355	96000	2.9802322e-08	0.019987028	-0.007951757	-0.011252439	1.3564423	0.0056821746	0.07	127.0	193.48921537399292	0.8716792	0.4386816	2.0121558	0.12255187	0.0	0.0
6	500.0	0.21644238	0.0621297	0.3551294	0.04213427	112000	1.1175871e-08	0.031881038	-0.0072906944	-0.01406719	1.3564423	0.0062942766	0.069562495	127.0	224.0485610961914	1.3444707	0.6111398	2.8773181	0.53203624	0.0	0.0
7	500.0	0.32655326	0.13106193	0.60247386	-0.0084025785	128000	0.0	0.22043875	-0.00562934	-0.10606925	1.3564423	0.008125218	0.0784375	127.0	255.87325143814087	2.5276394	1.655923	6.5780997	0.71970713	0.0	0.0
8	500.0	0.7016571	0.32821172	1.3160456	-0.19514805	144000	2.9802322e-08	1.6096272	-0.006572795	-0.9002207	1.3564423	0.007599267	0.066750005	127.0	286.67945885658264	6.5631003	3.8372128	15.868032	2.0709047	0.0	0.0
9	500.0	1.6922622	0.8858346	3.2844572	-0.40901566	160000	-9.313226e-09	2.1177907	-0.007841959	-1.1759257	1.3564423	0.0048096953	0.071	127.0	318.1291971206665	10.682248	4.192981	18.583748	0.70239943	0.0	0.0
10	500.0	2.9887025	1.4865602	5.2021303	-0.4007126	176000	8.381903e-09	1.7838817	-0.007900791	-0.8335917	1.3564423	0.0052293385	0.075187504	127.0	351.09828448295593	14.854578	3.123791	20.566172	9.0590105	0.0	0.0
11	500.0	4.022944	1.831701	6.334115	-0.1613398	192000	0.0	2.069686	-0.009772935	-0.7832643	1.3564423	0.0060856733	0.084375	127.0	386.707288980484	18.647484	4.194046	29.019613	10.952985	0.0	0.0
12	500.0	4.9250774	2.0881557	7.4654813	0.19921243	208000	3.7252903e-09	1.8953227	-0.009329418	-0.2436107	1.3564423	0.005860796	0.0799375	127.0	422.3713092803955	20.627785	5.3303995	33.52191	9.611034	0.0	0.0
13	500.0	5.5008297	2.0556457	7.9114594	0.57413805	224000	-5.5879354e-09	1.4384243	-0.012164253	-0.18534002	1.3564423	0.007918224	0.1066875	127.0	454.7295489311218	23.474167	3.9095316	31.467243	15.710921	0.0	0.0
14	500.0	5.9486256	2.1041389	8.174501	0.6678078	240000	-1.4901161e-08	1.9523425	-0.009150799	-0.4324891	1.3564423	0.006124569	0.070125	127.0	486.11775398254395	25.542892	6.1174192	33.27569	1.1020666	0.0	0.0
15	500.0	6.503142	2.2671196	8.792505	0.31887627	256000	2.2351742e-08	2.7556033	-0.008624559	-0.41797936	1.3564423	0.006678574	0.061875	127.0	520.755179643631	24.55899	7.2608247	35.36817	3.4831736	0.0	0.0
