Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.09858124	0.015795328	0.14670277	0.050602064	16000	7.450581e-09	0.009741711	-0.0057136817	-0.0032757013	1.3564423	0.007702936	0.0503125	127.0	43.43678402900696	0.67273974	0.46206883	2.043922	0.14638023	0.0	0.0
1	500.0	0.13204548	0.037336987	0.21307948	-0.011546718	32000	1.6763806e-08	0.035416767	-0.005124249	-0.011751566	1.3564423	0.005828973	0.0553125	127.0	89.41199111938477	1.2084022	0.8886483	3.3400843	0.26909086	0.0	0.0
2	500.0	0.21169436	0.06991428	0.3801466	-0.07113403	48000	1.8626451e-09	0.028774593	-0.008410696	-0.012721838	1.3564423	0.005749942	0.0801875	127.0	131.52114725112915	1.544692	0.8594758	4.0425754	0.36861223	0.0	0.0
3	500.0	0.330549	0.09754874	0.6075937	0.038463518	64000	7.450581e-09	0.35419676	-0.0073014162	-0.15358388	1.3564423	0.006752941	0.07175	127.0	170.15721464157104	3.3873534	2.7851386	13.1175995	0.35758635	0.0	0.0
4	500.0	0.83742607	0.19426385	1.3896915	0.30077028	80000	1.4901161e-08	1.6319456	-0.0076499907	-0.75129455	1.3564423	0.008795124	0.0829375	127.0	215.3576033115387	7.0217075	5.5203037	19.670048	0.46246034	0.0	0.0
5	500.0	1.6821582	0.5964072	3.2484732	-0.09761398	96000	-5.122274e-09	3.2089689	-0.008340246	-1.6608567	1.3564423	0.0041523334	0.0645625	127.0	257.3450722694397	12.069267	7.353366	31.48524	2.2758584	0.0	0.0
6	500.0	3.2449439	1.2640429	5.8317056	-0.7327411	112000	2.2351742e-08	13.849144	-0.006361908	-4.6791506	1.3564423	0.004535498	0.063999996	127.0	306.442501783371	22.735188	14.620664	92.60253	3.153072	0.0	0.0
7	500.0	5.2108235	2.0583792	8.483764	-1.2101535	128000	-1.3038516e-08	2.0133276	-0.011424975	-0.07677939	1.3564423	0.006972886	0.090812504	127.0	349.8355002403259	20.165428	6.771139	34.896503	5.365605	0.0	0.0
8	500.0	6.095777	1.9586703	8.7521	-0.83767486	144000	7.450581e-09	2.9107482	-0.0081084985	-0.38018644	1.3564423	0.005944378	0.065125	127.0	401.51625418663025	25.3386	5.3525515	33.4438	10.409736	0.0	0.0
9	500.0	6.327957	1.6678083	8.486326	0.3449583	160000	-3.7252903e-09	10.751418	-0.0088300705	-0.6669625	1.3564423	0.009745598	0.1065	127.0	436.24573945999146	29.341297	13.868257	84.06529	10.287963	0.0	0.0
10	500.0	7.2186437	1.7379545	9.169218	0.39979005	176000	-7.450581e-09	5.036865	-0.007888786	-0.5150161	1.3564423	0.0060011153	0.056874998	127.0	466.0953507423401	29.933376	8.881947	48.626366	10.722749	0.0	0.0
11	500.0	7.097401	1.1454768	8.365799	1.9099047	192000	0.0	11.331106	-0.006079967	-0.30043024	1.3564423	0.0066209054	0.0555	127.0	508.31755328178406	32.419563	14.104292	78.879585	10.948379	0.0	0.0
12	500.0	7.5866623	1.1155214	8.584884	1.9639567	208000	7.450581e-09	6.84055	-0.0070955073	-0.5785223	1.3564423	0.0046823947	0.0535625	127.0	539.9577240943909	31.05445	9.941448	52.755028	12.941628	0.0	0.0
13	500.0	7.1473565	0.69214004	7.700574	2.8270988	224000	7.450581e-09	12.326718	-0.007233657	-0.48814783	1.3564423	0.0062421663	0.057312503	127.0	577.0174503326416	34.785053	13.45048	88.31832	19.257116	0.0	0.0
14	500.0	7.699681	1.0318699	8.479775	2.2739804	240000	-7.450581e-09	3.9484725	-0.00772337	-0.40471715	1.3564423	0.005564525	0.0593125	127.0	613.5623638629913	37.591236	7.5259757	50.986507	22.511423	0.0	0.0
15	500.0	8.281442	0.8291674	8.866927	3.2094195	256000	7.450581e-09	9.72263	-0.008664119	-0.04839593	1.3564423	0.008881481	0.072312504	127.0	647.3982391357422	37.261345	13.588327	85.72544	20.876896	0.0	0.0
16	500.0	8.248737	0.92785686	8.96684	3.2146146	272000	2.9802322e-08	7.964545	-0.007557954	-0.753099	1.3564423	0.007872812	0.0675625	127.0	687.0069766044617	41.778793	11.29459	78.030685	22.998726	0.0	0.0
17	500.0	9.047434	0.91971195	9.661999	3.7419505	288000	3.7252903e-09	6.9716425	-0.008810723	-1.084058	1.3564423	0.00711301	0.0776875	127.0	719.0118889808655	46.08761	9.917683	88.19977	29.524206	0.0	0.0
18	500.0	9.984744	1.1618606	10.707528	3.6052659	304000	-2.2351742e-08	12.975295	-0.007513621	-0.8090676	1.3564423	0.006478538	0.07725	127.0	757.3104510307312	49.37001	16.111889	119.31106	29.523518	0.0	0.0
19	500.0	10.885569	1.3478588	11.553423	2.7391706	320000	0.0	15.192258	-0.008246624	-0.22007962	1.3564423	0.0063403463	0.066375	127.0	797.831549167633	49.47969	17.05523	114.82257	32.9668	0.0	0.0
20	500.0	10.930565	1.4242616	11.90969	2.8161244	336000	2.6077032e-08	24.87403	-0.008197295	-1.7957255	1.3564423	0.009404872	0.0889375	127.0	832.155834197998	54.887054	23.374937	132.0745	30.230196	0.0	0.0
