Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.101513594	0.018178068	0.14512318	0.038503133	16000	-9.313226e-09	0.005466658	-0.009179565	-0.005143129	1.3564423	0.00660289	0.08275	127.0	47.958577156066895	0.08880019	0.04461976	0.19694184	0.026384007	0.0	0.0
1	500.0	0.040544372	0.015066688	0.088766746	0.00035815872	32000	-7.450581e-09	0.0005779457	-0.0075464803	-0.00021545748	1.3564423	0.005336075	0.0605625	127.0	84.59432101249695	0.19778515	0.110810526	0.5211904	0.037088756	0.0	0.0
2	500.0	0.04959565	0.008830375	0.084629014	0.022629658	48000	1.1175871e-08	0.00085439393	-0.009054885	-0.0003418446	1.3564423	0.006712394	0.087437496	127.0	119.93939399719238	0.31034923	0.12982626	0.5499257	0.08618088	0.0	0.0
3	500.0	0.07245351	0.0129921045	0.11573063	0.017350163	64000	-4.4703484e-08	0.016554976	-0.0057673454	-0.0079568755	1.3564423	0.0065208413	0.061750002	127.0	155.32842350006104	0.72852755	0.5193819	2.6059055	0.10732592	0.0	0.0
4	500.0	0.1847663	0.054601233	0.33117205	0.019510575	80000	1.4901161e-08	0.14033903	-0.006346739	-0.0725608	1.3564423	0.006829931	0.070875004	127.0	189.42680168151855	1.9015496	1.303944	5.2650447	0.18050422	0.0	0.0
5	500.0	0.5165509	0.20744918	1.0322379	-0.08659857	96000	2.0489097e-08	0.6007403	-0.005069633	-0.338731	1.3564423	0.0043900646	0.0505625	127.0	229.39927172660828	4.2691007	2.4966004	11.462296	0.8897701	0.0	0.0
6	500.0	1.187085	0.56353587	2.2749555	-0.13467132	112000	6.519258e-09	1.7731705	-0.0044277185	-1.0971717	1.3564423	0.0036364666	0.038187504	127.0	266.6972954273224	9.006357	3.64193	16.381245	3.4381092	0.0	0.0
7	500.0	2.1134303	1.0553716	3.9943898	-0.81338704	128000	1.1175871e-08	1.8662784	-0.008247588	-0.7444831	1.3564423	0.007857576	0.0920625	127.0	303.5903708934784	11.010868	4.9671597	20.079002	3.5383859	0.0	0.0
8	500.0	3.3211646	1.527123	5.724637	-0.8708209	144000	1.3038516e-08	2.2721891	-0.0071842074	-0.78365064	1.3564423	0.0062021455	0.0678125	127.0	345.5005099773407	16.477356	4.564868	28.071165	6.642886	0.0	0.0
9	500.0	4.346622	1.7472931	6.5889316	-0.22611268	160000	1.0244548e-08	2.4334798	-0.008748889	-0.55154216	1.3564423	0.006726462	0.0805625	127.0	384.03274869918823	20.138462	5.2430534	31.451868	9.56601	0.0	0.0
10	500.0	5.2888045	1.813928	7.258104	-0.07993546	176000	-1.4901161e-08	3.0832665	-0.0072380574	-0.7802062	1.3564423	0.0056962715	0.059375003	127.0	421.2460856437683	25.14217	5.754779	39.50066	15.350271	0.0	0.0
11	500.0	6.2661276	1.7829064	7.8713546	0.017710708	192000	3.7252903e-09	3.3678432	-0.0068095094	-0.27758825	1.3564423	0.005225686	0.057624996	127.0	457.762818813324	25.144718	7.5914083	41.24513	9.1047125	0.0	0.0
12	500.0	6.322105	1.8394251	8.040881	0.7791743	208000	-1.4901161e-08	3.4488077	-0.0072610956	-0.3733222	1.3564423	0.0055522574	0.062562495	127.0	494.019047498703	28.321354	7.127981	47.657097	15.374004	0.0	0.0
13	500.0	6.842396	1.6939819	8.324811	1.6126537	224000	-7.450581e-09	2.1078517	-0.0076611354	-0.23196316	1.3564423	0.007097466	0.055687502	127.0	533.0606501102448	26.42865	5.418006	39.02551	16.11725	0.0	0.0
14	500.0	6.580466	1.4889641	8.095181	1.801343	240000	0.0	3.2740238	-0.0077101905	-0.37767732	1.3564423	0.0067074215	0.0579375	127.0	570.3598003387451	30.111895	7.2744827	43.90779	18.533167	0.0	0.0
15	500.0	6.991874	1.5427914	8.595388	1.993574	256000	-1.1175871e-08	3.3456295	-0.008356798	-0.39297545	1.3564423	0.0076547787	0.0703125	127.0	608.5910196304321	32.277836	6.8731236	44.045563	20.292065	0.0	0.0
16	500.0	7.7036133	1.4965491	9.08497	2.5419385	272000	0.0	2.5109391	-0.0065397304	-0.08507889	1.3564423	0.006329735	0.05175	127.0	648.2169947624207	32.28605	5.9945755	42.816097	20.629051	0.0	0.0
17	500.0	7.5587955	1.4809681	9.00201	2.3320234	288000	1.8626451e-09	3.3023806	-0.0069743125	-0.6778414	1.3564423	0.0072197504	0.059625	127.0	686.6947283744812	36.174553	5.7425747	44.338013	21.33278	0.0	0.0
18	500.0	8.380065	1.7526879	9.768665	2.0859575	304000	1.3038516e-08	2.7591877	-0.0075696073	-0.37358198	1.3564423	0.005970204	0.0555	127.0	726.5239522457123	33.59317	5.605861	48.47017	24.09205	0.0	0.0
19	500.0	7.9569016	1.3872143	9.078694	2.6644	320000	-2.0489097e-08	2.432787	-0.0077872453	-0.16177472	1.3564423	0.006597113	0.06425	127.0	765.5777702331543	34.01091	6.3004875	47.558815	22.41107	0.0	0.0
