Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.002326108	0.030303951	0.093022235	-0.05559297	16000	1.6763806e-08	0.0007492099	-0.0075352164	-0.0006530959	1.3564423	0.0064694914	0.072625	127.0	60.90227389335632	0.04147253	0.025069864	0.13084528	0.013459797	0.0	0.0
1	500.0	0.011363341	0.0059346533	0.034182943	-0.011316907	32000	2.6077032e-08	6.121979e-05	-0.009727256	-3.3990695e-05	1.3564423	0.0062709027	0.0875	127.0	98.04095268249512	0.06094349	0.03388416	0.13446222	0.0144002205	0.0	0.0
2	500.0	0.016708944	0.0065469965	0.03923928	-0.002311267	48000	-1.8626451e-08	0.0002862802	-0.010660835	-0.00017905838	1.3564423	0.007878611	0.10825	127.0	132.61069226264954	0.12555528	0.088781275	0.34147128	0.019320153	0.0	0.0
3	500.0	0.041147165	0.017339645	0.0999767	-0.00013607554	64000	0.0	0.0032148238	-0.008627314	-0.0018174103	1.3564423	0.010144879	0.104312494	127.0	169.68037104606628	0.33876598	0.25419977	0.99597585	0.01856328	0.0	0.0
4	500.0	0.106023155	0.04071996	0.24140461	-0.013216941	80000	1.4901161e-08	0.016148426	-0.008600169	-0.008788215	1.3564423	0.0069159516	0.0931875	127.0	220.94188570976257	0.75379956	0.5122343	2.2906199	0.12811935	0.0	0.0
5	500.0	0.23046324	0.11230429	0.6549771	-0.12721992	96000	-1.4901161e-08	0.055239707	-0.008783419	-0.03311836	1.3564423	0.008293746	0.108187504	127.0	278.61743211746216	1.5585246	0.8645599	4.818638	0.6173267	0.0	0.0
6	500.0	0.57274145	0.2750839	1.1843685	-0.18792425	112000	2.4214387e-08	0.66928035	-0.0050515844	-0.35264745	1.3564423	0.0037668431	0.050125	127.0	326.1083290576935	4.543835	2.666476	12.769688	1.4957472	0.0	0.0
7	500.0	1.1541017	0.6286018	2.575402	-0.33078137	128000	2.7939677e-09	0.7430554	-0.0074229175	-0.3271214	1.3564423	0.008342479	0.099625	127.0	359.7013261318207	6.212797	3.2382991	13.534822	1.429108	0.0	0.0
8	500.0	1.9367046	1.0156157	3.994459	-0.16009998	144000	9.313226e-09	1.471814	-0.0069055916	-0.65164185	1.3564423	0.005568035	0.059437502	127.0	400.7468295097351	9.705564	4.5099697	18.505424	1.5240493	0.0	0.0
9	500.0	2.8660307	1.6420546	5.794427	-1.0075835	160000	-2.9802322e-08	1.9756881	-0.007063165	-0.3636788	1.3564423	0.006565961	0.060687497	127.0	438.7309675216675	11.6234	6.3770638	32.765053	2.7778254	0.0	0.0
