Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10277176	0.018437857	0.14649007	0.039273407	16000	7.636845e-08	0.0059518637	-0.0086833015	-0.0056168307	1.3564423	0.0063411603	0.07775	127.0	37.04941701889038	0.07389507	0.044087082	0.18684699	0.015498976	0.0	0.0
1	500.0	0.038549066	0.01582892	0.087876484	-0.0018018857	32000	-1.1175871e-08	0.0006516968	-0.0071119126	-0.00024899084	1.3564423	0.0053665293	0.059625	127.0	85.56651473045349	0.17516856	0.12244569	0.53611284	0.026231868	0.0	0.0
2	500.0	0.045806207	0.009717468	0.08517814	0.018659761	48000	-3.7252903e-08	0.0005738443	-0.008824673	-0.00017513367	1.3564423	0.006828256	0.0855	127.0	132.80322337150574	0.2501673	0.124533415	0.5358125	0.05756652	0.0	0.0
3	500.0	0.061617374	0.012528018	0.10588417	0.013383384	64000	5.9604645e-08	0.012008448	-0.005226067	-0.005221237	1.3564423	0.0063807713	0.055875003	127.0	179.12493181228638	0.5641991	0.50441474	2.67942	0.059654873	0.0	0.0
4	500.0	0.15441605	0.049916603	0.29627055	-0.0018618125	80000	-7.4505806e-08	0.08824904	-0.0062065176	-0.042604506	1.3564423	0.007193737	0.07525	127.0	223.68505597114563	1.4268968	1.1580571	4.446343	0.118678465	0.0	0.0
5	500.0	0.41390333	0.17332627	0.85632193	-0.12893339	96000	0.0	0.36676055	-0.005651977	-0.19995487	1.3564423	0.0048952536	0.062875	127.0	257.9838879108429	3.2218947	2.2289252	10.122495	0.4485976	0.0	0.0
6	500.0	0.97909594	0.47210088	1.973219	-0.21068919	112000	1.1175871e-08	1.0584147	-0.004690481	-0.60775757	1.3564423	0.003607769	0.046499997	127.0	291.3206732273102	6.9558573	3.2402484	14.874309	1.717441	0.0	0.0
7	500.0	1.6881394	0.8815034	3.3685658	-0.7629719	128000	7.450581e-09	1.7529771	-0.007149726	-0.55479884	1.3564423	0.007999563	0.0913125	127.0	327.03742265701294	8.460346	5.1284475	20.35425	1.7625928	0.0	0.0
8	500.0	2.7180102	1.3207985	4.955405	-0.9658993	144000	7.450581e-09	3.8043203	-0.006039612	-0.839118	1.3564423	0.005895212	0.062062502	127.0	362.3470287322998	13.717743	7.613304	42.83715	3.2743268	0.0	0.0
9	500.0	3.6450727	1.6535667	6.022134	-0.68549854	160000	7.450581e-09	3.2463841	-0.0079524955	-0.6971726	1.3564423	0.0075423606	0.088874996	127.0	395.9665422439575	17.289526	6.617402	29.99607	4.4540057	0.0	0.0
10	500.0	4.7535224	1.786795	7.229483	-0.67798746	176000	-7.450581e-09	3.9399729	-0.0072059114	-0.9121909	1.3564423	0.006205336	0.059	127.0	432.08018231391907	22.719223	7.4013386	50.539196	11.309561	0.0	0.0
11	500.0	5.740059	1.8242515	8.051911	-0.43933094	192000	-1.8626451e-09	2.9348636	-0.0063208877	-0.27845624	1.3564423	0.00432829	0.044125002	127.0	467.0780589580536	21.988903	7.2530456	38.70462	9.440042	0.0	0.0
12	500.0	5.6914253	1.7423216	7.839699	0.35520178	208000	2.9802322e-08	2.704216	-0.0069835596	-0.29403692	1.3564423	0.0057334993	0.054250002	127.0	503.40850615501404	25.11097	6.924224	42.86035	14.8137455	0.0	0.0
13	500.0	6.134227	1.6807628	7.8429794	0.8858018	224000	1.4901161e-08	6.7719254	-0.006836597	-0.48699838	1.3564423	0.0073482906	0.0541875	127.0	537.4738028049469	26.814442	11.193505	64.74899	11.681321	0.0	0.0
