Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.002877063	0.03032667	0.094734035	-0.056215093	16000	5.5879354e-09	0.00070080353	-0.008161174	-0.0006233277	1.3564423	0.006266351	0.077625	127.0	40.20893311500549	0.03235262	0.022988455	0.12321171	0.008340402	0.0	0.0
1	500.0	0.009336226	0.005987954	0.036310643	-0.012223739	32000	-3.7252903e-09	5.0405142e-05	-0.010385189	-3.1246964e-05	1.3564423	0.0061122766	0.091375	127.0	84.82863998413086	0.050132994	0.029071663	0.12628892	0.015123999	0.0	0.0
2	500.0	0.013683199	0.0057593747	0.03439087	-0.0028370302	48000	3.3527613e-08	0.00030449906	-0.0097488025	-0.00020024074	1.3564423	0.0068586646	0.0928125	127.0	122.63082647323608	0.11254866	0.09358566	0.33830923	0.013736433	0.0	0.0
3	500.0	0.032777622	0.015726171	0.08443989	-0.0020756088	64000	-2.2351742e-08	0.0019628704	-0.008477889	-0.0011049982	1.3564423	0.009861337	0.1043125	127.0	163.05276918411255	0.2530084	0.22048755	0.9892647	0.008239118	0.0	0.0
4	500.0	0.09166883	0.0364675	0.1989789	0.0068186987	80000	3.7252903e-08	0.007196641	-0.0105420295	-0.004417722	1.3564423	0.008294465	0.1188125	127.0	197.93616724014282	0.53905314	0.3806982	1.6196175	0.10403062	0.0	0.0
5	500.0	0.1713806	0.09035093	0.4925118	-0.1330742	96000	-2.0489097e-08	0.020590696	-0.008847129	-0.0099889245	1.3564423	0.00919588	0.118062496	127.0	233.21533584594727	1.036565	0.5670089	3.134532	0.3383472	0.0	0.0
6	500.0	0.31861827	0.14694698	0.6021035	-0.15017319	112000	-9.313226e-09	0.036627516	-0.009307448	-0.020721711	1.3564423	0.00613543	0.0891875	127.0	274.8313772678375	1.864919	0.721161	3.8973193	0.7199544	0.0	0.0
7	500.0	0.52604973	0.21082397	0.8741579	-0.062444773	128000	1.1175871e-08	0.03453186	-0.0086048525	-0.01834475	1.3564423	0.0070459424	0.084750004	127.0	315.4511368274689	2.5103288	0.7788097	4.2421303	0.5093964	0.0	0.0
8	500.0	0.72419286	0.2872459	1.6075422	0.05130358	144000	-3.7252903e-09	0.19937098	-0.005908368	-0.060637027	1.3564423	0.0059586293	0.070125	127.0	355.6458511352539	2.9024644	2.3946676	14.925743	0.53464013	0.0	0.0
9	500.0	0.8408788	0.4826657	2.415036	-0.75075585	160000	-1.4901161e-08	0.42225575	-0.007972758	-0.093577564	1.3564423	0.0088679725	0.08975001	127.0	390.830721616745	3.9449413	3.042895	16.22819	1.6646123	0.0	0.0
10	500.0	1.3132014	0.86302555	4.33251	-0.51267195	176000	-2.2351742e-08	0.4196903	-0.0064977864	-0.0785832	1.3564423	0.0050000497	0.064875	127.0	429.3503186702728	4.7933197	3.723885	15.277881	1.161225	0.0	0.0
11	500.0	1.2843335	0.8246519	4.1483774	-0.75121003	192000	-2.7939677e-09	0.18439253	-0.0075046727	-0.037461188	1.3564423	0.0072141495	0.063	127.0	469.84777092933655	4.644606	2.516052	13.207373	1.4497062	0.0	0.0
12	500.0	1.6646858	1.1529603	4.646083	-0.5669016	208000	-2.6077032e-08	0.45740026	-0.0076390067	-0.10856356	1.3564423	0.0069217305	0.06612499	127.0	510.707279920578	6.1820374	4.535328	19.772413	1.3591716	0.0	0.0
