Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.098973766	0.017891513	0.14284837	0.035478644	16000	-7.4505806e-08	0.0054240283	-0.008953382	-0.0051105213	1.3564423	0.006430352	0.0785625	127.0	36.13066816329956	0.07522187	0.044929735	0.18987148	0.015736625	0.0	0.0
1	500.0	0.038026366	0.015999885	0.088648096	-0.003525095	32000	1.1175871e-08	0.00067285204	-0.0068936124	-0.00026660145	1.3564423	0.005151298	0.058375	127.0	69.50560426712036	0.17703773	0.12422487	0.5460546	0.026133431	0.0	0.0
2	500.0	0.04621009	0.009700619	0.08578775	0.01977309	48000	-1.8626451e-08	0.0006065712	-0.009058245	-0.00018904216	1.3564423	0.0069432757	0.08725	127.0	100.59598422050476	0.25664422	0.12734535	0.557162	0.061622363	0.0	0.0
3	500.0	0.06365105	0.013232504	0.10946047	0.01567192	64000	0.0	0.011644639	-0.0053408993	-0.0051552067	1.3564423	0.006411799	0.05725	127.0	135.15959906578064	0.5693327	0.49527553	2.587991	0.062283292	0.0	0.0
4	500.0	0.15652612	0.05145474	0.3023551	-0.0006120261	80000	-2.2351742e-08	0.09086053	-0.006171017	-0.044590015	1.3564423	0.0073184855	0.077999994	127.0	166.4350254535675	1.437474	1.1807328	4.6481676	0.11686187	0.0	0.0
5	500.0	0.43122217	0.18211807	0.9029782	-0.111715876	96000	-5.5879354e-08	0.39140782	-0.005541754	-0.21555737	1.3564423	0.0049134525	0.0629375	127.0	202.37250089645386	3.345832	2.3011267	10.687989	0.46368653	0.0	0.0
6	500.0	1.0235837	0.4939531	2.0405273	-0.22558187	112000	-7.450581e-09	1.0428061	-0.0046023997	-0.5833734	1.3564423	0.003616986	0.0475	127.0	233.80823063850403	7.0391293	3.2680926	14.170533	1.7775283	0.0	0.0
7	500.0	1.7177156	0.89547944	3.4185536	-0.7271626	128000	2.2351742e-08	1.347283	-0.007855124	-0.43230012	1.3564423	0.007857858	0.095249996	127.0	266.1012752056122	8.073721	4.7431054	20.982807	1.7172217	0.0	0.0
8	500.0	2.6374857	1.2947311	4.7671895	-0.7034185	144000	-1.4901161e-08	3.9921367	-0.005853178	-0.92353266	1.3564423	0.0063052513	0.066062495	127.0	301.69204020500183	13.679716	7.6726074	44.503216	3.2172394	0.0	0.0
9	500.0	3.646473	1.6210735	5.8808794	-0.5513414	160000	-7.450581e-09	3.64364	-0.007494535	-0.7883191	1.3564423	0.0073960978	0.0921875	127.0	337.8056437969208	17.6586	6.9917607	33.168526	4.7391324	0.0	0.0
10	500.0	4.8220935	1.7834945	7.4056687	-0.41018754	176000	2.4214387e-08	2.3826828	-0.0067862067	-0.358926	1.3564423	0.005930975	0.05875	127.0	372.22874569892883	21.437881	5.5352254	34.12766	11.510457	0.0	0.0
11	500.0	5.4794106	1.6956514	7.4586062	-0.77999663	192000	-1.8626451e-08	4.043955	-0.007325806	-0.4576794	1.3564423	0.004739771	0.048249997	127.0	405.79442715644836	22.728191	8.53132	50.982582	9.026382	0.0	0.0
12	500.0	5.735654	1.8533067	8.136091	0.36434972	208000	1.4901161e-08	2.967774	-0.0065232962	-0.42724365	1.3564423	0.005339236	0.0408125	127.0	439.49585461616516	26.27927	7.2555804	44.824753	14.908489	0.0	0.0
13	500.0	6.429763	1.8838931	8.57311	0.7198621	224000	7.450581e-09	2.2925982	-0.0068039624	-0.4607734	1.3564423	0.0067961775	0.047937497	127.0	478.09373021125793	23.134811	5.7698607	33.76987	11.657875	0.0	0.0
14	500.0	6.0593257	1.498907	8.042211	1.3662398	240000	-1.4901161e-08	3.5232902	-0.006947173	-0.28967282	1.3564423	0.0051153135	0.05125	127.0	514.6746582984924	27.621338	7.806115	50.099842	13.4783125	0.0	0.0
15	500.0	6.5492215	1.5883715	8.5247345	1.2414637	256000	-2.9802322e-08	12.10499	-0.007886888	-1.4339633	1.3564423	0.006367647	0.06649999	127.0	550.4874589443207	32.503677	15.149643	74.83888	14.183809	0.0	0.0
16	500.0	7.6429825	1.907965	9.687968	1.2735906	272000	7.450581e-09	6.317889	-0.0055026878	-0.25620738	1.3564423	0.0055669863	0.043375	127.0	586.4538073539734	31.920042	11.955401	78.93565	16.807125	0.0	0.0
17	500.0	7.601083	2.1224368	10.300792	0.5483338	288000	-1.4901161e-08	2.5992155	-0.006828307	-0.8374256	1.3564423	0.0053568585	0.04475	127.0	623.3869335651398	27.226898	5.212698	39.81198	17.090693	0.0	0.0
18	500.0	6.9944596	1.82351	9.186341	1.1172459	304000	-7.450581e-09	8.404434	-0.0065693064	-0.5099783	1.3564423	0.0057467134	0.053937502	127.0	660.2016870975494	31.365515	13.309178	77.32103	17.511786	0.0	0.0
19	500.0	7.211201	1.7716471	9.453543	1.0639979	320000	0.0	2.9087863	-0.0062577906	-0.109341815	1.3564423	0.004793105	0.044687502	127.0	694.4351637363434	29.132877	7.3984776	58.858307	17.362724	0.0	0.0
20	500.0	7.142109	1.8108547	9.414091	0.9120391	336000	-2.2351742e-08	5.8567696	-0.006346734	-0.5395843	1.3564423	0.0067266566	0.050750002	127.0	729.3631103038788	29.728085	11.082371	81.92167	16.11625	0.0	0.0
