Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.03836155	0.021915462	0.09118165	-0.024070255	16000	-1.1175871e-08	0.0008457152	-0.009657843	-0.00064498547	1.3564423	0.007330073	0.0863125	127.0	54.312864780426025	0.09554509	0.076082945	0.26597574	0.0129922405	0.0	0.0
1	500.0	0.03227909	0.008354161	0.058396302	-0.00044556335	32000	1.4901161e-08	0.0010741042	-0.008005085	-0.00058024365	1.3564423	0.005993101	0.073437504	127.0	120.53306674957275	0.22308452	0.1811346	0.74748343	0.026258877	0.0	0.0
2	500.0	0.06007543	0.016447455	0.117077336	0.018772626	48000	7.450581e-09	0.00558977	-0.007347106	-0.0034592308	1.3564423	0.0062248446	0.0803125	127.0	153.87607717514038	0.4529063	0.37370166	1.4540464	0.088685825	0.0	0.0
3	500.0	0.13947535	0.06568584	0.32238773	-0.019031076	64000	5.9604645e-08	0.058584932	-0.005876252	-0.029362384	1.3564423	0.007699373	0.0855	127.0	188.39301538467407	1.1934929	1.1224272	5.4898915	0.08655549	0.0	0.0
4	500.0	0.37501362	0.19702242	0.9084255	-0.06783225	80000	7.450581e-09	0.21901411	-0.007124114	-0.114998706	1.3564423	0.0076403217	0.089875	127.0	221.58864521980286	2.490736	1.9106541	9.65096	0.1337841	0.0	0.0
5	500.0	0.6887966	0.3890151	1.5179185	-0.11648035	96000	-5.2154064e-08	0.63874507	-0.007385242	-0.34619153	1.3564423	0.0072283363	0.09025	127.0	255.97795057296753	4.889661	2.7034914	10.707976	0.83717424	0.0	0.0
6	500.0	1.4771057	0.6602654	2.6906798	-0.21640424	112000	2.9802322e-08	3.6610162	-0.004785528	-1.9564064	1.3564423	0.0043033618	0.0445	127.0	323.02991223335266	11.9782	5.840462	28.417992	3.4814343	0.0	0.0
7	500.0	2.738628	1.208422	4.732677	-0.47982216	128000	0.0	3.746525	-0.00594913	-1.2267168	1.3564423	0.006998577	0.078375004	127.0	386.4139516353607	13.474783	8.568786	49.217167	2.5334992	0.0	0.0
8	500.0	3.8320858	1.7727233	6.566847	-1.2955146	144000	7.450581e-09	1.8598437	-0.0077433465	-0.22486283	1.3564423	0.007095504	0.071375	127.0	454.08656907081604	16.341835	6.261069	29.685617	3.0607107	0.0	0.0
9	500.0	4.3205743	1.9531668	7.553827	-0.7735352	160000	7.450581e-09	1.993148	-0.008292252	-0.1678954	1.3564423	0.0071496842	0.0685	127.0	491.43544936180115	16.355137	5.596531	29.992338	6.131107	0.0	0.0
