Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0011794135	0.030047523	0.09149886	-0.057788655	16000	-1.8626451e-09	0.00074939843	-0.008667726	-0.00065279903	1.3564423	0.0068833176	0.0821875	127.0	50.05913019180298	0.032461464	0.022955898	0.12291463	0.008342697	0.0	0.0
1	500.0	0.010783353	0.005330984	0.035201084	-0.008730417	32000	2.4214387e-08	5.100942e-05	-0.010426924	-2.8533654e-05	1.3564423	0.006733616	0.0924375	127.0	85.3997597694397	0.05352498	0.03163959	0.13689578	0.01577992	0.0	0.0
2	500.0	0.015701806	0.006384899	0.038333915	7.526204e-05	48000	0.0	0.00040998682	-0.00898486	-0.00026793338	1.3564423	0.006620986	0.088	127.0	125.45609021186829	0.12364286	0.10732577	0.3796802	0.013111708	0.0	0.0
3	500.0	0.036741067	0.018765526	0.10273732	-0.0060876403	64000	4.4703484e-08	0.0023483692	-0.008622227	-0.0013151407	1.3564423	0.010002425	0.107625	127.0	187.2882480621338	0.2800734	0.2409479	1.0131353	0.007758188	0.0	0.0
4	500.0	0.10168378	0.04113227	0.21912609	0.011227752	80000	2.2351742e-08	0.008264372	-0.010429139	-0.0052975756	1.3564423	0.00827366	0.117249995	127.0	224.1495065689087	0.59121865	0.40364173	1.7510504	0.115977265	0.0	0.0
5	500.0	0.1902453	0.10082861	0.54277384	-0.17532653	96000	1.8626451e-09	0.029879045	-0.007929672	-0.014929486	1.3564423	0.008982515	0.113	127.0	256.9119746685028	1.1630293	0.6809729	3.7285542	0.36763647	0.0	0.0
6	500.0	0.3410102	0.1616718	0.6538845	-0.2278562	112000	2.9802322e-08	0.035915982	-0.0104998555	-0.019555734	1.3564423	0.0065405415	0.099625	127.0	291.53929352760315	1.9238755	0.72215706	3.6269708	0.7519003	0.0	0.0
7	500.0	0.54986244	0.22182347	1.1056173	-0.0977864	128000	3.3527613e-08	0.05172528	-0.007950933	-0.027246833	1.3564423	0.0068585863	0.0864375	127.0	324.7119152545929	2.6837065	0.9722919	6.1288786	1.4926598	0.0	0.0
8	500.0	0.8124359	0.3661387	1.8389478	0.039703973	144000	0.0	0.28805333	-0.0052083274	-0.082888275	1.3564423	0.00501226	0.0581875	127.0	360.5081810951233	3.036381	2.8299646	17.06426	0.506453	0.0	0.0
9	500.0	0.9382041	0.5651066	2.6771317	-0.71753407	160000	-3.3527613e-08	0.5330064	-0.0073863505	-0.15757138	1.3564423	0.008314921	0.081125006	127.0	393.7090632915497	4.513834	3.6187048	14.015465	1.3556876	0.0	0.0
10	500.0	1.3539563	0.8732948	4.4748487	-0.64934593	176000	7.450581e-09	0.4345666	-0.0067846254	-0.063147224	1.3564423	0.0049821683	0.0651875	127.0	426.0524663925171	4.8488097	3.8088284	15.871983	1.3384587	0.0	0.0
11	500.0	1.3571025	0.93434364	4.200208	-0.80420786	192000	1.4901161e-08	0.4797808	-0.0057910755	-0.13271531	1.3564423	0.007090834	0.069437504	127.0	460.2015492916107	5.7668343	4.3863306	17.944788	1.5667441	0.0	0.0
12	500.0	2.172211	1.5290291	6.088477	-1.0242026	208000	2.2351742e-08	0.7079346	-0.0076864497	-0.22295138	1.3564423	0.00651713	0.0643125	127.0	496.7425253391266	7.1787977	5.696929	20.615803	1.706168	0.0	0.0
13	500.0	2.7048633	1.5048033	6.755653	-1.0436547	224000	-3.7252903e-09	0.60206753	-0.008670783	-0.1234489	1.3564423	0.0070642876	0.071687505	127.0	534.3717017173767	8.960133	4.8381658	20.852345	2.361004	0.0	0.0
14	500.0	2.9698431	1.6520834	6.452362	-1.1103991	240000	4.4703484e-08	1.041225	-0.008182276	-0.36516815	1.3564423	0.007940417	0.06774999	127.0	571.5126650333405	9.922573	6.008587	23.695744	1.0472732	0.0	0.0
15	500.0	2.8467548	1.423576	6.036438	-0.8353507	256000	-1.6298145e-08	0.8113152	-0.0074349935	-0.3798033	1.3564423	0.0054663965	0.052	127.0	606.1044149398804	8.043426	4.470843	17.096277	2.7727935	0.0	0.0
16	500.0	2.7017465	1.3265169	5.7506785	-0.6489364	272000	-5.5879354e-09	0.72186565	-0.007884635	-0.11177317	1.3564423	0.007046506	0.0635	127.0	641.9559805393219	9.9728155	4.7853217	21.777843	1.3785342	0.0	0.0
17	500.0	3.1058245	1.3249509	5.456232	-0.70772684	288000	-1.8626451e-09	1.177093	-0.0075679533	-0.38726702	1.3564423	0.0059037236	0.07125001	127.0	677.2960288524628	13.831905	5.846337	23.82252	2.4694128	0.0	0.0
18	500.0	3.5896826	1.5196147	6.3239017	-0.97738034	304000	-9.313226e-10	1.0496137	-0.007034559	-0.28545845	1.3564423	0.007738611	0.054125	127.0	712.2905786037445	16.712437	4.5648856	24.250149	8.356585	0.0	0.0
19	500.0	4.341768	1.6516975	7.454891	-1.2085156	320000	1.4901161e-08	1.1672862	-0.0058770753	-0.28866822	1.3564423	0.0036869051	0.0409375	127.0	745.8662650585175	18.501549	6.8251023	29.067455	6.4968743	0.0	0.0
20	500.0	4.529408	2.0324206	8.901071	-1.4202983	336000	-7.450581e-09	7.5269413	-0.006584281	-2.0915725	1.3564423	0.005717417	0.0605625	127.0	780.4839613437653	20.427319	12.999226	86.57763	1.6153677	0.0	0.0
21	500.0	4.959495	2.5093923	10.967542	-1.7074511	352000	3.259629e-09	1.0934038	-0.0069547147	-0.32713604	1.3564423	0.005703996	0.0535625	127.0	828.2598900794983	20.474178	5.661306	29.758038	8.458629	0.0	0.0
22	500.0	5.7389774	2.3966868	10.557986	-1.5439487	368000	1.0244548e-08	2.0540924	-0.007092485	-0.87025136	1.3564423	0.006209044	0.051499996	127.0	899.4941802024841	20.555984	5.1844883	29.206848	3.720659	0.0	0.0
23	500.0	5.0906982	2.4433448	9.851833	-1.0801312	384000	-7.450581e-09	1.2625228	-0.00842041	-0.41997397	1.3564423	0.007770525	0.07875	127.0	959.5605144500732	20.884174	7.9403825	30.827232	2.3235981	0.0	0.0
24	500.0	5.6887956	2.5038106	9.592336	-0.90800965	400000	-1.8626451e-08	1.8634491	-0.00675675	-0.9316092	1.3564423	0.005807337	0.060875	127.0	998.4548857212067	21.903355	7.587255	32.173405	1.2039335	0.0	0.0
