Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.002611133	0.030332383	0.09228621	-0.056391142	16000	1.1175871e-08	0.00075385615	-0.0075085424	-0.0006564888	1.3564423	0.0065859146	0.072312504	127.0	35.94017744064331	0.037334822	0.024900513	0.12199283	0.008286456	0.0	0.0
1	500.0	0.010827937	0.0056512784	0.032155234	-0.0112927	32000	-5.5879354e-09	5.6079698e-05	-0.009633946	-3.2880886e-05	1.3564423	0.005756697	0.083312504	127.0	70.76790308952332	0.05346459	0.030954659	0.123953186	0.011567905	0.0	0.0
2	500.0	0.01460663	0.005596848	0.034212336	-0.0013027713	48000	3.7252903e-09	0.0002602134	-0.00952829	-0.00016026855	1.3564423	0.007408005	0.095750004	127.0	123.44242787361145	0.10659724	0.087411635	0.35496363	0.017133895	0.0	0.0
3	500.0	0.03525292	0.01594	0.085261956	-0.00679115	64000	-1.4901161e-08	0.002902315	-0.008279316	-0.0017037236	1.3564423	0.010077016	0.100187495	127.0	171.09878659248352	0.29976368	0.2573156	1.045193	0.012765926	0.0	0.0
4	500.0	0.098988034	0.04151987	0.21472216	-0.01836934	80000	-2.2351742e-08	0.008368017	-0.009820998	-0.0051355422	1.3564423	0.007632711	0.10525	127.0	205.62609338760376	0.6278626	0.38034618	1.5665833	0.09372306	0.0	0.0
5	500.0	0.19669625	0.095595025	0.53421795	-0.106496334	96000	-3.7252903e-08	0.043649074	-0.008107015	-0.024740664	1.3564423	0.00809552	0.1061875	127.0	242.9878284931183	1.2693396	0.85421914	4.993765	0.39410472	0.0	0.0
6	500.0	0.48489475	0.25064364	1.0426515	-0.19310632	112000	5.5879354e-09	0.36558783	-0.006195837	-0.19187298	1.3564423	0.004822311	0.06937501	127.0	279.08537316322327	3.5465841	2.0608337	9.837112	1.0760304	0.0	0.0
7	500.0	0.93222886	0.51660043	2.198201	-0.24603948	128000	1.8626451e-08	0.37676537	-0.007131936	-0.17960088	1.3564423	0.008408875	0.1045625	127.0	315.184454202652	4.699256	2.3651803	10.2200775	0.3759236	0.0	0.0
8	500.0	1.4987527	0.80963606	3.5121956	-0.12588991	144000	7.450581e-09	0.9834542	-0.006685544	-0.42366648	1.3564423	0.005844978	0.0735	127.0	349.0723853111267	7.531653	3.8965058	15.03847	1.4095365	0.0	0.0
9	500.0	2.3927202	1.3953097	5.0143423	-0.7343773	160000	-1.4901161e-08	0.97470176	-0.0075188424	-0.18598849	1.3564423	0.0071490128	0.06937499	127.0	382.21410036087036	9.5598545	3.9576051	20.90783	2.801098	0.0	0.0
