Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0035413674	0.030297495	0.095090404	-0.05553817	16000	9.313226e-09	0.0007277269	-0.007996563	-0.00064171024	1.3564423	0.0066113803	0.0761875	127.0	37.388205766677856	0.03210789	0.02276603	0.12199283	0.008286456	0.0	0.0
1	500.0	0.010057012	0.0059820064	0.034761146	-0.012614375	32000	-1.8626451e-09	5.5290195e-05	-0.009619955	-3.5445413e-05	1.3564423	0.005436293	0.0833125	127.0	70.94598603248596	0.049467254	0.029482855	0.12524423	0.014569642	0.0	0.0
2	500.0	0.014163163	0.006304996	0.03672324	-0.0017763153	48000	-1.4901161e-08	0.00035525567	-0.009215159	-0.00022855029	1.3564423	0.0069932532	0.0915	127.0	120.37838292121887	0.11595631	0.10142301	0.38017854	0.012832239	0.0	0.0
3	500.0	0.03510384	0.017806623	0.0916037	-0.004722655	64000	7.450581e-09	0.0020272154	-0.008895753	-0.0011263454	1.3564423	0.010555062	0.11025	127.0	168.58106017112732	0.2590874	0.22839573	1.0347176	0.007864717	0.0	0.0
4	500.0	0.09706589	0.03963991	0.2114159	0.008276897	80000	-2.9802322e-08	0.007671899	-0.010428647	-0.004645705	1.3564423	0.00846509	0.121437505	127.0	201.43190169334412	0.5550991	0.39860222	1.7167883	0.108580805	0.0	0.0
5	500.0	0.18564661	0.098768905	0.53124976	-0.13530695	96000	5.5879354e-09	0.024155898	-0.008508385	-0.0124675	1.3564423	0.0094370805	0.12137501	127.0	238.52722191810608	1.0956881	0.6181415	3.3260782	0.37149045	0.0	0.0
6	500.0	0.32716602	0.15628777	0.62915266	-0.16865827	112000	-1.8626451e-08	0.039741326	-0.0099228695	-0.021565512	1.3564423	0.0064189075	0.0969375	127.0	272.4636912345886	1.8930466	0.7592389	3.6329303	0.38707075	0.0	0.0
7	500.0	0.53654873	0.2226191	1.1694694	-0.12447774	128000	3.7252903e-09	0.054412454	-0.008038279	-0.02860057	1.3564423	0.007419049	0.093875006	127.0	307.6536388397217	2.564611	1.0835235	6.405664	0.8217997	0.0	0.0
8	500.0	0.8044635	0.3978485	1.88582	0.011955919	144000	-2.2351742e-08	0.22115473	-0.0063112285	-0.061852254	1.3564423	0.0050061564	0.069562495	127.0	343.0215277671814	2.8559668	2.5584064	15.48456	0.53052866	0.0	0.0
9	500.0	0.86717236	0.49439067	2.2319157	-0.67590654	160000	-3.7252903e-09	0.5013369	-0.0069912807	-0.1460019	1.3564423	0.007901816	0.0791875	127.0	377.82289028167725	3.974412	3.5687704	16.260635	1.0435237	0.0	0.0
10	500.0	1.2186165	0.86932015	4.1200957	-0.71426845	176000	7.450581e-09	0.33716142	-0.007092161	-0.042771302	1.3564423	0.0061522634	0.068375	127.0	427.2980749607086	4.517502	3.3774128	15.406701	0.95879304	0.0	0.0
11	500.0	1.2348454	0.768461	3.698256	-0.70051336	192000	9.313226e-09	0.33734995	-0.0074698403	-0.0429947	1.3564423	0.007891612	0.0854375	127.0	478.10436630249023	4.879394	3.0979192	17.44716	1.7492806	0.0	0.0
12	500.0	1.7448907	1.1250305	4.800772	-0.6381686	208000	2.7939677e-08	0.48888335	-0.0064758505	-0.10358744	1.3564423	0.006361331	0.059	127.0	530.90176820755	6.037068	4.59208	16.188843	1.5328425	0.0	0.0
13	500.0	2.2187002	1.1692158	5.227756	-0.8077918	224000	3.7252903e-09	0.54103124	-0.008553138	-0.0839726	1.3564423	0.006260687	0.068875	127.0	583.4478769302368	8.24238	4.910038	19.054089	2.4914095	0.0	0.0
14	500.0	2.659	1.5179898	5.7605357	-1.2796024	240000	7.450581e-09	0.8789969	-0.007769814	-0.30916384	1.3564423	0.007030252	0.058875	127.0	621.6546678543091	10.023002	6.144059	24.45132	1.5386947	0.0	0.0
15	500.0	2.541644	1.391695	5.602481	-1.1935285	256000	-1.8626451e-08	0.7070905	-0.006417998	-0.30324656	1.3564423	0.0052006785	0.044875003	127.0	658.1570672988892	7.5056763	4.3923893	17.138805	2.5460918	0.0	0.0
16	500.0	2.4877698	1.295044	5.0741725	-0.8336497	272000	3.7252903e-09	0.5652718	-0.009425546	-0.120213345	1.3564423	0.007296312	0.081125	127.0	695.4591546058655	10.485975	4.81619	22.879925	3.5481732	0.0	0.0
17	500.0	3.0615752	1.3129488	5.743723	-0.7619864	288000	1.8626451e-09	0.9463732	-0.008445548	-0.23060957	1.3564423	0.0073062778	0.078875	127.0	731.7421956062317	14.19187	5.9377346	23.808342	1.0455596	0.0	0.0
18	500.0	3.5298157	1.4002168	7.126247	-1.2196076	304000	0.0	4.0223327	-0.0062964037	-1.1006386	1.3564423	0.0039112885	0.03325	127.0	771.1206119060516	19.118126	9.1914215	63.650703	8.095543	0.0	0.0
19	500.0	4.4692903	1.6926686	7.397189	-1.4437068	320000	-1.8626451e-09	1.1452583	-0.007557717	-0.27804473	1.3564423	0.0046900446	0.0625625	127.0	808.7812683582306	19.444603	6.6591263	27.51818	6.504365	0.0	0.0
20	500.0	4.5239396	1.8475927	8.335538	-1.2325981	336000	1.1175871e-08	3.5115843	-0.005912857	-0.84458685	1.3564423	0.0048603527	0.0456875	127.0	845.7868945598602	20.476437	9.819445	67.0839	9.61266	0.0	0.0
21	500.0	4.7402716	2.072332	9.576768	-1.0176413	352000	-1.4901161e-08	9.019203	-0.0059315185	-3.1303368	1.3564423	0.0041223466	0.03775	127.0	884.0580174922943	20.433428	16.735651	99.3422	2.205063	0.0	0.0
22	500.0	5.9357443	2.558399	11.762237	-3.163701	368000	5.5879354e-09	1.3467469	-0.008880155	-0.6563037	1.3564423	0.007541359	0.07275	127.0	944.2173373699188	21.097883	7.7764354	31.847002	5.650337	0.0	0.0
23	500.0	5.470816	2.9340754	11.216113	-1.8588645	384000	3.7252903e-09	1.3210986	-0.009008415	-0.5220723	1.3564423	0.0078941835	0.0715625	127.0	1000.880245923996	20.558271	8.103557	33.350033	1.3338507	0.0	0.0
24	500.0	6.154074	2.5896282	11.550494	-0.90724254	400000	9.313226e-09	5.4486594	-0.006658175	-0.80815387	1.3564423	0.0079693515	0.079624996	127.0	1052.2095410823822	25.05834	11.506666	79.177414	10.3677025	0.0	0.0
25	500.0	6.81949	2.8300922	13.495296	-0.4332097	416000	7.450581e-09	9.959247	-0.0072913356	-2.1239305	1.3564423	0.0067823837	0.057187498	127.0	1086.848545074463	25.557594	17.55927	75.752144	0.718502	0.0	0.0
26	500.0	6.2289863	2.8040597	15.326813	-1.0028385	432000	-3.7252903e-08	3.3813262	-0.008730808	-1.5108689	1.3564423	0.0072064595	0.0651875	127.0	1142.1348435878754	20.581745	9.07794	31.56509	0.64188063	0.0	0.0
27	500.0	6.2552404	3.0180686	14.525597	-0.40270776	448000	-1.4901161e-08	9.393266	-0.006743053	-1.2452137	1.3564423	0.006901671	0.054312497	127.0	1197.7822315692902	23.043571	16.914345	105.10719	0.944278	0.0	0.0
