Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.109649524	0.022610053	0.19439451	0.06729123	16000	4.4703484e-08	0.0065180957	-0.0068330443	-0.004398469	1.3564423	0.0056622205	0.046437502	127.0	32.51996850967407	0.20705639	0.2096483	0.84174216	0.026069628	0.0	0.0
1	500.0	0.062157355	0.01922013	0.105808854	0.023822783	32000	2.6077032e-08	0.010315409	-0.007512631	-0.0054253023	1.3564423	0.0061524073	0.065625	127.0	63.30733513832092	0.64451236	0.42663062	1.5432467	0.039487235	0.0	0.0
2	500.0	0.1414062	0.031156115	0.21840182	0.029559145	48000	-2.2351742e-08	0.0237766	-0.0076858406	-0.009677458	1.3564423	0.005452909	0.0728125	127.0	96.2719509601593	1.1304289	0.709632	3.4618413	0.15752672	0.0	0.0
3	500.0	0.25321898	0.043475147	0.3623763	0.09206535	64000	-7.450581e-09	0.25686032	-0.005462923	-0.10459245	1.3564423	0.006183896	0.0669375	127.0	126.03256845474243	2.004156	2.1730914	10.105861	0.275117	0.0	0.0
4	500.0	0.38270202	0.13820025	1.0271181	-0.009077428	80000	1.8626451e-08	0.018192368	-0.011939436	-0.009115545	1.3564423	0.006223121	0.1021875	127.0	157.3479826450348	1.3754967	0.53615665	2.595174	0.5341465	0.0	0.0
5	500.0	0.44474655	0.21933554	1.2440109	0.08959233	96000	-1.1175871e-08	0.567658	-0.0044664186	-0.2539256	1.3564423	0.0063141743	0.066375	127.0	189.03315782546997	2.6828609	3.6135743	20.34393	0.34942895	0.0	0.0
6	500.0	0.8936289	0.7914867	3.167149	-0.18533894	112000	-7.450581e-09	1.2238507	-0.005423008	-0.30886543	1.3564423	0.005621122	0.0744375	127.0	225.12207078933716	4.6946	6.154621	29.946497	0.5706858	0.0	0.0
7	500.0	1.3321044	1.3776574	5.672236	-0.7809409	128000	-3.3527613e-08	1.2564344	-0.006539963	-0.5675728	1.3564423	0.00714439	0.079624996	127.0	260.49908924102783	6.3204365	7.6480494	23.245602	0.5949996	0.0	0.0
8	500.0	1.2806098	1.7846743	7.471482	-1.1098595	144000	7.450581e-09	0.82300127	-0.006494018	-0.075068004	1.3564423	0.0054483516	0.0509375	127.0	318.49496150016785	4.262871	6.4691186	26.649555	0.7393429	0.0	0.0
9	500.0	1.7052889	2.0299048	7.4295797	-0.6420466	160000	-1.1175871e-08	1.1979089	-0.0060697985	-0.17179042	1.3564423	0.0064413156	0.050437503	127.0	372.27097153663635	6.697231	8.200276	25.57572	0.52766424	0.0	0.0
10	500.0	2.8326797	2.5394678	7.9047394	-0.83390933	176000	-7.450581e-09	6.1498876	-0.0073319096	-0.3850295	1.3564423	0.0059819873	0.080875	127.0	423.3472969532013	10.635379	14.11474	76.44605	0.8066183	0.0	0.0
11	500.0	2.9518213	2.8635354	8.408066	-1.3404326	192000	7.450581e-09	2.04609	-0.0087795295	-0.26945394	1.3564423	0.007101323	0.069562495	127.0	455.36213278770447	10.048538	10.378022	36.01108	0.65088034	0.0	0.0
12	500.0	4.094146	2.6553829	7.708657	-1.5031521	208000	-1.3038516e-08	3.6438751	-0.00765488	-0.7581284	1.3564423	0.0067030983	0.065937504	127.0	503.70701813697815	13.179057	8.7708435	38.038773	0.46615908	0.0	0.0
13	500.0	4.55393	1.7555726	7.0511494	-0.46177348	224000	0.0	10.430755	-0.0061891973	-0.78988534	1.3564423	0.0073995944	0.06925	127.0	562.7751030921936	21.400368	13.372507	60.04306	1.9718179	0.0	0.0
14	500.0	5.436914	1.7826505	7.703829	-0.42124286	240000	1.1175871e-08	4.9936023	-0.007828518	-1.1873382	1.3564423	0.0049550747	0.057125002	127.0	593.9363086223602	19.813866	6.8555903	35.392017	9.755516	0.0	0.0
15	500.0	4.6471553	1.2017925	6.787998	0.38840505	256000	2.2351742e-08	2.948994	-0.007970019	-0.40322065	1.3564423	0.006228967	0.069375	127.0	624.5498359203339	20.15525	6.00821	30.513693	1.3482537	0.0	0.0
16	500.0	4.8291807	1.2347167	6.63361	0.4303132	272000	-3.7252903e-09	5.734814	-0.0072085094	-0.60619366	1.3564423	0.006176268	0.0625625	127.0	661.3548500537872	21.749453	8.588897	55.50739	11.194504	0.0	0.0
17	500.0	4.7331796	1.3525889	6.777548	0.8020493	288000	-7.450581e-09	26.971685	-0.005273101	-5.52844	1.3564423	0.0064212084	0.0494375	127.0	692.8008155822754	29.98528	24.710812	122.88185	0.72271246	0.0	0.0
18	500.0	6.472471	2.0426192	9.314379	0.37761834	304000	1.4901161e-08	16.860867	-0.007855607	-1.1724313	1.3564423	0.0072447364	0.073625	127.0	725.5503227710724	30.777683	19.869337	116.00837	12.593236	0.0	0.0
19	500.0	6.3720136	2.189508	10.422826	0.70758486	320000	1.8626451e-08	4.058153	-0.009023374	-1.345267	1.3564423	0.0053653815	0.06225	127.0	758.5143020153046	26.877096	6.635698	42.056858	11.89616	0.0	0.0
20	500.0	6.060041	1.783303	9.928333	1.0275077	336000	-3.7252903e-09	3.2924519	-0.009217104	-0.60145384	1.3564423	0.007333284	0.0703125	127.0	791.1343941688538	27.972977	8.528034	46.126606	15.201281	0.0	0.0
21	500.0	5.905669	1.8277009	9.171768	1.7964072	352000	-1.4901161e-08	13.020796	-0.0062670503	-1.6695923	1.3564423	0.0065969666	0.08625	127.0	826.4384679794312	31.324753	18.036493	116.57944	11.097805	0.0	0.0
22	500.0	6.9981933	2.2160215	10.233485	1.4635144	368000	7.450581e-09	2.5425916	-0.010011734	-0.49892864	1.3564423	0.005701516	0.0755	127.0	856.4245262145996	35.14229	7.8241315	53.061146	23.525944	0.0	0.0
23	500.0	7.6063914	2.23926	10.639522	1.915628	384000	1.1175871e-08	4.428855	-0.0089806495	-0.7073924	1.3564423	0.00859635	0.080875	127.0	894.9792003631592	36.49719	11.220294	73.62927	7.2574735	0.0	0.0
24	500.0	8.430153	2.1476266	11.04487	1.7095965	400000	2.2351742e-08	14.2995615	-0.0069285347	-1.1854134	1.3564423	0.005795618	0.0681875	127.0	931.7240550518036	37.434612	18.325005	127.39461	20.46407	0.0	0.0
25	500.0	8.51816	2.0297139	11.197983	2.0905774	416000	-1.4901161e-08	14.555152	-0.00674719	-1.548895	1.3564423	0.007938443	0.0744375	127.0	963.3047971725464	40.789856	20.477026	142.12218	17.461151	0.0	0.0
26	500.0	8.66771	2.343063	11.943778	2.3632839	432000	3.7252903e-09	19.409588	-0.008121422	-4.4344134	1.3564423	0.007009823	0.0693125	127.0	1000.5801055431366	37.09896	20.014975	111.44436	14.7977705	0.0	0.0
27	500.0	7.860175	2.015913	12.0978775	1.602771	448000	2.6077032e-08	3.946685	-0.009031147	-1.5636401	1.3564423	0.008009328	0.075187504	127.0	1033.5326232910156	34.003853	8.308238	49.353413	18.829605	0.0	0.0
28	500.0	7.830052	1.9430373	11.671405	2.5994332	464000	-1.3038516e-08	5.907888	-0.007624097	-1.4619563	1.3564423	0.005860122	0.0789375	127.0	1065.2670812606812	38.49923	11.394492	68.21847	16.315714	0.0	0.0
29	500.0	8.718336	1.9850339	12.269071	3.0902941	480000	7.450581e-09	5.5291104	-0.007151165	-1.0105875	1.3564423	0.0067798262	0.062437497	127.0	1098.7737183570862	36.454025	10.220771	67.47854	21.012768	0.0	0.0
30	500.0	8.333418	1.8777349	11.9879055	2.2827785	496000	-7.450581e-09	12.559511	-0.008899095	-1.7484614	1.3564423	0.0075431643	0.0935	127.0	1131.5341856479645	39.43287	18.560118	130.58632	17.995232	0.0	0.0
31	500.0	8.455763	2.0928574	12.687561	1.8746742	512000	-7.450581e-09	5.7399426	-0.008630699	-0.8138157	1.3564423	0.008798243	0.081687495	127.0	1167.0718295574188	39.34362	10.770625	72.742645	21.539322	0.0	0.0
