Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10761003	0.023565583	0.19168766	0.06550497	16000	0.0	0.005872788	-0.006696755	-0.003924319	1.3564423	0.005887746	0.042375	127.0	33.97874736785889	0.23217636	0.21045023	0.80254114	0.025179256	0.0	0.0
1	500.0	0.06294533	0.01631139	0.11492776	0.026796825	32000	-2.2351742e-08	0.007953734	-0.007230554	-0.0037970406	1.3564423	0.006969028	0.0678125	127.0	70.06850075721741	0.58778477	0.42838672	1.8759727	0.039527938	0.0	0.0
2	500.0	0.13369162	0.02560069	0.20723557	0.034825087	48000	7.450581e-09	0.009737896	-0.008626632	-0.004583734	1.3564423	0.0059932917	0.076749995	127.0	102.30342864990234	0.9526435	0.512851	2.0472257	0.13946703	0.0	0.0
3	500.0	0.24171308	0.050612222	0.37253085	0.07158878	64000	2.9802322e-08	0.07304226	-0.006705161	-0.030114207	1.3564423	0.0061726924	0.0705	127.0	133.1731984615326	1.9417666	1.0956242	5.1892037	0.62994033	0.0	0.0
4	500.0	0.45838842	0.09843725	0.74552065	0.11482868	80000	-2.2351742e-08	0.43036383	-0.0055868058	-0.20406914	1.3564423	0.005125958	0.0513125	127.0	165.54557514190674	3.6623368	2.2338617	8.546859	0.70819616	0.0	0.0
5	500.0	0.8560622	0.3387341	1.7105882	-0.06428196	96000	1.6763806e-08	0.6593505	-0.007031518	-0.2855658	1.3564423	0.0068211546	0.0713125	127.0	200.24483227729797	5.4039583	2.8752887	14.470362	1.6779572	0.0	0.0
6	500.0	1.5070852	0.70905614	3.063371	-0.03168216	112000	1.4901161e-08	4.352106	-0.005477898	-2.1014926	1.3564423	0.0056357933	0.052375	127.0	236.0662522315979	11.193645	7.4668627	24.814669	1.2122369	0.0	0.0
7	500.0	2.7014072	1.5582429	5.891487	-0.5512775	128000	1.3038516e-08	3.093845	-0.006951206	-1.5106978	1.3564423	0.0070688985	0.0695	127.0	266.6646614074707	14.737124	5.6730094	25.169674	2.1780279	0.0	0.0
8	500.0	4.2814107	2.222556	7.339109	-0.7605158	144000	-3.7252903e-08	3.939224	-0.0076467185	-0.5966274	1.3564423	0.004806934	0.0670625	127.0	300.81721329689026	18.808239	7.4138556	36.68756	4.422634	0.0	0.0
9	500.0	5.2093253	2.3720024	8.008426	-0.6518348	160000	-1.1175871e-08	3.8923774	-0.009088419	-0.15668622	1.3564423	0.008581749	0.0813125	127.0	330.8083293437958	20.940435	8.649795	44.157074	5.4491434	0.0	0.0
10	500.0	5.750751	2.4389925	8.3358965	-0.3806059	176000	7.450581e-09	3.991396	-0.007970549	-0.38574433	1.3564423	0.006682358	0.07425	127.0	369.44381737709045	24.925095	7.466211	44.42315	14.600795	0.0	0.0
11	500.0	6.8609934	2.1482344	8.63242	-0.27506167	192000	1.4901161e-08	5.3340745	-0.008552627	-0.5372406	1.3564423	0.0079753855	0.063062504	127.0	405.4629719257355	26.908377	8.985355	42.721184	5.2088404	0.0	0.0
12	499.4375	6.600585	1.7975043	8.125237	0.49600935	208000	2.6077032e-08	9.272949	-0.0093291085	-0.88637376	1.3564423	0.0068689883	0.0691875	127.0	438.5787031650543	32.11874	13.38581	77.4405	13.69551	0.0	0.0
13	500.0	7.4962096	1.9880301	9.046674	0.37809175	224000	7.450581e-09	6.594242	-0.0068914383	-0.27138662	1.3564423	0.008562148	0.06425	127.0	471.8363742828369	30.00998	10.6345215	69.07698	14.625045	0.0	0.0
14	500.0	7.353166	1.8347911	8.866759	0.4306383	240000	1.4901161e-08	6.695342	-0.007917113	-1.3336186	1.3564423	0.005752238	0.0563125	127.0	506.2863566875458	26.47121	10.003974	51.68314	15.238671	0.0	0.0
15	500.0	6.56838	1.3607326	8.014153	0.95205986	256000	-1.8626451e-08	7.4528074	-0.00844582	-1.4117895	1.3564423	0.0079232445	0.0744375	127.0	537.6001100540161	32.78456	11.921146	53.55703	3.688277	0.0	0.0
16	500.0	7.457297	1.8285598	9.132826	0.12640259	272000	-1.4901161e-08	6.0717216	-0.0074536973	-0.6928977	1.3564423	0.0054664067	0.060250003	127.0	593.3671143054962	35.453533	11.793521	54.254124	2.6422265	0.0	0.0
17	500.0	8.367713	1.9769291	9.86153	0.23562045	288000	-2.9802322e-08	15.45295	-0.007392805	-1.4881837	1.3564423	0.0066652447	0.057624996	127.0	638.9481194019318	41.24755	18.09999	103.38077	19.10767	0.0	0.0
18	500.0	9.277467	2.020053	10.573173	1.494237	304000	1.0244548e-08	4.243272	-0.00873231	-0.43559852	1.3564423	0.008116983	0.0749375	127.0	673.410120010376	40.750748	10.054968	57.6933	16.224632	0.0	0.0
19	500.0	9.752517	2.0026298	10.978915	2.0105467	320000	-7.450581e-09	8.122799	-0.00857495	-0.28587407	1.3564423	0.0059857117	0.067625	127.0	709.9960012435913	41.041435	13.486147	80.92393	15.75797	0.0	0.0
20	500.0	9.515068	1.8575072	10.8337755	2.5248823	336000	-3.7252903e-08	20.169811	-0.007496548	-2.321774	1.3564423	0.0062352344	0.057312503	127.0	746.9492018222809	47.557663	20.006193	119.26072	22.117193	0.0	0.0
21	500.0	10.720508	1.8052925	11.658543	2.630456	352000	1.3038516e-08	14.957731	-0.0074198153	-0.39079577	1.3564423	0.006393631	0.064875	127.0	778.6180086135864	44.40666	17.32799	98.487885	23.769833	0.0	0.0
22	500.0	10.079934	1.7757531	11.165021	3.1446712	368000	-1.4901161e-08	12.99595	-0.008029699	-0.15564895	1.3564423	0.007760792	0.079812504	127.0	815.0751149654388	42.79214	16.674368	106.71084	21.68691	0.0	0.0
23	500.0	9.934289	1.893226	11.115471	1.4880568	384000	1.8626451e-09	13.500191	-0.0069800597	-2.5593705	1.3564423	0.006536464	0.065437496	127.0	852.6680376529694	44.804207	17.642656	88.09063	6.402798	0.0	0.0
24	500.0	10.457725	2.4944403	12.142962	1.0991764	400000	-2.2351742e-08	15.5127735	-0.0074475426	-1.4009416	1.3564423	0.006484531	0.062	127.0	886.4144909381866	50.703808	17.128984	108.271164	28.797262	0.0	0.0
25	500.0	11.359196	2.1629496	12.643849	3.5329847	416000	2.9802322e-08	15.614125	-0.00808211	-1.1984861	1.3564423	0.0089885825	0.0890625	127.0	918.7592628002167	46.172028	20.210752	103.75984	3.247449	0.0	0.0
26	500.0	11.210569	2.2993538	12.558945	2.527193	432000	7.450581e-09	7.602029	-0.0073565133	-2.5488303	1.3564423	0.0074515827	0.07125	127.0	952.4946618080139	41.628265	10.033431	68.16785	22.512674	0.0	0.0
27	500.0	9.663553	1.6236049	10.889151	3.8369036	448000	2.2351742e-08	15.856581	-0.007176387	-0.40042192	1.3564423	0.005523082	0.06775	127.0	983.3287410736084	43.13497	19.759254	118.59738	3.1277268	0.0	0.0
28	500.0	9.841504	1.7506032	10.965209	1.3120553	464000	2.6077032e-08	6.4442654	-0.0077600987	-0.747501	1.3564423	0.0067147515	0.065875	127.0	1019.0267262458801	47.71444	12.0080385	86.312	21.429996	0.0	0.0
29	500.0	10.15584	2.156029	11.554596	0.6972234	480000	4.656613e-09	21.907871	-0.00792994	-1.5331887	1.3564423	0.0075981645	0.0748125	127.0	1053.9634869098663	47.649193	23.562412	102.00964	3.3419647	0.0	0.0
30	500.0	11.288345	2.2180228	12.464412	-0.46199834	496000	-7.450581e-09	8.934204	-0.007798331	-1.0445483	1.3564423	0.006796968	0.0715	127.0	1086.153161764145	45.492645	13.254845	92.79063	21.690454	0.0	0.0
31	500.0	10.563461	1.802335	11.530604	2.512822	512000	7.450581e-09	19.141424	-0.0067246538	-0.13789815	1.3564423	0.005305257	0.056250002	127.0	1123.361872434616	47.30124	21.171774	116.93156	25.661135	0.0	0.0
