Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.1075121	0.022743175	0.19168766	0.06550497	16000	0.0	0.0062990566	-0.0067617553	-0.00418326	1.3564423	0.0056872666	0.047	127.0	35.229729413986206	0.20860691	0.21092603	0.8455045	0.026196342	0.0	0.0
1	500.0	0.06206793	0.019131724	0.1061863	0.023961768	32000	2.2351742e-08	0.010698796	-0.00764102	-0.005675642	1.3564423	0.0061423015	0.06575	127.0	63.68651604652405	0.6555304	0.4345582	1.5522062	0.040103417	0.0	0.0
2	500.0	0.14421442	0.03158808	0.22220331	0.032856494	48000	-2.2351742e-08	0.026639186	-0.0074918624	-0.010990505	1.3564423	0.0055195657	0.07175	127.0	93.60523843765259	1.1649975	0.7408347	3.5280566	0.1599899	0.0	0.0
3	500.0	0.25840735	0.045230288	0.37165624	0.09029281	64000	7.450581e-09	0.25747815	-0.0053087594	-0.10797022	1.3564423	0.006187112	0.066375	127.0	123.82065558433533	2.0242567	2.1897821	9.85658	0.2988141	0.0	0.0
4	500.0	0.37538457	0.12913483	1.0068953	-0.012190102	80000	1.8626451e-09	0.017911457	-0.012597828	-0.0094581535	1.3564423	0.006568213	0.109	127.0	158.34985208511353	1.3533852	0.5304814	2.598563	0.52266073	0.0	0.0
5	500.0	0.48206204	0.25225025	1.3261235	0.083032586	96000	-1.6763806e-08	0.99408627	-0.005147019	-0.49606407	1.3564423	0.0057981587	0.060312502	127.0	191.43676829338074	3.349572	4.549628	19.602566	0.34481966	0.0	0.0
6	500.0	0.87746644	0.8025347	4.0915823	-0.4493287	112000	3.7252903e-09	0.7393373	-0.006944739	-0.18886276	1.3564423	0.0062943585	0.0834375	127.0	221.09805464744568	4.0949936	5.177707	22.876526	0.59952384	0.0	0.0
7	500.0	1.325813	1.2833041	5.2815676	-0.7932243	128000	-1.8626451e-08	1.2920177	-0.0063307914	-0.6914507	1.3564423	0.007495906	0.0814375	127.0	253.89792799949646	6.053726	7.730018	24.794388	0.6003515	0.0	0.0
8	500.0	1.6626955	2.1244106	7.7717056	-1.2312531	144000	5.5879354e-09	1.1436288	-0.006475293	-0.13813882	1.3564423	0.0058601117	0.057125	127.0	287.23861265182495	5.6232786	7.2086473	24.455082	0.77431524	0.0	0.0
9	500.0	1.833414	2.0986667	7.6563435	-0.68874985	160000	7.450581e-09	0.90472716	-0.0076302616	-0.090127155	1.3564423	0.006570162	0.0629375	127.0	320.77155566215515	6.3760543	8.39416	30.713896	0.63403684	0.0	0.0
