Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.22084774	0.031160746	0.2853775	0.14859	16000	4.284084e-08	0.021210443	-0.0055258097	-0.017306298	1.3564423	0.006051207	0.04925	127.0	35.151352405548096	0.3682971	0.22384162	1.0944108	0.057081923	0.0	0.0
1	500.0	0.0962771	0.010295636	0.12692007	0.059479803	32000	1.1175871e-08	0.025156392	-0.005616145	-0.010468721	1.3564423	0.0063977847	0.052375004	127.0	68.72336554527283	0.92373884	0.6725289	3.0757794	0.04748969	0.0	0.0
2	500.0	0.17097172	0.05298209	0.30483556	-0.007934647	48000	-1.4901161e-08	0.043617964	-0.008818621	-0.014318962	1.3564423	0.0068806694	0.089875	127.0	101.48845338821411	1.5263243	0.96589	4.4931593	0.36021805	0.0	0.0
3	500.0	0.35219538	0.07864671	0.57651526	0.103801936	64000	-2.9802322e-08	0.26867172	-0.006434042	-0.09267523	1.3564423	0.005484173	0.06075	127.0	137.2755205631256	3.0579553	2.3432918	10.408743	0.7257305	0.0	0.0
4	500.0	0.68719286	0.13690145	1.0615202	0.1477322	80000	-4.4703484e-08	2.198167	-0.0065248143	-0.9346347	1.3564423	0.0064646704	0.059875	127.0	174.7252311706543	7.2993355	6.292275	23.210604	0.47686583	0.0	0.0
5	500.0	1.5928093	0.30171	2.4452264	0.434082	96000	2.2351742e-08	2.4286573	-0.0067051807	-0.9768406	1.3564423	0.0056967353	0.0575	127.0	208.85804629325867	10.392946	6.6277347	29.281754	1.1771913	0.0	0.0
6	500.0	2.6843834	0.8546616	4.596355	-0.06713241	112000	-5.9604645e-08	4.6871033	-0.008189048	-2.0845408	1.3564423	0.006800274	0.0806875	127.0	241.6555097103119	17.701157	8.115599	40.4085	5.145404	0.0	0.0
7	500.0	4.2329197	1.4183924	6.662039	-0.32336015	128000	-3.3527613e-08	4.2256227	-0.0069838017	-0.6130376	1.3564423	0.005170455	0.06575	127.0	274.46540927886963	17.397278	9.777057	40.20721	3.6270673	0.0	0.0
8	500.0	4.8743215	1.5378288	7.213374	-0.46837714	144000	-1.8626451e-08	3.8220968	-0.009125344	-0.3647197	1.3564423	0.007339659	0.082	127.0	311.1845350265503	19.681164	9.007594	40.840103	3.5069163	0.0	0.0
9	500.0	5.005694	1.3956494	7.089539	-0.042856935	160000	1.4901161e-08	7.655011	-0.007610206	-1.5618371	1.3564423	0.0067447247	0.06575	127.0	357.45817136764526	25.799397	10.369133	70.798996	4.7829843	0.0	0.0
10	500.0	6.255062	1.5203985	8.06462	-0.087192565	176000	-7.450581e-09	4.9155736	-0.010095976	-1.1143006	1.3564423	0.008119468	0.084375	127.0	411.8065345287323	30.982647	7.6986504	56.371117	18.125568	0.0	0.0
11	500.0	7.1890187	1.4235694	8.854604	0.30899435	192000	0.0	3.3434203	-0.009960048	-0.17107469	1.3564423	0.007019901	0.082875	127.0	461.53016924858093	32.33474	6.7966967	46.600674	12.162239	0.0	0.0
12	500.0	7.498908	1.2322359	8.760455	1.1263438	208000	-1.1641532e-08	4.7457952	-0.009257937	-0.44088078	1.3564423	0.006765151	0.068875	127.0	493.9576623439789	33.79252	9.293233	57.625492	13.013634	0.0	0.0
13	500.0	7.5782323	1.4777865	9.291431	1.1846007	224000	-3.7252903e-09	4.746478	-0.009258188	-0.48376548	1.3564423	0.0068550957	0.067499995	127.0	527.6097025871277	33.353657	10.437137	72.26483	13.493152	0.0	0.0
14	500.0	7.625455	1.9241096	9.729692	-2.3475919	240000	-2.9802322e-08	4.208933	-0.0093561085	-0.4507228	1.3564423	0.007613917	0.079375	127.0	575.2361061573029	36.537098	8.192205	53.460182	16.412508	0.0	0.0
15	500.0	8.428819	0.95275193	9.574624	2.5128922	256000	-7.450581e-09	5.7672615	-0.008595822	-0.7787885	1.3564423	0.00784377	0.065125	127.0	629.2618064880371	39.190678	10.988949	77.1247	14.100931	0.0	0.0
16	500.0	8.235613	1.6055789	10.159561	0.8878283	272000	-7.450581e-09	11.049837	-0.006493208	-2.1303678	1.3564423	0.0065483605	0.050499998	127.0	679.0723056793213	44.766014	16.04032	113.27141	21.790321	0.0	0.0
17	500.0	10.110366	1.4205254	11.956751	0.9879909	288000	-7.450581e-09	5.0064564	-0.008550616	-0.45268166	1.3564423	0.006778314	0.073312506	127.0	738.4618189334869	45.908806	10.169125	88.14097	32.362324	0.0	0.0
18	500.0	10.171804	2.0429282	12.316741	-0.05126498	304000	7.450581e-09	2.3220592	-0.009038739	-0.171882	1.3564423	0.0059402436	0.0645625	127.0	797.7161810398102	45.153114	7.5796847	58.18973	22.834059	0.0	0.0
19	500.0	9.566313	2.9814007	11.98303	-5.768177	320000	-7.450581e-09	2.7770002	-0.009717196	-0.7107338	1.3564423	0.007868865	0.0791875	127.0	832.4971315860748	45.884037	9.04457	58.876892	22.928667	0.0	0.0
20	500.0	10.674789	1.6501871	12.296355	3.1939976	336000	2.9802322e-08	1.6594108	-0.011606859	-0.3787114	1.3564423	0.008272297	0.086624995	127.0	865.885064125061	50.561066	6.2968545	61.075775	30.592422	0.0	0.0
21	500.0	11.231975	1.5807837	12.776846	2.8690972	352000	-2.2351742e-08	4.155905	-0.008989833	-0.6795277	1.3564423	0.008071676	0.0849375	127.0	914.4693024158478	52.72696	8.2464905	75.62076	28.825672	0.0	0.0
22	500.0	11.165618	2.2741892	13.394386	-0.6592331	368000	-3.7252903e-09	3.0911028	-0.011046648	-0.56534696	1.3564423	0.01080919	0.0838125	127.0	971.3755040168762	49.24279	7.8565817	67.883865	23.961178	0.0	0.0
23	500.0	10.769259	2.4424422	12.84433	-3.264974	384000	1.6763806e-08	4.629841	-0.009471684	-0.81665146	1.3564423	0.0053369403	0.073625	127.0	1022.1858921051025	53.36496	9.3089	73.18682	31.038836	0.0	0.0
24	500.0	11.59363	1.8063371	13.144741	0.20314796	400000	-7.450581e-09	1.8465972	-0.009601666	-0.23214726	1.3564423	0.009427408	0.08325	127.0	1060.0607471466064	52.093197	7.1786203	64.20684	22.96918	0.0	0.0
25	500.0	11.389041	1.9931467	13.152525	-3.2037299	416000	1.8626451e-08	2.599219	-0.008595623	-0.339867	1.3564423	0.00618718	0.058937497	127.0	1097.000986814499	51.801205	8.235025	60.78832	23.444801	0.0	0.0
26	500.0	11.546355	1.7110428	13.578553	2.678059	432000	1.4901161e-08	5.7572103	-0.008407744	-0.9694929	1.3564423	0.007758381	0.0876875	127.0	1133.2405791282654	58.032112	10.295945	90.82899	40.51621	0.0	0.0
27	500.0	12.485855	1.8725706	14.333151	3.7328234	448000	2.9802322e-08	3.6951935	-0.008409727	-0.7529787	1.3564423	0.007888808	0.0715	127.0	1170.425708770752	53.405254	9.449579	83.55076	23.263851	0.0	0.0
28	500.0	12.102654	1.6854867	13.928778	2.2272499	464000	-7.450581e-09	2.2552671	-0.00878093	-0.35060903	1.3564423	0.006852784	0.06375	127.0	1205.8764581680298	57.402542	8.212676	76.159485	36.407024	0.0	0.0
29	500.0	12.122838	2.3289669	14.275907	1.7025809	480000	-1.21071935e-08	3.2756648	-0.0078321565	-0.2970448	1.3564423	0.00637514	0.070125	127.0	1242.0850422382355	57.64637	10.361696	86.3716	28.336699	0.0	0.0
30	500.0	12.748924	2.0283725	14.638289	-0.4833652	496000	-7.21775e-09	3.3888283	-0.008176594	-0.43681	1.3564423	0.007391614	0.0811875	127.0	1282.2565009593964	58.979683	8.621422	84.193	32.50919	0.0	0.0
31	500.0	12.887693	1.9079632	14.6904	2.3078442	512000	1.4901161e-08	4.5081263	-0.00718005	-0.69890994	1.3564423	0.0050043594	0.0679375	127.0	1318.1497566699982	60.077835	9.11074	91.549034	41.698322	0.0	0.0
