Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.108529754	0.023326693	0.1934704	0.06595476	16000	1.8626451e-08	0.00595152	-0.0066136764	-0.004002289	1.3564423	0.005991501	0.0456875	127.0	41.26778173446655	0.23115678	0.20930459	0.8063352	0.025424527	0.0	0.0
1	500.0	0.06391991	0.016824422	0.11705644	0.026858587	32000	5.401671e-08	0.008277006	-0.006889414	-0.0038784787	1.3564423	0.0069470163	0.0663125	127.0	89.56251072883606	0.5835413	0.43482822	1.9016097	0.03925611	0.0	0.0
2	500.0	0.13149986	0.026576694	0.20442398	0.032323185	48000	0.0	0.007572486	-0.008783486	-0.0034103214	1.3564423	0.0061161676	0.07718749	127.0	150.31183695793152	0.8826054	0.4769477	1.9665322	0.15029557	0.0	0.0
3	500.0	0.22577567	0.04852487	0.34542686	0.05573674	64000	-2.2351742e-08	0.060581435	-0.0067587793	-0.024666881	1.3564423	0.006173698	0.069625	127.0	208.05574679374695	1.8226261	1.0198581	4.683922	0.6318807	0.0	0.0
4	500.0	0.4280249	0.087774985	0.71722806	0.122195646	80000	1.4901161e-08	0.3148837	-0.005749222	-0.1478823	1.3564423	0.0052163424	0.05325	127.0	264.3912127017975	3.3037314	1.9451945	7.899672	0.6001274	0.0	0.0
5	500.0	0.7539982	0.2644971	1.4517528	0.022764916	96000	-1.1175871e-08	0.46458626	-0.0070509845	-0.16681677	1.3564423	0.0068746423	0.07224999	127.0	301.2203416824341	4.4994802	2.6499336	14.373469	1.6701462	0.0	0.0
6	500.0	1.2597896	0.56067467	2.4989696	0.011341909	112000	-7.450581e-09	3.1453567	-0.0054028705	-1.5150193	1.3564423	0.0057674823	0.0535625	127.0	339.3752064704895	9.47469	6.43578	21.694586	1.2894212	0.0	0.0
7	500.0	2.309546	1.3013271	4.9146557	-0.43488732	128000	1.6763806e-08	3.4386501	-0.0068079447	-1.8766525	1.3564423	0.006669809	0.06825	127.0	373.37134194374084	13.935202	5.8102813	26.743385	2.192087	0.0	0.0
8	500.0	4.0239463	2.1074924	7.0327024	-0.692437	144000	-2.9802322e-08	2.1408367	-0.009418439	-0.50914866	1.3564423	0.0049252366	0.076625004	127.0	409.02819991111755	17.738647	6.14643	29.587996	3.9451194	0.0	0.0
9	500.0	4.9304605	2.3894901	7.9771886	-0.62528855	160000	-3.7252903e-09	2.6848464	-0.009337895	-0.16492304	1.3564423	0.007834868	0.079375	127.0	445.27411222457886	19.96014	7.3758607	35.869247	2.7315264	0.0	0.0
10	500.0	5.5266795	2.371648	8.17698	-0.22036153	176000	2.9802322e-08	2.7128196	-0.008347991	-0.42703933	1.3564423	0.0063359966	0.068875	127.0	482.2698783874512	24.190617	6.2355876	36.172024	12.305541	0.0	0.0
11	500.0	6.728197	2.1002133	8.480434	-0.12210581	192000	7.450581e-09	4.1670775	-0.009259718	-0.17956711	1.3564423	0.006972872	0.0685	127.0	517.6913843154907	28.269806	8.146342	43.05252	6.795752	0.0	0.0
12	500.0	6.842922	1.9163735	8.449048	0.776231	208000	-7.450581e-09	5.099796	-0.008883219	-0.3583349	1.3564423	0.008315386	0.081499994	127.0	552.5223450660706	31.17804	9.503914	49.267605	16.239182	0.0	0.0
13	500.0	7.4358253	1.992711	8.9517355	0.5868085	224000	7.450581e-09	3.9219742	-0.0080888	-0.07458094	1.3564423	0.0076442123	0.06424999	127.0	588.189944267273	30.609852	8.305072	63.191486	19.052826	0.0	0.0
14	500.0	7.458554	1.8032953	8.675012	1.2468368	240000	-2.9802322e-08	5.8108587	-0.0075026155	-0.770116	1.3564423	0.005316063	0.0484375	127.0	625.8050093650818	27.554058	9.514801	50.157627	15.1910925	0.0	0.0
15	500.0	6.7044725	1.3432105	7.6878877	1.6364794	256000	7.450581e-09	7.8671093	-0.0067886575	-1.693413	1.3564423	0.0064491574	0.0631875	127.0	662.2480127811432	34.85346	10.888121	53.47739	13.053586	0.0	0.0
16	500.0	7.895598	1.7721152	9.072454	1.2518924	272000	7.450581e-09	6.4071817	-0.0077897063	-0.80728185	1.3564423	0.00536891	0.068937495	127.0	700.16921043396	37.37153	11.323159	62.436817	17.15807	0.0	0.0
17	500.0	8.692964	2.0262158	10.008053	1.3062165	288000	4.4703484e-08	15.794222	-0.007113752	-1.3701788	1.3564423	0.007883268	0.0648125	127.0	736.576229095459	42.806293	17.180506	101.49161	19.352686	0.0	0.0
18	500.0	9.714637	2.1125283	10.896226	1.4597881	304000	1.4901161e-08	9.398407	-0.0072536506	-0.3620094	1.3564423	0.006980212	0.062	127.0	772.3126537799835	42.753952	13.752709	80.62453	20.770788	0.0	0.0
19	500.0	9.9158125	2.0556388	11.239695	1.9395835	320000	5.5879354e-09	7.2469926	-0.008072177	-1.0677963	1.3564423	0.0070165955	0.07275	127.0	809.9309766292572	41.340633	13.606629	85.67171	8.846423	0.0	0.0
20	500.0	9.801702	2.0159485	11.343527	2.4592297	336000	3.3527613e-08	9.19608	-0.007314723	-0.5703925	1.3564423	0.00549848	0.0605	127.0	848.6685700416565	45.28414	14.915062	82.02407	7.1841426	0.0	0.0
21	500.0	10.386709	2.1503427	12.059073	1.7974868	352000	2.2351742e-08	9.588936	-0.00800302	-0.468427	1.3564423	0.007953134	0.07675	127.0	888.1273379325867	48.40206	14.121326	80.58127	27.33272	0.0	0.0
22	500.0	10.857672	2.0894132	12.449885	3.6464958	368000	3.3527613e-08	11.630228	-0.008189229	-0.76207995	1.3564423	0.0067860675	0.071187496	127.0	928.4890336990356	44.554863	15.98512	102.02365	24.867819	0.0	0.0
23	500.0	10.16384	2.3055956	12.261607	1.9394145	384000	-7.450581e-09	14.575909	-0.008233653	-2.1938403	1.3564423	0.0067238268	0.0713125	127.0	967.4509069919586	47.105984	18.969713	89.642876	6.5463953	0.0	0.0
24	500.0	11.266596	2.6348097	13.368013	1.137088	400000	3.7252903e-09	6.141281	-0.00887223	-0.335486	1.3564423	0.0073340107	0.0745	127.0	1030.7302272319794	48.452965	11.278946	78.488525	31.321117	0.0	0.0
25	500.0	11.09068	2.5303445	13.209371	1.4014847	416000	-1.8626451e-08	9.883537	-0.00909834	-2.0422664	1.3564423	0.005568343	0.073	127.0	1087.1357219219208	42.7492	16.619043	78.43556	3.213337	0.0	0.0
26	500.0	10.576983	2.2877374	12.62079	2.3115065	432000	-7.450581e-09	7.6973433	-0.0090075135	-0.8882047	1.3564423	0.007414067	0.071625	127.0	1149.943356513977	46.01249	13.435665	89.48836	18.804945	0.0	0.0
27	500.0	9.951902	2.4814234	12.942746	1.8190669	448000	7.450581e-09	8.760277	-0.008234213	-1.1127115	1.3564423	0.0070690312	0.0678125	127.0	1210.1460721492767	41.24133	17.04016	86.009964	3.1555622	0.0	0.0
28	500.0	9.977168	2.8446774	13.4341955	-1.2921499	464000	7.450581e-09	17.864279	-0.008486816	-3.3747282	1.3564423	0.0077906144	0.06825	127.0	1266.1222681999207	51.524483	21.041609	94.89138	18.802477	0.0	0.0
29	500.0	10.763098	2.5149128	15.055904	4.1186213	480000	-7.450581e-09	15.770004	-0.007266191	-4.295685	1.3564423	0.0064036446	0.0633125	127.0	1320.0638568401337	42.534256	17.722498	111.19387	3.1546943	0.0	0.0
