Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10863994	0.02269092	0.1934704	0.06595476	16000	7.450581e-09	0.0064152516	-0.0067123035	-0.0042820913	1.3564423	0.005705486	0.0476875	127.0	53.33502674102783	0.2082682	0.21100868	0.8474061	0.026162239	0.0	0.0
1	500.0	0.061886255	0.019050844	0.105633095	0.02381512	32000	-3.3527613e-08	0.010366675	-0.007657547	-0.0055109635	1.3564423	0.0061645126	0.0640625	127.0	86.63368344306946	0.64711756	0.4279436	1.5041357	0.039854217	0.0	0.0
2	500.0	0.14230151	0.031297587	0.21785462	0.028903645	48000	3.7252903e-08	0.025356125	-0.007640565	-0.0104626585	1.3564423	0.005594819	0.074687496	127.0	119.71405482292175	1.1529927	0.72461045	3.450928	0.16155367	0.0	0.0
3	500.0	0.25650123	0.04636226	0.36540446	0.06811859	64000	2.9802322e-08	0.25924814	-0.005312648	-0.11001304	1.3564423	0.006387677	0.065625	127.0	166.24096965789795	2.0317688	2.1928024	9.878005	0.30453384	0.0	0.0
4	500.0	0.372024	0.12323011	0.9026574	-0.00040367618	80000	1.4901161e-08	0.017796662	-0.012196112	-0.009308774	1.3564423	0.006130253	0.1041875	127.0	216.31681156158447	1.3515232	0.5295973	2.6024044	0.5413794	0.0	0.0
5	500.0	0.44967005	0.22153342	1.2349445	0.08508162	96000	1.8626451e-08	0.5488338	-0.004446786	-0.26815882	1.3564423	0.005952487	0.065937504	127.0	271.4763078689575	2.6858337	3.536684	19.194237	0.35944256	0.0	0.0
6	500.0	0.9504588	0.87670666	3.389025	-0.25457582	112000	7.450581e-09	0.7963166	-0.0063661803	-0.21706256	1.3564423	0.005693567	0.0804375	127.0	304.9485423564911	4.58524	5.458143	22.74878	0.5143384	0.0	0.0
7	500.0	1.4527167	1.3131979	5.3933997	-0.6581883	128000	-1.8626451e-09	1.2664859	-0.005669889	-0.44253218	1.3564423	0.006905923	0.0736875	127.0	340.27821040153503	6.651837	7.299254	22.231253	0.7305503	0.0	0.0
8	500.0	1.7637793	2.1370347	7.236427	-1.3069918	144000	-2.6077032e-08	1.7385069	-0.0057365475	-0.18218242	1.3564423	0.0067873443	0.054250002	127.0	373.6552674770355	7.1420903	8.951007	34.807243	0.56589127	0.0	0.0
9	500.0	1.8814013	2.0275738	7.646029	-0.8288048	160000	0.0	7.3312426	-0.0049050627	-1.6145695	1.3564423	0.0064792633	0.0596875	127.0	410.27507162094116	9.427221	14.967772	76.18565	0.54083407	0.0	0.0
10	500.0	3.295624	3.1979666	10.231092	-1.5126994	176000	7.450581e-09	2.0977516	-0.009933458	-0.6062808	1.3564423	0.0055802083	0.0785	127.0	452.0668478012085	9.00287	8.436576	27.909618	0.8239043	0.0	0.0
11	500.0	2.5373237	2.5194702	8.892625	-1.2200838	192000	1.8626451e-08	1.8597322	-0.009143665	-0.14415018	1.3564423	0.008086467	0.080937505	127.0	484.6070261001587	8.1698675	9.959582	39.422226	0.6543226	0.0	0.0
12	500.0	3.9296339	2.9457314	8.533563	-1.7300675	208000	3.7252903e-09	5.829356	-0.0065464927	-0.54631644	1.3564423	0.005743731	0.0640625	127.0	523.335569858551	13.7047615	12.070851	63.981445	0.4526322	0.0	0.0
13	500.0	4.778167	2.554476	8.589605	-1.1625073	224000	2.0489097e-08	4.262782	-0.008721314	-0.9510582	1.3564423	0.008741158	0.0689375	127.0	559.8184304237366	15.62252	7.739206	33.14596	2.0562272	0.0	0.0
14	500.0	4.7915144	2.0001547	7.584976	-0.9525883	240000	-2.0489097e-08	5.110092	-0.0071657347	-1.4112542	1.3564423	0.006346879	0.063374996	127.0	592.622015953064	17.388945	7.762595	37.807278	0.6723666	0.0	0.0
15	500.0	4.3873954	1.2629293	6.7725973	-0.69642377	256000	0.0	4.202922	-0.007944132	-0.5292733	1.3564423	0.006186795	0.063875	127.0	626.4134216308594	17.455757	8.019407	51.697685	1.9984075	0.0	0.0
16	500.0	4.4427958	1.2561549	7.2367597	-0.32526177	272000	7.450581e-09	10.382052	-0.0065183183	-0.6638706	1.3564423	0.00736714	0.062125	127.0	666.271068572998	19.269602	14.115565	91.72392	7.863446	0.0	0.0
17	500.0	4.353647	1.3922824	7.26691	-0.1359292	288000	0.0	15.556313	-0.005590323	-2.3143396	1.3564423	0.0050440184	0.053375002	127.0	703.1412301063538	25.10625	17.651253	112.59906	10.465405	0.0	0.0
18	500.0	5.385272	1.4946634	8.31412	0.76577795	304000	9.313226e-09	4.3550687	-0.0073020393	-1.3134378	1.3564423	0.0050935834	0.056500003	127.0	754.4994678497314	19.78865	7.9390106	48.404915	8.209441	0.0	0.0
19	500.0	4.585781	1.3862163	7.194937	0.8573101	320000	7.450581e-09	4.715313	-0.0092230365	-0.9165007	1.3564423	0.005838095	0.08356249	127.0	805.7271754741669	23.125443	9.815261	50.778717	8.444508	0.0	0.0
20	500.0	5.6468377	1.6304809	8.358044	1.0461516	336000	0.0	11.404381	-0.008092198	-2.143719	1.3564423	0.007700258	0.075	127.0	841.1921894550323	29.373234	16.588924	100.308815	14.520506	0.0	0.0
21	500.0	6.735543	2.1009164	10.801319	1.8348778	352000	7.450581e-09	5.73506	-0.009443905	-1.1971334	1.3564423	0.007507885	0.0828125	127.0	879.5491051673889	33.932755	11.208818	56.426365	13.947099	0.0	0.0
22	500.0	8.476267	2.2566147	11.559859	2.5572743	368000	7.450581e-09	3.6762424	-0.008221631	-0.64109	1.3564423	0.005447494	0.0596875	127.0	916.897510766983	36.463104	8.099947	52.15448	23.196255	0.0	0.0
