Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.22146377	0.03136798	0.29419994	0.12105838	16000	1.6763806e-08	0.019209292	-0.005834775	-0.013845446	1.3564423	0.006003923	0.043875	127.0	37.83539938926697	0.50116014	0.2749144	1.3181648	0.11141212	0.0	0.0
1	500.0	0.11967413	0.012731332	0.1645596	0.048170097	32000	2.9802322e-08	0.03473694	-0.006343726	-0.015630838	1.3564423	0.00635274	0.0578125	127.0	70.99056959152222	1.1785846	0.7526508	3.4706755	0.08016263	0.0	0.0
2	500.0	0.22894092	0.07227865	0.40803757	-0.00988503	48000	3.7252903e-09	0.08592083	-0.008941043	-0.029075727	1.3564423	0.0070339018	0.095625	127.0	102.98246955871582	2.1124015	1.287554	6.8867984	0.6415697	0.0	0.0
3	500.0	0.4812127	0.10199994	0.75089854	0.20292266	64000	3.7252903e-09	0.45334613	-0.0065565975	-0.14594248	1.3564423	0.005744762	0.06975	127.0	137.29903984069824	4.0465746	2.8238447	12.384072	1.0169103	0.0	0.0
4	500.0	0.89366055	0.1350318	1.2725506	0.33262524	80000	-2.9802322e-08	2.1549342	-0.0070661125	-0.9563388	1.3564423	0.006704958	0.066062495	127.0	172.1287660598755	8.7732	5.6787076	21.525295	0.872081	0.0	0.0
5	500.0	1.9063517	0.24534357	2.7795093	0.83826166	96000	6.7055225e-08	2.9992223	-0.0064400597	-1.4585335	1.3564423	0.005859169	0.051	127.0	206.6383557319641	13.814125	5.104458	23.806076	2.276335	0.0	0.0
6	500.0	3.1621425	0.60353494	4.596944	0.57359093	112000	-4.4703484e-08	3.6176515	-0.0071799285	-1.4832108	1.3564423	0.005641517	0.062	127.0	239.3934760093689	19.347511	6.1596622	35.957626	10.677341	0.0	0.0
7	500.0	4.475586	0.8756247	5.866191	0.68633723	128000	-3.7252903e-09	3.0804167	-0.006624247	-0.29686552	1.3564423	0.0054056537	0.061687503	127.0	273.5549647808075	19.688889	7.329881	36.19185	7.204459	0.0	0.0
8	500.0	4.856443	1.0579864	6.346668	0.15445617	144000	-3.3527613e-08	3.3129892	-0.00929518	-0.44181895	1.3564423	0.0072693676	0.07275	127.0	307.3286654949188	23.14408	6.7635427	40.552296	10.3218355	0.0	0.0
9	500.0	5.532922	0.97335577	6.6685348	0.96993554	160000	1.8626451e-09	2.1208935	-0.008078808	-0.07449959	1.3564423	0.0062616933	0.068875	127.0	341.8988387584686	24.427528	5.263332	35.15129	13.200214	0.0	0.0
10	500.0	5.770791	0.9333789	6.731768	0.92229193	176000	-2.9802322e-08	3.9568615	-0.0071040792	-0.5909918	1.3564423	0.005505968	0.066375	127.0	378.24133372306824	29.018923	7.660064	47.875412	19.674946	0.0	0.0
11	500.0	6.515017	0.79737115	7.3122835	1.7326431	192000	-7.450581e-09	2.7452307	-0.008544996	-0.06427036	1.3564423	0.00806537	0.0776875	127.0	411.3887405395508	29.926552	6.6130786	44.576344	21.744358	0.0	0.0
12	500.0	6.8002934	0.75874996	7.471756	2.3266497	208000	-1.6763806e-08	4.5552645	-0.007314956	-0.09269446	1.3564423	0.0047395686	0.053999998	127.0	447.9789786338806	29.65826	9.604375	67.799416	19.324823	0.0	0.0
13	500.0	6.6272373	0.679713	7.186843	2.762521	224000	1.4901161e-08	2.705568	-0.007511899	-0.09943301	1.3564423	0.0065061124	0.0524375	127.0	482.482501745224	28.320065	6.2414765	41.20973	17.420126	0.0	0.0
14	500.0	6.400262	0.5997123	6.891849	2.741187	240000	2.6077032e-08	4.047916	-0.008589047	-0.12055743	1.3564423	0.006164531	0.065875	127.0	518.5311994552612	30.768608	8.9466715	53.584118	16.614014	0.0	0.0
15	500.0	6.637061	0.41008046	7.0033784	3.750633	256000	-2.6077032e-08	4.1249914	-0.007956056	-0.3179992	1.3564423	0.007866019	0.069375	127.0	552.2267949581146	33.349327	8.776956	52.604736	17.375233	0.0	0.0
16	500.0	7.176622	0.5187081	7.580353	3.7187986	272000	-2.6077032e-08	4.896553	-0.0072931442	-1.2186044	1.3564423	0.006210221	0.0598125	127.0	590.8924329280853	39.103443	8.255269	52.87683	25.728626	0.0	0.0
17	500.0	8.292426	0.62614214	8.668975	3.6574395	288000	2.2351742e-08	4.222889	-0.008426235	-0.030746654	1.3564423	0.007731748	0.062437497	127.0	627.2927021980286	38.025463	8.883814	52.865086	22.8758	0.0	0.0
18	500.0	8.355994	0.74069846	8.77338	4.037051	304000	0.0	7.280961	-0.007072789	-0.27083564	1.3564423	0.0057603656	0.058562502	127.0	665.6625907421112	40.47374	11.605987	84.33911	27.134777	0.0	0.0
19	500.0	8.749888	0.92383	9.358382	3.5831637	320000	5.5879354e-09	4.7318754	-0.0082143545	-0.30751806	1.3564423	0.0055049895	0.053812504	127.0	730.8038318157196	39.22563	10.051631	56.51886	19.96277	0.0	0.0
