Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.15488034	0.029348675	0.23759411	0.07289487	16000	2.2351742e-08	0.018359285	-0.006542378	-0.0060916087	1.3564423	0.0064558396	0.055437498	127.0	38.44528079032898	0.687137	0.5846937	2.2813501	0.11482071	0.0	0.0
1	500.0	0.15533103	0.043139003	0.25239727	0.01427382	32000	2.9802322e-08	0.108207494	-0.0081608305	-0.045631945	1.3564423	0.006522023	0.0764375	127.0	72.66355848312378	1.8700771	1.4849964	5.8397446	0.17860837	0.0	0.0
2	500.0	0.43377998	0.092651084	0.7037848	0.15358765	48000	-7.450581e-09	0.65918505	-0.006729297	-0.3295503	1.3564423	0.005505138	0.0641875	127.0	104.80027508735657	4.946348	3.1030827	12.787709	0.84432036	0.0	0.0
3	500.0	1.1547973	0.22344433	1.7003788	0.38755664	64000	1.4901161e-08	2.0847085	-0.006526673	-0.7313415	1.3564423	0.0049258457	0.058125	127.0	140.6164391040802	9.183123	5.539689	24.530024	2.674462	0.0	0.0
4	500.0	2.1174777	0.3121893	2.77417	0.68287474	80000	0.0	2.5141149	-0.006332479	-0.6627682	1.3564423	0.004733097	0.051437497	127.0	178.80412197113037	11.87833	6.5318365	23.182322	2.3410947	0.0	0.0
5	500.0	2.7475567	0.6790232	4.185717	0.28387573	96000	-1.1175871e-08	2.9438262	-0.007875565	-0.876888	1.3564423	0.0059095034	0.0635625	127.0	214.0442681312561	15.385156	6.2494817	30.379957	3.6780646	0.0	0.0
6	500.0	3.802017	0.9987958	5.613346	0.39922523	112000	-1.3969839e-08	2.9234817	-0.0075622303	-0.9439433	1.3564423	0.005874997	0.066	127.0	249.38261890411377	20.446049	5.621049	34.175613	10.120173	0.0	0.0
7	500.0	4.880587	1.1342653	6.616786	0.68293196	128000	-2.9802322e-08	3.480547	-0.0073804324	-0.7401666	1.3564423	0.0067205783	0.0623125	127.0	289.34181213378906	24.595707	6.904348	41.774715	9.847183	0.0	0.0
8	500.0	5.90229	1.2802765	7.3744698	0.6608634	144000	-7.450581e-09	3.2702532	-0.00853928	-0.24206841	1.3564423	0.007795073	0.080437504	127.0	327.3618001937866	25.464977	6.6520705	41.28569	16.701351	0.0	0.0
9	500.0	6.0690947	0.9383217	6.9927354	1.3399926	160000	-1.8626451e-09	3.5033054	-0.007577612	-0.052179918	1.3564423	0.0060854713	0.069375	127.0	363.3514816761017	26.310928	7.4595413	45.810837	11.933419	0.0	0.0
