Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10893002	0.023354439	0.19872613	0.05125808	16000	-3.7252903e-09	0.0055648703	-0.006814101	-0.0036169752	1.3564423	0.0059196604	0.042187497	127.0	55.78074669837952	0.26059747	0.2053232	0.8627948	0.046491936	0.0	0.0
1	500.0	0.07100383	0.021275876	0.14487493	0.012530021	32000	2.7939677e-08	0.0075966697	-0.008509813	-0.0041505136	1.3564423	0.007243639	0.0753125	127.0	111.18742394447327	0.652814	0.39965266	1.4821094	0.055325337	0.0	0.0
2	500.0	0.1571519	0.030755468	0.23366508	0.036808524	48000	6.7055225e-08	0.013620018	-0.009310998	-0.0067143748	1.3564423	0.005807387	0.078812495	127.0	149.32776355743408	1.168699	0.54255646	2.3247278	0.25383067	0.0	0.0
3	500.0	0.28567952	0.05238628	0.4451256	0.09194118	64000	-5.5879354e-08	0.076682165	-0.006701224	-0.029532298	1.3564423	0.0065811053	0.0756875	127.0	187.08874082565308	2.1517515	1.0314723	4.7374215	0.9035567	0.0	0.0
4	500.0	0.5030414	0.09111397	0.74883556	0.24008927	80000	3.3527613e-08	0.77969575	-0.005368389	-0.30970615	1.3564423	0.0057875747	0.053	127.0	223.54947781562805	4.460645	3.1225858	13.454252	0.92454624	0.0	0.0
5	500.0	0.9438872	0.29933506	1.7505801	0.09754499	96000	2.9802322e-08	0.54272914	-0.0072883014	-0.29006964	1.3564423	0.006027786	0.065749995	127.0	263.82187485694885	5.604415	2.4061227	12.007886	1.7354978	0.0	0.0
6	500.0	1.5136223	0.70891076	3.193184	-0.022162952	112000	3.1199306e-08	2.759132	-0.0048893867	-1.3484542	1.3564423	0.0058170464	0.0541875	127.0	298.68704867362976	10.156612	6.1193113	26.244774	1.6854316	0.0	0.0
7	500.0	2.432376	1.4219605	5.263169	-0.28533477	128000	5.029142e-08	1.2875133	-0.008522203	-0.51811194	1.3564423	0.0076855347	0.0821875	127.0	335.8174252510071	11.65835	5.2323737	21.024324	1.5391382	0.0	0.0
8	500.0	3.7089615	1.8677983	6.5110908	-0.30191535	144000	7.450581e-09	2.6117911	-0.008179942	-0.5145215	1.3564423	0.004907259	0.070125	127.0	376.9821424484253	16.694168	5.954657	30.507181	3.2325733	0.0	0.0
9	500.0	4.698085	1.9053811	6.974447	-0.18446054	160000	7.450581e-09	2.77725	-0.007843743	-0.101765916	1.3564423	0.0063231895	0.0655625	127.0	412.2400562763214	18.467762	7.3493032	35.554474	7.142055	0.0	0.0
