Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.15292469	0.029437078	0.23858671	0.070767775	16000	3.7252903e-09	0.018555347	-0.006474126	-0.0061863866	1.3564423	0.00592946	0.0531875	127.0	57.45831036567688	0.6929304	0.5912606	2.2978826	0.11527327	0.0	0.0
1	500.0	0.15584081	0.045076713	0.25568393	0.010491045	32000	2.7939677e-08	0.11158448	-0.007947958	-0.046781376	1.3564423	0.0064724656	0.0748125	127.0	94.86936211585999	1.8823252	1.5117701	6.0023937	0.17872234	0.0	0.0
2	500.0	0.4390373	0.09736971	0.72044927	0.14913368	48000	3.7252903e-09	0.6343021	-0.007033332	-0.3181103	1.3564423	0.005865494	0.06825	127.0	142.10072016716003	4.929753	3.055649	12.285039	0.8688539	0.0	0.0
3	500.0	1.1692463	0.22138403	1.75001	0.3692064	64000	0.0	2.0342546	-0.0063461186	-0.7110517	1.3564423	0.005082617	0.0565625	127.0	183.7500376701355	9.187864	5.434131	23.96295	2.732068	0.0	0.0
4	500.0	2.1158004	0.31908602	2.7969315	0.64282703	80000	7.450581e-09	2.4619956	-0.006284471	-0.62922114	1.3564423	0.0049742954	0.0519375	127.0	232.43172454833984	11.617779	6.4903483	22.825533	2.2047284	0.0	0.0
5	500.0	2.7010849	0.68576616	4.1556325	0.19647786	96000	2.6077032e-08	2.3892033	-0.00825216	-0.73506105	1.3564423	0.005604259	0.0651875	127.0	278.4210262298584	14.784002	5.5009093	23.916903	3.5100691	0.0	0.0
6	500.0	3.6934047	0.99733716	5.414401	0.366341	112000	-4.0978193e-08	3.1574657	-0.007750801	-1.0735681	1.3564423	0.0058876597	0.06925	127.0	321.13643622398376	20.234324	5.8776317	35.55882	10.010327	0.0	0.0
7	500.0	4.8322635	1.1581466	6.5694966	0.60782844	128000	-2.2351742e-08	3.0726388	-0.0076804464	-0.67136073	1.3564423	0.006490958	0.066062495	127.0	357.71676683425903	24.107922	6.3804197	38.476368	9.775751	0.0	0.0
8	500.0	5.8511953	1.3126206	7.3497605	0.55289227	144000	0.0	3.044203	-0.008404733	-0.25872838	1.3564423	0.0074442415	0.0765625	127.0	393.23585200309753	24.947144	6.2679315	41.12625	16.094326	0.0	0.0
9	500.0	5.9808435	0.9294588	6.9480786	1.2924551	160000	-1.6763806e-08	4.9063234	-0.0085620675	-0.10197269	1.3564423	0.0060616396	0.069875	127.0	427.1139967441559	26.702686	8.926919	59.035736	11.737326	0.0	0.0
10	500.0	6.278189	0.95078003	7.129129	1.4433022	176000	-5.5879354e-09	3.068688	-0.0077155465	-0.3064955	1.3564423	0.0059330305	0.060374998	127.0	460.68907022476196	26.420584	5.98616	41.9411	17.46589	0.0	0.0
11	500.0	6.0208817	0.5389502	6.4547877	2.49483	192000	0.0	3.6154518	-0.0065040663	-0.14529158	1.3564423	0.006217758	0.0530625	127.0	497.39627480506897	28.843224	7.4098415	43.363033	19.199404	0.0	0.0
12	500.0	6.374506	0.5267489	6.7263536	2.5853186	208000	-3.7252903e-09	2.8835583	-0.007493982	-0.1148572	1.3564423	0.0071527855	0.069625	127.0	533.5322804450989	27.97677	5.9769654	41.564472	20.125326	0.0	0.0
13	500.0	6.1478524	0.36136758	6.385804	2.9461343	224000	9.313226e-09	4.993401	-0.0065172557	-0.9853861	1.3564423	0.005103345	0.042937502	127.0	569.4510297775269	32.81202	8.302432	48.469273	21.890133	0.0	0.0
