Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.044157047	0.024784843	0.09996301	-0.03884353	16000	0.0	0.0030365183	-0.00564776	-0.0018679949	1.3564423	0.0074196635	0.0536875	127.0	61.910393476486206	0.3323526	0.17953964	0.76349276	0.08091015	0.0	0.0
1	500.0	0.060024027	0.024845641	0.11893611	-0.009461381	32000	-1.8626451e-08	0.0020002243	-0.008939269	-0.00068299565	1.3564423	0.0071760966	0.0910625	127.0	117.24108672142029	0.43133822	0.22357917	0.8287454	0.100655384	0.0	0.0
2	500.0	0.09386067	0.02527218	0.15582743	0.0078057256	48000	-6.3329935e-08	0.0049401345	-0.012593541	-0.001989189	1.3564423	0.007672352	0.11475	127.0	172.28524589538574	0.7320165	0.3308975	1.430477	0.27590832	0.0	0.0
3	500.0	0.16259786	0.0339965	0.23776412	-0.0066616256	64000	-7.450581e-09	0.0200939	-0.009371705	-0.010385949	1.3564423	0.00685066	0.0830625	127.0	235.24678301811218	1.2466269	0.6659879	2.973832	0.22762036	0.0	0.0
4	500.0	0.25737488	0.07219338	0.5189055	0.08610988	80000	-1.21071935e-08	0.043204255	-0.00811442	-0.025588041	1.3564423	0.007893075	0.08543751	127.0	292.98374700546265	1.6362454	0.91156256	3.9910398	0.27394444	0.0	0.0
5	500.0	0.4355671	0.19073911	1.0895681	0.06727259	96000	2.2351742e-08	0.4361243	-0.006020048	-0.20435826	1.3564423	0.005112944	0.071625	127.0	346.6857488155365	3.3256788	2.5526314	13.235208	0.76551306	0.0	0.0
6	500.0	1.0636142	0.6216063	2.7172117	-0.15253639	112000	2.0489097e-08	0.7187547	-0.0080421455	-0.29479787	1.3564423	0.0073017995	0.098812506	127.0	386.16798543930054	6.0053387	3.3631835	13.202082	0.89001685	0.0	0.0
7	500.0	1.8461826	0.96425056	3.8847942	-0.25505194	128000	-2.9802322e-08	2.0616593	-0.0074741906	-0.83866256	1.3564423	0.0076372745	0.0808125	127.0	427.55983996391296	10.18845	4.993499	26.202188	3.6646318	0.0	0.0
8	500.0	2.912156	1.546775	5.504757	0.14459606	144000	7.450581e-09	2.6884327	-0.008598169	-0.60541356	1.3564423	0.005632146	0.08418751	127.0	475.04410576820374	13.586481	6.4694715	36.197674	5.8303766	0.0	0.0
9	500.0	3.8062105	1.7961898	6.509986	0.17684431	160000	0.0	2.0461712	-0.009580691	-0.3493525	1.3564423	0.00947742	0.090125	127.0	515.6167237758636	16.134192	5.2612677	24.932072	1.275703	0.0	0.0
10	500.0	4.991636	1.9372687	7.681588	0.5270094	176000	-7.450581e-09	3.30834	-0.0076697236	-0.6984422	1.3564423	0.0058446834	0.072187506	127.0	559.4887781143188	23.060764	5.811592	36.73215	12.475116	0.0	0.0
11	500.0	5.7004137	1.9127233	7.8215904	0.3483849	192000	-2.9802322e-08	3.7177618	-0.008680016	-0.61317706	1.3564423	0.0070147887	0.08131251	127.0	602.7229571342468	26.14101	7.009151	43.0128	16.189346	0.0	0.0
12	500.0	6.627842	2.071351	8.739416	0.52942336	208000	0.0	6.6856165	-0.008730538	-0.4119343	1.3564423	0.0065161213	0.078812495	127.0	640.9512569904327	29.825672	11.269571	77.09432	15.036022	0.0	0.0
13	500.0	7.2962255	2.1400201	9.208869	1.1505594	224000	1.4901161e-08	2.968854	-0.008864369	-0.11823983	1.3564423	0.0061851647	0.0775	127.0	681.6974954605103	30.327173	6.8594933	45.66005	19.047375	0.0	0.0
14	500.0	7.5532475	2.102621	9.405736	1.3785084	240000	-7.450581e-09	7.863721	-0.008371338	-0.37591854	1.3564423	0.006670543	0.066625	127.0	724.0643513202667	31.212145	12.901614	64.920845	5.8861566	0.0	0.0
15	500.0	7.61899	2.0104754	9.640628	0.6431532	256000	-3.7252903e-09	7.9492097	-0.008573365	-0.5804913	1.3564423	0.008935402	0.085812494	127.0	766.86243724823	31.064558	11.082522	76.92345	14.377662	0.0	0.0
16	500.0	7.439958	1.4772153	8.856843	1.8494306	272000	2.2351742e-08	13.397559	-0.0070866263	-0.8235285	1.3564423	0.0055412725	0.0638125	127.0	807.9886519908905	33.152794	16.92467	99.79034	15.72737	0.0	0.0
17	500.0	7.820749	1.9727764	9.79986	-1.0761979	288000	0.0	11.766642	-0.0076260716	-0.8569201	1.3564423	0.00773386	0.08425	127.0	852.3087108135223	37.101498	16.037418	109.22403	17.588474	0.0	0.0
18	500.0	8.642287	1.8535697	10.268324	1.7630302	304000	1.4901161e-08	4.908592	-0.008362997	-0.36650696	1.3564423	0.005488591	0.0593125	127.0	895.829092502594	34.234703	8.834738	63.213074	18.675915	0.0	0.0
19	500.0	8.211263	1.8269438	9.766641	1.9358683	320000	2.2351742e-08	3.6397316	-0.008365927	-0.13660672	1.3564423	0.006355319	0.0696875	127.0	939.915280342102	36.2442	7.9884467	49.175327	21.614017	0.0	0.0
20	500.0	8.4845	1.6323884	9.84527	2.2649412	336000	2.9802322e-08	10.520429	-0.008513114	-1.4105748	1.3564423	0.006215537	0.074	127.0	982.4257490634918	42.415535	13.457681	98.41627	13.829168	0.0	0.0
21	500.0	9.329463	1.8852174	10.790402	1.8989618	352000	-7.450581e-09	11.185493	-0.007482564	-0.78942174	1.3564423	0.007940454	0.0735625	127.0	1025.375097990036	37.908897	15.248129	101.06919	18.39159	0.0	0.0
22	500.0	8.932373	1.9995719	10.9813	1.75291	368000	-3.7252903e-09	7.1639795	-0.008771907	-1.0502317	1.3564423	0.008025707	0.08275	127.0	1068.9692780971527	36.326454	12.700562	77.747986	15.857809	0.0	0.0
23	500.0	8.648917	1.885	11.056346	0.62240416	384000	-1.4901161e-08	11.957829	-0.00866672	-1.1053776	1.3564423	0.008789996	0.0841875	127.0	1117.350787639618	39.426003	16.684755	113.0083	16.835773	0.0	0.0
24	500.0	9.161042	2.0832646	11.76512	1.0311562	400000	-1.1175871e-08	13.419353	-0.0079481825	-1.3738025	1.3564423	0.007570083	0.0755	127.0	1162.2614850997925	44.04413	18.132395	110.4313	19.433273	0.0	0.0
25	500.0	9.893076	2.667628	13.276022	-4.516474	416000	-1.8626451e-08	30.626686	-0.008549012	-3.3478332	1.3564423	0.009357702	0.08400001	127.0	1205.526831150055	49.208027	26.808826	114.78516	18.368986	0.0	0.0
26	500.0	11.056728	3.1856663	14.7363405	-3.1732745	432000	-3.7252903e-08	20.091087	-0.009419361	-2.5719097	1.3564423	0.0071464377	0.075312495	127.0	1246.32830452919	48.744194	22.415848	111.31345	13.791167	0.0	0.0
27	500.0	10.747946	2.930173	15.007488	0.7705106	448000	0.0	24.910116	-0.00804303	-4.2343235	1.3564423	0.0062957467	0.0735625	127.0	1291.1444637775421	46.1705	24.922272	114.47007	13.489136	0.0	0.0
28	500.0	10.531408	3.51534	16.029184	-0.6828938	464000	-5.5879354e-09	12.023434	-0.008565331	-2.1663926	1.3564423	0.0070535345	0.0795625	127.0	1334.7993631362915	43.58375	20.070793	107.669395	4.4279976	0.0	0.0
