Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.105440065	0.02307457	0.19363487	0.046539422	16000	-4.4703484e-08	0.0052137547	-0.006880342	-0.0032484606	1.3564423	0.0061213346	0.042999998	127.0	38.46606969833374	0.26593554	0.21113914	0.90894186	0.0501491	0.0	0.0
1	500.0	0.072138645	0.021307206	0.1439049	-0.00732792	32000	4.656613e-08	0.009150712	-0.008499016	-0.0051744357	1.3564423	0.0066759386	0.0686875	127.0	75.10728287696838	0.7118805	0.43375644	1.6091577	0.05836729	0.0	0.0
2	500.0	0.16807285	0.031001775	0.24988301	0.037572034	48000	0.0	0.012333363	-0.009437719	-0.005451722	1.3564423	0.0064473413	0.082375	127.0	112.79999041557312	1.172298	0.53466594	2.4661767	0.2602284	0.0	0.0
3	500.0	0.29336274	0.053593826	0.44834012	0.10547255	64000	-1.3038516e-08	0.069239534	-0.006778567	-0.02509528	1.3564423	0.0067232577	0.0791875	127.0	154.19307827949524	2.1109164	1.007074	4.484751	0.9508442	0.0	0.0
4	500.0	0.51349115	0.0942556	0.76311994	0.22456945	80000	-3.7252903e-09	0.74881434	-0.005372503	-0.3000325	1.3564423	0.0057902616	0.0494375	127.0	194.2230088710785	4.5062876	3.0612652	13.211677	0.8709333	0.0	0.0
5	500.0	0.98221016	0.29208967	1.741821	0.08726476	96000	2.3283064e-08	0.85528743	-0.0064714393	-0.4487258	1.3564423	0.0052452395	0.056874998	127.0	231.10910439491272	6.4780035	2.861164	14.79449	2.2567852	0.0	0.0
6	500.0	1.5852098	0.7075573	3.2977984	-0.07163379	112000	-1.1175871e-08	2.189033	-0.004903759	-0.9889461	1.3564423	0.0061821695	0.0600625	127.0	270.49789929389954	9.271376	5.896887	25.985363	1.5530765	0.0	0.0
7	500.0	2.2386534	1.4223995	5.3194485	-0.3799183	128000	5.029142e-08	1.3909044	-0.007686708	-0.53914213	1.3564423	0.0074898293	0.078625	127.0	315.7030818462372	10.665036	5.5742407	19.588785	1.4727947	0.0	0.0
8	500.0	3.350895	1.9419774	6.628873	-0.44481575	144000	-1.4901161e-08	0.8842105	-0.010015022	-0.044919185	1.3564423	0.005185596	0.0821875	127.0	360.35629868507385	11.909014	4.8318763	24.324194	2.822049	0.0	0.0
9	500.0	4.0817814	2.0394382	6.8087897	-0.40965626	160000	-9.313226e-09	1.7524118	-0.008080922	-0.18351597	1.3564423	0.006828512	0.068375	127.0	410.39810824394226	15.543463	5.412756	32.81802	3.6196258	0.0	0.0
