Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10613257	0.023603467	0.21441904	0.043415673	16000	-1.1175871e-08	0.005506288	-0.006624546	-0.0033586868	1.3564423	0.0054788655	0.0436875	127.0	61.21399712562561	0.271699	0.20172872	0.918166	0.054303605	0.0	0.0
1	500.0	0.070726246	0.01946456	0.14415689	0.00041139498	32000	1.8626451e-08	0.010594629	-0.007288197	-0.0045248847	1.3564423	0.0058379457	0.0623125	127.0	100.03538513183594	0.6385762	0.48648474	1.9785303	0.057589307	0.0	0.0
2	500.0	0.14961706	0.033397175	0.22596468	-0.011515534	48000	4.0978193e-08	0.03827314	-0.008157057	-0.017705131	1.3564423	0.006180063	0.0863125	127.0	137.3832619190216	1.3188124	0.8765833	4.1955705	0.14792018	0.0	0.0
3	500.0	0.28913125	0.043366466	0.4248954	0.09340872	64000	1.8626451e-08	0.031287476	-0.008293711	-0.011876148	1.3564423	0.0074362624	0.0959375	127.0	178.18010330200195	1.6475685	0.6398587	3.4484677	0.46262583	0.0	0.0
4	500.0	0.3419741	0.047630437	0.46998683	0.1773695	80000	0.0	0.01117075	-0.011791328	-0.0029425088	1.3564423	0.007051853	0.095	127.0	227.0802788734436	1.8457233	0.49004453	2.9723077	0.99572814	0.0	0.0
5	500.0	0.42393956	0.07850844	0.8738705	0.2126226	96000	-7.450581e-09	0.36341774	-0.0034611356	-0.19567144	1.3564423	0.005057531	0.04825	127.0	286.24592781066895	2.6732497	2.9197896	18.761387	1.2025267	0.0	0.0
6	500.0	0.6526664	0.41541556	3.4427223	-0.116405	112000	3.7252903e-09	0.12999278	-0.010244265	-0.055584025	1.3564423	0.008522329	0.10275	127.0	368.8409285545349	2.6054924	1.8101118	12.00824	0.9205763	0.0	0.0
7	500.0	0.9939043	0.8237096	3.935168	-0.103959695	128000	1.4901161e-08	1.0362934	-0.0050538033	-0.60805714	1.3564423	0.006931876	0.07775	127.0	432.7983889579773	5.7015877	5.7463765	19.524782	0.9193916	0.0	0.0
8	500.0	2.0978363	1.7637854	6.052033	-0.67998725	144000	5.5879354e-09	0.74952054	-0.008431592	-0.17795542	1.3564423	0.0064716665	0.072	127.0	494.4204249382019	6.3131256	5.200415	19.07357	1.004755	0.0	0.0
9	500.0	2.2609541	1.8834497	5.8801827	-0.752727	160000	-3.7252903e-08	1.4190717	-0.0077931313	-0.28423882	1.3564423	0.007212973	0.062124997	127.0	544.872994184494	9.751074	7.530295	28.734608	1.1304336	0.0	0.0
