Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.15379336	0.028502684	0.2221856	0.09979052	16000	-6.7055225e-08	0.011114385	-0.00696277	-0.0058624535	1.3564423	0.0068011703	0.0626875	127.0	49.77641677856445	0.44841933	0.34443128	1.472442	0.10839684	0.0	0.0
1	500.0	0.10725305	0.020642083	0.15349911	0.03543265	32000	-2.0489097e-08	0.04683795	-0.007839253	-0.0217487	1.3564423	0.006340055	0.0715625	127.0	93.05882382392883	1.2642632	0.9339392	3.7178226	0.14931057	0.0	0.0
2	500.0	0.29571715	0.060395613	0.4592269	0.12784502	48000	7.264316e-08	0.31376386	-0.006894088	-0.17047964	1.3564423	0.005851874	0.06875	127.0	139.15483474731445	3.4623466	2.0152423	8.418006	0.661498	0.0	0.0
3	500.0	0.8227688	0.16383295	1.3354748	0.2504675	64000	2.2351742e-08	1.7369225	-0.006044599	-0.6797944	1.3564423	0.005322506	0.058375	127.0	179.30031442642212	7.481657	4.5791855	19.074839	2.32397	0.0	0.0
4	500.0	1.7269534	0.288948	2.3186052	0.44256058	80000	-4.4703484e-08	2.3428164	-0.00648834	-0.85694283	1.3564423	0.004775296	0.05175	127.0	245.5542824268341	10.715392	5.69249	20.984016	2.0745625	0.0	0.0
5	500.0	2.4765942	0.7392429	4.0539675	-0.042264245	96000	2.9802322e-08	2.8206863	-0.0074486365	-1.2213088	1.3564423	0.0059228996	0.064125	127.0	295.6863625049591	14.595956	5.973281	27.42472	2.4366655	0.0	0.0
6	500.0	3.726256	1.1965269	5.8110585	-0.015674617	112000	2.514571e-08	2.2019985	-0.008987736	-0.8202194	1.3564423	0.006597781	0.0786875	127.0	340.719712972641	19.160301	4.655043	28.197218	9.232399	0.0	0.0
7	500.0	4.816449	1.3824782	6.7214	0.29599342	128000	3.7252903e-09	1.8966887	-0.0078324145	-0.2862826	1.3564423	0.0065314015	0.0681875	127.0	379.41502499580383	22.012447	4.6359653	31.144289	9.034589	0.0	0.0
8	500.0	5.489941	1.3246896	7.020003	0.38166085	144000	-7.450581e-09	2.6034417	-0.009299892	-0.49455577	1.3564423	0.0074934326	0.07175	127.0	415.5047175884247	22.119623	5.2008986	35.79039	14.984993	0.0	0.0
9	500.0	5.481785	0.9972794	6.57551	0.3473184	160000	-2.2351742e-08	2.4570098	-0.007357478	-0.25363415	1.3564423	0.00542276	0.0598125	127.0	450.7611835002899	22.788109	5.7771907	36.87018	12.043472	0.0	0.0
10	500.0	5.422635	0.899793	6.381648	0.4129166	176000	7.450581e-09	2.9957917	-0.007665608	-0.450627	1.3564423	0.004732011	0.058312498	127.0	501.71296763420105	25.496693	6.482553	37.63632	15.070561	0.0	0.0
11	500.0	5.5355816	1.0198948	6.4885855	1.2133765	192000	-1.8626451e-08	2.315556	-0.007265922	-0.31525147	1.3564423	0.0063514365	0.0478125	127.0	562.6786465644836	27.836624	5.152383	40.871616	16.845793	0.0	0.0
12	500.0	6.127378	0.98529077	7.095318	1.5182956	208000	3.7252903e-09	2.1292531	-0.008762382	-0.16305971	1.3564423	0.006832842	0.0710625	127.0	610.6656405925751	27.578665	5.6142826	40.164932	15.622764	0.0	0.0
13	500.0	6.1501184	0.9144475	6.9487147	2.2725956	224000	1.4901161e-08	6.5991187	-0.00764557	-0.49733812	1.3564423	0.0066031027	0.0571875	127.0	647.1881036758423	30.495756	11.407174	83.55278	19.057072	0.0	0.0
14	500.0	6.8649893	0.9586975	7.6571417	1.7172067	240000	-1.8626451e-09	1.5915155	-0.009005565	-0.13214462	1.3564423	0.006118225	0.0681875	127.0	684.0162363052368	30.561832	4.3879128	37.815098	16.65782	0.0	0.0
15	500.0	6.7695975	0.8423589	7.5951223	2.2606785	256000	2.7939677e-09	3.2295065	-0.008187344	-0.29737663	1.3564423	0.008175441	0.081	127.0	718.754501581192	33.16427	7.212453	63.995422	18.948227	0.0	0.0
16	500.0	7.0627513	1.0974516	7.993512	2.439242	272000	0.0	1.5352405	-0.0069029117	-0.22084582	1.3564423	0.005396555	0.0633125	127.0	754.7303111553192	33.92209	5.180644	43.27836	17.640505	0.0	0.0
17	500.0	7.337627	1.2801106	8.34074	1.4599288	288000	-1.8626451e-09	1.4381185	-0.00803969	-0.22020048	1.3564423	0.0072761476	0.0791875	127.0	791.9905724525452	32.681885	4.9809723	39.719513	19.427326	0.0	0.0
18	500.0	7.460055	0.7288772	8.269458	3.5441957	304000	-1.8626451e-09	0.80001885	-0.007568429	-0.08384612	1.3564423	0.004198684	0.06275	127.0	831.5522713661194	34.359585	3.1799564	41.281178	30.03588	0.0	0.0
19	500.0	7.208166	1.151118	8.31991	3.0527027	320000	7.450581e-09	1.3819323	-0.009381503	-0.23819944	1.3564423	0.007281266	0.076437496	127.0	867.0706942081451	34.80139	4.7366066	42.376034	23.591696	0.0	0.0
