Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10849434	0.023848042	0.191123	0.066972986	16000	2.6077032e-08	0.005668378	-0.007242307	-0.0046297037	1.3564423	0.0057893703	0.04875	127.0	44.83559012413025	0.18083207	0.12907955	0.58471274	0.044417582	0.0	0.0
1	500.0	0.052887954	0.015122434	0.10391682	0.01990933	32000	-7.8231096e-08	0.0033825664	-0.008042507	-0.0018670073	1.3564423	0.006692566	0.068625	127.0	83.87639570236206	0.45054525	0.2572266	1.0279937	0.04652137	0.0	0.0
2	500.0	0.10556795	0.020762011	0.15491161	0.028657196	48000	-2.2351742e-08	0.005442165	-0.009656046	-0.0024531805	1.3564423	0.006033933	0.078187495	127.0	123.34625172615051	0.76432145	0.34957838	1.5387559	0.19128375	0.0	0.0
3	500.0	0.18417807	0.033356544	0.28432792	0.066761605	64000	-2.6077032e-08	0.031207431	-0.0073944824	-0.013069987	1.3564423	0.0065112915	0.07775	127.0	168.06036067008972	1.420961	0.6884648	3.6065757	0.58610415	0.0	0.0
4	500.0	0.33621803	0.06311363	0.5041713	0.1765353	80000	1.1175871e-08	0.46861356	-0.0050997296	-0.20547321	1.3564423	0.0056155752	0.04575	127.0	213.97011375427246	3.3666525	2.403943	11.444844	0.70916593	0.0	0.0
5	500.0	0.69931114	0.22572102	1.3537079	0.083400115	96000	1.8626451e-08	0.48886216	-0.006163468	-0.28440502	1.3564423	0.0059957486	0.059375	127.0	261.49837732315063	4.716072	2.3178449	11.052642	1.2176754	0.0	0.0
6	500.0	1.2686772	0.60011834	2.7695718	-0.048345134	112000	-1.8626451e-09	2.2529023	-0.006020863	-1.2199361	1.3564423	0.0056410963	0.059812497	127.0	296.2897744178772	9.012128	5.3479676	19.782148	1.4481978	0.0	0.0
7	500.0	2.3070588	1.3453962	5.0059843	-0.27160624	128000	-6.891787e-08	2.749178	-0.007959446	-1.4507654	1.3564423	0.0074287653	0.0841875	127.0	331.0049786567688	13.364712	5.484359	25.075241	1.8413805	0.0	0.0
8	500.0	4.0866294	1.9876444	6.810731	-0.34839004	144000	-1.8626451e-08	1.9789168	-0.008807316	-0.35161278	1.3564423	0.0053563695	0.06999999	127.0	365.92325711250305	17.454826	4.869597	29.369257	5.439291	0.0	0.0
9	500.0	4.776225	1.9396526	7.024048	-0.14079033	160000	1.1175871e-08	1.7159451	-0.008001726	-0.11459066	1.3564423	0.006197316	0.066	127.0	399.791544675827	18.47193	5.020738	29.28159	8.293875	0.0	0.0
10	500.0	4.968245	1.7169197	6.7441335	0.32776272	176000	-1.1175871e-08	2.346742	-0.009254931	-0.39809948	1.3564423	0.0068958234	0.07775	127.0	435.7017574310303	22.427063	4.5750995	32.250767	13.938267	0.0	0.0
11	500.0	5.8033934	1.4680895	7.1910043	0.53187555	192000	-7.450581e-09	2.510952	-0.0079051275	-0.53608775	1.3564423	0.0062208585	0.0614375	127.0	466.1734673976898	22.28168	4.6168895	33.31586	13.493599	0.0	0.0
12	500.0	5.3867536	0.9918489	6.5336165	1.4917135	208000	-1.4901161e-08	4.9094386	-0.006752193	-1.8018293	1.3564423	0.0068335067	0.058250003	127.0	503.917014837265	29.686823	6.8340187	44.631447	18.357168	0.0	0.0
13	500.0	6.70492	1.3870484	7.812924	1.1022117	224000	-2.0489097e-08	2.0799832	-0.007814817	-0.22370619	1.3564423	0.006295159	0.064687505	127.0	539.3061912059784	26.602627	4.659949	39.775185	19.354488	0.0	0.0
14	500.0	6.3894324	1.201481	7.429869	1.5020281	240000	-1.4901161e-08	1.8407247	-0.007853067	-0.10625419	1.3564423	0.0050074216	0.0558125	127.0	576.3127157688141	26.905035	4.4487557	37.198307	17.34823	0.0	0.0
15	500.0	6.170783	0.98514825	7.1538653	1.8576933	256000	0.0	3.8696904	-0.0067475284	-0.9635333	1.3564423	0.0056631523	0.05325	127.0	612.4743146896362	31.336123	6.863043	43.76206	18.027075	0.0	0.0
16	500.0	7.0951023	1.3461881	8.187664	1.4958086	272000	2.9802322e-08	2.553402	-0.005924914	-0.41742444	1.3564423	0.0055152206	0.0524375	127.0	647.0917184352875	34.095818	5.7749424	49.106834	23.593039	0.0	0.0
17	500.0	7.779217	1.3574544	8.692104	1.7930113	288000	7.450581e-09	2.6620069	-0.007471235	-0.08323051	1.3564423	0.007422573	0.0650625	127.0	683.6012487411499	34.266476	6.00007	50.10816	24.439842	0.0	0.0
18	500.0	7.7641253	1.1777753	8.675792	2.6554992	304000	9.313226e-09	1.9057018	-0.008121869	-0.095518515	1.3564423	0.0068150973	0.0739375	127.0	714.9897677898407	33.269726	5.4532223	45.204937	18.14783	0.0	0.0
19	500.0	7.6326647	1.1072652	8.6036825	2.91671	320000	1.1175871e-08	2.1812322	-0.008774845	-0.14349785	1.3564423	0.006097085	0.0718125	127.0	750.0263919830322	35.44001	5.5960546	49.4711	19.84984	0.0	0.0
20	500.0	8.02229	1.0438057	8.848401	3.0781722	336000	-1.4901161e-08	1.7257421	-0.0064426875	-0.20184243	1.3564423	0.0066197137	0.0515625	127.0	783.2974500656128	36.973938	5.1447563	47.853233	28.930416	0.0	0.0
21	500.0	8.31674	1.188711	9.349581	3.0990374	352000	-5.5879354e-09	0.99118435	-0.008216995	-0.09279411	1.3564423	0.0075317323	0.0631875	127.0	818.8601512908936	36.01599	3.0570772	43.196785	29.88913	0.0	0.0
