Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10802996	0.022800585	0.1888413	0.06463377	16000	-2.9802322e-08	0.005799945	-0.007500861	-0.004647902	1.3564423	0.005505726	0.053937502	127.0	45.49489164352417	0.17135322	0.14187622	0.7128679	0.040266305	0.0	0.0
1	500.0	0.055962525	0.017737795	0.106584564	0.016568726	32000	2.9802322e-08	0.0049692537	-0.0068052644	-0.001949419	1.3564423	0.0058254777	0.0599375	127.0	79.28977108001709	0.4010973	0.35778984	1.5681459	0.044697147	0.0	0.0
2	500.0	0.09599703	0.02328109	0.1716863	0.023787273	48000	-2.9802322e-08	0.002533785	-0.011203483	-0.00095834676	1.3564423	0.0061176196	0.100250006	127.0	118.56199789047241	0.5825403	0.27107725	1.1013529	0.14142805	0.0	0.0
3	500.0	0.14462696	0.027113339	0.22787865	0.04548738	64000	-3.9115548e-08	0.027143557	-0.0058274996	-0.015024822	1.3564423	0.0057437485	0.07175	127.0	151.6560263633728	1.0576394	0.68276733	4.257958	0.3358155	0.0	0.0
4	500.0	0.20311154	0.04415829	0.39932606	0.076834455	80000	1.1175871e-08	0.0047385846	-0.01417936	-0.0017495042	1.3564423	0.007678864	0.1134375	127.0	185.54300832748413	1.0427214	0.24273276	1.3658731	0.43942323	0.0	0.0
5	500.0	0.24848108	0.06971899	0.58852017	0.09574284	96000	-2.9802322e-08	0.1317314	-0.006269447	-0.061702944	1.3564423	0.00639392	0.10106251	127.0	226.66665148735046	1.6048837	1.4753848	8.735144	0.6943883	0.0	0.0
6	500.0	0.43854693	0.3344724	2.0984168	-0.10398718	112000	0.0	0.42177722	-0.006614874	-0.29523256	1.3564423	0.008040961	0.103687495	127.0	264.24678230285645	2.6792803	3.2731278	13.812056	0.5196102	0.0	0.0
7	500.0	1.1846272	1.255336	4.9183598	-0.39865696	128000	1.6763806e-08	0.71936804	-0.006501406	-0.21328473	1.3564423	0.006275871	0.070375	127.0	301.13609981536865	3.6901813	4.618262	18.018162	0.7343862	0.0	0.0
8	500.0	1.5153462	1.4536623	5.103283	-0.47098076	144000	0.0	0.9618608	-0.007205466	-0.34535652	1.3564423	0.0064613977	0.0691875	127.0	339.0648732185364	4.8227267	6.2654505	22.150023	0.34031183	0.0	0.0
9	500.0	1.9785581	1.7836158	6.259662	-1.1969177	160000	-1.4901161e-08	1.3053081	-0.010147555	-0.30118203	1.3564423	0.008633124	0.100562505	127.0	372.0763108730316	8.712181	7.3061395	24.605059	0.69236416	0.0	0.0
