Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10864444	0.022942	0.19291064	0.067525476	16000	-1.0430813e-07	0.005643816	-0.0070848614	-0.0045851823	1.3564423	0.0061585843	0.0480625	127.0	47.913697242736816	0.18017577	0.13056038	0.60885537	0.04428109	0.0	0.0
1	500.0	0.05402263	0.015165193	0.104108945	0.020532016	32000	-1.4901161e-08	0.0034484477	-0.007924484	-0.0019090456	1.3564423	0.006801861	0.0685625	127.0	82.4859139919281	0.45126697	0.26013464	1.0013075	0.047280215	0.0	0.0
2	500.0	0.10326604	0.020847877	0.15433893	0.021719078	48000	2.9802322e-08	0.0049144025	-0.010074086	-0.002156688	1.3564423	0.006541105	0.085125	127.0	137.5499403476715	0.73814833	0.34333056	1.4486644	0.18934222	0.0	0.0
3	500.0	0.17917715	0.035959236	0.27923143	0.064683706	64000	-2.2351742e-08	0.031224629	-0.007241336	-0.014872939	1.3564423	0.0066330507	0.0773125	127.0	198.92843008041382	1.4344339	0.6897089	3.1463656	0.56358516	0.0	0.0
4	500.0	0.34619024	0.06996391	0.5395667	0.15104492	80000	-7.450581e-09	0.4595321	-0.0051213233	-0.19060205	1.3564423	0.005422893	0.049	127.0	256.93923330307007	3.2987998	2.4382446	11.431588	0.68809354	0.0	0.0
5	500.0	0.70424414	0.2344105	1.3474119	0.022042744	96000	2.0489097e-08	0.56507206	-0.006497699	-0.30301356	1.3564423	0.006036902	0.062562495	127.0	305.81931614875793	4.859145	2.483246	10.256894	1.3429141	0.0	0.0
6	500.0	1.2626872	0.58499634	2.7323213	-0.08481356	112000	1.4901161e-08	1.9936988	-0.0061240033	-1.0115094	1.3564423	0.0062584425	0.0685	127.0	374.5987844467163	8.414322	5.215776	19.722828	1.1534184	0.0	0.0
7	500.0	2.2360513	1.3132446	5.1147494	-0.32766053	128000	-1.1175871e-08	2.9324112	-0.007726336	-1.6743517	1.3564423	0.0073493025	0.07862499	127.0	420.66129660606384	13.567793	5.5393662	24.812916	1.9123774	0.0	0.0
8	500.0	4.061611	1.9811872	6.7898946	-0.28882146	144000	4.8428774e-08	1.7659804	-0.008735224	-0.3125277	1.3564423	0.0052792244	0.071062505	127.0	464.71511816978455	17.20859	4.5070786	26.546396	5.933335	0.0	0.0
9	500.0	4.6508446	2.0069656	7.0549264	-0.1513009	160000	-3.7252903e-09	1.5512643	-0.008815082	-0.12395246	1.3564423	0.00638053	0.06725	127.0	504.2122473716736	17.348515	5.0909657	27.551025	9.544881	0.0	0.0
