Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.22219126	0.031062394	0.28698838	0.1510069	16000	1.8626451e-08	0.023300178	-0.0061185933	-0.02051955	1.3564423	0.0057540843	0.0514375	127.0	40.94562125205994	0.27362245	0.14675647	0.6705452	0.061757345	0.0	0.0
1	500.0	0.082853064	0.015722245	0.12806422	0.03943847	32000	7.450581e-09	0.011335623	-0.005877954	-0.0050122696	1.3564423	0.006356304	0.050875	127.0	77.84655475616455	0.6525455	0.4231711	1.9258124	0.045977935	0.0	0.0
2	500.0	0.1238174	0.033606056	0.20704885	0.0035383515	48000	0.0	0.018115964	-0.008943168	-0.006519211	1.3564423	0.0068363277	0.0884375	127.0	114.2548987865448	1.0490566	0.62014973	2.8931386	0.32616305	0.0	0.0
3	500.0	0.24775861	0.05757563	0.4027956	0.06498042	64000	0.0	0.12894753	-0.0068683727	-0.04853469	1.3564423	0.0056032212	0.0676875	127.0	148.12607502937317	2.2962503	1.5168142	7.3380055	0.65265757	0.0	0.0
4	500.0	0.50970507	0.081912525	0.7691852	0.17691529	80000	0.0	1.2427716	-0.006470697	-0.5734999	1.3564423	0.0065960833	0.0594375	127.0	183.40507125854492	5.87103	4.2590613	16.71371	0.504658	0.0	0.0
5	500.0	1.241825	0.19750027	1.8835905	0.38034827	96000	-2.9802322e-08	2.400321	-0.0057709273	-1.0704639	1.3564423	0.005452825	0.0500625	127.0	222.8344578742981	9.553499	5.456148	24.83593	1.1548383	0.0	0.0
6	500.0	2.3082411	0.68155044	3.8677208	-0.017939366	112000	1.8626451e-08	3.1739388	-0.007135256	-1.7009795	1.3564423	0.006437253	0.062375	127.0	257.99539518356323	15.568448	5.247982	28.113739	6.180284	0.0	0.0
7	500.0	3.738735	1.1166708	5.4955487	-0.06352497	128000	-1.8626451e-08	2.3044257	-0.0069193332	-0.24642128	1.3564423	0.0057633035	0.0701875	127.0	297.4202995300293	15.084667	6.827529	29.432013	4.5637937	0.0	0.0
8	500.0	4.0570216	1.2553158	5.793494	-0.29610607	144000	1.4901161e-08	6.195257	-0.0067002876	-0.61769384	1.3564423	0.0075757634	0.076124996	127.0	335.19350385665894	19.694584	10.9237585	64.1164	5.0632706	0.0	0.0
9	500.0	4.893238	1.382299	6.573822	-0.124926716	160000	1.3038516e-08	1.5402002	-0.009581357	-0.15430424	1.3564423	0.006762143	0.0770625	127.0	373.88523983955383	19.725996	4.960479	28.810514	7.123904	0.0	0.0
10	500.0	4.9907002	1.2914628	6.438496	0.07917511	176000	-5.5879354e-08	2.76432	-0.009256715	-1.0015826	1.3564423	0.007470697	0.0754375	127.0	412.69152879714966	25.847836	5.75725	37.377773	18.094854	0.0	0.0
11	500.0	6.0870156	1.282505	7.514139	0.9381246	192000	0.0	9.728536	-0.006821195	-0.65747255	1.3564423	0.0057273	0.0605625	127.0	452.0313308238983	29.324108	14.629354	93.48356	13.257008	0.0	0.0
12	500.0	6.8193984	1.1010116	7.697121	1.4941921	208000	-1.1175871e-08	6.267332	-0.0068167294	-0.13369039	1.3564423	0.0050180745	0.054562498	127.0	490.76590156555176	29.478704	10.938252	81.61493	19.908539	0.0	0.0
13	500.0	6.844168	1.2928902	7.9481306	1.4401233	224000	1.4901161e-08	22.703709	-0.006062706	-1.5347515	1.3564423	0.0061362837	0.0508125	127.0	528.1099350452423	35.157482	21.569248	99.59809	16.647078	0.0	0.0
14	500.0	7.9838905	1.5019516	9.28323	1.1039356	240000	2.0489097e-08	22.491985	-0.006664909	-0.59451044	1.3564423	0.005232241	0.0504375	127.0	567.0853643417358	36.139015	22.406672	110.10016	16.23233	0.0	0.0
15	500.0	8.114779	1.3649163	9.685401	2.2025862	256000	3.3527613e-08	9.149576	-0.0063401754	-1.5925779	1.3564423	0.0072402423	0.059562497	127.0	606.352578163147	29.615387	13.364062	96.39682	14.365759	0.0	0.0
16	500.0	7.1580496	1.2566178	9.478761	2.5677488	272000	7.450581e-09	18.212505	-0.0065495763	-2.2267313	1.3564423	0.0053213984	0.059375003	127.0	648.1558864116669	37.98633	18.689875	99.02723	23.05975	0.0	0.0
17	500.0	8.265996	1.4223212	10.590374	2.1709502	288000	-5.2154064e-08	3.0301228	-0.007959601	-1.9474363	1.3564423	0.0045820773	0.055124998	127.0	687.995185136795	28.837885	4.3837624	35.818226	20.218494	0.0	0.0
18	500.0	7.123789	1.3295071	9.792676	1.9605227	304000	-1.4901161e-08	1.0801747	-0.008249126	-0.27700096	1.3564423	0.006785076	0.06125	127.0	728.6225967407227	29.15047	3.502963	36.271816	20.617548	0.0	0.0
19	500.0	6.6601543	1.17789	9.03132	2.1687005	320000	7.450581e-09	0.8144203	-0.008383008	-0.22010499	1.3564423	0.007392224	0.072312504	127.0	767.4834108352661	30.770266	2.8794806	35.861706	26.027353	0.0	0.0
