Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.11038028	0.022087896	0.19448885	0.06857481	16000	-1.3038516e-07	0.0065677585	-0.007448735	-0.0054965746	1.3564423	0.005533066	0.05275	127.0	42.78015470504761	0.13949418	0.13094375	0.59006995	0.027572807	0.0	0.0
1	500.0	0.04962928	0.017326431	0.093045026	0.009918733	32000	-3.7252903e-09	0.003206595	-0.0071829143	-0.0014471833	1.3564423	0.0052283797	0.055875003	127.0	81.10819554328918	0.37373856	0.26800713	0.9037355	0.05917481	0.0	0.0
2	500.0	0.08826133	0.018666517	0.13737532	0.024473771	48000	1.4901161e-08	0.00967605	-0.009019151	-0.0049404977	1.3564423	0.005422794	0.078812495	127.0	118.70192122459412	0.76701087	0.4390712	1.6474811	0.11006434	0.0	0.0
3	500.0	0.16299215	0.023993056	0.21547645	0.067591995	64000	-1.4901161e-08	0.026061613	-0.006556349	-0.010331195	1.3564423	0.006275651	0.083875	127.0	158.23749423027039	1.0746391	0.6541879	3.7748015	0.30990198	0.0	0.0
4	500.0	0.21334448	0.037383586	0.3565173	0.06942882	80000	0.0	0.0033229538	-0.01300046	-0.0007614125	1.3564423	0.0073508006	0.1069375	127.0	200.5455915927887	1.1045845	0.29466623	1.7270079	0.5251006	0.0	0.0
5	500.0	0.2673036	0.085168175	0.70339525	0.08140739	96000	-1.1175871e-08	0.45334995	-0.003801114	-0.29614007	1.3564423	0.0036116142	0.027437499	127.0	240.63579988479614	2.2463012	3.1459527	14.235827	0.7054994	0.0	0.0
6	500.0	0.6778616	0.72525245	3.2272663	-0.39898863	112000	-1.8626451e-08	0.18726245	-0.0075896666	-0.033182025	1.3564423	0.007403899	0.0889375	127.0	278.0137631893158	2.555207	2.8195803	10.696636	0.6609024	0.0	0.0
7	500.0	1.3628463	1.0270346	3.532608	-0.31515864	128000	3.7252903e-09	0.5507866	-0.006477745	-0.15233004	1.3564423	0.0063455785	0.079812504	127.0	315.893434047699	4.7747073	4.8085337	16.566698	0.6311806	0.0	0.0
8	500.0	1.8783067	1.2138433	5.0763474	-0.5162891	144000	-5.5879354e-09	0.73954	-0.008534472	-0.24735013	1.3564423	0.006936652	0.069	127.0	357.92836356163025	6.546913	4.542665	17.140207	0.7653641	0.0	0.0
9	500.0	2.3285038	1.4617554	6.247777	-0.84396595	160000	1.4901161e-08	1.765415	-0.011488087	-0.79212236	1.3564423	0.009398846	0.10875	127.0	400.51335740089417	11.656251	5.5831413	22.801098	0.7277491	0.0	0.0
10	500.0	2.9638839	1.9524994	7.5549364	-0.77597135	176000	-1.8626451e-09	1.9487942	-0.005704256	-0.3016584	1.3564423	0.00719758	0.05675	127.0	441.3259017467499	10.6071415	7.169248	30.203617	0.8495973	0.0	0.0
