Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.043551795	0.013979813	0.11228724	-0.039731696	16000	9.313226e-09	0.04885721	-0.0054112473	-0.025139146	1.3564423	0.007578676	0.04975	127.0	60.78183960914612	1.1159964	0.7392103	2.8801696	0.24408633	0.0	0.0
1	500.0	0.17815347	0.06319334	0.3304932	-0.050847	32000	-2.7008355e-08	0.09343086	-0.006467357	-0.03535162	1.3564423	0.005630253	0.0574375	127.0	106.21178197860718	1.9606924	1.2924607	4.799363	0.32260364	0.0	0.0
2	500.0	0.3768066	0.11998756	0.6523101	-0.036454923	48000	0.0	0.39880812	-0.0070801694	-0.12799683	1.3564423	0.00613234	0.0715	127.0	149.47544240951538	3.709909	2.6683693	12.13946	0.72278684	0.0	0.0
3	500.0	0.822668	0.18612963	1.3704659	0.08575965	64000	2.9802322e-08	1.8408608	-0.007381117	-0.7368979	1.3564423	0.0065165972	0.066750005	127.0	188.40583634376526	8.113024	5.2516904	19.459558	0.9614888	0.0	0.0
4	500.0	1.8031547	0.2662194	2.5997834	0.82548636	80000	-5.2154064e-08	2.4226625	-0.007714768	-0.9453815	1.3564423	0.007143718	0.064125	127.0	229.27522325515747	12.125174	5.1209464	25.180624	1.9786156	0.0	0.0
5	500.0	2.7711005	0.44048992	3.8148973	1.1715205	96000	3.7252903e-08	3.3117056	-0.007729707	-1.7231671	1.3564423	0.0035917812	0.056375	127.0	274.6825671195984	17.99114	4.4032583	24.933369	7.2249684	0.0	0.0
6	500.0	4.1770525	0.81431466	5.684813	1.4130396	112000	-2.2351742e-08	2.5970836	-0.007831236	-0.41159984	1.3564423	0.0060004685	0.061875	127.0	317.6095287799835	20.349627	5.514272	37.600624	12.278396	0.0	0.0
7	500.0	4.7802606	0.88714606	6.1623573	1.4478521	128000	-2.2351742e-08	2.322565	-0.008386869	-0.39732233	1.3564423	0.006145263	0.0696875	127.0	359.4955494403839	22.875202	4.417037	34.352547	14.397335	0.0	0.0
8	500.0	5.5715714	0.9759881	6.7675066	1.6517297	144000	1.1175871e-08	2.2093525	-0.008172534	-0.35695583	1.3564423	0.0064972593	0.065625004	127.0	399.16967129707336	21.485073	4.454744	34.104183	13.069819	0.0	0.0
9	500.0	5.149059	0.7160407	5.974656	2.2381225	160000	1.8626451e-08	1.8196331	-0.007999243	-0.16944475	1.3564423	0.0061301235	0.066125005	127.0	442.16836071014404	24.243904	4.29689	38.97961	18.715988	0.0	0.0
10	500.0	5.5224714	0.54603297	6.1031904	2.8248377	176000	3.7252903e-09	2.6121511	-0.007503178	-0.12671693	1.3564423	0.0055626538	0.0585	127.0	482.23827147483826	25.823538	6.2594557	43.098812	15.466345	0.0	0.0
11	500.0	5.710371	0.33049074	6.061983	3.5415473	192000	-2.7939677e-09	2.6220558	-0.0076684495	-0.041235495	1.3564423	0.0068590925	0.06425	127.0	523.8056671619415	26.428204	5.9845133	42.71567	19.102257	0.0	0.0
12	500.0	5.7889285	0.30624864	6.1007624	3.140253	208000	9.313226e-10	2.4337482	-0.007153313	-0.032903913	1.3564423	0.005191038	0.056500003	127.0	562.018134355545	27.302868	6.2919908	45.831753	18.88875	0.0	0.0
13	500.0	5.909213	0.28354344	6.1797338	3.0185018	224000	-1.4901161e-08	3.3204641	-0.0077826744	-0.5244821	1.3564423	0.007475662	0.0668125	127.0	606.0780284404755	30.819138	6.651436	44.752834	22.258867	0.0	0.0
14	500.0	6.5639653	0.41114578	6.964087	2.7231092	240000	-1.4901161e-08	4.46146	-0.008039977	-0.77445453	1.3564423	0.0063231997	0.0675	127.0	645.9575152397156	34.72554	7.974463	53.36461	23.880112	0.0	0.0
15	500.0	7.388809	0.44871345	7.7355165	3.7690942	256000	0.0	2.879147	-0.007519357	-0.19856691	1.3564423	0.008314913	0.0638125	127.0	687.8862173557281	31.552425	7.21345	49.417564	22.484367	0.0	0.0
16	500.0	7.011923	0.54552066	7.4148498	2.9956567	272000	1.4901161e-08	3.3022938	-0.006810162	-0.36048162	1.3564423	0.0050350465	0.055750005	127.0	729.7599782943726	35.44038	7.3487997	49.505024	24.860876	0.0	0.0
17	500.0	7.6118026	0.54216486	7.971521	2.8264494	288000	-1.4901161e-08	3.7396913	-0.0074395733	-0.4688154	1.3564423	0.0058699558	0.0585625	127.0	769.6159865856171	38.413643	7.766903	50.876774	26.959211	0.0	0.0
18	500.0	8.248672	0.6995944	8.717974	2.8220356	304000	-9.313226e-09	2.9995089	-0.008265966	-0.053382434	1.3564423	0.006234182	0.0644375	127.0	809.9981772899628	37.12558	7.6453753	50.192474	26.707323	0.0	0.0
19	500.0	8.156065	0.74691254	8.677617	2.8868713	320000	4.284084e-08	4.2743855	-0.0076466063	-0.19829917	1.3564423	0.0056826826	0.0575625	127.0	855.0880329608917	39.67279	9.784056	59.378796	23.786573	0.0	0.0
20	500.0	8.573606	0.6648775	9.066129	3.4373994	336000	7.450581e-09	3.567667	-0.0066691944	-0.08641698	1.3564423	0.0051089544	0.048875	127.0	903.3101687431335	38.35636	8.6754675	55.04006	21.740902	0.0	0.0
21	500.0	8.385957	0.6065402	8.837386	4.3640137	352000	-1.8626451e-08	4.084525	-0.00697722	-0.21126945	1.3564423	0.0061744833	0.0500625	127.0	946.7139091491699	40.37223	9.54241	57.734802	26.776146	0.0	0.0
22	500.0	8.7354145	0.70618886	9.373304	4.097944	368000	-1.4901161e-08	3.98639	-0.008337636	-0.35005775	1.3564423	0.0072428994	0.05875	127.0	987.1358571052551	42.363754	9.297113	56.099815	25.700603	0.0	0.0
23	500.0	9.036686	0.81202936	9.88134	3.3610168	384000	1.4901161e-08	3.0081174	-0.008762795	-0.73740304	1.3564423	0.0059744064	0.065125	127.0	1026.9224438667297	40.939743	8.587619	55.30453	29.466406	0.0	0.0
24	500.0	8.996791	1.1400706	10.957062	3.4317925	400000	1.4901161e-08	2.9383636	-0.009854581	-0.87482727	1.3564423	0.0063446253	0.078	127.0	1069.1603507995605	45.257893	8.506062	58.476257	31.99853	0.0	0.0
25	500.0	9.947927	1.2802389	11.877003	4.768052	416000	0.0	2.9308767	-0.010381071	-0.89661425	1.3564423	0.006489857	0.0765625	127.0	1116.5252559185028	47.119564	9.958474	64.81542	26.705515	0.0	0.0
26	500.0	10.380737	1.710104	12.978942	4.706134	432000	-5.5879354e-09	2.5513282	-0.01066138	-0.5297607	1.3564423	0.0058942204	0.0790625	127.0	1156.0496592521667	48.68443	10.627128	70.10972	32.084793	0.0	0.0
27	500.0	10.094339	1.8920877	13.816156	2.7053854	448000	-1.4901161e-08	4.129319	-0.010882765	-1.518154	1.3564423	0.008239817	0.086500004	127.0	1202.4890015125275	41.06236	9.705741	58.26814	25.041195	0.0	0.0
28	500.0	10.506949	1.955015	13.293746	4.9223537	464000	2.0489097e-08	2.9755874	-0.010175831	-0.5950046	1.3564423	0.008921777	0.088125005	127.0	1243.5927512645721	48.301456	9.637024	59.024494	28.368183	0.0	0.0
29	500.0	10.238052	1.8861866	13.106332	4.7729926	480000	-3.1664968e-08	3.9418433	-0.011352161	-0.595578	1.3564423	0.007386084	0.0806875	127.0	1281.6244077682495	43.956306	11.131437	68.33425	27.181023	0.0	0.0
30	500.0	9.81418	1.9695629	12.715721	1.2677913	496000	3.7252903e-09	3.3563578	-0.011664264	-0.30851993	1.3564423	0.008336162	0.092625	127.0	1328.907860994339	45.212868	11.453606	64.343704	26.669762	0.0	0.0
31	500.0	10.284804	2.0113745	12.943219	4.1305757	512000	-1.6763806e-08	2.8167753	-0.010088534	-0.33082393	1.3564423	0.00862512	0.0834375	127.0	1371.9411399364471	47.829784	9.285066	67.75768	31.986807	0.0	0.0
32	500.0	10.296385	2.558544	12.795393	-5.5017586	528000	-1.3038516e-08	4.7510824	-0.0090022525	-1.6289254	1.3564423	0.006008593	0.069375	127.0	1413.491311788559	48.66575	10.929563	66.628136	31.124693	0.0	0.0
33	500.0	11.005261	2.0879154	13.430763	4.2679567	544000	2.514571e-08	4.7007737	-0.01049025	-1.5271939	1.3564423	0.009550635	0.0725625	127.0	1458.5652689933777	46.93351	8.305643	63.442204	33.206238	0.0	0.0
34	500.0	10.5962715	1.546054	12.375791	4.5488133	560000	-1.4901161e-08	8.152058	-0.009121319	-1.3190005	1.3564423	0.007981279	0.0731875	127.0	1497.1903734207153	51.920593	14.05002	96.41657	33.790627	0.0	0.0
35	500.0	10.940531	2.141428	13.56147	4.5999393	576000	-5.5879354e-09	5.681681	-0.009682562	-0.45486408	1.3564423	0.008602952	0.0745	127.0	1543.1128549575806	50.32467	11.900574	72.69262	32.88027	0.0	0.0
36	500.0	10.285024	2.8999789	13.3527565	-4.1844554	592000	-1.4901161e-08	13.508817	-0.00944078	-2.7039306	1.3564423	0.007496425	0.078687504	127.0	1585.3102898597717	50.8262	18.375467	101.10117	27.780209	0.0	0.0
37	500.0	12.165641	2.5448728	14.702939	4.340354	608000	0.0	9.872461	-0.00975306	-1.2698516	1.3564423	0.010244568	0.096750006	127.0	1629.5632646083832	59.137955	16.423496	105.89477	30.365665	0.0	0.0
38	500.0	12.336023	3.136464	15.717476	-4.2325253	624000	-2.0489097e-08	13.641189	-0.010380322	-0.41673574	1.3564423	0.0074722418	0.0828125	127.0	1673.6907432079315	56.381927	18.8152	97.34012	29.916986	0.0	0.0
39	500.0	12.814151	3.3370469	15.697959	-1.765337	640000	-2.2351742e-08	21.690334	-0.009967963	-2.286752	1.3564423	0.007842981	0.0791875	127.0	1719.6844639778137	63.993237	22.35801	112.590256	29.442055	0.0	0.0
40	500.0	13.143844	3.6068168	17.227991	3.5619426	656000	-2.6077032e-08	11.190622	-0.010257674	-1.4218273	1.3564423	0.008961714	0.088874996	127.0	1761.6685917377472	55.27543	18.593279	110.08526	31.82476	0.0	0.0
41	500.0	12.672537	3.3840067	16.644144	5.4603715	672000	-3.7252903e-09	14.947218	-0.00975349	-0.52262807	1.3564423	0.0067901737	0.0699375	127.0	1805.5510785579681	56.17881	19.89827	100.64717	28.79648	0.0	0.0
