Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.21873544	0.03089498	0.28312862	0.14620861	16000	-2.0489097e-07	0.022324082	-0.0060478738	-0.019573774	1.3564423	0.0060592405	0.0501875	127.0	46.729756593704224	0.27804136	0.14907058	0.6769776	0.06317225	0.0	0.0
1	500.0	0.08302046	0.01568573	0.12884057	0.038202368	32000	-4.0978193e-08	0.011724989	-0.0058132466	-0.005272865	1.3564423	0.0062448788	0.0489375	127.0	89.19612240791321	0.6619467	0.42708027	1.943729	0.04686872	0.0	0.0
2	500.0	0.12563662	0.034986045	0.21202043	0.0051630586	48000	1.4901161e-08	0.019703226	-0.009035777	-0.00747381	1.3564423	0.006883383	0.090187505	127.0	135.71287202835083	1.0862036	0.63795596	2.9509163	0.33818886	0.0	0.0
3	500.0	0.25824285	0.06119725	0.42184794	0.06512795	64000	-5.2154064e-08	0.14643307	-0.006910143	-0.056930408	1.3564423	0.005628447	0.0690625	127.0	172.87948393821716	2.4404125	1.5936981	7.655574	0.7191207	0.0	0.0
4	500.0	0.55487275	0.096989326	0.8754913	0.18380426	80000	-4.4703484e-08	1.5058808	-0.006225157	-0.7207053	1.3564423	0.0061730314	0.0514375	127.0	218.33214282989502	6.5776815	4.507229	16.620764	0.5583507	0.0	0.0
5	500.0	1.3762932	0.22159265	2.0072339	0.404661	96000	-1.4901161e-08	2.0170472	-0.006034433	-0.9436741	1.3564423	0.0058865394	0.051749997	127.0	270.6526701450348	9.867716	4.835813	21.77701	1.2293857	0.0	0.0
6	500.0	2.3548214	0.6422328	3.7334244	0.024564398	112000	3.7252903e-09	3.2136583	-0.007123679	-1.7551143	1.3564423	0.006407355	0.061937496	127.0	309.0827329158783	15.8623905	5.158574	27.962553	5.9790173	0.0	0.0
7	500.0	3.7739682	1.0969223	5.5056343	-0.04885408	128000	-3.7252903e-09	2.5595188	-0.0067500034	-0.31377158	1.3564423	0.005883483	0.069000006	127.0	344.1723265647888	16.345608	7.0589123	31.354431	5.1658196	0.0	0.0
8	500.0	4.2928214	1.2784464	6.327693	-0.36529455	144000	1.8626451e-09	6.905464	-0.0068914043	-0.8647461	1.3564423	0.007032294	0.0725625	127.0	378.53460931777954	21.378962	10.940155	57.459064	6.273145	0.0	0.0
9	500.0	5.2814846	1.4951308	7.1768546	-0.30430222	160000	0.0	5.386156	-0.0071614324	-0.21198489	1.3564423	0.0069343285	0.059	127.0	413.8463091850281	22.772469	10.245914	73.59438	8.426327	0.0	0.0
10	500.0	5.6965537	1.4687543	7.457431	0.037096515	176000	1.4901161e-08	5.898011	-0.008250365	-0.65055436	1.3564423	0.0061295447	0.0635	127.0	454.93702697753906	26.930996	9.880357	69.486	14.458686	0.0	0.0
11	500.0	6.3883443	1.4384048	7.8440957	1.0457861	192000	1.4901161e-08	6.6960883	-0.006614056	-0.24662587	1.3564423	0.005452496	0.055437498	127.0	504.9953327178955	28.11546	12.325344	87.2345	16.613	0.0	0.0
12	500.0	6.652418	1.1032482	7.673928	1.9766123	208000	-1.8626451e-08	11.908676	-0.0070637222	-0.8926055	1.3564423	0.0072612464	0.074625	127.0	550.9798393249512	32.784744	14.686125	81.28979	20.751112	0.0	0.0
13	500.0	7.3586345	1.5597713	8.921971	1.0885131	224000	7.450581e-09	18.151426	-0.00597096	-1.3684092	1.3564423	0.006647699	0.058375	127.0	598.7460851669312	34.470432	18.883747	85.85825	20.110907	0.0	0.0
14	500.0	8.054282	1.6303854	10.341052	1.8382285	240000	1.1175871e-08	17.187628	-0.007912021	-0.92928654	1.3564423	0.005396388	0.051125	127.0	634.147399187088	33.66678	20.037596	112.82217	17.408463	0.0	0.0
15	500.0	7.4407377	1.6130524	10.209981	-1.8724211	256000	-2.9802322e-08	2.8769975	-0.0083179	-0.53255635	1.3564423	0.007152359	0.057875	127.0	671.2248344421387	30.285755	7.525335	55.925396	11.215683	0.0	0.0
16	500.0	7.4882193	1.2788719	9.970875	2.6811993	272000	4.4703484e-08	23.537266	-0.006596394	-5.2820044	1.3564423	0.004958472	0.0574375	127.0	716.5048971176147	39.402096	22.402094	103.20683	20.749075	0.0	0.0
17	500.0	8.160048	1.5246992	12.198885	1.7059176	288000	-7.450581e-09	7.8207583	-0.007812996	-0.5973292	1.3564423	0.0062067173	0.077250004	127.0	765.1435425281525	34.328697	14.6009035	113.11707	21.85192	0.0	0.0
18	500.0	7.842094	2.4755583	12.871299	-8.162974	304000	0.0	10.907581	-0.006666355	-1.1128902	1.3564423	0.006314054	0.0555	127.0	813.5222928524017	39.0439	17.459265	102.93594	10.722672	0.0	0.0
19	500.0	8.679846	1.5432653	12.121469	1.579646	320000	3.3527613e-08	2.4926653	-0.010260031	-1.2151103	1.3564423	0.0078131445	0.0705	127.0	852.1293804645538	33.753212	4.5602202	41.270424	23.788738	0.0	0.0
20	500.0	8.049465	1.4253496	13.011777	2.7383173	336000	2.2351742e-08	13.157999	-0.007539316	-0.55446714	1.3564423	0.007933026	0.075375006	127.0	889.5042700767517	38.295986	19.31913	115.13984	19.17556	0.0	0.0
21	500.0	8.812201	1.7681801	13.930463	2.9534764	352000	-3.7252903e-08	26.972794	-0.0077312533	-5.7765822	1.3564423	0.0066794157	0.0654375	127.0	925.4945402145386	49.548553	27.665668	121.89291	26.669043	0.0	0.0
22	500.0	9.689004	2.0123322	16.076937	-0.07268947	368000	7.450581e-09	17.085173	-0.008126326	-2.205878	1.3564423	0.007248024	0.0645625	127.0	961.4745531082153	43.000156	24.775148	128.17355	27.31507	0.0	0.0
23	500.0	9.771975	2.6025794	17.204905	-0.5108195	384000	-1.1175871e-08	16.357494	-0.0074016126	-2.1573677	1.3564423	0.006613863	0.0533125	127.0	998.9978380203247	42.760452	22.45053	117.234406	24.293682	0.0	0.0
24	500.0	9.666504	2.999736	18.087723	0.62731785	400000	7.450581e-09	20.222916	-0.0072538275	-3.2182283	1.3564423	0.0074390196	0.081625	127.0	1057.7071537971497	44.895393	28.448952	126.78415	27.639566	0.0	0.0
25	500.0	9.599531	3.3047879	19.584103	-5.999765	416000	-1.5832484e-08	10.091528	-0.008992423	-0.9810674	1.3564423	0.0061775716	0.0735	127.0	1112.550367116928	41.45783	19.38987	108.541374	26.129723	0.0	0.0
26	500.0	9.333536	2.8567812	19.85324	-0.21290472	432000	0.0	8.594147	-0.0076755364	-3.1481242	1.3564423	0.004958043	0.0430625	127.0	1173.5170245170593	37.413742	14.450601	111.63574	25.24796	0.0	0.0
27	500.0	8.87463	2.5290563	19.729187	-5.5701637	448000	1.4901161e-08	8.790645	-0.00905518	-1.0185515	1.3564423	0.0075792056	0.0885625	127.0	1219.635840177536	39.818024	18.736355	118.23362	26.534754	0.0	0.0
28	500.0	10.184389	3.4739747	20.272673	1.7163688	464000	7.450581e-09	28.020939	-0.006237792	-7.3266973	1.3564423	0.00637378	0.063125	127.0	1259.9286713600159	52.267056	33.923767	134.14642	26.081818	0.0	0.0
29	500.0	9.111851	3.2253575	22.19863	-3.843453	480000	4.656613e-09	10.593275	-0.008920515	-2.380797	1.3564423	0.0050162454	0.074625	127.0	1297.8731634616852	37.44836	18.16085	125.85341	22.833025	0.0	0.0
30	500.0	10.859806	5.90747	22.477201	-6.9877496	496000	-2.9802322e-08	45.44162	-0.007161023	-3.2166743	1.3564423	0.006299173	0.0609375	127.0	1336.1133494377136	51.690166	39.732815	137.79578	11.976861	0.0	0.0
31	500.0	10.924881	4.211941	22.328545	-3.0982716	512000	1.4901161e-08	19.92369	-0.007968664	-3.027473	1.3564423	0.0045708795	0.069125004	127.0	1373.9866969585419	48.321796	27.983025	122.445045	24.839664	0.0	0.0
32	500.0	9.656666	4.263083	23.382055	-4.9758244	528000	7.450581e-09	17.39172	-0.0068600634	-3.0373964	1.3564423	0.0045694853	0.0529375	127.0	1411.1217865943909	41.506157	26.273594	133.43178	23.994873	0.0	0.0
33	500.0	9.0502205	3.7720954	24.036587	0.14384179	544000	-2.2351742e-08	10.834112	-0.0062986035	-1.9108151	1.3564423	0.0043196087	0.050875	127.0	1446.5490577220917	37.659714	24.023733	131.69691	25.076998	0.0	0.0
34	500.0	9.077244	5.2713513	24.674797	-1.2727714	560000	-7.450581e-09	17.772448	-0.008240823	-3.5237398	1.3564423	0.0064341263	0.071125	127.0	1482.3342914581299	42.420143	35.360855	140.28116	19.39732	0.0	0.0
35	500.0	8.952385	4.4707384	25.84033	-2.6038756	576000	7.450581e-09	13.89714	-0.009201737	-2.9908018	1.3564423	0.006515635	0.082562506	127.0	1518.7341706752777	34.022697	16.155724	116.69601	20.094774	0.0	0.0
36	500.0	8.103181	3.6104965	25.131664	1.2268474	592000	5.5879354e-09	6.775881	-0.008981767	-0.71300626	1.3564423	0.0077336747	0.0893125	127.0	1553.3792188167572	35.870937	16.52884	114.46899	24.162432	0.0	0.0
37	500.0	9.045461	4.411635	25.3898	1.5026672	608000	0.0	12.394706	-0.008715751	-1.6771674	1.3564423	0.0075775017	0.086500004	127.0	1591.4807295799255	40.490364	29.713602	135.69319	25.443298	0.0	0.0
38	500.0	9.866885	5.6366234	26.114582	2.2555544	624000	0.0	17.71367	-0.008148333	-3.6807837	1.3564423	0.0067029204	0.0756875	127.0	1628.2010333538055	46.663326	35.32906	137.94128	24.416758	0.0	0.0
39	500.0	11.435699	7.0289407	27.195831	1.3439748	640000	-7.450581e-09	24.76043	-0.007958468	-1.790317	1.3564423	0.0061267437	0.0651875	127.0	1665.4453682899475	50.53653	39.499622	141.94902	24.419245	0.0	0.0
40	500.0	9.54875	6.0452833	27.71668	-21.186474	656000	2.0489097e-08	15.452572	-0.008435736	-1.9767643	1.3564423	0.0064151785	0.07906251	127.0	1709.255164384842	42.8042	30.948084	145.50822	25.73008	0.0	0.0
41	500.0	11.400549	7.2000337	28.214838	0.5272529	672000	1.4901161e-08	29.891214	-0.00844181	-2.675265	1.3564423	0.006691174	0.082937494	127.0	1758.480723619461	52.251003	37.776306	142.7461	23.760302	0.0	0.0
42	500.0	10.928796	6.61374	28.269787	0.8068836	688000	-2.2351742e-08	22.144787	-0.008352219	-0.8417512	1.3564423	0.006108436	0.075500004	127.0	1815.6096704006195	47.773247	36.362312	135.11124	24.849337	0.0	0.0
43	500.0	11.889123	7.1493983	28.57715	1.2789088	704000	-2.4214387e-08	30.287819	-0.009424565	-4.0032253	1.3564423	0.0068044504	0.083875	127.0	1874.0944299697876	50.40632	36.233444	146.37775	28.044323	0.0	0.0
44	500.0	11.895869	7.281446	28.472153	0.2527961	720000	-9.313226e-09	34.31257	-0.007717422	-3.0238478	1.3564423	0.008327568	0.0803125	127.0	1923.1637768745422	56.40509	41.761826	150.391	26.663536	0.0	0.0
45	500.0	13.819372	8.046839	29.09777	1.2545347	736000	0.0	36.191544	-0.0087906215	-4.41843	1.3564423	0.008480594	0.08850001	127.0	1960.396614074707	58.257347	44.503746	145.77655	15.034302	0.0	0.0
46	500.0	12.959066	7.5782	29.331203	0.8668121	752000	-1.8626451e-08	33.823944	-0.009118639	-6.641818	1.3564423	0.0089276545	0.09181251	127.0	1995.6502649784088	54.960274	37.624092	138.86365	29.50128	0.0	0.0
47	500.0	10.508332	5.58674	29.674892	2.1445627	768000	-1.3969839e-08	22.439333	-0.008783849	-7.114743	1.3564423	0.007974671	0.0923125	127.0	2031.075800895691	45.286934	33.776745	147.60374	24.15165	0.0	0.0
48	500.0	12.558659	8.852628	30.571735	-12.151215	784000	1.1175871e-08	37.59981	-0.009628667	-4.8427	1.3564423	0.008293727	0.08975	127.0	2088.637943983078	61.576096	45.1474	140.41783	7.245	0.0	0.0
49	500.0	14.210667	8.320833	30.765722	-12.723976	800000	-1.1175871e-08	31.59682	-0.008463478	-3.8841507	1.3564423	0.008005945	0.105375	127.0	2135.6802973747253	61.87826	43.62602	150.7791	27.199286	0.0	0.0
50	500.0	13.186039	7.667124	31.5893	1.8786185	816000	0.0	34.250626	-0.007711031	-3.2728448	1.3564423	0.0070851287	0.090125	127.0	2197.1182255744934	59.22493	42.987064	141.8746	17.25464	0.0	0.0
51	500.0	15.139177	8.851117	32.300045	5.6705256	832000	0.0	33.39011	-0.008806757	-3.258583	1.3564423	0.0061054975	0.0865625	127.0	2259.458065509796	64.86662	40.799015	140.95578	26.363922	0.0	0.0
52	500.0	16.176697	9.537958	32.869385	-0.7743251	848000	2.6077032e-08	44.681854	-0.010002082	-22.308224	1.3564423	0.007862328	0.083375	127.0	2300.2579169273376	60.33387	43.7764	143.2007	16.486105	0.0	0.0
53	500.0	13.194239	7.688406	33.255733	3.8519866	864000	0.0	26.788189	-0.008874585	-5.9709616	1.3564423	0.009645059	0.094624996	127.0	2335.693141222	51.135124	38.32241	138.78061	13.483196	0.0	0.0
54	500.0	10.833782	6.5561385	33.066685	-4.4907074	880000	-2.9802322e-08	17.829283	-0.008036936	-2.7778149	1.3564423	0.008963997	0.095625	127.0	2370.714242696762	46.90735	33.42137	143.16972	20.212103	0.0	0.0
55	500.0	14.839231	10.500143	33.394093	-1.9317691	896000	-3.7252903e-09	35.547226	-0.008479377	-8.717739	1.3564423	0.008770639	0.101375	127.0	2409.974933385849	66.32208	48.154816	146.7692	9.520535	0.0	0.0
56	500.0	15.063709	9.57568	33.860474	-2.851699	912000	1.6763806e-08	27.0626	-0.007920181	-3.8569267	1.3564423	0.008401668	0.0820625	127.0	2451.5019569396973	66.718575	47.999283	145.81299	22.307173	0.0	0.0
57	500.0	13.51652	9.211284	34.020447	-12.728157	928000	1.8626451e-09	19.369316	-0.008129355	-4.0599804	1.3564423	0.0074486593	0.094312504	127.0	2493.1920187473297	59.425785	41.407063	144.28798	11.573637	0.0	0.0
58	500.0	15.124935	10.310054	34.524956	0.7369286	944000	1.8626451e-08	26.301498	-0.007899648	-3.0994945	1.3564423	0.0085996995	0.1041875	127.0	2533.675713300705	69.15779	45.57715	145.59245	25.06402	0.0	0.0
59	500.0	16.38844	10.841035	34.78352	-2.0725875	960000	7.450581e-09	25.961926	-0.008446705	-3.8332548	1.3564423	0.011258728	0.1179375	127.0	2573.003073453903	69.938255	44.00544	139.14375	13.245792	0.0	0.0
60	500.0	14.483291	9.598272	34.79013	0.36631218	976000	3.7252903e-09	22.609776	-0.007575426	-3.5801623	1.3564423	0.0071926927	0.088375	127.0	2611.1323375701904	61.164185	41.352577	140.90906	22.191385	0.0	0.0
61	500.0	16.265686	10.979615	34.982388	1.6514719	992000	1.4901161e-08	24.780933	-0.0074095214	-2.628216	1.3564423	0.009953699	0.1070625	127.0	2653.4879219532013	74.57526	46.086525	147.26877	26.192303	0.0	0.0
62	500.0	17.218613	10.677261	35.262066	6.377823	1008000	3.7252903e-09	21.305752	-0.008158726	-1.7529262	1.3564423	0.009137651	0.1309375	127.0	2694.974150657654	73.49915	44.784767	148.00766	27.008059	0.0	0.0
63	500.0	19.4997	11.730282	35.15648	-1.3612294	1024000	-1.8626451e-09	33.344845	-0.0072545195	-5.96406	1.3564423	0.008783039	0.085	127.0	2735.4024620056152	88.76842	47.637493	147.20815	23.827099	0.0	0.0
64	500.0	17.517694	10.35629	34.96563	1.1212964	1040000	1.4901161e-08	26.145872	-0.00894979	-8.457902	1.3564423	0.0073288307	0.0896875	127.0	2773.4606750011444	68.43675	41.81574	138.47498	20.270355	0.0	0.0
65	500.0	13.710273	9.10762	34.880234	2.9434302	1056000	-1.3038516e-08	23.920547	-0.009208104	-3.4304633	1.3564423	0.008582214	0.1054375	127.0	2810.7173047065735	56.627865	37.925556	141.75545	11.831403	0.0	0.0
66	500.0	18.511576	11.314964	34.32419	3.7822018	1072000	2.6077032e-08	34.61304	-0.008450953	-10.600304	1.3564423	0.00681227	0.081125006	127.0	2848.9270191192627	89.06846	44.255665	144.20807	27.659607	0.0	0.0
67	500.0	19.02463	10.214938	33.94804	6.958962	1088000	-7.450581e-09	34.268307	-0.007822903	-9.700624	1.3564423	0.006859405	0.064812504	127.0	2883.982789993286	74.4532	48.158825	147.33797	22.554562	0.0	0.0
