Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10765561	0.022286167	0.19281031	0.064244896	16000	1.0058284e-07	0.0061073257	-0.0071839737	-0.0049978844	1.3564423	0.0056481278	0.0519375	127.0	39.22774815559387	0.14256638	0.13449134	0.60417044	0.0288705	0.0	0.0
1	500.0	0.050683875	0.017449206	0.09458656	0.010223956	32000	2.2351742e-08	0.003618423	-0.0072688586	-0.0017249079	1.3564423	0.005134785	0.0579375	127.0	85.00519609451294	0.39484984	0.28209567	0.9515288	0.06055154	0.0	0.0
2	500.0	0.09302468	0.020563286	0.14590505	0.023575895	48000	2.9802322e-08	0.008685864	-0.009277409	-0.004243727	1.3564423	0.0059238886	0.081125	127.0	132.08848214149475	0.75724494	0.43341127	1.7655805	0.117222436	0.0	0.0
3	500.0	0.16769011	0.024328973	0.22073299	0.07766832	64000	2.9802322e-08	0.032719504	-0.0063849483	-0.014099067	1.3564423	0.0064538587	0.081	127.0	172.13891005516052	1.1351638	0.7177457	4.1238356	0.32787085	0.0	0.0
4	500.0	0.23206523	0.044814467	0.4133167	0.07877155	80000	7.450581e-09	0.004477391	-0.012965199	-0.0011091228	1.3564423	0.0074107093	0.1034375	127.0	208.94464564323425	1.1517295	0.3531813	1.923688	0.5459154	0.0	0.0
5	500.0	0.27784944	0.082019605	0.6921354	0.08384829	96000	2.9802322e-08	0.36328766	-0.0028190082	-0.21748175	1.3564423	0.0046246815	0.038812503	127.0	244.82977843284607	2.0558424	2.9241958	15.829019	0.758568	0.0	0.0
6	500.0	0.7411071	0.7765342	3.3907733	-0.25411266	112000	-3.7252903e-09	0.254982	-0.0075980597	-0.060013074	1.3564423	0.007715229	0.0878125	127.0	278.9830672740936	2.9070153	3.425282	13.035575	0.58730185	0.0	0.0
7	500.0	1.4874058	1.1136699	4.291158	-0.3157448	128000	7.450581e-09	0.8288058	-0.0060157296	-0.27411416	1.3564423	0.006802017	0.073	127.0	313.8088228702545	6.197913	5.8167677	19.318724	0.62760854	0.0	0.0
8	500.0	2.2827802	1.5095849	6.002828	-0.69986165	144000	-1.8626451e-09	0.92578405	-0.008029424	-0.19720928	1.3564423	0.006857762	0.072	127.0	352.5156891345978	8.900103	4.7321005	18.532307	0.70031595	0.0	0.0
9	500.0	3.054288	1.7225468	6.9428096	-0.72595525	160000	-1.4901161e-08	1.5938736	-0.010433873	-0.65198076	1.3564423	0.008817811	0.0949375	127.0	402.24249148368835	13.9717865	4.768037	21.09148	1.5019035	0.0	0.0
