Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.15472703	0.028369892	0.22317278	0.099558525	16000	-5.2154064e-08	0.011916401	-0.00700854	-0.0067154216	1.3564423	0.006768247	0.0641875	127.0	54.485783100128174	0.39585352	0.34393778	1.407816	0.06581124	0.0	0.0
1	500.0	0.096953824	0.016502423	0.13483004	0.040074043	32000	-5.5879354e-09	0.038648095	-0.00740241	-0.01668432	1.3564423	0.006173552	0.068375	127.0	87.2182297706604	1.0995803	0.8905463	3.4077525	0.10609672	0.0	0.0
2	500.0	0.25028923	0.05310119	0.40099	0.08985398	48000	-3.7252903e-09	0.27004918	-0.006209066	-0.13595137	1.3564423	0.005561119	0.061437503	127.0	121.79559063911438	2.9503174	2.0609217	9.046803	0.44732624	0.0	0.0
3	500.0	0.71242523	0.16368659	1.2379377	0.1670886	64000	0.0	1.5173337	-0.006278441	-0.5177691	1.3564423	0.0053235223	0.06362499	127.0	159.32360911369324	6.344492	4.770809	20.566553	1.4255602	0.0	0.0
4	500.0	1.5168582	0.308053	2.173368	0.2715656	80000	-1.4901161e-08	2.1853747	-0.0059194476	-0.7590157	1.3564423	0.0050070193	0.056375	127.0	196.1856391429901	9.294208	6.094984	21.944717	1.4500331	0.0	0.0
5	500.0	2.2377753	0.7930306	3.9857492	-0.20085827	96000	-4.4703484e-08	2.3057103	-0.008021234	-0.84151256	1.3564423	0.0061634677	0.068875	127.0	231.94739818572998	12.451323	6.0854774	25.406609	1.9209132	0.0	0.0
6	500.0	3.3392603	1.2029036	5.377342	-0.032837454	112000	-1.1175871e-08	2.8980849	-0.007871888	-1.193067	1.3564423	0.0067900782	0.076812506	127.0	266.4531581401825	18.340715	5.722954	29.150429	8.47736	0.0	0.0
7	500.0	4.606495	1.4407736	6.6857	0.121379614	128000	7.450581e-09	2.2667766	-0.0071172686	-0.42576164	1.3564423	0.006052942	0.068124995	127.0	301.8796274662018	21.597984	6.0549603	32.76924	6.9969134	0.0	0.0
8	500.0	5.530068	1.611344	7.633002	0.05194736	144000	-7.450581e-09	4.222191	-0.007911947	-0.43936157	1.3564423	0.0070120087	0.07325	127.0	336.72877049446106	23.837406	8.687698	59.67408	13.633071	0.0	0.0
9	500.0	5.9112363	1.4133605	7.2918425	0.44333306	160000	5.5879354e-09	1.9827713	-0.007200741	-0.26639032	1.3564423	0.006022716	0.0553125	127.0	373.15321683883667	22.315908	4.940646	31.540438	12.181763	0.0	0.0
10	500.0	5.6464763	1.1092423	6.685763	1.1002369	176000	-4.0978193e-08	2.961021	-0.0068271477	-0.20794186	1.3564423	0.0054692226	0.060125	127.0	410.0916278362274	25.668516	7.3081384	43.35495	14.053036	0.0	0.0
11	500.0	5.9114385	0.88371074	6.5994954	1.4530545	192000	2.0489097e-08	2.8030105	-0.007705024	-0.19616835	1.3564423	0.0067048315	0.049187504	127.0	445.5724983215332	28.0173	6.056867	40.63954	17.585701	0.0	0.0
12	500.0	6.4081903	0.9270191	7.026056	1.4650571	208000	1.4901161e-08	4.547554	-0.006909513	-0.061657555	1.3564423	0.0060658013	0.06568751	127.0	481.816082239151	29.045177	9.513691	61.542133	16.578009	0.0	0.0
13	500.0	6.52739	0.8602144	7.035028	2.0305376	224000	-3.7252903e-09	7.670049	-0.005661686	-0.9154664	1.3564423	0.0053082756	0.034	127.0	519.148010969162	33.211456	11.319104	87.71471	21.322937	0.0	0.0
14	500.0	7.4737396	1.1738427	8.146094	1.3219987	240000	3.7252903e-09	6.8382235	-0.005333046	-0.14903033	1.3564423	0.0031927242	0.0375	127.0	556.4321649074554	32.63822	11.833266	71.035995	15.323172	0.0	0.0
15	500.0	7.3485985	0.85688037	7.803856	2.6590066	256000	-1.4901161e-08	19.85203	-0.006979043	-0.23071024	1.3564423	0.007865893	0.063125	127.0	608.6091046333313	35.20609	22.252222	104.90222	15.395243	0.0	0.0
16	500.0	7.77411	0.9569324	8.259467	2.3953931	272000	1.1175871e-08	24.46363	-0.0053988523	-0.9601537	1.3564423	0.0038233525	0.0364375	127.0	655.8866283893585	38.859383	22.794699	111.76942	13.674613	0.0	0.0
17	500.0	8.55952	1.3572679	9.329856	1.727934	288000	1.1175871e-08	10.402946	-0.0066218814	-0.623444	1.3564423	0.006134314	0.05725	127.0	711.0124213695526	34.31094	15.441795	113.964325	16.332245	0.0	0.0
18	500.0	7.919755	1.0591999	8.745619	2.827814	304000	1.1175871e-08	16.45464	-0.006611561	-0.5019299	1.3564423	0.0060810423	0.064125	127.0	767.241602897644	37.954346	19.642515	115.04552	19.05585	0.0	0.0
19	500.0	8.33154	1.2175891	9.51111	2.6886516	320000	-1.8626451e-08	23.420933	-0.0069587138	-4.298305	1.3564423	0.0074902778	0.0670625	127.0	806.8658871650696	38.75	24.069448	122.781715	16.12565	0.0	0.0
