Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.04537115	0.025392983	0.11546047	-0.05612064	16000	-1.1175871e-08	0.0036969874	-0.0055400357	-0.0024777544	1.3564423	0.007310414	0.0489375	127.0	45.678470849990845	0.3853118	0.16608249	0.8127379	0.10886256	0.0	0.0
1	500.0	0.065821275	0.030075893	0.15067191	-0.021088041	32000	1.8626451e-08	0.0021838946	-0.010571401	-0.0008093209	1.3564423	0.007589977	0.09825	127.0	87.90724754333496	0.5028678	0.22032866	0.9567003	0.1835281	0.0	0.0
2	500.0	0.11222443	0.029979052	0.18300027	0.0079511255	48000	-1.4901161e-08	0.007256141	-0.01317061	-0.0033437696	1.3564423	0.007742419	0.11475	127.0	128.4406383037567	0.91612434	0.34368056	1.5510442	0.37331185	0.0	0.0
3	500.0	0.1985115	0.03379226	0.2896564	0.048117526	64000	1.4901161e-08	0.024833795	-0.008714167	-0.009981633	1.3564423	0.006444115	0.0815	127.0	166.12862992286682	1.389348	0.65558296	3.6765995	0.4549657	0.0	0.0
4	500.0	0.30627984	0.060327318	0.5415495	0.14787239	80000	-3.7252903e-09	0.054567713	-0.008781627	-0.025294766	1.3564423	0.007735251	0.0965	127.0	210.08827900886536	1.9448723	0.8364973	4.3556976	0.61583334	0.0	0.0
5	500.0	0.5026246	0.15208133	0.99554765	0.15917605	96000	-1.4901161e-08	0.72035396	-0.0066551766	-0.3602949	1.3564423	0.004639342	0.0623125	127.0	252.62849354743958	4.3289485	2.958963	15.657692	1.0639791	0.0	0.0
6	500.0	1.1377156	0.6120489	2.7228518	-0.1929079	112000	-2.2351742e-08	1.4104283	-0.0072588753	-0.7411697	1.3564423	0.0063780984	0.074562505	127.0	294.7591073513031	7.741798	4.2180853	14.947273	1.2481128	0.0	0.0
7	500.0	2.279187	1.1407682	4.532172	-0.1640136	128000	-7.264316e-08	1.2725583	-0.00790019	-0.66764545	1.3564423	0.006834393	0.086625	127.0	332.2669954299927	11.6239605	2.8454633	18.210615	4.47881	0.0	0.0
8	500.0	3.412464	1.6611098	5.984841	0.10390204	144000	2.4214387e-08	2.1431446	-0.007779804	-0.4988144	1.3564423	0.0054436987	0.0861875	127.0	369.73032546043396	15.608257	5.514199	27.01627	8.212213	0.0	0.0
9	500.0	4.296753	1.8200102	6.925138	0.2293095	160000	-7.450581e-09	2.408853	-0.008943341	-0.3040523	1.3564423	0.010260947	0.0904375	127.0	414.34005880355835	18.2451	6.644538	32.05627	1.7846591	0.0	0.0
10	500.0	5.206558	1.9322095	7.5624027	0.36094415	176000	3.7252903e-09	2.776767	-0.0067309304	-0.33530587	1.3564423	0.0046564937	0.0696875	127.0	454.2251834869385	22.097439	6.845329	34.64121	13.0662565	0.0	0.0
11	500.0	5.6892815	1.6549424	7.473154	0.9696509	192000	2.9802322e-08	4.5100837	-0.0066834036	-0.17509282	1.3564423	0.007065682	0.0771875	127.0	492.30089807510376	23.695978	9.291048	44.10789	13.058392	0.0	0.0
12	500.0	5.9769716	1.4999921	7.248165	0.8965575	208000	-2.0489097e-08	8.419996	-0.007607886	-0.3830667	1.3564423	0.007127056	0.0731875	127.0	536.3844513893127	27.889305	12.982822	59.936615	13.18762	0.0	0.0
