Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10920715	0.02323027	0.19356482	0.06719501	16000	8.568168e-08	0.0060338555	-0.006829311	-0.004960237	1.3564423	0.0058039827	0.0481875	127.0	39.706788539886475	0.16324075	0.13338467	0.5723504	0.027106622	0.0	0.0
1	500.0	0.049907643	0.014006684	0.09780397	0.018237498	32000	-1.4901161e-08	0.003009725	-0.006844612	-0.0015246847	1.3564423	0.0067841886	0.060500003	127.0	75.52369666099548	0.39015895	0.25019187	1.0397973	0.03569527	0.0	0.0
2	500.0	0.0878289	0.016301101	0.1318683	0.0155930035	48000	-1.4901161e-08	0.003381094	-0.009450046	-0.0016807031	1.3564423	0.006071008	0.0754375	127.0	111.7881531715393	0.6071168	0.30425575	1.2349495	0.11934754	0.0	0.0
3	500.0	0.15280928	0.03595228	0.24836262	0.044074543	64000	1.4901161e-08	0.021057561	-0.0077684843	-0.0095468	1.3564423	0.0070927525	0.08225	127.0	147.9133322238922	1.1974274	0.5910613	2.9418104	0.45928472	0.0	0.0
4	500.0	0.2930554	0.0626692	0.4869474	0.10442926	80000	2.6077032e-08	0.14938766	-0.005601555	-0.07373139	1.3564423	0.0052925143	0.053375	127.0	184.34522318840027	2.3289268	1.3107973	6.1721134	0.44123772	0.0	0.0
5	500.0	0.5327157	0.18410672	1.010609	0.03486971	96000	5.5879354e-09	0.3676593	-0.006778541	-0.18385401	1.3564423	0.0069640004	0.0685625	127.0	218.93512773513794	3.8399625	2.0188296	11.084718	1.3990669	0.0	0.0
6	500.0	1.0458008	0.47960347	2.1827438	0.009748161	112000	1.6763806e-08	1.6328799	-0.0054767802	-0.73650193	1.3564423	0.0058191563	0.0586875	127.0	254.1017873287201	7.248827	4.631263	21.611969	0.8675054	0.0	0.0
7	500.0	1.8800603	1.0066341	4.022351	-0.10879316	128000	1.6763806e-08	2.3235233	-0.0066301897	-1.2362634	1.3564423	0.0074152043	0.0710625	127.0	289.40925788879395	11.55497	4.7893586	22.441092	2.1655145	0.0	0.0
8	500.0	3.1890996	1.6133201	5.7315884	-0.1926986	144000	-1.8626451e-08	1.4690347	-0.007888747	-0.2976148	1.3564423	0.0055204798	0.0791875	127.0	324.6054699420929	13.842042	4.8040195	23.816465	3.1055918	0.0	0.0
9	500.0	3.7854059	1.6608405	6.030967	-0.019841194	160000	1.4901161e-08	1.8210964	-0.008714804	-0.16127436	1.3564423	0.006779613	0.07637501	127.0	360.37052631378174	15.740318	6.0526333	31.871683	4.141526	0.0	0.0
10	500.0	4.274278	1.7725792	6.591102	-0.062320404	176000	1.8626451e-09	2.914367	-0.007790041	-1.1601616	1.3564423	0.0067611337	0.0673125	127.0	396.82319808006287	21.730167	6.143794	33.251083	9.547729	0.0	0.0
11	500.0	5.8369355	1.8718861	7.796666	0.06381634	192000	-5.2154064e-08	2.6994333	-0.008132693	-0.42893988	1.3564423	0.005687013	0.06275	127.0	433.4620213508606	26.458244	7.2852564	42.01703	14.421733	0.0	0.0
12	500.0	6.368471	1.8908676	8.4519615	0.49208125	208000	-7.450581e-09	2.5293489	-0.007980122	-0.14503786	1.3564423	0.0064183027	0.0580625	127.0	480.0962052345276	27.510427	7.2672296	39.622772	14.372019	0.0	0.0
13	500.0	6.6873193	1.8580612	8.546695	0.82454497	224000	7.450581e-09	4.743981	-0.0070304032	-0.63157123	1.3564423	0.005951889	0.0516875	127.0	524.8726718425751	26.233194	10.545225	51.2907	12.350727	0.0	0.0
14	500.0	6.4441004	1.8368418	8.757675	0.83089286	240000	7.450581e-09	6.562823	-0.007360819	-1.5077254	1.3564423	0.005569289	0.052249998	127.0	594.344441652298	24.880075	12.368541	69.24092	11.580416	0.0	0.0
15	500.0	5.975024	1.9667141	9.1725235	-3.2298963	256000	2.2351742e-08	5.0899687	-0.007438723	-0.67025834	1.3564423	0.0072042374	0.059437502	127.0	647.5886943340302	28.811634	11.987233	60.242336	13.909021	0.0	0.0
16	500.0	6.9998193	2.1693065	10.377647	0.27934206	272000	7.450581e-09	4.1244674	-0.0074763848	-0.6499182	1.3564423	0.007125548	0.062	127.0	688.1946761608124	28.580547	11.076512	52.54926	12.684039	0.0	0.0
17	500.0	6.810021	2.2773883	10.58836	0.78840613	288000	-1.4901161e-08	4.2566586	-0.008382201	-0.36451823	1.3564423	0.0076799365	0.0685625	127.0	723.3059492111206	31.08431	12.070271	69.11778	12.81271	0.0	0.0
18	500.0	6.661102	2.6511889	11.258253	-1.4765141	304000	-7.450581e-09	2.0414424	-0.0075640446	-0.5985415	1.3564423	0.0064964327	0.0594375	127.0	760.626496553421	28.752129	9.739888	41.01978	14.799808	0.0	0.0
19	500.0	7.408296	2.080082	10.545766	-0.63423336	320000	7.450581e-09	3.3043513	-0.0070945243	-0.49258876	1.3564423	0.006060174	0.0564375	127.0	805.4374206066132	33.162403	10.370276	59.522896	11.644583	0.0	0.0
20	500.0	7.311453	2.4198058	10.820102	-2.3668554	336000	-1.4901161e-08	2.3343818	-0.0073700775	-0.4624182	1.3564423	0.005105527	0.04825	127.0	853.7593686580658	32.902466	9.648439	42.411858	14.160655	0.0	0.0
21	500.0	8.102828	2.2961361	11.302091	-1.809978	352000	1.6763806e-08	2.2613614	-0.00837691	-0.59043133	1.3564423	0.0063771727	0.05975	127.0	903.3352270126343	36.945065	7.20985	45.20628	14.600528	0.0	0.0
22	500.0	8.793516	1.9491132	11.360184	0.51481825	368000	3.7252903e-08	4.2777624	-0.0078053675	-0.8210399	1.3564423	0.0060500056	0.0530625	127.0	963.8065528869629	34.782673	9.641096	62.56414	13.638241	0.0	0.0
23	500.0	8.41877	1.8987377	10.831701	-0.26640534	384000	0.0	3.6306076	-0.009334808	-0.4927147	1.3564423	0.0063073095	0.060499996	127.0	1016.0120208263397	36.0572	9.548629	52.956203	12.514586	0.0	0.0
24	500.0	8.482914	1.8142775	11.001767	0.3601187	400000	-1.4901161e-08	3.045003	-0.008771487	-0.35790348	1.3564423	0.005581163	0.061562497	127.0	1056.3661673069	38.0716	8.088871	54.64205	18.824516	0.0	0.0
25	500.0	8.939056	2.1503463	11.51075	-0.8088176	416000	-1.4901161e-08	1.4087747	-0.006890879	-0.15165737	1.3564423	0.0056999666	0.0519375	127.0	1097.3613286018372	37.73162	6.7945576	52.557148	16.970594	0.0	0.0
26	500.0	8.882732	2.1469836	11.270423	-1.2405957	432000	1.8626451e-09	1.5925572	-0.007934602	-0.1753673	1.3564423	0.007877469	0.06875	127.0	1135.7067003250122	39.13531	8.122079	59.636536	10.747806	0.0	0.0
27	500.0	8.891635	2.2395175	11.669046	-0.66633743	448000	-1.4901161e-08	2.719616	-0.0071354024	-0.44494635	1.3564423	0.0064611025	0.049875	127.0	1171.4619300365448	38.106018	9.6734495	59.83083	8.967358	0.0	0.0
28	500.0	9.579785	1.9144826	11.95561	1.9172057	464000	-7.450581e-09	2.4428189	-0.008357262	-0.27030993	1.3564423	0.0056814416	0.06675	127.0	1208.3440642356873	41.17066	7.3858275	62.472534	14.376116	0.0	0.0
29	500.0	9.791454	2.0195918	11.820868	1.1821007	480000	7.450581e-09	3.1263447	-0.007868718	-0.31409064	1.3564423	0.0078820735	0.0661875	127.0	1245.7462327480316	42.411728	8.043744	57.299294	11.340933	0.0	0.0
30	500.0	9.527834	2.340426	12.012524	-0.6477621	496000	0.0	5.778797	-0.008673865	-0.63237965	1.3564423	0.009443819	0.085125	127.0	1283.8133144378662	42.58001	11.962661	81.58175	16.714388	0.0	0.0
31	500.0	10.211467	2.306468	12.7601595	2.298094	512000	2.7939677e-08	1.8078731	-0.008449603	-0.5992212	1.3564423	0.004981245	0.060312502	127.0	1319.9343390464783	39.724594	6.329012	55.049023	17.12802	0.0	0.0
32	500.0	9.743466	2.23468	12.336581	2.1338675	528000	-3.1664968e-08	9.429466	-0.007101292	-2.6548767	1.3564423	0.0068210643	0.057812497	127.0	1355.2539193630219	47.639877	11.192335	71.79233	31.265215	0.0	0.0
33	500.0	10.832642	2.456402	13.445095	2.1363325	544000	-1.8626451e-08	5.4978356	-0.0063568987	-1.6150959	1.3564423	0.0056640957	0.0619375	127.0	1389.878159046173	41.734722	10.891597	65.84238	14.095113	0.0	0.0
