Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10935328	0.022127584	0.19356482	0.06727871	16000	7.0780516e-08	0.006363434	-0.0074150893	-0.005275109	1.3564423	0.0053648446	0.052375	127.0	38.04253911972046	0.14041954	0.1321765	0.5938756	0.027666286	0.0	0.0
1	500.0	0.050724883	0.018248778	0.09710726	0.009658492	32000	-3.7252903e-08	0.0034558694	-0.0070990715	-0.0015761515	1.3564423	0.0053214934	0.057125002	127.0	73.0926833152771	0.3858518	0.2781212	0.9287091	0.059555206	0.0	0.0
2	500.0	0.09123432	0.019364938	0.14234337	0.024672681	48000	-3.3527613e-08	0.009718835	-0.008739792	-0.0049554342	1.3564423	0.00521683	0.077437505	127.0	108.90360569953918	0.7719768	0.4512205	1.7527212	0.10011292	0.0	0.0
3	500.0	0.16661663	0.024926407	0.2317512	0.06604388	64000	-1.4901161e-08	0.026874123	-0.006436241	-0.0111752935	1.3564423	0.0063685193	0.080249995	127.0	145.44111490249634	1.1054283	0.67359906	3.7513685	0.3224725	0.0	0.0
4	500.0	0.22329201	0.041592274	0.383648	0.060847607	80000	-7.450581e-09	0.0039206203	-0.012676369	-0.0009902103	1.3564423	0.0072751185	0.106625006	127.0	178.2488887310028	1.145371	0.33575544	1.9039928	0.54827386	0.0	0.0
5	500.0	0.2794756	0.09060521	0.69171745	0.080328345	96000	-3.7252903e-09	0.54209864	-0.0037881667	-0.36307997	1.3564423	0.0038015163	0.02975	127.0	212.67932534217834	2.3775315	3.407285	14.638831	0.71771145	0.0	0.0
6	500.0	0.74725294	0.8045028	3.4839795	-0.4602233	112000	3.7252903e-09	0.19175066	-0.007922496	-0.03622242	1.3564423	0.0071902517	0.08356251	127.0	249.37651705741882	2.666013	2.893949	10.924791	0.6545824	0.0	0.0
7	500.0	1.4021524	1.082763	3.7071984	-0.3431975	128000	-7.450581e-09	0.5492889	-0.006515225	-0.1342069	1.3564423	0.005906336	0.0786875	127.0	293.10487151145935	4.789014	4.8551826	16.957546	0.64199084	0.0	0.0
8	500.0	1.9143304	1.2488614	4.769105	-0.5270144	144000	2.6077032e-08	0.77677274	-0.0075902566	-0.3009078	1.3564423	0.006705376	0.06625	127.0	327.86770725250244	6.4496655	4.480642	16.520605	0.7352682	0.0	0.0
9	500.0	2.2459717	1.3605629	5.5900445	-0.82323027	160000	2.2351742e-08	1.6481613	-0.011568296	-0.73866475	1.3564423	0.009006206	0.1098125	127.0	364.4501140117645	11.428595	5.6880217	21.537685	0.7700543	0.0	0.0
10	500.0	3.127834	1.9515982	7.1854	-0.82665116	176000	1.8626451e-09	2.2509785	-0.0069437656	-0.22587046	1.3564423	0.008041376	0.062875	127.0	401.5496473312378	11.890196	7.55442	36.081833	0.8239416	0.0	0.0
11	500.0	3.0439537	1.8503379	7.0042205	-0.60061437	192000	3.1664968e-08	1.3171604	-0.0086400425	-0.27258822	1.3564423	0.0067941295	0.0793125	127.0	439.8515160083771	10.331118	7.741835	28.205853	0.7886328	0.0	0.0
12	500.0	3.5322597	1.9720386	7.0664167	-1.0335307	208000	-7.450581e-09	5.1236644	-0.0057333903	-0.39088762	1.3564423	0.0057504256	0.046125002	127.0	475.9878649711609	13.369543	12.137228	73.41514	0.6881834	0.0	0.0
13	500.0	3.8975577	2.1846478	7.1692653	-1.1970551	224000	7.450581e-09	5.4509854	-0.006573937	-0.55398774	1.3564423	0.0056890976	0.0545	127.0	513.0671780109406	15.070338	11.694492	68.37448	0.8119253	0.0	0.0
14	500.0	4.372831	1.7782947	7.4922385	-1.2005084	240000	-1.4901161e-08	1.7080413	-0.0067012245	-0.4010167	1.3564423	0.00511906	0.049812503	127.0	553.4015955924988	16.650425	5.4798293	29.95635	7.17217	0.0	0.0
15	500.0	4.0961313	1.4970834	6.9416776	-0.43693298	256000	-1.3038516e-08	1.6396811	-0.0071011446	-0.55529755	1.3564423	0.004838059	0.0553125	127.0	598.7563848495483	14.9961605	4.3839574	28.129486	7.7369165	0.0	0.0
16	500.0	3.8932767	1.1551152	6.1421785	-0.30047932	272000	0.0	25.912231	-0.005154705	-3.878481	1.3564423	0.0065087816	0.0425	127.0	641.9816057682037	24.748005	23.731722	98.88124	7.112889	0.0	0.0
17	500.0	5.5381846	1.6897051	8.896461	-0.5111447	288000	0.0	14.390819	-0.005608728	-1.268174	1.3564423	0.005210211	0.059875004	127.0	680.2619209289551	22.416061	18.061071	92.77803	8.92113	0.0	0.0
18	500.0	4.924472	1.4503264	8.284324	0.223518	304000	-2.2351742e-08	7.82337	-0.0062349057	-0.8326119	1.3564423	0.006079359	0.0535625	127.0	719.5816369056702	19.656574	13.797597	94.554504	8.599162	0.0	0.0
19	500.0	4.596199	1.396971	8.3668585	0.33810475	320000	-1.8626451e-08	2.8983474	-0.0075990073	-1.4977494	1.3564423	0.0050212387	0.05775	127.0	755.2456772327423	16.674995	5.7753086	38.977047	7.8914666	0.0	0.0
20	500.0	3.6370196	1.1114458	6.229088	0.2147657	336000	3.7252903e-08	0.7663509	-0.008073386	-0.11826515	1.3564423	0.0066807703	0.066125005	127.0	792.07492852211	17.781689	3.4390285	25.45448	11.147364	0.0	0.0
21	500.0	3.9610171	1.0916309	6.348821	0.6516734	352000	1.0244548e-08	0.9746564	-0.006466683	-0.33512127	1.3564423	0.0070839208	0.0579375	127.0	830.7559149265289	20.784317	3.7005832	27.44752	13.215465	0.0	0.0
22	500.0	4.6809464	1.2049243	7.1846414	1.111832	368000	-7.450581e-09	5.8966947	-0.00614482	-0.6267344	1.3564423	0.004704551	0.059375	127.0	868.1778411865234	24.350582	12.328753	87.64635	15.261138	0.0	0.0
23	500.0	5.382846	1.395618	8.100843	1.3453805	384000	2.9802322e-08	11.46736	-0.006581434	-1.2449589	1.3564423	0.008513618	0.085062504	127.0	904.7896990776062	27.237673	17.273691	96.897606	8.4298115	0.0	0.0
24	500.0	6.230296	1.6587286	9.666164	1.2172533	400000	-2.9802322e-08	4.9272075	-0.0069582695	-0.35899818	1.3564423	0.0050896085	0.062437497	127.0	939.6493766307831	26.946657	11.20958	83.74626	17.246233	0.0	0.0
