Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.08092868	0.014417012	0.12009488	0.025137495	16000	-1.1175871e-08	0.014209166	-0.0046141483	-0.005137353	1.3564423	0.0074206907	0.046499997	127.0	46.60387110710144	0.66763926	0.52208745	1.9629314	0.09120613	0.0	0.0
1	500.0	0.11364043	0.05228409	0.22672577	-0.030446446	32000	1.7695129e-08	0.029861018	-0.0055554304	-0.0094216	1.3564423	0.006138088	0.066625	127.0	84.66842007637024	1.052577	0.8649828	3.3451378	0.06615759	0.0	0.0
2	500.0	0.19234174	0.08651308	0.43011674	-0.034648765	48000	-7.450581e-09	0.040218446	-0.007481799	-0.011001762	1.3564423	0.0073478515	0.0969375	127.0	126.35331416130066	1.3920493	1.1388178	5.2790027	0.21267094	0.0	0.0
3	500.0	0.33115402	0.11896804	0.5975394	-0.094365865	64000	-1.4901161e-08	0.12843959	-0.008027755	-0.06631846	1.3564423	0.0077173053	0.083749995	127.0	162.34324598312378	2.604247	2.024137	7.558024	0.38524374	0.0	0.0
4	500.0	0.6577367	0.22752087	1.381128	-0.017332489	80000	2.2351742e-08	0.20833787	-0.010823842	-0.10861515	1.3564423	0.009192131	0.104	127.0	202.89494585990906	3.9400926	2.6070886	11.299666	0.7738518	0.0	0.0
5	500.0	1.0878032	0.4422359	2.4247422	0.026245695	96000	4.0978193e-08	2.565649	-0.0073296037	-1.4538304	1.3564423	0.0059658326	0.073249996	127.0	240.88050818443298	9.36754	6.659682	32.719723	1.8804655	0.0	0.0
6	500.0	2.6384857	1.0714422	4.7777843	-0.2681168	112000	7.450581e-09	2.8422287	-0.007720746	-1.3178406	1.3564423	0.0052665644	0.07412501	127.0	279.03894901275635	14.620448	8.212852	33.471733	2.0257986	0.0	0.0
7	500.0	3.5890825	1.7242994	7.0175195	-1.0600991	128000	7.450581e-09	1.750371	-0.009140795	-0.3441929	1.3564423	0.00629416	0.0845625	127.0	315.79991698265076	16.220287	7.086367	32.77905	5.356346	0.0	0.0
8	500.0	4.703543	1.8192728	7.5983963	-1.4496237	144000	1.4901161e-08	3.6499813	-0.008592788	-0.6733386	1.3564423	0.0056879036	0.076	127.0	354.6377115249634	22.440262	10.243096	46.174145	7.600733	0.0	0.0
9	500.0	5.117809	2.1909049	9.940205	-1.7785813	160000	2.2351742e-08	2.6786947	-0.008563291	-0.64922374	1.3564423	0.007461676	0.064125	127.0	407.8211307525635	22.796988	6.8999367	37.091232	12.143696	0.0	0.0
10	500.0	6.3791394	2.051963	9.376766	-0.53588676	176000	1.4901161e-08	5.9264064	-0.008588232	-0.6555009	1.3564423	0.006281291	0.077125	127.0	468.7049653530121	29.282478	11.062576	78.944855	11.406157	0.0	0.0
11	500.0	7.192622	2.272556	10.452085	-0.95363885	192000	1.6763806e-08	3.8454103	-0.008282939	-0.4408054	1.3564423	0.0054772175	0.065937504	127.0	531.9617605209351	29.893478	7.52421	53.143456	18.492094	0.0	0.0
12	500.0	7.7730627	1.7341208	10.011344	0.3783003	208000	3.3527613e-08	12.48984	-0.0066980356	-0.47519302	1.3564423	0.0068854024	0.063999996	127.0	594.6676268577576	33.906853	16.728851	118.48515	19.16436	0.0	0.0
13	500.0	8.095448	1.8460035	10.115539	0.16213135	224000	7.450581e-09	9.22871	-0.007772019	-0.6029373	1.3564423	0.0072016697	0.0745	127.0	654.6298785209656	36.253143	11.55908	88.521736	19.45213	0.0	0.0
14	500.0	8.871344	2.0138113	10.6867485	-0.40778542	240000	1.4901161e-08	12.95402	-0.006699046	-0.22439426	1.3564423	0.007321692	0.05325	127.0	718.0609588623047	38.4899	16.000332	109.48177	20.230326	0.0	0.0
15	500.0	9.05163	1.7688142	10.416961	0.4608503	256000	1.4901161e-08	8.729504	-0.008206328	-1.1399659	1.3564423	0.007305649	0.064500004	127.0	765.118159532547	34.557823	10.365327	68.30792	16.423994	0.0	0.0
16	500.0	8.205052	1.4055917	9.189225	0.7300974	272000	-3.7252903e-09	5.539196	-0.008660422	-1.025473	1.3564423	0.005729152	0.067375004	127.0	812.4893791675568	40.806633	8.163807	57.171173	25.004488	0.0	0.0
17	500.0	9.171131	1.6827039	10.256917	-0.68381405	288000	1.4901161e-08	9.393353	-0.0073498846	-0.33528012	1.3564423	0.007589422	0.0664375	127.0	852.2026994228363	41.41304	12.376354	76.56906	24.580666	0.0	0.0
18	500.0	9.4147415	1.8391069	10.777843	-1.8286455	304000	7.450581e-09	8.826965	-0.0071596196	-0.76725435	1.3564423	0.0074862405	0.0641875	127.0	892.5963118076324	37.81214	12.082683	80.50033	22.052124	0.0	0.0
19	500.0	8.885649	1.3799773	9.932671	-1.1015028	320000	-7.450581e-09	16.662243	-0.0074462555	-4.280261	1.3564423	0.0064342334	0.06631251	127.0	928.1845066547394	49.479378	15.228724	90.78168	28.689247	0.0	0.0
20	500.0	10.7119665	1.886614	11.836886	0.980791	336000	-2.6077032e-08	8.341367	-0.00816251	-0.80310214	1.3564423	0.005755999	0.0506875	127.0	968.1996412277222	43.104927	11.3557825	68.13181	25.404522	0.0	0.0
21	500.0	10.044996	1.8101275	11.349023	0.94656	352000	3.7252903e-09	8.622864	-0.0077701416	-0.8841862	1.3564423	0.004804746	0.043	127.0	1005.8079679012299	43.839005	12.658415	80.79266	23.347416	0.0	0.0
22	500.0	10.07819	1.8842971	11.613106	1.2087361	368000	2.2351742e-08	11.114454	-0.007300621	-1.3599806	1.3564423	0.00808865	0.0678125	127.0	1041.562790632248	48.13759	14.259684	97.687614	25.985077	0.0	0.0
23	500.0	10.358713	2.2034247	12.708047	1.6606323	384000	-2.9802322e-08	10.469817	-0.008833546	-0.9217551	1.3564423	0.008178007	0.079375	127.0	1078.8337035179138	44.48649	15.087645	104.99646	17.70889	0.0	0.0
24	500.0	10.51072	2.1618998	12.750599	1.6225761	400000	3.7252903e-09	9.017281	-0.00890724	-1.106531	1.3564423	0.004706526	0.0553125	127.0	1115.8503119945526	46.20884	13.3135195	89.884415	23.151283	0.0	0.0
25	500.0	10.065646	2.8722298	13.276662	-3.969493	416000	1.8626451e-09	14.127848	-0.008953139	-2.0996006	1.3564423	0.007345121	0.078250006	127.0	1158.2916359901428	49.602425	15.540074	104.05757	24.87333	0.0	0.0
26	500.0	11.365309	2.5318327	14.313337	2.5023239	432000	-1.4901161e-08	9.3813	-0.008635509	-1.5678506	1.3564423	0.008592829	0.0860625	127.0	1201.2518475055695	50.211384	14.094834	87.82975	23.456142	0.0	0.0
27	500.0	11.666717	3.14883	15.010637	-2.5598733	448000	1.1175871e-08	11.095079	-0.008657993	-2.8993793	1.3564423	0.006694387	0.0700625	127.0	1241.2828559875488	47.977394	14.95116	89.36883	27.401499	0.0	0.0
28	500.0	11.021826	2.8263807	15.081302	3.1406226	464000	1.4901161e-08	7.154167	-0.010601528	-0.4316889	1.3564423	0.007484625	0.0898125	127.0	1278.6745102405548	48.85287	12.441924	75.2975	27.422848	0.0	0.0
29	500.0	11.274695	2.7270598	15.2834835	3.94302	480000	1.4901161e-08	10.593494	-0.008914473	-2.016734	1.3564423	0.006993457	0.082375	127.0	1318.4319224357605	44.105812	14.287714	88.667496	26.621202	0.0	0.0
30	500.0	11.104871	3.0990667	15.100713	2.6629288	496000	-1.4901161e-08	5.9787903	-0.008411694	-1.3896306	1.3564423	0.0059071546	0.062000003	127.0	1357.1159641742706	45.586506	12.080209	64.75106	27.254822	0.0	0.0
31	500.0	10.956045	2.6739557	14.881332	4.6170397	512000	1.8626451e-08	7.813301	-0.008143105	-1.2566226	1.3564423	0.0073122988	0.0661875	127.0	1393.9308023452759	45.73004	15.219554	74.38462	26.113005	0.0	0.0
32	500.0	11.317625	3.144725	15.136392	2.8942223	528000	0.0	18.47127	-0.0081332745	-1.9880116	1.3564423	0.007137037	0.0653125	127.0	1433.403648853302	51.22058	21.022633	119.168655	22.774664	0.0	0.0
33	500.0	11.718215	3.1830168	15.10851	2.0795605	544000	-1.4901161e-08	14.615199	-0.007513825	-1.6943678	1.3564423	0.004734308	0.054875	127.0	1478.6303508281708	48.21383	18.823874	96.64818	24.85373	0.0	0.0
34	500.0	11.06441	3.1327798	15.0177145	3.652914	560000	1.1175871e-08	9.046358	-0.008576278	-1.568749	1.3564423	0.008314582	0.0800625	127.0	1519.1862995624542	48.514626	17.892406	84.97572	21.667137	0.0	0.0
35	500.0	12.320217	3.3199446	15.92517	2.8841193	576000	2.2351742e-08	20.542206	-0.00793556	-1.7647324	1.3564423	0.0075078364	0.07762501	127.0	1570.0952558517456	54.52656	21.32818	125.663666	24.987856	0.0	0.0
