Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.085075654	0.014213179	0.124056734	0.02803632	16000	2.2351742e-08	0.014459183	-0.004560747	-0.0051839375	1.3564423	0.0074721454	0.048	127.0	40.334590673446655	0.6788726	0.53001887	2.0023284	0.0930435	0.0	0.0
1	500.0	0.11835958	0.051173132	0.2297074	-0.023634767	32000	8.8475645e-09	0.03050705	-0.0055860896	-0.009706723	1.3564423	0.00613629	0.06775001	127.0	83.06926321983337	1.0749483	0.8776195	3.4292853	0.06829463	0.0	0.0
2	500.0	0.19860007	0.084651485	0.43675947	-0.027157314	48000	1.4901161e-08	0.04075115	-0.0074217645	-0.011264255	1.3564423	0.007104553	0.0945	127.0	120.21757626533508	1.4127692	1.1517802	5.408199	0.22349046	0.0	0.0
3	500.0	0.33577594	0.12024366	0.6057955	-0.09649865	64000	-2.9802322e-08	0.13091941	-0.008141901	-0.06806529	1.3564423	0.0077498136	0.0858125	127.0	160.228590965271	2.63171	2.0515902	7.6602025	0.38792554	0.0	0.0
4	500.0	0.65957814	0.23562828	1.4099153	-0.036028486	80000	-7.450581e-09	0.21407425	-0.010654895	-0.11172293	1.3564423	0.009120222	0.105937496	127.0	196.8302845954895	3.9455533	2.664871	11.522825	0.7337278	0.0	0.0
5	500.0	1.091371	0.44882873	2.4429433	0.012928153	96000	-2.9802322e-08	2.554088	-0.007277898	-1.4514309	1.3564423	0.006057716	0.0738125	127.0	233.72572255134583	9.339533	6.676188	32.82698	1.8753676	0.0	0.0
6	500.0	2.634027	1.0848544	4.771322	-0.30454737	112000	-3.7252903e-09	2.821776	-0.0077768723	-1.3263888	1.3564423	0.005452377	0.0775	127.0	270.11010241508484	14.578714	8.200396	33.276653	1.9785876	0.0	0.0
7	500.0	3.6111166	1.7478553	7.0398154	-1.093499	128000	0.0	1.725955	-0.0092337895	-0.35032082	1.3564423	0.00640203	0.085	127.0	303.1060314178467	16.403599	7.05217	32.291954	5.5073633	0.0	0.0
8	500.0	4.739007	1.8395563	7.5221334	-1.5039921	144000	0.0	6.6505423	-0.0077513224	-1.2943939	1.3564423	0.0053910716	0.07718749	127.0	342.00217938423157	23.625317	12.453725	66.003654	7.764075	0.0	0.0
9	500.0	5.301416	2.4198594	10.34299	-2.0254073	160000	0.0	2.0724902	-0.009576183	-0.5188302	1.3564423	0.0072113774	0.0641875	127.0	378.0158660411835	22.8169	6.8696566	37.04681	12.364251	0.0	0.0
