Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.076406114	0.02521115	0.13475457	-0.0089848265	16000	3.7252903e-09	0.0027955782	-0.006234345	-0.0018556272	1.3564423	0.007861585	0.059562497	127.0	58.439072132110596	0.2502241	0.13360092	0.5575619	0.0755709	0.0	0.0
1	500.0	0.049764663	0.01204468	0.087305315	0.016429545	32000	5.5879354e-09	0.0018986054	-0.0067911576	-0.0007693775	1.3564423	0.0061475113	0.062562495	127.0	97.70806169509888	0.33897638	0.18817161	0.878729	0.03832573	0.0	0.0
2	500.0	0.0639099	0.031117251	0.13767807	-0.010420185	48000	-3.7252903e-09	0.0022115277	-0.011848159	-0.0005674612	1.3564423	0.009190567	0.13287501	127.0	145.98451733589172	0.48181027	0.2515756	1.2691281	0.10701061	0.0	0.0
3	500.0	0.113304034	0.035295896	0.21584201	-0.008675648	64000	-2.9802322e-08	0.0035916783	-0.011999588	-0.001052659	1.3564423	0.009318546	0.113875	127.0	201.02757263183594	0.7038268	0.31545272	1.7714465	0.23546262	0.0	0.0
4	500.0	0.16994175	0.045450326	0.30640215	0.055865332	80000	1.4901161e-08	0.0099636335	-0.010391155	-0.005499505	1.3564423	0.007831436	0.103250004	127.0	249.23538446426392	1.0187198	0.52444434	2.8863416	0.33504924	0.0	0.0
5	500.0	0.24303137	0.0740781	0.5588914	0.093936756	96000	7.450581e-09	0.095755145	-0.0073353406	-0.04676282	1.3564423	0.009325294	0.1166875	127.0	304.7249002456665	1.5934378	1.4109721	8.632305	0.4249095	0.0	0.0
6	500.0	0.5521726	0.23035008	1.3381196	-0.010935046	112000	3.7252903e-09	0.07029027	-0.010980837	-0.039745815	1.3564423	0.0058959755	0.10187501	127.0	342.65788221359253	1.9927111	1.4216408	6.644461	0.5080069	0.0	0.0
7	500.0	0.57828003	0.39010236	2.0331633	-0.2061979	128000	4.0978193e-08	0.16836818	-0.011260921	-0.07696453	1.3564423	0.009295847	0.13525	127.0	380.83807826042175	2.5879664	2.491681	10.43601	0.33944535	0.0	0.0
8	500.0	0.92823386	0.7552805	3.0990713	-0.43373322	144000	7.450581e-09	0.24833068	-0.009964822	-0.060775794	1.3564423	0.006444468	0.103562504	127.0	439.3109631538391	3.125994	3.1382582	11.419212	0.3779029	0.0	0.0
9	500.0	1.4447597	0.9649918	3.8198135	-0.59166664	160000	-1.8626451e-09	0.6273985	-0.009190758	-0.2167823	1.3564423	0.008672833	0.104125	127.0	498.64662528038025	6.3173122	5.1848063	21.983425	1.031775	0.0	0.0
10	500.0	1.6865152	1.2632614	4.709933	-0.84042346	176000	-4.4703484e-08	0.54588145	-0.007662846	-0.1712752	1.3564423	0.005912109	0.0720625	127.0	543.6850688457489	6.9818263	5.601848	18.111526	1.6940995	0.0	0.0
11	500.0	2.2224317	1.7172024	6.189622	-0.7453537	192000	1.4901161e-08	0.8051466	-0.0077173933	-0.17890918	1.3564423	0.005952695	0.080625	127.0	584.1400005817413	8.628717	6.941083	22.742615	1.0420913	0.0	0.0
12	500.0	3.0005891	2.016548	7.1308403	-0.6590162	208000	-1.4901161e-08	1.0066508	-0.009435672	-0.2110489	1.3564423	0.007872869	0.0788125	127.0	623.0312983989716	11.613486	7.925978	27.66283	0.8645782	0.0	0.0
