Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.09615776	0.016417393	0.16406323	0.013611169	16000	-2.6077032e-08	0.014074831	-0.006604839	-0.006202062	1.3564423	0.008107752	0.053	127.0	38.596851110458374	0.86761415	0.47662395	2.2526076	0.26375237	0.0	0.0
1	500.0	0.16183445	0.042906318	0.26172286	-0.0007578265	32000	1.1175871e-08	0.043561354	-0.0055380715	-0.0149744	1.3564423	0.0059607388	0.057500005	127.0	79.0401291847229	1.5080106	0.8833563	3.7717683	0.47618124	0.0	0.0
2	500.0	0.26025033	0.077757575	0.42561775	-0.031954408	48000	-1.1175871e-08	0.059228025	-0.008925496	-0.02818623	1.3564423	0.0057473048	0.07843749	127.0	119.6036205291748	2.2570226	0.96275693	4.7393374	0.86368835	0.0	0.0
3	500.0	0.4607623	0.096972406	0.70150274	0.15908118	64000	-2.9802322e-08	0.975759	-0.0068279044	-0.392527	1.3564423	0.006400306	0.0670625	127.0	159.5286934375763	5.455522	4.0264654	19.770893	0.7770087	0.0	0.0
4	500.0	1.1789497	0.13517685	1.6027377	0.49631563	80000	-1.4901161e-08	2.7029748	-0.0076769837	-1.2005162	1.3564423	0.00786471	0.067625	127.0	207.76131296157837	10.336231	5.885006	22.43931	0.9367674	0.0	0.0
5	500.0	2.268392	0.38370794	3.2362082	0.41156566	96000	-1.4901161e-08	3.8341537	-0.007616872	-2.0669549	1.3564423	0.0040436666	0.0513125	127.0	244.38453555107117	16.057499	6.248725	28.03844	4.7727985	0.0	0.0
6	500.0	3.6729224	0.81157076	5.411767	0.31680635	112000	-7.450581e-09	4.0389113	-0.007840232	-1.9683855	1.3564423	0.0036114575	0.056812502	127.0	282.94991660118103	22.236141	5.864058	36.261932	6.7928724	0.0	0.0
7	500.0	5.1320047	1.2244768	7.0362744	0.22513357	128000	0.0	1.5071175	-0.010881584	-0.13321847	1.3564423	0.007260831	0.0853125	127.0	321.32990431785583	20.559994	4.352937	29.653322	12.899672	0.0	0.0
8	500.0	5.572411	1.4094046	7.342158	0.12010744	144000	0.0	2.0943575	-0.008553346	-0.29493523	1.3564423	0.0056008617	0.064500004	127.0	361.5043103694916	23.38955	4.510029	33.002914	15.806925	0.0	0.0
9	500.0	5.6748996	0.9708358	6.7459445	1.4928098	160000	-7.450581e-09	1.8125341	-0.007997163	-0.092395	1.3564423	0.007789705	0.0759375	127.0	400.18054461479187	23.623505	4.6284504	32.79034	16.168842	0.0	0.0
10	500.0	5.622195	0.7779482	6.4326444	1.8747957	176000	-2.7939677e-08	3.3633742	-0.007062354	-0.27807462	1.3564423	0.0065976144	0.0598125	127.0	438.5147898197174	26.583134	7.0624027	46.21045	14.8219	0.0	0.0
11	500.0	5.9349637	0.47056153	6.369382	2.9605014	192000	0.0	3.5978415	-0.006380425	-0.0680381	1.3564423	0.0068042614	0.0604375	127.0	476.4861042499542	27.793625	8.011569	45.552593	18.588055	0.0	0.0
12	500.0	6.1488123	0.44519806	6.519512	2.992913	208000	0.0	2.681016	-0.0061389427	-0.0753824	1.3564423	0.0052740187	0.044	127.0	517.2962868213654	27.148731	6.8975673	45.443714	19.771927	0.0	0.0
13	500.0	5.9622893	0.33791283	6.2408533	2.9531827	224000	1.3038516e-08	4.730638	-0.008173277	-0.9783182	1.3564423	0.0077201845	0.0641875	127.0	560.8492379188538	32.25781	7.632882	46.98807	21.149544	0.0	0.0
14	500.0	6.8922873	0.54577434	7.334656	2.4068375	240000	0.0	3.7422829	-0.0062697846	-0.03019061	1.3564423	0.005328373	0.042375	127.0	600.9323959350586	31.190792	8.321246	52.26807	19.333254	0.0	0.0
15	500.0	6.826466	0.48792842	7.22553	2.577715	256000	0.0	4.105928	-0.0074338517	-0.020509584	1.3564423	0.006464705	0.0578125	127.0	640.1935567855835	31.423946	8.972325	51.72086	18.073305	0.0	0.0
16	500.0	6.873452	0.44326782	7.210704	3.3826716	272000	-2.2351742e-08	5.8910227	-0.006980785	-0.76980126	1.3564423	0.007013444	0.0623125	127.0	681.6794135570526	36.32529	10.227994	52.481567	21.476974	0.0	0.0
17	500.0	7.7237225	0.5679324	8.094774	3.0239978	288000	4.4703484e-08	5.10983	-0.0066467905	-0.8997536	1.3564423	0.0059939893	0.048	127.0	727.3543434143066	39.74765	8.647571	53.90214	23.479107	0.0	0.0
18	500.0	8.539303	0.9116616	9.147949	2.4838417	304000	1.4901161e-08	6.239548	-0.00764936	-0.9056652	1.3564423	0.0057261055	0.06025	127.0	767.9973456859589	35.465736	10.929484	68.06248	23.074284	0.0	0.0
19	500.0	7.828497	0.9126958	8.893173	3.0825546	320000	1.9557774e-08	6.036498	-0.007100386	-1.5140568	1.3564423	0.006892791	0.062124997	127.0	813.319507598877	34.61684	11.779539	57.175137	21.394196	0.0	0.0
20	500.0	7.5719385	0.98609304	9.707031	2.393582	336000	-2.9802322e-08	4.029897	-0.008746829	-0.7541956	1.3564423	0.0072447816	0.0845625	127.0	858.11097407341	33.314552	10.254436	53.45688	21.32587	0.0	0.0
21	500.0	7.9784775	1.2814925	10.293562	3.0070584	352000	1.7695129e-08	5.42409	-0.007766682	-1.0535402	1.3564423	0.008457396	0.06975	127.0	898.4684913158417	39.276325	12.354115	58.163235	22.735216	0.0	0.0
22	500.0	9.495465	1.135474	11.178787	4.805743	368000	0.0	4.5115924	-0.009791984	-0.64155257	1.3564423	0.009339709	0.0784375	127.0	938.0019507408142	42.29691	10.839122	62.18984	24.093067	0.0	0.0
23	500.0	9.4413	1.3779713	11.653815	2.868854	384000	1.4901161e-08	3.0587187	-0.009720089	-0.4096089	1.3564423	0.0082246605	0.08075	127.0	974.2010681629181	42.445915	8.90791	56.052124	28.324665	0.0	0.0
24	498.96875	10.222236	1.3804001	11.837852	2.863472	400000	3.3527613e-08	4.617345	-0.00922052	-0.5939816	1.3564423	0.0063199396	0.062125	127.0	1018.8022646903992	45.907646	11.026954	74.49618	31.087288	0.0	0.0
25	500.0	10.304959	1.4398786	12.098969	2.0498064	416000	1.3038516e-08	4.8999844	-0.009321867	-0.8527719	1.3564423	0.008645268	0.0565	127.0	1059.2392044067383	47.739117	10.218973	80.63136	31.496592	0.0	0.0
26	500.0	10.285273	1.9731034	12.80297	-0.15920725	432000	-1.1175871e-08	3.8901358	-0.007778503	-0.67730844	1.3564423	0.006363645	0.05525	127.0	1103.6024842262268	48.339516	12.09197	80.192444	33.70986	0.0	0.0
