Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07698884	0.02601295	0.14312501	-0.029148005	16000	1.8626451e-09	0.0029826323	-0.0067927428	-0.0019885297	1.3564423	0.0075245025	0.0551875	127.0	48.23066163063049	0.3142423	0.12306581	0.63154054	0.10711472	0.0	0.0
1	500.0	0.057798468	0.01956187	0.12242144	0.0029895008	32000	9.313226e-09	0.0018084131	-0.008639624	-0.0007196877	1.3564423	0.0069090244	0.0826875	127.0	85.74841713905334	0.38284793	0.19390292	0.8324767	0.07055827	0.0	0.0
2	500.0	0.079418	0.032568645	0.15320241	-0.008055426	48000	-2.9802322e-08	0.0023029693	-0.013362639	-0.0008305922	1.3564423	0.009833539	0.1420625	127.0	144.495863199234	0.58767223	0.23343989	1.16682	0.15138714	0.0	0.0
3	500.0	0.14236143	0.03535335	0.22468555	0.016023275	64000	2.2351742e-08	0.00513224	-0.011910448	-0.00232357	1.3564423	0.008546222	0.107125	127.0	202.70749163627625	0.9054934	0.32031238	1.9962248	0.43736756	0.0	0.0
4	500.0	0.19791141	0.03831149	0.33886275	0.06931051	80000	-7.450581e-09	0.009613799	-0.012674623	-0.004924668	1.3564423	0.008375488	0.1118125	127.0	247.95193529129028	1.1674536	0.5079513	2.7644439	0.47762683	0.0	0.0
5	500.0	0.2927503	0.06673294	0.54255646	0.122347355	96000	-2.3283064e-08	0.047478594	-0.011724698	-0.025359923	1.3564423	0.00817062	0.1179375	127.0	284.8611261844635	2.1302748	0.7804292	3.9907374	0.8715071	0.0	0.0
6	500.0	0.5772049	0.15637626	0.9778731	0.19147198	112000	-1.1175871e-08	0.2938344	-0.0060157105	-0.16636702	1.3564423	0.005885291	0.067625	127.0	323.6742208003998	4.05807	1.9049221	10.06035	1.0034697	0.0	0.0
7	500.0	1.0966599	0.43424135	1.9712504	-0.031583533	128000	1.8626451e-08	0.35721412	-0.008577138	-0.15798742	1.3564423	0.007380057	0.095062494	127.0	362.378839969635	5.7772326	2.182211	10.390777	2.096525	0.0	0.0
8	500.0	1.6080959	0.6701744	2.89043	-0.0039664395	144000	6.3329935e-08	1.0653372	-0.0076068123	-0.5038493	1.3564423	0.00811424	0.081125006	127.0	401.35134530067444	9.031351	3.5001795	18.561169	3.4130216	0.0	0.0
9	500.0	2.512495	1.1207008	4.645166	-0.25514325	160000	7.450581e-09	1.7132828	-0.008679612	-0.87700665	1.3564423	0.0068791565	0.0886875	127.0	441.36199736595154	13.56786	3.8200848	22.666107	2.703928	0.0	0.0
10	500.0	3.7229946	1.5043161	6.0721235	-0.16864361	176000	0.0	1.3665309	-0.009864432	-0.36817953	1.3564423	0.007688515	0.098125	127.0	488.13582611083984	16.797817	4.3675494	29.856771	8.224304	0.0	0.0
11	500.0	4.334541	1.4472351	6.2941437	0.38523084	192000	1.1175871e-08	2.8810892	-0.007864281	-1.277467	1.3564423	0.0047736955	0.071125	127.0	536.2043476104736	21.993397	5.755383	38.846386	14.323297	0.0	0.0
12	500.0	5.570806	1.9543731	7.823341	0.59982437	208000	5.5879354e-09	2.850802	-0.007814186	-0.39952326	1.3564423	0.0063758334	0.07925	127.0	596.901816368103	24.538532	7.0231657	36.999107	13.809755	0.0	0.0
13	500.0	6.0788603	2.0697808	8.446691	0.8160929	224000	7.450581e-09	1.6162348	-0.008891592	-0.1518457	1.3564423	0.0086909495	0.0893125	127.0	653.736358165741	24.682268	5.9007273	38.52636	8.771285	0.0	0.0
14	500.0	6.710822	2.1582015	9.241436	0.9062908	240000	-7.450581e-09	3.8865175	-0.0076831463	-0.8721708	1.3564423	0.005993298	0.06075	127.0	693.3089394569397	31.201004	7.88715	45.423904	14.264385	0.0	0.0
15	500.0	7.6424522	2.4305837	10.035071	1.1069885	256000	2.2351742e-08	3.350432	-0.009809064	-0.14430878	1.3564423	0.007821005	0.07675	127.0	737.3430018424988	31.630846	8.750276	46.20083	13.223414	0.0	0.0
16	500.0	7.987	2.351849	10.482917	1.2658749	272000	5.2154064e-08	3.1425362	-0.00831455	-0.53726333	1.3564423	0.0059397146	0.0580625	127.0	779.3012330532074	35.89029	7.608308	46.523224	22.959152	0.0	0.0
17	500.0	8.66529	2.605266	11.178025	1.1535549	288000	1.6763806e-08	3.8125055	-0.0089140255	-0.51362973	1.3564423	0.0068958616	0.063250005	127.0	848.0374200344086	34.92484	9.3402815	47.02976	8.885718	0.0	0.0
18	500.0	8.494272	2.560598	11.597673	0.67514926	304000	-1.3038516e-08	3.2747693	-0.009255084	-0.5863168	1.3564423	0.009253596	0.0695	127.0	903.8769280910492	37.66345	7.1515474	49.61536	18.159561	0.0	0.0
19	500.0	9.611455	2.7196205	12.393504	0.29186207	320000	-1.4901161e-08	3.3449283	-0.008171195	-0.1329376	1.3564423	0.007592532	0.0495	127.0	949.8172221183777	40.011047	8.500192	49.555492	21.95714	0.0	0.0
20	500.0	9.664211	2.80275	12.606234	0.750794	336000	7.450581e-09	4.1567707	-0.00864394	-0.36516586	1.3564423	0.006471657	0.058250003	127.0	988.9052150249481	41.88808	9.578449	54.270622	19.091671	0.0	0.0
21	500.0	10.160652	2.6160038	13.034691	0.4782015	352000	0.0	3.5248194	-0.007500401	-0.4045058	1.3564423	0.0058828555	0.050875	127.0	1029.9092772006989	39.98181	8.288209	53.297268	24.611694	0.0	0.0
22	500.0	9.763762	2.4528747	12.731487	-0.3314611	368000	2.9802322e-08	4.690995	-0.008273356	-0.8962643	1.3564423	0.0065364717	0.0518125	127.0	1072.9833409786224	38.82032	10.175502	54.47825	21.90413	0.0	0.0
23	500.0	9.537778	2.5251513	12.843894	1.1342418	384000	-7.450581e-09	4.7252426	-0.00810121	-0.31053808	1.3564423	0.007888641	0.057687502	127.0	1126.1268544197083	40.34397	10.663259	55.27921	19.596298	0.0	0.0
24	500.0	9.938715	2.3150384	13.252007	0.38096473	400000	1.4901161e-08	5.080208	-0.007636921	-0.6123941	1.3564423	0.0063927793	0.0515625	127.0	1181.665602684021	44.196854	9.945196	67.27759	22.78392	0.0	0.0
25	500.0	10.580502	2.4954984	13.673117	-0.11041268	416000	-3.7252903e-09	5.315383	-0.007978621	-0.77836573	1.3564423	0.0061041415	0.055249996	127.0	1241.6903321743011	46.40322	10.5022335	70.54456	26.450026	0.0	0.0
26	500.0	11.185981	2.9564283	14.787695	0.76275027	432000	7.450581e-09	6.1361227	-0.008254211	-0.58068514	1.3564423	0.006796018	0.0595	127.0	1291.3536140918732	47.729385	11.200618	71.84638	19.448492	0.0	0.0
27	500.0	11.47106	3.1376877	15.64084	2.3450375	448000	-3.9115548e-08	10.322779	-0.0071142246	-4.1434584	1.3564423	0.0070491675	0.056375	127.0	1335.084822177887	39.249294	13.015251	59.676273	15.471573	0.0	0.0
28	500.0	10.255493	2.9354787	14.305751	2.4302435	464000	7.450581e-09	5.8719044	-0.008167761	-0.64654684	1.3564423	0.0073442743	0.062	127.0	1375.2481591701508	43.367645	12.194351	67.086494	21.766676	0.0	0.0
29	500.0	9.694522	2.9757955	14.141046	1.8906904	480000	-1.4901161e-08	3.8120437	-0.0077864863	-1.6325313	1.3564423	0.006617549	0.0629375	127.0	1414.9163620471954	34.742474	10.906707	55.31885	14.826131	0.0	0.0
30	500.0	9.885231	3.2827168	15.680178	1.868587	496000	-7.450581e-09	6.421623	-0.0077581927	-0.5228344	1.3564423	0.006810956	0.061249997	127.0	1475.384378194809	41.002052	13.475968	76.897804	18.66044	0.0	0.0
31	500.0	9.672223	3.3587751	15.576937	2.1449108	512000	1.1175871e-08	9.091355	-0.0060373233	-1.8431067	1.3564423	0.0055097546	0.049562503	127.0	1546.6650989055634	43.11887	15.427916	73.63533	19.02422	0.0	0.0
32	500.0	10.962935	3.7509334	17.40727	1.7246282	528000	1.1175871e-08	10.734701	-0.008432185	-1.652701	1.3564423	0.0067906915	0.06125	127.0	1609.3164956569672	45.54343	16.322126	91.02009	22.810863	0.0	0.0
33	500.0	10.626877	3.9714377	18.829351	-14.580767	544000	2.2351742e-08	8.972283	-0.008230822	-1.4241939	1.3564423	0.0070578763	0.0714375	127.0	1658.3723349571228	41.313015	15.9145355	85.04242	18.777803	0.0	0.0
34	500.0	11.218412	4.070008	18.730154	1.4270502	560000	-1.4901161e-08	11.162514	-0.008579997	-1.5894048	1.3564423	0.0064786775	0.078	127.0	1708.9725062847137	46.048584	17.61521	100.22454	22.85894	0.0	0.0
35	500.0	12.047076	4.491588	20.781656	0.021664083	576000	1.1175871e-08	10.063253	-0.009447677	-0.82793933	1.3564423	0.0061570583	0.074125	127.0	1757.0064299106598	46.03509	14.353149	74.43432	23.068363	0.0	0.0
36	500.0	12.054852	4.702231	20.68839	-0.27716947	592000	3.7252903e-09	12.426873	-0.008123297	-2.5009649	1.3564423	0.0077503785	0.073874995	127.0	1799.260392665863	49.420425	18.934477	91.93712	20.557528	0.0	0.0
37	500.0	12.513864	5.564141	22.489166	-8.231804	608000	-2.9802322e-08	14.849448	-0.008554119	-2.176579	1.3564423	0.007322226	0.0685625	127.0	1845.180950641632	45.675938	18.31952	96.75672	15.499586	0.0	0.0
38	500.0	11.960246	5.631803	22.639494	-0.061233252	624000	3.7252903e-09	18.166061	-0.008471576	-3.387282	1.3564423	0.006725289	0.0676875	127.0	1887.3687534332275	52.186897	20.716337	96.964134	23.052008	0.0	0.0
39	500.0	13.44981	6.031227	23.461327	0.6400565	640000	-1.1175871e-08	16.996391	-0.007774656	-1.3287776	1.3564423	0.005144273	0.0574375	127.0	1927.8464539051056	54.350327	20.018106	95.42345	22.325085	0.0	0.0
40	500.0	13.052153	6.3170743	24.229107	-1.2958826	656000	2.6077032e-08	15.271448	-0.008745963	-0.9557221	1.3564423	0.0076475246	0.0821875	127.0	1969.7143409252167	51.699005	19.117002	95.56767	25.389074	0.0	0.0
41	500.0	12.786625	6.254701	24.66836	1.2654638	672000	3.7252903e-09	20.03174	-0.007884298	-2.3256989	1.3564423	0.006035183	0.056624997	127.0	2009.260554075241	52.91752	25.107885	113.95095	22.201998	0.0	0.0
42	500.0	12.413217	5.974254	25.751055	-0.10229236	688000	7.450581e-09	15.793577	-0.006970263	-2.1553876	1.3564423	0.006329315	0.05775	127.0	2050.499116420746	45.803886	19.581985	95.05533	17.05143	0.0	0.0
43	500.0	12.964158	6.361614	25.280756	0.44481388	704000	2.2351742e-08	15.8860445	-0.0071181823	-2.2308817	1.3564423	0.0062842276	0.0684375	127.0	2090.5923080444336	47.93116	19.878527	98.8342	25.213446	0.0	0.0
44	500.0	12.445438	7.113684	26.308872	0.09603815	720000	9.313226e-09	14.686197	-0.00800419	-1.5721828	1.3564423	0.0077786893	0.069625	127.0	2133.5451786518097	49.56935	18.234268	86.88934	17.70789	0.0	0.0
45	500.0	14.038652	6.7753906	26.121826	-2.576588	736000	-3.7252903e-09	14.194474	-0.007900207	-1.3434211	1.3564423	0.006128213	0.06568751	127.0	2177.370680809021	50.949394	18.380056	94.10077	20.233044	0.0	0.0
46	500.0	12.965711	6.731751	26.165377	0.9463408	752000	5.5879354e-09	22.370693	-0.008432989	-2.25231	1.3564423	0.008090976	0.0845	127.0	2228.0867335796356	55.485085	24.27752	110.133255	20.252337	0.0	0.0
47	500.0	13.379331	6.0754404	26.80091	0.52946156	768000	-1.8626451e-09	18.772593	-0.0075132726	-3.0410457	1.3564423	0.005096888	0.0588125	127.0	2271.7270283699036	50.53156	21.784016	97.420845	9.5332365	0.0	0.0
48	500.0	12.764686	6.242683	27.268084	-0.1716133	784000	-1.1175871e-08	17.359795	-0.009561925	-2.7346869	1.3564423	0.0072305896	0.068	127.0	2330.8951845169067	47.559135	21.886349	106.09329	22.283913	0.0	0.0
49	500.0	12.949582	6.737684	27.420973	-1.883029	800000	2.2351742e-08	23.178589	-0.007672505	-2.8220835	1.3564423	0.0063619395	0.0564375	127.0	2389.6540355682373	55.642616	25.080082	106.32006	22.613625	0.0	0.0
50	500.0	13.080695	7.101967	27.55249	-1.8468496	816000	1.4901161e-08	16.050861	-0.008453418	-2.780428	1.3564423	0.0068317866	0.070250005	127.0	2449.1694765090942	47.22261	19.226624	93.697495	21.064037	0.0	0.0
51	500.0	12.534278	7.235224	27.73411	-0.39999932	832000	3.7252903e-09	15.743245	-0.008784128	-1.3185883	1.3564423	0.0065499237	0.0735625	127.0	2496.8386509418488	50.966427	24.230839	96.74595	10.955575	0.0	0.0
52	500.0	12.300415	7.06757	28.03288	-10.897689	848000	-5.5879354e-09	16.862488	-0.007678382	-1.8054339	1.3564423	0.005481365	0.059687495	127.0	2546.8408336639404	47.566475	22.798023	104.94484	14.729903	0.0	0.0
53	500.0	13.460533	6.736628	28.29502	-4.0069613	864000	1.8626451e-09	12.36722	-0.008146553	-3.129436	1.3564423	0.004653167	0.0535	127.0	2592.134356737137	47.373512	13.699619	92.1497	21.143847	0.0	0.0
54	500.0	12.528219	6.312149	27.593132	2.3905685	880000	1.0244548e-08	15.588995	-0.009092035	-1.5817255	1.3564423	0.008754808	0.086500004	127.0	2649.9669795036316	49.65428	18.482452	95.01161	14.149278	0.0	0.0
55	500.0	12.109363	6.1351876	26.830194	-11.764663	896000	7.450581e-09	16.652197	-0.008644868	-1.8221889	1.3564423	0.0075378977	0.0589375	127.0	2713.8332352638245	47.668854	20.640898	104.5213	23.250027	0.0	0.0
56	500.0	12.844029	5.7209787	27.1294	-0.75781476	912000	5.5879354e-09	17.179844	-0.009872591	-2.059688	1.3564423	0.0063817305	0.0655	127.0	2796.314240217209	51.632904	20.58827	100.042755	18.341389	0.0	0.0
57	500.0	13.10331	6.1195793	27.086544	2.200459	928000	-7.450581e-09	18.292694	-0.008151341	-3.9823558	1.3564423	0.0059575923	0.063999996	127.0	2851.959545135498	47.157654	18.270784	108.73368	18.71474	0.0	0.0
58	500.0	11.423246	5.3178353	25.757332	1.5831475	944000	2.6077032e-08	19.064762	-0.007951849	-2.277913	1.3564423	0.006433421	0.06525	127.0	2894.358591556549	49.730675	21.70078	99.59142	21.850008	0.0	0.0
59	500.0	12.065425	5.787193	25.729313	2.3568134	960000	2.2351742e-08	24.531502	-0.006780532	-2.091843	1.3564423	0.0066299154	0.0570625	127.0	2939.695912361145	48.332497	23.500801	105.70087	17.824326	0.0	0.0
60	500.0	11.476647	6.018132	25.105825	1.6366175	976000	7.450581e-09	18.97679	-0.007772528	-1.7545741	1.3564423	0.005536411	0.0529375	127.0	2980.7231328487396	43.70984	23.349705	107.76975	9.140296	0.0	0.0
61	500.0	11.019096	6.06617	23.779352	-2.5186558	992000	-1.4901161e-08	18.12815	-0.008417072	-3.1305926	1.3564423	0.0075119827	0.07075	127.0	3023.0878887176514	43.08243	19.327976	97.9029	8.822578	0.0	0.0
62	500.0	10.264535	4.9331884	23.399706	-11.606806	1008000	-1.8626451e-08	13.952692	-0.0073906016	-1.8141522	1.3564423	0.0049982714	0.0545625	127.0	3066.8378863334656	42.77945	19.329361	104.330925	8.053599	0.0	0.0
63	500.0	10.5650425	4.959186	21.759262	1.892916	1024000	7.450581e-09	20.746254	-0.007165647	-1.3412052	1.3564423	0.006077447	0.065625	127.0	3109.0800034999847	48.576214	25.59301	121.8013	19.485937	0.0	0.0
64	500.0	11.553635	4.7403884	22.501255	2.643623	1040000	0.0	12.258598	-0.008240351	-1.0150483	1.3564423	0.006300588	0.067625	127.0	3154.340438604355	47.13154	20.631592	104.60931	17.788717	0.0	0.0
65	500.0	11.223343	4.8260913	23.00046	1.703196	1056000	-3.7252903e-09	5.699192	-0.007957958	-1.9024738	1.3564423	0.005949666	0.068312496	127.0	3197.037019252777	44.274746	13.604476	60.055225	13.088329	0.0	0.0
66	500.0	11.210977	4.359684	20.037338	1.5483284	1072000	-3.7252903e-08	19.93135	-0.008004492	-4.058114	1.3564423	0.0074921986	0.061750002	127.0	3238.4658708572388	50.976997	26.065798	105.400116	9.519382	0.0	0.0
67	500.0	11.406918	5.7127833	23.020205	-0.18074226	1088000	-3.7252903e-09	18.268864	-0.0077518173	-1.8441508	1.3564423	0.0072097634	0.060000002	127.0	3279.430463552475	49.715	24.562748	109.30528	11.475313	0.0	0.0
68	500.0	11.98173	5.608459	22.62488	-2.24062	1104000	0.0	12.746004	-0.008145014	-1.9280231	1.3564423	0.006373598	0.064875	127.0	3323.39537525177	48.61487	23.270828	101.29421	7.391389	0.0	0.0
69	500.0	12.365176	5.6766853	23.633158	-3.7835906	1120000	3.7252903e-09	12.242962	-0.008107901	-2.1601458	1.3564423	0.0061845155	0.058749996	127.0	3368.7122163772583	51.80335	20.915142	107.52736	15.474848	0.0	0.0
70	500.0	12.370946	6.1233735	24.983274	-3.4692287	1136000	5.5879354e-09	16.465826	-0.007640014	-1.1671253	1.3564423	0.0066106757	0.057375	127.0	3413.0052456855774	50.23417	21.968895	110.77571	16.052944	0.0	0.0
71	500.0	11.550381	5.8096337	24.693094	-3.5891244	1152000	-1.8626451e-09	15.653353	-0.009255759	-2.386045	1.3564423	0.005608015	0.0685625	127.0	3458.1270940303802	46.868996	19.28052	105.46751	18.198921	0.0	0.0
72	500.0	12.222223	5.100564	23.480474	-14.906244	1168000	1.4901161e-08	14.210289	-0.0068669496	-2.1442397	1.3564423	0.005342788	0.0580625	127.0	3502.3313512802124	54.73655	20.158592	106.909386	7.4657187	0.0	0.0
73	500.0	11.697726	4.8032217	23.599197	-2.2494133	1184000	-1.4901161e-08	16.95456	-0.008446655	-2.158614	1.3564423	0.007319794	0.065625	127.0	3543.632556915283	49.67962	23.478588	105.94971	5.5452642	0.0	0.0
74	500.0	12.138996	5.7226114	23.357203	-3.326886	1200000	-1.8626451e-09	15.862058	-0.0075342255	-1.1636988	1.3564423	0.0050462014	0.0545625	127.0	3589.004212617874	51.95645	24.72045	111.18535	9.066332	0.0	0.0
75	500.0	9.549021	5.9705696	24.63292	-21.583801	1216000	-1.6763806e-08	8.83316	-0.009570138	-3.1407564	1.3564423	0.007490128	0.071625	127.0	3632.0296533107758	37.560333	18.58926	85.735985	5.851751	0.0	0.0
76	500.0	10.724793	4.857391	24.242783	-2.7091212	1232000	-3.3527613e-08	18.617619	-0.008158596	-3.3927617	1.3564423	0.0061027054	0.0591875	127.0	3674.2701008319855	48.66486	24.093897	111.40162	8.177336	0.0	0.0
77	500.0	10.755228	4.85688	22.175714	0.5587075	1248000	7.450581e-09	11.848266	-0.007279111	-0.645033	1.3564423	0.005773189	0.060125	127.0	3712.5374290943146	48.34565	22.049034	115.71108	12.0402775	0.0	0.0
78	500.0	12.223283	4.7120137	22.436567	0.039341778	1264000	3.7252903e-09	12.648439	-0.00807715	-1.6022354	1.3564423	0.006839777	0.0735625	127.0	3757.569969892502	52.97319	19.298832	99.957245	19.530737	0.0	0.0
79	500.0	12.636085	4.910461	22.249388	2.5378315	1280000	1.4901161e-08	13.723058	-0.007866722	-1.7544847	1.3564423	0.0063364552	0.0629375	127.0	3798.2062594890594	56.29609	23.000134	110.31121	7.41024	0.0	0.0
80	500.0	13.907068	5.719586	24.484955	-0.021330595	1296000	1.1175871e-08	18.270264	-0.0091833165	-2.0447032	1.3564423	0.0063949963	0.0766875	127.0	3840.2779564857483	60.58754	24.0412	107.34476	22.955032	0.0	0.0
81	500.0	13.073119	5.780732	25.449265	1.7513621	1312000	0.0	11.828148	-0.00843077	-1.5808647	1.3564423	0.00625022	0.064375	127.0	3882.60667347908	51.125305	21.715166	120.48914	19.390718	0.0	0.0
