Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0753446	0.02610791	0.14025372	-0.030969124	16000	1.4901161e-08	0.0029471552	-0.0072848005	-0.001957322	1.3564423	0.007622927	0.06	127.0	39.763954401016235	0.31625834	0.12367991	0.6367834	0.10832859	0.0	0.0
1	500.0	0.058476985	0.019925153	0.13554423	0.008644119	32000	1.4901161e-08	0.001859539	-0.008678157	-0.00074573245	1.3564423	0.0068282555	0.083812505	127.0	92.2360954284668	0.39087853	0.19879013	0.84100354	0.07062852	0.0	0.0
2	500.0	0.081626266	0.03282413	0.1638314	-0.008554129	48000	-1.8626451e-08	0.0023378774	-0.0135496	-0.00084168726	1.3564423	0.009765267	0.14199999	127.0	147.44337582588196	0.59889114	0.23443776	1.207456	0.15454467	0.0	0.0
3	500.0	0.14408761	0.035154775	0.22914965	0.016896233	64000	2.9802322e-08	0.0053969286	-0.011841167	-0.0024664637	1.3564423	0.008325596	0.1061875	127.0	198.84384393692017	0.92486924	0.3346776	2.0889213	0.43691656	0.0	0.0
4	500.0	0.20324005	0.039685346	0.35234472	0.07262483	80000	4.4703484e-08	0.010087939	-0.012703674	-0.00515621	1.3564423	0.00843741	0.1126875	127.0	239.6993706226349	1.1843522	0.5164873	2.8047926	0.4693275	0.0	0.0
5	500.0	0.299163	0.06977724	0.562046	0.12649493	96000	-2.4214387e-08	0.048365977	-0.011658065	-0.025447464	1.3564423	0.0082532605	0.1188125	127.0	274.0697994232178	2.1431324	0.8049098	4.139969	0.8766502	0.0	0.0
6	500.0	0.5936965	0.16645701	1.0105116	0.18003453	112000	1.1175871e-08	0.33321393	-0.005917797	-0.18943943	1.3564423	0.005847524	0.06725	127.0	310.0850386619568	4.1901298	2.0454166	10.349059	1.0734093	0.0	0.0
7	500.0	1.1443155	0.4701667	2.0992928	-0.056548364	128000	-2.2351742e-08	0.48068565	-0.008043473	-0.20651871	1.3564423	0.0074538467	0.0945625	127.0	350.8683316707611	6.088792	2.5775154	11.790084	2.5713165	0.0	0.0
8	500.0	1.7221531	0.7426719	3.214827	-0.17703186	144000	1.4901161e-08	1.1343054	-0.007623162	-0.5021312	1.3564423	0.008279117	0.08325	127.0	397.17113971710205	9.40769	3.8202202	18.697605	3.333695	0.0	0.0
9	500.0	2.6772683	1.2134997	4.893433	-0.41932952	160000	-7.450581e-09	1.5794894	-0.009264469	-0.6767812	1.3564423	0.00769454	0.09	127.0	448.14387488365173	13.626347	4.120984	23.390915	3.269323	0.0	0.0
10	500.0	3.7721205	1.5272479	6.2559814	-0.41766083	176000	7.450581e-09	1.4190143	-0.009652944	-0.32840773	1.3564423	0.0072792764	0.09025	127.0	511.24746108055115	16.593605	4.616035	30.346699	9.424196	0.0	0.0
11	500.0	4.292966	1.4536344	6.3449597	-0.018509537	192000	-2.2351742e-08	3.0109234	-0.0078077917	-1.1537039	1.3564423	0.005131674	0.07349999	127.0	556.1914978027344	21.284327	6.881067	38.940132	7.647721	0.0	0.0
12	500.0	5.48139	2.008788	7.827507	0.29251575	208000	1.8626451e-08	3.2729208	-0.0076831393	-0.7036265	1.3564423	0.0060836	0.0749375	127.0	593.0092511177063	24.968739	7.319666	37.400616	12.959659	0.0	0.0
13	500.0	6.2616863	2.1592472	8.873506	0.67118645	224000	1.3038516e-08	1.7998666	-0.009353137	-0.30680156	1.3564423	0.007947065	0.0850625	127.0	630.1333224773407	26.814793	5.528804	36.81598	14.112227	0.0	0.0
14	500.0	7.1864076	2.366904	9.813051	0.74662304	240000	-1.4901161e-08	2.9696019	-0.0075555057	-0.23908187	1.3564423	0.0064489413	0.05775	127.0	669.9523735046387	30.684776	7.633822	46.06999	16.05294	0.0	0.0
15	500.0	7.6706786	2.4813929	10.077035	1.015585	256000	1.4901161e-08	2.8101945	-0.009278537	-0.11073653	1.3564423	0.0067129834	0.068937495	127.0	709.2649483680725	32.212433	7.683308	45.956375	20.62206	0.0	0.0
16	500.0	8.085226	2.432465	10.583836	1.189132	272000	1.4901161e-08	3.0646002	-0.007837257	-0.3083033	1.3564423	0.0063572316	0.0531875	127.0	763.3910229206085	34.39408	7.739747	45.534355	21.520784	0.0	0.0
17	500.0	8.498645	2.6129131	11.060522	0.87947744	288000	1.21071935e-08	3.2221985	-0.008770914	-0.47927925	1.3564423	0.006476851	0.0636875	127.0	824.6182818412781	34.807384	8.481616	48.268974	19.983953	0.0	0.0
18	500.0	8.492555	2.6079524	11.998663	1.1323792	304000	-5.5879354e-09	2.7255182	-0.009125549	-0.37542924	1.3564423	0.0077648647	0.060375	127.0	882.0114421844482	36.428833	6.1029596	45.92241	18.281599	0.0	0.0
19	500.0	9.453903	2.765472	12.529457	1.1711088	320000	-7.450581e-09	2.751647	-0.0079397	-0.22149622	1.3564423	0.0075107394	0.0541875	127.0	929.9249603748322	40.65463	7.5589175	50.42545	21.456474	0.0	0.0
20	497.9375	9.765053	2.8884172	12.662543	1.6779038	336000	0.0	3.6759372	-0.0078064986	-0.2777681	1.3564423	0.0075221634	0.05275	127.0	976.850399017334	40.45716	7.9996867	49.868904	21.874443	0.0	0.0
21	500.0	9.727108	2.6134617	12.536795	0.43905255	352000	-1.4901161e-08	2.7765236	-0.0073848646	-0.3517814	1.3564423	0.0056787357	0.0598125	127.0	1021.4611577987671	40.455875	8.734367	51.171307	16.176111	0.0	0.0
22	500.0	9.826586	2.9176865	13.333382	-11.4069805	368000	-1.8626451e-08	6.8874474	-0.008715009	-1.332355	1.3564423	0.0061022383	0.05325	127.0	1061.8849222660065	38.641586	10.322572	53.863106	17.125195	0.0	0.0
23	494.28125	9.208567	2.5572245	13.133343	1.3046198	384000	-7.450581e-09	4.5764694	-0.0066572456	-0.35650027	1.3564423	0.0074548176	0.06175	127.0	1101.3946237564087	37.360466	10.017359	55.774826	21.232357	0.0	0.0
24	493.59375	9.445603	2.4372334	13.411066	1.1016644	400000	-3.3527613e-08	4.5657415	-0.0071067084	-0.7694635	1.3564423	0.005034973	0.0476875	127.0	1145.6687700748444	41.778954	9.523725	53.964912	20.149906	0.0	0.0
25	500.0	10.153901	2.3899064	13.772198	1.4351711	416000	7.450581e-09	4.2227206	-0.007129818	-0.8480031	1.3564423	0.0055094613	0.053187497	127.0	1190.9475967884064	45.060272	9.406042	56.43096	21.883854	0.0	0.0
26	500.0	10.706506	2.6914728	13.799571	1.816311	432000	7.450581e-09	3.793128	-0.0078898305	-0.40355384	1.3564423	0.006570842	0.051375	127.0	1231.124636888504	43.99907	8.99342	53.71347	22.473352	0.0	0.0
27	500.0	10.527545	2.8362973	14.344897	1.5071137	448000	0.0	6.7846513	-0.007042313	-2.5825548	1.3564423	0.006000392	0.049875	127.0	1274.7849168777466	40.87413	12.4323225	58.45975	13.538425	0.0	0.0
28	500.0	10.298426	3.1311047	14.313635	1.3412184	464000	0.0	3.7865913	-0.00840884	-0.5308145	1.3564423	0.006935565	0.0575625	127.0	1314.4055576324463	41.98609	12.130136	55.197174	15.900766	0.0	0.0
29	499.9375	9.606246	3.0530915	15.123861	1.799181	480000	1.5832484e-08	4.5469055	-0.009476945	-1.8090053	1.3564423	0.006702305	0.071062505	127.0	1352.840797662735	35.660965	12.715121	60.01161	12.722105	0.0	0.0
30	500.0	9.789207	3.2316952	15.090265	1.4597981	496000	2.4214387e-08	3.098031	-0.008626586	-0.41310844	1.3564423	0.006913634	0.0615	127.0	1391.9233317375183	39.231834	11.492066	53.973297	13.086046	0.0	0.0
31	500.0	9.134797	3.8033788	15.634487	-9.936966	512000	1.1175871e-08	5.033641	-0.006463806	-0.78050816	1.3564423	0.0050354353	0.042875	127.0	1432.5917370319366	39.536797	11.929338	58.555447	20.399063	0.0	0.0
32	496.15625	9.978732	3.3760238	15.530678	2.019985	528000	-1.4901161e-08	4.6468277	-0.007738108	-0.77181226	1.3564423	0.006133444	0.051749997	127.0	1473.6306462287903	39.137047	9.80863	53.738907	22.14402	0.0	0.0
33	500.0	9.6058445	3.006895	16.32857	2.8290086	544000	-1.8626451e-08	4.270371	-0.007885765	-0.84911823	1.3564423	0.006837447	0.06275	127.0	1511.5771522521973	40.26279	12.741484	60.378105	15.980596	0.0	0.0
34	500.0	10.688796	3.3677971	17.353474	-3.1574485	560000	-9.313226e-09	4.230803	-0.010008063	-0.6522326	1.3564423	0.0059360643	0.077375	127.0	1550.122641324997	44.43297	10.813929	70.19458	23.999071	0.0	0.0
35	500.0	10.817436	3.458978	18.561323	0.6617595	576000	-1.4901161e-08	4.4804354	-0.0072163995	-1.1318765	1.3564423	0.004820862	0.056500003	127.0	1608.5920732021332	41.071766	10.320942	59.96358	24.868551	0.0	0.0
36	500.0	10.732685	3.9040036	19.158415	0.2958609	592000	0.0	5.443596	-0.008243481	-1.6292605	1.3564423	0.007377213	0.076	127.0	1667.3756637573242	44.393	12.058387	61.48721	6.846133	0.0	0.0
37	500.0	11.445049	4.7100863	19.609789	-9.230169	608000	1.4901161e-08	4.303383	-0.00836411	-0.47374943	1.3564423	0.00657242	0.0665	127.0	1726.5133204460144	45.765625	11.129292	62.192574	24.316875	0.0	0.0
38	492.3125	11.48682	4.4764524	20.114601	0.37771577	624000	0.0	8.251961	-0.008433506	-1.6578199	1.3564423	0.0049434714	0.0635625	127.0	1772.9303317070007	43.582886	13.19752	71.423744	22.030302	0.0	0.0
39	499.90625	11.522392	4.3812356	19.856646	1.0818948	640000	-7.450581e-09	5.7242274	-0.007430739	-0.6825918	1.3564423	0.0067593325	0.060500003	127.0	1813.9513354301453	46.80567	13.380857	72.02915	21.62928	0.0	0.0
40	487.375	10.907325	5.388783	20.277786	-10.726086	656000	-4.656613e-09	9.398501	-0.008303621	-0.55815107	1.3564423	0.0052612866	0.063187495	127.0	1859.5771803855896	44.29789	16.422184	75.689186	20.767239	0.0	0.0
41	494.75	11.171625	4.645398	20.263988	-0.4143116	672000	-9.313226e-09	7.005824	-0.007861339	-0.84476817	1.3564423	0.006505154	0.058624998	127.0	1911.8991990089417	44.199165	13.78072	71.429665	22.547207	0.0	0.0
42	500.0	10.119127	5.130722	20.202097	-16.903969	688000	-5.5879354e-09	8.626392	-0.0075756367	-2.3796186	1.3564423	0.005339141	0.061812505	127.0	1970.5701236724854	43.128296	13.08521	66.52251	22.296932	0.0	0.0
43	495.15625	11.915112	4.947312	20.120281	-1.0977616	704000	-7.450581e-09	7.3515162	-0.00793158	-1.0088546	1.3564423	0.006864379	0.071	127.0	2051.8409085273743	49.633217	13.664878	71.41629	21.249538	0.0	0.0
44	500.0	12.189442	5.093392	20.563862	-0.4151261	720000	7.450581e-09	6.3481765	-0.008883998	-0.99586815	1.3564423	0.0052608214	0.06424999	127.0	2112.198817253113	49.50752	15.47932	72.42593	14.84825	0.0	0.0
45	498.15625	12.6242075	5.4582224	21.694704	0.33791924	736000	1.6763806e-08	10.387047	-0.008702768	-1.6284095	1.3564423	0.006071192	0.068875	127.0	2156.9798085689545	53.975204	17.529055	89.93666	23.833015	0.0	0.0
46	492.625	12.976148	6.3918934	22.916672	-0.9891372	752000	1.8626451e-09	14.207315	-0.00876351	-1.392197	1.3564423	0.008390319	0.075625	127.0	2203.8683981895447	52.76915	20.912693	90.58621	16.874214	0.0	0.0
47	498.3125	11.67909	5.779288	22.17958	-0.0034466237	768000	7.450581e-09	10.306549	-0.011004604	-3.2754855	1.3564423	0.0079049785	0.093187496	127.0	2244.1433730125427	44.500443	20.85965	82.15751	15.731167	0.0	0.0
48	500.0	11.577916	5.7368484	21.944487	-1.5718931	784000	-1.4901161e-08	8.116986	-0.009458406	-1.2383034	1.3564423	0.007813454	0.08025	127.0	2283.1366226673126	45.078346	18.161886	80.03415	17.586147	0.0	0.0
49	495.4375	11.664711	5.786813	21.626156	0.07017082	800000	5.5879354e-09	9.065672	-0.008652505	-1.2559032	1.3564423	0.006559016	0.07425	127.0	2324.8467054367065	47.620953	21.678267	91.81826	15.034031	0.0	0.0
50	500.0	10.506563	6.4212503	22.632898	-0.40146765	816000	1.8626451e-08	6.1246486	-0.00827898	-1.020704	1.3564423	0.006263527	0.057	127.0	2367.0128540992737	41.518806	19.69278	82.598236	14.815359	0.0	0.0
51	500.0	9.878524	4.8799367	22.22219	1.4980634	832000	-2.2351742e-08	9.992118	-0.008405869	-2.2062156	1.3564423	0.006626459	0.067562506	127.0	2408.530014038086	39.325855	21.93283	87.851974	14.9891205	0.0	0.0
52	500.0	9.854869	6.0707984	23.306986	-3.4972465	848000	7.450581e-09	9.741192	-0.0074556903	-2.0692213	1.3564423	0.004687302	0.05425	127.0	2447.549763441086	39.734135	20.89357	83.86971	7.05562	0.0	0.0
53	500.0	10.337171	6.0577083	23.391459	-0.23095322	864000	0.0	8.210398	-0.0076413597	-1.7794821	1.3564423	0.006262509	0.058624998	127.0	2487.3707053661346	42.390526	23.393257	93.749626	16.58721	0.0	0.0
54	500.0	11.593086	7.191834	24.524515	-0.4361517	880000	-1.1175871e-08	11.849308	-0.006074841	-2.1098733	1.3564423	0.006053308	0.052375	127.0	2528.076804637909	47.54321	21.10708	85.85408	6.708903	0.0	0.0
55	500.0	11.327839	6.727864	24.000214	-1.5563349	896000	1.1175871e-08	12.484045	-0.0074340086	-1.1705816	1.3564423	0.0061748987	0.061625004	127.0	2569.0619938373566	46.84211	23.687637	91.48375	16.202272	0.0	0.0
56	500.0	12.452788	6.513941	24.206566	0.233522	912000	2.2351742e-08	15.074033	-0.006848147	-2.366085	1.3564423	0.0055584554	0.057125002	127.0	2612.9842777252197	52.753757	24.386345	104.76573	15.147445	0.0	0.0
57	500.0	11.8878145	7.0878787	24.655169	-3.2817495	928000	-7.450581e-09	15.660635	-0.0071942685	-3.5144212	1.3564423	0.0049467124	0.0663125	127.0	2650.8118422031403	44.55179	25.474262	95.30883	4.578996	0.0	0.0
58	500.0	11.080382	6.5405865	24.44722	-1.1717857	944000	1.1175871e-08	12.331263	-0.007835009	-2.8275683	1.3564423	0.0055631124	0.056125	127.0	2691.6937205791473	46.728806	25.573238	101.3454	5.158552	0.0	0.0
59	499.5	12.071711	7.107566	25.471783	-3.2537181	960000	2.2351742e-08	13.254679	-0.007952409	-0.8081406	1.3564423	0.0060200505	0.059625	127.0	2735.4913766384125	50.47059	27.30388	102.93226	4.1316957	0.0	0.0
60	500.0	11.882789	7.517018	25.925367	-4.791081	976000	-1.4901161e-08	19.020557	-0.0073410207	-7.157305	1.3564423	0.0065048686	0.059625	127.0	2775.487630367279	54.470802	33.2639	103.02623	3.102132	0.0	0.0
61	496.25	12.570998	8.144044	27.32174	-11.675574	992000	1.3038516e-08	16.29072	-0.008024349	-4.5724354	1.3564423	0.005688025	0.071	127.0	2821.013710975647	45.67958	23.686975	100.82509	13.941571	0.0	0.0
62	500.0	10.535979	6.3814254	26.566721	1.1998743	1008000	0.0	12.264746	-0.008801548	-1.3889703	1.3564423	0.0055376235	0.057	127.0	2864.847515821457	39.88926	19.208456	86.84907	11.6823635	0.0	0.0
63	499.4375	12.510196	7.33193	25.314363	1.6376517	1024000	9.313226e-09	17.155815	-0.0076045203	-1.6640782	1.3564423	0.0075795795	0.0636875	127.0	2905.0077505111694	52.784233	24.952291	103.90146	19.168806	0.0	0.0
64	500.0	10.941363	6.4524784	24.698355	-0.085825324	1040000	7.450581e-09	11.051701	-0.008008226	-0.77243674	1.3564423	0.0074935774	0.059249997	127.0	2945.713824033737	42.64103	22.221342	86.661026	10.451015	0.0	0.0
65	499.9375	11.740143	6.897077	24.707376	0.53269756	1056000	7.450581e-09	13.165394	-0.007851472	-1.0862789	1.3564423	0.0062546115	0.0628125	127.0	2988.93568611145	51.456085	25.810492	97.757935	6.5380793	0.0	0.0
66	500.0	11.945	7.0839944	25.592804	1.0270089	1072000	7.450581e-09	11.859894	-0.007621951	-1.7644296	1.3564423	0.0063968226	0.067	127.0	3033.6212890148163	46.478775	22.53519	100.734406	13.714815	0.0	0.0
67	500.0	11.519233	7.204425	25.987349	2.0122104	1088000	7.450581e-09	18.384855	-0.006641752	-2.6683922	1.3564423	0.006743629	0.060312502	127.0	3072.4175992012024	46.94037	28.277536	101.7125	13.056654	0.0	0.0
68	499.8125	12.290975	7.16971	26.079039	1.8495083	1104000	-3.7252903e-09	15.003853	-0.0093505625	-1.9551265	1.3564423	0.009164458	0.08925	127.0	3116.5234253406525	48.748894	21.49164	96.79001	19.097332	0.0	0.0
69	500.0	12.224035	6.8510594	25.65518	-1.6528174	1120000	3.7252903e-09	22.520943	-0.007529851	-1.9329112	1.3564423	0.0074312985	0.0649375	127.0	3154.182860851288	48.751305	24.964136	101.5848	8.971752	0.0	0.0
70	500.0	12.394324	7.130098	24.74492	0.2875753	1136000	1.8626451e-09	16.244196	-0.0069631673	-1.6014748	1.3564423	0.0068453387	0.0643125	127.0	3199.201960325241	53.03396	27.15626	97.38548	17.165781	0.0	0.0
71	500.0	12.4181385	6.8364754	24.994125	2.3995612	1152000	-1.4901161e-08	21.553482	-0.006377686	-4.0062976	1.3564423	0.0048837136	0.0535	127.0	3239.193192720413	45.949356	23.581675	99.44946	10.439731	0.0	0.0
72	500.0	12.381616	6.658856	23.53837	2.19291	1168000	2.9802322e-08	21.705185	-0.0065295943	-4.2560396	1.3564423	0.0069037247	0.0588125	127.0	3279.519067287445	58.620613	30.108309	109.15453	10.278733	0.0	0.0
73	500.0	12.926862	6.9079857	25.354097	1.3877453	1184000	-3.5390258e-08	21.160976	-0.0070352675	-4.0412908	1.3564423	0.005254232	0.056812502	127.0	3318.0825276374817	48.52999	23.589725	99.92666	3.2459571	0.0	0.0
74	500.0	11.983255	6.113315	24.051895	2.4229248	1200000	0.0	18.778095	-0.006153564	-1.475671	1.3564423	0.0049036527	0.049062498	127.0	3360.4348244667053	47.79666	27.400549	101.05856	12.200473	0.0	0.0
75	493.3125	11.179217	6.015127	23.53733	0.6104582	1216000	0.0	17.19313	-0.009019826	-1.1167309	1.3564423	0.008072542	0.064937495	127.0	3402.228042125702	49.285202	25.265156	103.84907	12.412516	0.0	0.0
76	500.0	12.425589	6.0390453	24.035799	2.2564764	1232000	1.1175871e-08	17.229889	-0.007410519	-1.48047	1.3564423	0.0054212706	0.04425	127.0	3445.1243994235992	49.708336	24.695602	95.34052	17.428059	0.0	0.0
77	500.0	12.371149	6.074534	24.123354	2.3687458	1248000	-2.9802322e-08	15.84668	-0.007019183	-0.5893867	1.3564423	0.0055901343	0.054	127.0	3486.3330335617065	51.98452	23.785454	102.83048	17.590044	0.0	0.0
