Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07537803	0.026131209	0.1378709	-0.028683241	16000	5.5879354e-09	0.0029615546	-0.00726943	-0.0020078644	1.3564423	0.0077406256	0.0579375	127.0	41.603556871414185	0.31084797	0.11743324	0.6198662	0.117273435	0.0	0.0
1	500.0	0.056362595	0.020645684	0.12672974	0.007667659	32000	2.4214387e-08	0.0014590491	-0.008215964	-0.0005160411	1.3564423	0.00690478	0.08356251	127.0	79.61065340042114	0.3480706	0.1692742	0.81241155	0.077544324	0.0	0.0
2	500.0	0.06920851	0.031270158	0.14739303	-0.013432657	48000	2.2351742e-08	0.0021944942	-0.0114521105	-0.00078465394	1.3564423	0.01004638	0.1313125	127.0	113.4540376663208	0.52860093	0.2235962	1.060576	0.20602885	0.0	0.0
3	500.0	0.10949408	0.040538903	0.21054432	-0.007979885	64000	0.0	0.00411187	-0.010271769	-0.0017263056	1.3564423	0.00863657	0.093125	127.0	144.12666535377502	0.7490692	0.28235167	1.9158942	0.3485592	0.0	0.0
4	500.0	0.15886256	0.041678514	0.26338997	0.048719577	80000	2.9802322e-08	0.007844087	-0.011767382	-0.0029967856	1.3564423	0.007888902	0.1169375	127.0	177.35620975494385	0.9762258	0.5049124	2.6283982	0.25699365	0.0	0.0
5	500.0	0.24306619	0.06424166	0.50599664	0.038193904	96000	-1.4901161e-08	0.05784999	-0.008363189	-0.02901487	1.3564423	0.009094035	0.133625	127.0	211.65895462036133	1.7112675	1.0502781	6.8994017	0.45942613	0.0	0.0
6	500.0	0.54644156	0.18783402	1.147622	0.05597882	112000	7.450581e-09	0.12073642	-0.007644488	-0.07035798	1.3564423	0.006589856	0.0885625	127.0	245.09797596931458	2.868682	1.7061492	8.411911	1.1684381	0.0	0.0
7	500.0	0.71086353	0.3569402	1.9445621	-0.09023793	128000	7.450581e-09	0.10548673	-0.010207537	-0.035515923	1.3564423	0.009508116	0.1319375	127.0	280.26865696907043	2.9275086	1.751511	9.776965	1.0046608	0.0	0.0
8	500.0	0.96004397	0.63214904	2.7761638	-0.06481545	144000	-1.1175871e-08	0.50954103	-0.008882688	-0.26308426	1.3564423	0.009589553	0.122375004	127.0	316.91552448272705	5.142125	4.1277623	17.512762	1.0084686	0.0	0.0
9	500.0	1.6884433	1.122786	4.358987	-0.32345724	160000	-2.4214387e-08	0.4551577	-0.008878895	-0.082586356	1.3564423	0.007226281	0.091625005	127.0	351.2928659915924	7.015237	4.5515604	15.282994	0.8799198	0.0	0.0
10	500.0	1.9368539	1.2989037	5.0235496	-0.45264992	176000	-1.4901161e-08	0.45142505	-0.008284058	-0.122750066	1.3564423	0.006943913	0.081125006	127.0	388.8584334850311	7.934798	5.6052623	21.248322	2.3668027	0.0	0.0
11	500.0	2.854189	1.6594578	5.949237	-0.17712823	192000	4.4703484e-08	0.609062	-0.0070658056	-0.19394276	1.3564423	0.0050965995	0.061750002	127.0	422.7010974884033	9.605947	4.8418097	19.567968	1.3816679	0.0	0.0
