Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.073007755	0.025690546	0.13618001	-0.030999616	16000	1.4901161e-08	0.0028915578	-0.006419705	-0.0019759508	1.3564423	0.0072411415	0.0564375	127.0	42.27365565299988	0.3029999	0.1162658	0.612801	0.11015655	0.0	0.0
1	500.0	0.053492386	0.020689176	0.122388385	0.005397547	32000	-5.5879354e-09	0.0013156486	-0.008425487	-0.00045394475	1.3564423	0.006899126	0.0859375	127.0	80.47621560096741	0.32627702	0.16089106	0.7864744	0.073162235	0.0	0.0
2	500.0	0.062016074	0.03151565	0.1435946	-0.015615772	48000	-1.1175871e-08	0.0019055767	-0.011544656	-0.0006619408	1.3564423	0.010399312	0.1375	127.0	132.58466815948486	0.48819864	0.2107799	0.95970273	0.18135025	0.0	0.0
3	500.0	0.102442876	0.04067837	0.20225972	-0.015405074	64000	-1.8626451e-08	0.0037463035	-0.010605916	-0.001588087	1.3564423	0.008839911	0.096125	127.0	184.86262345314026	0.71264684	0.2568942	1.749906	0.30165964	0.0	0.0
4	500.0	0.15132941	0.042067565	0.25014114	0.046208225	80000	-4.4703484e-08	0.0069826245	-0.011393244	-0.0026096962	1.3564423	0.007798778	0.1130625	127.0	247.58558654785156	0.9420956	0.46916935	2.474982	0.27906948	0.0	0.0
5	500.0	0.22295302	0.06034119	0.46308565	0.03551974	96000	-1.4901161e-08	0.049533088	-0.008555212	-0.025396565	1.3564423	0.009281913	0.1343125	127.0	296.15916538238525	1.6097908	0.98000574	6.4402504	0.42325708	0.0	0.0
6	500.0	0.50160605	0.17021874	1.060342	0.06783524	112000	5.5879354e-09	0.097827196	-0.008125577	-0.05477743	1.3564423	0.0064763133	0.093375	127.0	345.6893479824066	2.7162263	1.536459	7.7122226	1.2062459	0.0	0.0
7	500.0	0.64461195	0.29470503	1.643378	-0.0159916	128000	1.1175871e-08	0.082345195	-0.01038277	-0.023993876	1.3564423	0.009096254	0.136125	127.0	394.7874011993408	2.6727712	1.5351255	9.208818	1.2284647	0.0	0.0
8	500.0	0.84144247	0.4855197	2.3577538	-0.0025415812	144000	-2.2351742e-08	0.3848789	-0.0085338745	-0.20472786	1.3564423	0.009849649	0.1266875	127.0	432.6779761314392	4.3473473	3.5086305	15.898715	1.1555493	0.0	0.0
9	500.0	1.4945828	1.0200285	4.1415343	-0.2739863	160000	-9.313226e-10	0.39706078	-0.009220567	-0.099178724	1.3564423	0.008244539	0.102375	127.0	471.11111402511597	6.2398787	4.3329735	15.686126	0.972641	0.0	0.0
