Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.13608134	0.017306847	0.19138311	0.05010231	16000	-1.8626451e-08	0.0069774603	-0.0068144193	-0.003289562	1.3564423	0.00787109	0.054750003	127.0	43.9376425743103	0.53780544	0.2906456	1.1995428	0.1387876	0.0	0.0
1	500.0	0.11328285	0.028340587	0.18270825	0.033587795	32000	3.7252903e-09	0.01472055	-0.0055046035	-0.0050115585	1.3564423	0.0051777707	0.058250003	127.0	79.12908554077148	0.9040759	0.5596932	2.3318703	0.24058327	0.0	0.0
2	500.0	0.16112302	0.058714848	0.31919384	0.010516016	48000	1.4901161e-08	0.0060392246	-0.008416584	-0.0014864481	1.3564423	0.007452512	0.087375	127.0	115.29249858856201	0.949248	0.3679227	1.7633286	0.39138842	0.0	0.0
3	500.0	0.18443608	0.0621976	0.33539465	0.0040811077	64000	2.2351742e-08	0.033140644	-0.007210566	-0.0136422645	1.3564423	0.006807025	0.072875	127.0	154.995867729187	1.3692329	1.0003045	5.5282893	0.46917716	0.0	0.0
4	500.0	0.3351649	0.09898175	0.68640083	-0.018302362	80000	-1.4901161e-08	0.05644466	-0.011905532	-0.025251163	1.3564423	0.009432724	0.120812505	127.0	191.1691017150879	2.3050396	1.3755246	6.3301263	0.32045895	0.0	0.0
5	500.0	0.58341116	0.16016248	1.130978	0.16857505	96000	2.9802322e-08	0.2034699	-0.011511238	-0.106139	1.3564423	0.0071483813	0.108375005	127.0	229.23803901672363	3.9169502	2.226562	11.036302	0.9709561	0.0	0.0
6	500.0	1.1387651	0.32870513	2.016385	0.018089637	112000	1.8626451e-08	0.37700248	-0.009215134	-0.19053626	1.3564423	0.0053904695	0.084875	127.0	266.85069131851196	6.453068	2.9781537	12.909704	1.3494157	0.0	0.0
7	500.0	1.6339761	0.6275317	3.3343885	0.08389462	128000	-7.450581e-09	1.2046175	-0.010905629	-0.709793	1.3564423	0.007685451	0.1069375	127.0	304.08096265792847	9.86981	5.5670676	20.669714	2.64176	0.0	0.0
8	500.0	3.1270528	1.0445085	5.273877	-0.041888364	144000	-1.4901161e-08	1.4826574	-0.0101414025	-0.6325996	1.3564423	0.007815626	0.0931875	127.0	341.98081707954407	16.211304	5.4604383	27.464392	6.278693	0.0	0.0
9	500.0	3.9459312	1.3218658	6.7575264	0.16222969	160000	-7.450581e-09	2.3286743	-0.0112326685	-0.7568079	1.3564423	0.009268875	0.1158125	127.0	379.90886974334717	19.532036	6.248173	34.10896	6.1581726	0.0	0.0
10	500.0	5.273185	1.6190882	8.29611	0.19279417	176000	-3.7252903e-09	2.137605	-0.00930163	-0.34184605	1.3564423	0.0058219032	0.086375	127.0	422.29688787460327	22.719204	5.2517633	36.142273	13.775275	0.0	0.0
11	500.0	5.686341	1.3779491	8.297289	1.043841	192000	1.4901161e-08	3.4939654	-0.008137548	-0.51814014	1.3564423	0.0053356793	0.0713125	127.0	458.4460196495056	26.376024	7.3672023	42.772007	14.758471	0.0	0.0
12	500.0	6.4162693	1.3168278	8.79114	1.7914653	208000	2.2351742e-08	2.485652	-0.0076558893	-0.47569036	1.3564423	0.0059006875	0.0499375	127.0	504.08205699920654	25.825615	5.2601395	39.624588	17.155653	0.0	0.0
13	500.0	6.134381	0.90416247	7.7632303	2.6280775	224000	1.8626451e-08	3.9595566	-0.0074801305	-0.37521845	1.3564423	0.007279424	0.056375	127.0	553.350857257843	29.260826	7.0060644	46.069763	19.38936	0.0	0.0
14	500.0	6.715333	0.8627238	7.9737945	2.5919902	240000	-2.9802322e-08	3.586598	-0.0064458093	-0.08597995	1.3564423	0.0052527585	0.043625	127.0	608.9775989055634	30.64462	7.2287297	47.067596	21.402683	0.0	0.0
15	500.0	6.9337416	0.81212616	7.9630885	2.9506195	256000	5.2154064e-08	3.6008978	-0.007889363	-0.08684591	1.3564423	0.0072469823	0.0615625	127.0	661.2865393161774	30.2713	7.511649	46.365494	20.672453	0.0	0.0
16	500.0	6.8611836	0.72300637	7.6824117	3.2678206	272000	1.21071935e-08	6.562545	-0.0079155285	-0.9431621	1.3564423	0.007344342	0.0648125	127.0	700.9017174243927	35.502476	10.267245	53.835884	21.303009	0.0	0.0
17	500.0	7.6289344	0.93254554	8.67601	2.869247	288000	-3.7252903e-09	5.001916	-0.006790937	-0.73603374	1.3564423	0.006030225	0.0506875	127.0	745.2206401824951	37.83054	8.236258	52.275654	24.150696	0.0	0.0
18	500.0	8.532401	1.291696	9.600947	2.2475371	304000	2.9802322e-08	5.5272574	-0.00800721	-0.10728447	1.3564423	0.006205132	0.054250002	127.0	785.7886581420898	38.15012	9.5428915	51.34885	23.246254	0.0	0.0
19	500.0	8.616781	1.1427861	9.572748	2.9618828	320000	7.450581e-09	5.0096745	-0.006992375	-0.13240013	1.3564423	0.005449008	0.0456875	127.0	836.8368830680847	38.15449	9.281601	52.91994	25.0253	0.0	0.0
20	500.0	8.696673	1.3121709	9.796188	2.318013	336000	-3.7252903e-09	4.973999	-0.0077096433	-0.19911851	1.3564423	0.005487355	0.052500002	127.0	894.7641518115997	39.001373	9.528418	54.762566	25.161823	0.0	0.0
21	500.0	8.850906	1.2413572	10.007163	3.06348	352000	-1.8626451e-09	6.8634796	-0.0077783945	-0.4582531	1.3564423	0.0074147154	0.051875003	127.0	963.7293934822083	42.447372	11.557322	61.12877	24.527613	0.0	0.0
22	500.0	9.472575	1.266704	10.531994	3.6470084	368000	2.9802322e-08	5.7915063	-0.008968068	-1.355752	1.3564423	0.009809459	0.06568751	127.0	1021.6315686702728	46.890274	9.866034	70.0799	27.34831	0.0	0.0
23	500.0	10.301361	1.6427941	12.001707	3.478992	384000	-2.2351742e-08	5.581477	-0.009067865	-0.5190369	1.3564423	0.007836876	0.051562503	127.0	1068.5842823982239	45.90493	10.945784	63.545773	25.665796	0.0	0.0
24	500.0	10.155045	1.811992	12.511317	-6.4426184	400000	0.0	8.938034	-0.007986611	-1.1905544	1.3564423	0.0056509348	0.054375	127.0	1114.372944355011	45.062744	13.760884	92.20964	24.245884	0.0	0.0
25	500.0	10.485536	1.827912	13.386068	3.6045403	416000	-2.2351742e-08	4.730392	-0.009876816	-0.8566725	1.3564423	0.008310869	0.0623125	127.0	1151.6024260520935	47.96245	8.149995	58.74717	25.68207	0.0	0.0
26	500.0	10.704821	2.3721418	12.738651	-10.977452	432000	1.4901161e-08	5.7434306	-0.010323604	-0.7325358	1.3564423	0.0073232385	0.0529375	127.0	1191.6072161197662	46.784245	9.450557	57.56571	25.590765	0.0	0.0
27	500.0	10.399787	1.7921761	12.470824	-8.493061	448000	-3.7252903e-09	7.924914	-0.008689663	-1.1858199	1.3564423	0.007128314	0.0604375	127.0	1229.8567135334015	46.503822	12.657058	88.55212	26.69716	0.0	0.0
28	500.0	10.469424	2.7454169	13.564401	-10.86348	464000	7.450581e-09	6.763652	-0.0089666955	-1.5688713	1.3564423	0.0071043926	0.062374998	127.0	1270.1739122867584	45.05944	9.228899	58.416252	26.605324	0.0	0.0
29	500.0	10.068027	2.3559115	12.394767	-8.653786	480000	3.7252903e-09	6.414691	-0.009639157	-1.1891534	1.3564423	0.006272465	0.06825	127.0	1310.870243549347	48.13405	12.747648	83.71418	22.710566	0.0	0.0
30	500.0	10.889015	2.0028796	13.527611	-1.010356	496000	5.5879354e-09	5.1515355	-0.009377778	-0.77700895	1.3564423	0.006556496	0.0645	127.0	1350.8727474212646	46.81349	9.612805	59.617256	28.739542	0.0	0.0
31	500.0	10.163943	1.8443954	13.097112	1.9825019	512000	-1.1175871e-08	3.7619963	-0.009525505	-0.8083492	1.3564423	0.006595522	0.069749996	127.0	1389.7639894485474	46.146767	10.594739	58.79061	25.211288	0.0	0.0
32	500.0	10.780663	2.2402315	13.557799	-3.2484186	528000	-3.7252903e-09	4.0772	-0.010927167	-0.49165604	1.3564423	0.007928049	0.07625	127.0	1432.1877670288086	49.150063	9.875988	60.626858	25.202274	0.0	0.0
