Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07584748	0.026121063	0.1374863	-0.02814604	16000	1.1175871e-08	0.0029671113	-0.0069015054	-0.0020158046	1.3564423	0.00767924	0.057187498	127.0	45.32649040222168	0.30794764	0.11689483	0.61641425	0.114687085	0.0	0.0
1	500.0	0.055649556	0.020778367	0.124898836	0.0071329093	32000	-2.0489097e-08	0.0014258949	-0.008048957	-0.00049632473	1.3564423	0.006650891	0.08125	127.0	84.24311351776123	0.3442524	0.16696596	0.80187374	0.07724884	0.0	0.0
2	500.0	0.06760064	0.03091603	0.14810708	-0.016490173	48000	-1.1175871e-08	0.0021066908	-0.011258604	-0.00074676913	1.3564423	0.009853007	0.1314375	127.0	121.41778564453125	0.5173502	0.22077252	1.0289122	0.20096579	0.0	0.0
3	500.0	0.10657623	0.03975244	0.20517978	-0.010169007	64000	1.1175871e-08	0.0038138689	-0.010311625	-0.0015820338	1.3564423	0.0087396605	0.0948125	127.0	163.39615511894226	0.7307079	0.2748933	1.8665979	0.33303404	0.0	0.0
4	500.0	0.15578799	0.04076923	0.25831553	0.0477369	80000	0.0	0.0076900646	-0.011693487	-0.0030132546	1.3564423	0.007849988	0.1155625	127.0	216.8051996231079	0.96398634	0.50017864	2.6156898	0.26633108	0.0	0.0
5	500.0	0.23996717	0.06412432	0.5062279	0.035398163	96000	1.4901161e-08	0.056356218	-0.008488167	-0.02781113	1.3564423	0.0092442315	0.138875	127.0	278.9925479888916	1.6982107	1.0398221	6.815373	0.44146132	0.0	0.0
6	500.0	0.53882915	0.17964587	1.0893663	0.06829364	112000	2.9802322e-08	0.11263439	-0.007906872	-0.06739797	1.3564423	0.0061689373	0.092125	127.0	355.01393842697144	2.8325105	1.6160098	7.871217	1.2412443	0.0	0.0
7	500.0	0.6777424	0.3163836	1.7360222	-0.036057673	128000	-7.450581e-09	0.08884817	-0.010305929	-0.02506473	1.3564423	0.009639056	0.1385	127.0	403.64344573020935	2.73535	1.5779824	9.767195	1.2796807	0.0	0.0
8	500.0	0.86272913	0.53782505	2.670934	-0.025179233	144000	-1.4901161e-08	0.4698989	-0.0085459575	-0.2580264	1.3564423	0.009696886	0.125375	127.0	450.25615429878235	4.6941285	3.9333982	17.767523	1.1715475	0.0	0.0
9	500.0	1.5256277	1.0531061	4.3486233	-0.28578946	160000	-9.313226e-09	0.39974087	-0.009208258	-0.09726021	1.3564423	0.008246906	0.10325	127.0	506.67283511161804	6.3697796	4.582607	15.856497	1.0223689	0.0	0.0
10	500.0	1.8510591	1.2195129	5.041967	-0.49913412	176000	-3.7252903e-09	0.4256141	-0.008559267	-0.16649993	1.3564423	0.0075831804	0.08075	127.0	557.540219783783	7.103494	5.459081	20.5274	2.4023497	0.0	0.0
11	500.0	2.6522772	1.8121107	6.3441	-0.24805485	192000	4.656613e-10	0.6409277	-0.007833414	-0.2522008	1.3564423	0.00546516	0.0659375	127.0	623.7459673881531	8.631941	5.2439327	20.206879	1.4489708	0.0	0.0
12	500.0	2.8007412	1.7685128	5.9733987	-0.08199409	208000	9.313226e-09	0.7376411	-0.0072758677	-0.096556835	1.3564423	0.007413465	0.0649375	127.0	666.6887168884277	10.257738	5.766823	18.785517	1.8529376	0.0	0.0
13	500.0	3.137917	1.5884604	5.757134	0.077907525	224000	2.7939677e-08	0.7929683	-0.0073694913	-0.110620536	1.3564423	0.0071134837	0.0655625	127.0	706.3158268928528	13.125671	6.6892366	23.313633	1.2864959	0.0	0.0
14	500.0	3.4045963	1.775995	6.057212	-0.016071813	240000	1.4901161e-08	0.83792675	-0.007590007	-0.07441606	1.3564423	0.0076859305	0.0583125	127.0	748.1244738101959	13.343214	7.145726	24.624514	1.0970709	0.0	0.0
15	500.0	3.689358	1.8692737	6.3992534	-0.035704035	256000	3.7252903e-09	0.5988549	-0.0056944313	-0.0861982	1.3564423	0.0053141573	0.048	127.0	785.8912262916565	15.497582	5.823175	23.96975	1.3160084	0.0	0.0
16	500.0	4.269593	1.8599284	6.7839794	-0.013131198	272000	2.8871e-08	0.80752355	-0.005980802	-0.11765385	1.3564423	0.0044770874	0.04225	127.0	823.6259386539459	17.938778	5.926749	25.929493	1.4382585	0.0	0.0
17	500.0	4.8418965	1.8253931	7.0236497	-0.03203309	288000	-1.8626451e-08	0.9632662	-0.008522339	-0.31340408	1.3564423	0.008007317	0.05925	127.0	863.9780218601227	21.386536	5.3264594	25.70919	2.8233035	0.0	0.0
18	500.0	5.1409016	1.9363803	7.156697	0.17767864	304000	0.0	0.74842715	-0.007055784	-0.065906614	1.3564423	0.0060988474	0.0518125	127.0	902.2260282039642	20.66489	6.281939	27.35256	2.0189838	0.0	0.0
19	500.0	5.3302107	1.7045727	6.9652686	0.15769942	320000	-7.450581e-09	0.75196975	-0.005881243	-0.18546927	1.3564423	0.0046094097	0.045125	127.0	941.756814956665	23.350012	4.374593	27.348316	1.1539828	0.0	0.0
20	500.0	5.3391047	1.7730216	6.920046	0.3196556	336000	-3.7252903e-09	0.8906029	-0.009142228	-0.13555476	1.3564423	0.00818239	0.061499998	127.0	978.5671999454498	21.468391	7.386056	28.687336	2.16339	0.0	0.0
21	500.0	5.2821894	1.8376192	6.82708	-0.08381352	352000	1.8626451e-08	0.84097683	-0.007837877	-0.1695863	1.3564423	0.0069735027	0.0518125	127.0	1017.4770002365112	21.35147	7.2149816	27.442072	2.675227	0.0	0.0
22	500.0	5.1887393	1.899555	6.732625	-0.007413663	368000	1.6763806e-08	0.7983978	-0.0060174717	-0.13614962	1.3564423	0.006059095	0.0506875	127.0	1071.0624866485596	21.770115	8.342868	31.74868	1.9871416	0.0	0.0
23	500.0	5.7575097	1.6786263	6.871369	-0.70709276	384000	0.0	0.79505444	-0.007331142	-0.06295844	1.3564423	0.0054027867	0.056	127.0	1115.5771062374115	24.208662	4.611624	29.964733	2.982697	0.0	0.0
24	500.0	5.6888595	1.5713199	6.784899	-0.033485774	400000	1.4901161e-08	0.7014209	-0.007860235	-0.10415006	1.3564423	0.0067845345	0.0631875	127.0	1166.079794883728	24.737747	5.731688	30.560343	3.880386	0.0	0.0
