Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.13862817	0.016191427	0.18104978	0.07968564	16000	1.4901161e-08	0.0058798813	-0.0067322142	-0.004162521	1.3564423	0.007738975	0.0586875	127.0	42.71630096435547	0.4049475	0.16914676	0.78165615	0.14706147	0.0	0.0
1	500.0	0.089397825	0.016342595	0.13456753	0.039669625	32000	-1.8626451e-08	0.0047956146	-0.0058355574	-0.0016449409	1.3564423	0.0052485485	0.059750002	127.0	83.72239375114441	0.62106955	0.30157113	1.4049428	0.22792672	0.0	0.0
2	500.0	0.11631628	0.034110542	0.20752117	0.019143164	48000	-8.8475645e-09	0.0028263002	-0.008642653	-0.00084164843	1.3564423	0.007569086	0.0875625	127.0	126.10788178443909	0.7152027	0.22413084	1.1442212	0.37148598	0.0	0.0
3	500.0	0.1366737	0.04112335	0.2278825	0.036852986	64000	-7.450581e-09	0.01576583	-0.007788036	-0.006350058	1.3564423	0.007375793	0.079624996	127.0	161.6277313232422	1.0332234	0.65817374	3.814929	0.39767197	0.0	0.0
4	500.0	0.2533978	0.060785986	0.45508993	0.018657057	80000	-2.9802322e-08	0.036242194	-0.012070319	-0.017197793	1.3564423	0.0094391275	0.117875	127.0	196.5025954246521	1.8544698	0.9591245	4.8456535	0.32017052	0.0	0.0
5	500.0	0.4696877	0.10426287	0.89969295	0.20029014	96000	4.8428774e-08	0.1844758	-0.010006173	-0.1005667	1.3564423	0.0069781616	0.1011875	127.0	232.94540452957153	3.4837985	1.7638526	9.555762	0.9307979	0.0	0.0
6	500.0	0.9444733	0.25486737	1.5458257	0.13674855	112000	-1.4901161e-08	0.44165245	-0.008039907	-0.24503648	1.3564423	0.005036653	0.071062505	127.0	268.983763217926	6.197564	2.410883	11.067756	2.0274868	0.0	0.0
7	500.0	1.5008074	0.4795684	2.5689275	0.29736462	128000	-2.4214387e-08	0.9944619	-0.009808522	-0.5584093	1.3564423	0.0073950216	0.101375	127.0	306.50153851509094	9.098864	4.2339377	16.76845	3.3178344	0.0	0.0
8	500.0	2.6375537	0.89794683	4.3435817	0.15337038	144000	4.5634806e-08	2.5312872	-0.009365019	-1.4106181	1.3564423	0.0070980377	0.0848125	127.0	343.4449725151062	16.084026	5.407261	28.098763	7.441325	0.0	0.0
9	500.0	3.8535135	1.2724437	6.4281044	0.3258914	160000	-2.6077032e-08	1.8096644	-0.012268987	-0.7632984	1.3564423	0.009356352	0.123500004	127.0	380.22521781921387	19.119083	5.3450174	29.37977	7.1011715	0.0	0.0
10	500.0	5.1286917	1.687832	7.4004664	-0.44693643	176000	3.7252903e-09	2.0744843	-0.009533534	-0.45310736	1.3564423	0.0055962773	0.076500006	127.0	430.61245036125183	23.867218	5.169255	32.118694	14.981248	0.0	0.0
11	500.0	5.9799023	1.6169119	8.101121	0.09717057	192000	-7.450581e-09	2.2380881	-0.010098539	-0.5305548	1.3564423	0.0064160796	0.0849375	127.0	475.02267622947693	28.131264	5.135695	37.107525	16.141026	0.0	0.0
12	500.0	6.8879027	1.6578344	8.804552	1.0725125	208000	0.0	1.8371918	-0.007858288	-0.1526208	1.3564423	0.005581791	0.056500003	127.0	531.5664546489716	28.468496	4.8181677	35.027355	17.87526	0.0	0.0
13	500.0	6.9217653	1.4305824	8.4073305	1.666871	224000	1.6763806e-08	2.359655	-0.008183895	-0.4788205	1.3564423	0.008027168	0.06475	127.0	589.9028098583221	32.566147	4.976979	39.76836	21.727371	0.0	0.0
14	500.0	7.6617546	1.5390908	9.001072	1.5859848	240000	-1.4901161e-08	2.166115	-0.007956804	-0.16333152	1.3564423	0.005248241	0.0546875	127.0	629.3377823829651	33.198727	5.7491264	44.406273	20.90749	0.0	0.0
15	500.0	7.71419	1.2300346	8.692333	2.2313228	256000	0.0	2.060592	-0.007791328	-0.16985568	1.3564423	0.005652005	0.052375	127.0	670.9573884010315	35.52386	5.570395	43.44242	17.451677	0.0	0.0
16	500.0	8.110878	1.2689711	9.042542	2.310119	272000	-1.8626451e-08	2.09035	-0.0074198376	-0.13774301	1.3564423	0.0061389194	0.0481875	127.0	712.2079832553864	37.421356	5.609848	47.25457	24.27942	0.0	0.0
17	500.0	8.389183	1.2394307	9.314754	2.5025792	288000	0.0	3.2290366	-0.0077518686	-0.09971229	1.3564423	0.0066642826	0.0498125	127.0	750.9399328231812	37.421547	7.163356	54.07294	13.425362	0.0	0.0
18	500.0	8.582812	1.2900035	9.45261	1.5056872	304000	-2.2351742e-08	1.9939214	-0.008726922	-0.14375308	1.3564423	0.005089286	0.055124998	127.0	791.3292980194092	39.513966	5.288986	48.180695	25.440327	0.0	0.0
19	500.0	8.901871	1.3526449	9.8355255	2.054733	320000	9.313226e-09	1.0822675	-0.0082685165	-0.047578458	1.3564423	0.0045760465	0.0623125	127.0	830.9558742046356	39.59368	3.8115625	47.04441	30.092808	0.0	0.0
20	500.0	9.068086	1.3420665	10.046048	2.8896194	336000	-8.381903e-09	1.2516564	-0.007385256	-0.05477182	1.3564423	0.0051352186	0.051875	127.0	872.5571610927582	40.83956	4.1302314	46.91681	28.179478	0.0	0.0
21	500.0	9.22321	1.2847991	10.019854	2.790683	352000	2.6077032e-08	1.5781994	-0.0088296635	-0.12892738	1.3564423	0.005781051	0.05725	127.0	914.726077079773	42.584976	4.593742	48.94049	32.26682	0.0	0.0
22	500.0	9.524209	1.3386959	10.358094	3.1371307	368000	-1.1641532e-08	1.0319357	-0.008327186	-0.10306896	1.3564423	0.0074057113	0.06025	127.0	959.8508508205414	43.373352	3.8635845	49.81757	32.61167	0.0	0.0
23	500.0	9.790953	1.4560245	10.703085	3.196434	384000	-7.450581e-09	0.9286003	-0.008048059	-0.10544382	1.3564423	0.004937767	0.0541875	127.0	996.252997636795	44.408276	3.9152226	49.83723	28.9004	0.0	0.0
24	500.0	10.086769	1.490404	11.062618	3.5741096	400000	-1.8626451e-08	0.8803946	-0.007433954	-0.043883316	1.3564423	0.005883867	0.057000004	127.0	1038.086102962494	45.34449	3.279571	49.90039	37.370396	0.0	0.0
25	500.0	10.169522	1.5206631	11.186254	3.3723083	416000	-7.450581e-09	0.6780339	-0.009779565	-0.12870584	1.3564423	0.007260342	0.077874996	127.0	1084.6992428302765	44.19144	3.1912458	51.928185	35.071255	0.0	0.0
26	500.0	10.118683	1.5914688	11.345433	2.8829694	432000	-7.450581e-09	0.9011972	-0.009941403	-0.043531273	1.3564423	0.006412416	0.0703125	127.0	1129.8632049560547	44.623425	4.271556	53.9226	32.992714	0.0	0.0
27	500.0	10.241623	1.58497	11.436902	3.7564144	448000	3.3527613e-08	0.9137401	-0.0062970007	-0.041512087	1.3564423	0.0055975607	0.0549375	127.0	1173.2166557312012	45.008907	3.0159492	50.766685	37.35234	0.0	0.0
28	500.0	10.226747	1.5684165	11.4517	3.5765963	464000	1.4901161e-08	5.590534	-0.0066522295	-0.57694405	1.3564423	0.00815873	0.072125	127.0	1216.5387060642242	48.132584	8.718668	88.300735	35.69314	0.0	0.0
29	500.0	10.83674	1.5817747	11.810088	3.44014	480000	1.4901161e-08	1.088414	-0.0076760864	-0.09378037	1.3564423	0.006737271	0.06275	127.0	1257.4843833446503	46.80315	4.3356895	59.871517	34.016727	0.0	0.0
30	500.0	10.674078	1.6598185	11.856018	3.4790523	496000	-1.4901161e-08	3.7372274	-0.0071861693	-0.065713495	1.3564423	0.0061437692	0.066874996	127.0	1298.0944678783417	47.275513	7.481453	79.87785	28.418758	0.0	0.0
31	500.0	10.759035	1.631818	12.043992	3.886094	512000	3.7252903e-09	2.2422137	-0.0083404	-0.15715888	1.3564423	0.0045968904	0.066125	127.0	1362.506005525589	48.455647	5.4410367	65.91772	39.24579	0.0	0.0
32	500.0	10.95597	1.8294251	12.452973	3.517164	528000	-2.0489097e-08	1.37428	-0.008602571	-0.35826752	1.3564423	0.006548114	0.06525	127.0	1437.5163249969482	45.298103	4.4388647	51.06815	30.521677	0.0	0.0
33	500.0	10.569938	1.6661652	11.745166	3.6882737	544000	3.7252903e-09	1.0122678	-0.008126938	-0.072976604	1.3564423	0.007031949	0.06025	127.0	1508.9548370838165	47.396305	3.8836892	54.373283	35.689137	0.0	0.0
34	500.0	10.754	1.6452157	11.825032	3.89113	560000	7.450581e-09	16.458284	-0.006855876	-1.1791059	1.3564423	0.005968295	0.0799375	127.0	1573.1312010288239	51.419395	14.90088	128.52826	40.41124	0.0	0.0
35	500.0	11.494076	1.8540918	12.927141	3.2837424	576000	1.1175871e-08	2.507005	-0.008149268	-0.58998245	1.3564423	0.008600475	0.079375	127.0	1626.285323381424	46.988445	5.405646	64.41423	31.506248	0.0	0.0
36	500.0	10.9297285	1.7743955	12.460443	4.0406904	592000	-3.7252903e-09	5.2149315	-0.0072468235	-0.3270756	1.3564423	0.008282515	0.0810625	127.0	1688.933836221695	49.613506	10.996305	98.32011	39.324738	0.0	0.0
37	500.0	11.250392	1.7995222	13.069091	3.525589	608000	7.450581e-09	6.3547425	-0.007646515	-0.3419879	1.3564423	0.0063578477	0.0739375	127.0	1750.058596611023	50.63894	9.7763605	95.54668	40.865997	0.0	0.0
38	500.0	11.501223	1.7693877	13.288543	3.9864824	624000	2.9802322e-08	20.37218	-0.008081264	-1.7492999	1.3564423	0.007902011	0.08212499	127.0	1796.854829788208	53.95083	18.694721	122.527695	27.317926	0.0	0.0
39	500.0	12.061461	2.164995	15.124065	0.9262072	640000	0.0	25.21636	-0.008087315	-4.5123935	1.3564423	0.00853584	0.080125004	127.0	1841.3457453250885	57.65131	23.435215	136.30057	32.677246	0.0	0.0
