Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.08686694	0.013784217	0.1243146	0.029021323	16000	-2.7008355e-08	0.004700419	-0.0055299667	-0.002309152	1.3564423	0.008007846	0.057125002	127.0	47.259862422943115	0.5316409	0.23709317	1.0531957	0.16278395	0.0	0.0
1	500.0	0.09982339	0.038752288	0.18186846	-0.018358203	32000	-2.0489097e-08	0.009324341	-0.0067909383	-0.0034873914	1.3564423	0.006306744	0.07525	127.0	96.01710915565491	0.83641684	0.45119405	1.9068083	0.13322973	0.0	0.0
2	500.0	0.16384006	0.055599406	0.3042127	0.015063751	48000	-2.0489097e-08	0.015330719	-0.009309761	-0.0048266444	1.3564423	0.0074881567	0.09975	127.0	134.9760890007019	1.2164004	0.6113363	3.0668955	0.43256676	0.0	0.0
3	500.0	0.2734274	0.06816884	0.4337692	0.034380235	64000	-2.9802322e-08	0.077824906	-0.008152567	-0.03355072	1.3564423	0.007311876	0.081687495	127.0	177.09192562103271	2.1470113	1.3456978	7.332728	0.70356613	0.0	0.0
4	500.0	0.53952503	0.113259934	0.999192	0.19338316	80000	1.4901161e-08	0.24533974	-0.0107807815	-0.15084888	1.3564423	0.008763018	0.1029375	127.0	215.97701501846313	4.0084505	1.9074173	10.083858	0.8766875	0.0	0.0
5	500.0	1.0414844	0.31650725	1.9438368	0.28623694	96000	-2.6077032e-08	1.932102	-0.007982102	-1.2082086	1.3564423	0.00577135	0.074562505	127.0	252.3999888896942	9.170961	4.4065995	21.72224	2.6018922	0.0	0.0
6	500.0	2.3622477	0.7852207	3.9687772	0.26918447	112000	-1.1175871e-08	2.6549265	-0.007623424	-1.5738378	1.3564423	0.0046072607	0.059125002	127.0	298.2883605957031	14.905231	4.9994354	22.340746	3.6536293	0.0	0.0
7	500.0	3.577721	1.3235664	5.7598734	-0.21798116	128000	0.0	1.585124	-0.0101305265	-0.7770817	1.3564423	0.006506495	0.098187506	127.0	340.2746362686157	17.824047	4.246208	30.687616	11.142229	0.0	0.0
8	500.0	4.777919	1.6545523	7.394609	-0.13729183	144000	0.0	1.3470006	-0.010938138	-0.17091094	1.3564423	0.008133738	0.101375	127.0	380.67310094833374	20.98396	5.4735456	37.491898	13.408805	0.0	0.0
9	500.0	5.2882314	1.6566482	7.517868	0.25081578	160000	2.2351742e-08	1.7008772	-0.009553006	-0.34008422	1.3564423	0.0071685417	0.0761875	127.0	419.7039067745209	23.876644	5.3870783	37.665657	15.184629	0.0	0.0
10	500.0	6.106086	1.6168385	8.219576	0.715862	176000	1.5832484e-08	1.7990652	-0.009381324	-0.2765668	1.3564423	0.005555837	0.0635	127.0	457.3331801891327	26.59312	4.7284536	32.794613	15.275092	0.0	0.0
11	500.0	6.4457726	1.3891497	7.9866676	1.2265561	192000	0.0	1.6261716	-0.008515565	-0.1424106	1.3564423	0.0064662527	0.0600625	127.0	495.17154145240784	28.221031	3.8316143	34.99817	19.023073	0.0	0.0
12	500.0	6.725934	1.1536832	8.016057	1.2230934	208000	3.7252903e-09	1.9785593	-0.00831	-0.1481152	1.3564423	0.0056488826	0.057875	127.0	534.4556827545166	30.329817	4.9105783	40.357452	20.576347	0.0	0.0
13	500.0	6.967889	1.0619096	7.8904924	1.6531848	224000	9.313226e-09	2.1904817	-0.0070624393	-0.19402097	1.3564423	0.0063593453	0.0476875	127.0	573.6101322174072	32.143036	4.221263	38.78287	21.84085	0.0	0.0
14	500.0	7.3918433	1.1163771	8.360589	0.97158563	240000	-2.7939677e-08	2.140548	-0.008815848	-0.10225354	1.3564423	0.007533701	0.058250003	127.0	614.6494791507721	33.592182	4.76371	42.480316	22.246778	0.0	0.0
15	500.0	7.611498	1.031458	8.42926	1.5092026	256000	0.0	2.27493	-0.008474413	-0.24215963	1.3564423	0.0070155296	0.059875004	127.0	653.473640203476	31.81722	5.1271863	40.90597	21.165524	0.0	0.0
16	500.0	7.2322674	0.86614156	7.8718343	0.7390519	272000	-1.21071935e-08	3.2398448	-0.007335376	-0.35050067	1.3564423	0.0052906275	0.048	127.0	692.5067398548126	35.420433	5.000457	53.89746	23.812912	0.0	0.0
17	500.0	7.7677574	0.82641405	8.320645	0.10331992	288000	7.450581e-09	2.511139	-0.007407857	-0.22214866	1.3564423	0.0058541987	0.0545	127.0	732.5981070995331	36.662476	4.984033	45.818775	26.981129	0.0	0.0
18	500.0	8.1307335	1.0642303	8.878299	-1.3908632	304000	3.7252903e-09	1.8444179	-0.008121554	-0.054327305	1.3564423	0.0072171176	0.058312498	127.0	769.591893196106	36.813667	4.1589413	44.195816	21.55871	0.0	0.0
19	500.0	8.280141	1.0552764	9.025651	-0.07737115	320000	-1.1175871e-08	1.8811598	-0.0072493358	-0.12742108	1.3564423	0.0049057687	0.045625	127.0	809.0243089199066	38.487144	3.754572	46.308678	30.031921	0.0	0.0
20	500.0	8.607322	1.1021798	9.284346	2.1415327	336000	-9.313226e-09	2.8445072	-0.007480877	-0.221681	1.3564423	0.004616549	0.05725	127.0	852.3567295074463	40.41647	5.7414174	62.518185	31.661053	0.0	0.0
21	500.0	9.006059	1.3007202	9.769794	1.4464629	352000	5.5879354e-09	1.814503	-0.0073040333	-0.032068778	1.3564423	0.0053393403	0.0520625	127.0	896.1091678142548	39.544735	4.1782517	46.36347	30.854532	0.0	0.0
22	500.0	8.925032	1.2450908	9.671874	1.5123866	368000	3.7252903e-09	1.5357885	-0.008141781	-0.14907345	1.3564423	0.0073016984	0.064375	127.0	934.4810435771942	40.752556	3.571312	47.414196	28.97086	0.0	0.0
23	500.0	9.197789	1.4237713	10.08514	2.3095253	384000	-1.6763806e-08	1.6132222	-0.00928543	-0.09380451	1.3564423	0.0066781444	0.0631875	127.0	972.8300895690918	41.07539	3.8623376	49.38575	33.7367	0.0	0.0
24	500.0	9.231606	1.2588001	10.12209	2.3389041	400000	3.7252903e-09	1.4330696	-0.008461556	-0.06191499	1.3564423	0.0054162014	0.055	127.0	1016.1123714447021	41.20117	4.275378	48.046566	32.603844	0.0	0.0
25	500.0	9.299207	1.2545547	10.121574	3.2139933	416000	2.142042e-08	2.4464207	-0.0078096893	-0.14616084	1.3564423	0.0060624285	0.059625003	127.0	1059.5789988040924	43.068817	4.890675	60.875427	35.862926	0.0	0.0
26	500.0	9.555101	1.225794	10.408193	3.2925117	432000	1.3969839e-08	1.5398773	-0.008844254	-0.119257376	1.3564423	0.006295942	0.0655625	127.0	1101.5954966545105	42.021812	4.164556	49.163155	29.184313	0.0	0.0
27	500.0	9.460568	1.2780241	10.479435	3.264626	448000	5.5879354e-09	1.5472348	-0.008075618	-0.31849363	1.3564423	0.0051709884	0.056	127.0	1145.7905342578888	39.60006	3.7453806	48.069912	32.90702	0.0	0.0
28	500.0	8.948397	1.2006721	10.104481	3.3733299	464000	-7.450581e-09	1.4488301	-0.00809774	-0.23695806	1.3564423	0.0074654184	0.06125	127.0	1186.5215384960175	41.5851	4.195071	47.60139	31.152979	0.0	0.0
29	500.0	9.294883	1.3404295	10.358048	3.6182764	480000	-2.0489097e-08	1.2036154	-0.009465463	-0.06441905	1.3564423	0.005730494	0.0606875	127.0	1228.0783314704895	41.51976	4.006092	50.72118	33.159725	0.0	0.0
30	500.0	9.400891	1.2910615	10.448134	3.511781	496000	-2.7939677e-09	1.1820759	-0.009187197	-0.05093147	1.3564423	0.0070201345	0.073312506	127.0	1267.5722649097443	42.352997	3.7935538	48.74127	33.372334	0.0	0.0
31	500.0	9.417076	1.2484546	10.490733	3.902086	512000	0.0	1.314585	-0.00919176	-0.09000398	1.3564423	0.0055091777	0.0673125	127.0	1314.4275076389313	42.66315	4.527392	49.38956	33.82131	0.0	0.0
32	500.0	9.513959	1.2744757	10.546556	4.043574	528000	2.2351742e-08	1.2684252	-0.0074932366	-0.13911247	1.3564423	0.006724726	0.0564375	127.0	1359.9987099170685	43.615784	3.7875853	49.604084	35.080082	0.0	0.0
33	500.0	9.754411	1.3808327	10.903657	4.061408	544000	1.4901161e-08	2.3900728	-0.00868411	-0.19860265	1.3564423	0.008248837	0.072375	127.0	1408.534673690796	44.632195	4.8801394	58.963913	36.58261	0.0	0.0
34	500.0	9.961423	1.4129845	11.348295	4.1976404	560000	-5.5879354e-09	1.5936337	-0.008172521	-0.1954143	1.3564423	0.006178039	0.0695	127.0	1445.8350930213928	45.048504	5.4877872	65.87939	34.200317	0.0	0.0
35	500.0	10.209385	1.5105196	11.510945	4.468112	576000	2.2351742e-08	5.4572153	-0.0066158385	-0.4053926	1.3564423	0.008008702	0.087437496	127.0	1485.0861234664917	47.38871	10.392761	102.87139	38.84551	0.0	0.0
36	500.0	10.604949	1.6269772	11.973151	4.388066	592000	6.519258e-09	1.213293	-0.007985518	-0.14193347	1.3564423	0.007883797	0.0670625	127.0	1533.4522359371185	45.69808	3.8798394	52.58826	31.73762	0.0	0.0
37	500.0	10.468213	1.6226469	11.69138	4.3166637	608000	-7.450581e-09	0.4902072	-0.010184156	-0.0396208	1.3564423	0.0065197563	0.0705625	127.0	1583.6520221233368	46.79447	3.1837213	51.69638	38.493645	0.0	0.0
38	500.0	10.653389	1.6098058	11.724914	4.5323935	624000	1.1175871e-08	0.25748646	-0.008651274	-0.016349318	1.3564423	0.007142243	0.0626875	127.0	1622.962637424469	46.85023	2.2034853	51.356182	42.743904	0.0	0.0
39	500.0	10.646881	1.6742581	11.69997	4.4336762	640000	-1.8626451e-09	0.45586124	-0.00952339	-0.05709494	1.3564423	0.0057097296	0.0750625	127.0	1663.4546313285828	46.71612	3.165928	52.392338	35.126102	0.0	0.0
40	500.0	10.663088	1.6969615	11.764391	4.3496895	656000	-1.4901161e-08	0.25750065	-0.01092624	-0.026908677	1.3564423	0.008498439	0.0885	127.0	1704.799209356308	47.88364	2.0994732	52.22204	43.143894	0.0	0.0
41	500.0	10.659141	1.6503526	11.777618	4.408228	672000	1.8626451e-08	16.21944	-0.006763799	-2.7738032	1.3564423	0.009594528	0.081	127.0	1747.5082921981812	52.84983	17.486048	122.481125	39.71174	0.0	0.0
42	500.0	11.45599	1.8153789	13.241922	4.256545	688000	9.313226e-09	11.036519	-0.0063204747	-1.1330575	1.3564423	0.0064294846	0.065375	127.0	1787.9251828193665	52.92832	15.276241	112.243454	40.703064	0.0	0.0
43	500.0	11.913611	2.0035946	14.155005	4.5254765	704000	-7.450581e-09	1.2614022	-0.0074578254	-0.7378995	1.3564423	0.006876086	0.0523125	127.0	1828.7686352729797	48.507736	2.4640033	53.32386	44.41845	0.0	0.0
44	500.0	11.325602	1.888474	13.715149	4.407024	720000	1.44355e-08	1.3700964	-0.0077973707	-0.09768766	1.3564423	0.0064244084	0.067875	127.0	1871.3718593120575	48.722435	4.4438276	67.915054	40.887634	0.0	0.0
45	500.0	11.242803	1.8158169	13.864668	4.306553	736000	0.0	0.3176671	-0.008556173	-0.037131336	1.3564423	0.004979365	0.052500002	127.0	1914.5193016529083	48.731606	2.2642438	52.48515	45.05017	0.0	0.0
