Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07757509	0.025167901	0.13707158	-0.008048037	16000	1.3038516e-08	0.002491805	-0.0069213873	-0.0018372777	1.3564423	0.0076116794	0.061499998	127.0	43.87439799308777	0.24095789	0.089557484	0.5387033	0.094920024	0.0	0.0
1	500.0	0.049246345	0.011071987	0.085647814	0.019775202	32000	-3.7252903e-09	0.00094641803	-0.007991667	-0.00042633968	1.3564423	0.00601584	0.0693125	127.0	80.95324230194092	0.26886904	0.13076024	0.62303925	0.07091651	0.0	0.0
2	500.0	0.05565398	0.022527196	0.105320826	0.0011384618	48000	-3.7252903e-09	0.0009180646	-0.01318823	-0.00029704266	1.3564423	0.009919163	0.1415	127.0	119.93657374382019	0.3861992	0.14650628	0.88661534	0.09317885	0.0	0.0
3	500.0	0.091369934	0.023440478	0.13928159	0.005944645	64000	2.2351742e-08	0.0023890794	-0.011187954	-0.0011477142	1.3564423	0.008444248	0.104	127.0	158.5779948234558	0.5998661	0.21359274	1.366201	0.29680252	0.0	0.0
4	500.0	0.13119589	0.026801428	0.22170748	0.034614287	80000	-7.450581e-09	0.0044097207	-0.013193309	-0.0022582472	1.3564423	0.0088975	0.1220625	127.0	195.76524305343628	0.8271158	0.32987738	1.7962034	0.37973434	0.0	0.0
5	500.0	0.20994468	0.04747507	0.40418226	0.08922886	96000	3.3527613e-08	0.043043803	-0.009867661	-0.024491109	1.3564423	0.008575695	0.115875	127.0	231.67572379112244	1.684743	0.7086968	4.214366	0.71598697	0.0	0.0
6	500.0	0.47966307	0.1410026	0.87971187	0.12767772	112000	0.0	0.18349567	-0.0064296247	-0.09863089	1.3564423	0.0058950232	0.07425	127.0	269.0695960521698	3.1730206	1.6066614	8.043245	1.1912599	0.0	0.0
7	500.0	0.8692605	0.3577603	1.5638754	0.120144546	128000	-3.5390258e-08	0.18034744	-0.009340545	-0.08536968	1.3564423	0.008153655	0.1090625	127.0	309.9560213088989	4.388111	1.6625456	7.817604	1.7087632	0.0	0.0
8	500.0	1.3098333	0.6015198	2.551089	-0.08859915	144000	2.9802322e-08	0.92426467	-0.008188738	-0.5652323	1.3564423	0.008135598	0.079687506	127.0	361.0475323200226	8.126601	2.862507	14.202125	2.6491475	0.0	0.0
9	500.0	2.2553265	1.0595481	4.257477	-0.35271257	160000	-2.9802322e-08	1.4411677	-0.009973552	-0.7312495	1.3564423	0.0072652525	0.095625	127.0	404.628555059433	11.960625	3.923083	18.99042	5.46191	0.0	0.0
10	500.0	3.3720868	1.444575	5.4790196	-0.81236017	176000	3.7252903e-09	1.553402	-0.009452748	-0.5071926	1.3564423	0.006285009	0.08775	127.0	456.94757628440857	15.622137	4.6843824	22.821144	6.5322146	0.0	0.0
11	500.0	4.1370354	1.6259118	6.3596883	-0.3025483	192000	4.8428774e-08	2.1255808	-0.009081822	-0.9456284	1.3564423	0.005026918	0.07843751	127.0	513.7303085327148	20.49479	4.993028	28.382452	9.461092	0.0	0.0
