Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07732689	0.025122784	0.13864364	-0.0047940537	16000	2.7008355e-08	0.0025725823	-0.007240801	-0.0019964764	1.3564423	0.007429108	0.0639375	127.0	44.58731698989868	0.20408522	0.08075324	0.42178813	0.081294395	0.0	0.0
1	500.0	0.044214517	0.008067587	0.07094643	0.017399676	32000	-1.1175871e-08	0.00061862206	-0.0066581396	-0.0003179359	1.3564423	0.0055564586	0.060437497	127.0	83.42405581474304	0.2031308	0.091397576	0.46830258	0.0498416	0.0	0.0
2	500.0	0.0422497	0.015273785	0.078997366	-0.0006643366	48000	0.0	0.0007106137	-0.01014602	-0.00025824306	1.3564423	0.008984193	0.1181875	127.0	120.76588988304138	0.29817566	0.13074799	0.66352224	0.076968685	0.0	0.0
3	500.0	0.07220079	0.018442066	0.12195004	0.0019782893	64000	-1.8626451e-08	0.0013904613	-0.010049945	-0.000591422	1.3564423	0.007951215	0.0945625	127.0	156.31747364997864	0.4676129	0.16856349	0.7549755	0.17342146	0.0	0.0
4	500.0	0.106076784	0.021617914	0.16174847	0.046341807	80000	-7.450581e-09	0.004856784	-0.0112945875	-0.0030120623	1.3564423	0.0074597364	0.098437496	127.0	198.36255955696106	0.7571456	0.34949085	1.6070747	0.24950714	0.0	0.0
5	500.0	0.16249612	0.04474399	0.31213567	0.055413306	96000	9.313226e-09	0.0053512873	-0.013746379	-0.0027713312	1.3564423	0.009033861	0.129875	127.0	235.73914694786072	1.0342284	0.30015424	1.5890659	0.5998699	0.0	0.0
6	500.0	0.29097486	0.06339121	0.46919212	0.119545236	112000	-2.9802322e-08	0.028025923	-0.009308658	-0.01661604	1.3564423	0.0054664807	0.086687505	127.0	274.9109492301941	1.789761	0.67472863	4.6962957	0.8490526	0.0	0.0
7	500.0	0.4232894	0.123775385	0.89449954	0.100270614	128000	-3.7252903e-08	0.04197181	-0.009207313	-0.022539398	1.3564423	0.008403878	0.114	127.0	324.79785442352295	2.4238496	0.94977146	6.9871287	1.2335628	0.0	0.0
8	500.0	0.57435805	0.21087334	1.4510958	0.12529294	144000	7.450581e-09	0.043090288	-0.009840267	-0.018433837	1.3564423	0.009497841	0.120000005	127.0	370.81610798835754	2.7374008	1.1030563	7.708495	1.4272735	0.0	0.0
9	500.0	0.85463035	0.4123987	2.0924933	0.03281169	160000	1.4901161e-08	0.08840187	-0.009492656	-0.03787625	1.3564423	0.0073292083	0.1124375	127.0	424.4000675678253	3.9913046	1.5946797	8.135157	2.387949	0.0	0.0
