Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.13710819	0.016207136	0.17943811	0.07851428	16000	2.2351742e-08	0.0057616844	-0.006786378	-0.0040577864	1.3564423	0.00795796	0.05925	127.0	45.452943325042725	0.40396565	0.16886336	0.7793812	0.14660037	0.0	0.0
1	500.0	0.08884659	0.016646469	0.13439372	0.038268782	32000	-7.450581e-09	0.004774268	-0.0058913203	-0.0016332669	1.3564423	0.005233548	0.060000002	127.0	81.02061486244202	0.6193313	0.3011756	1.4006048	0.2267967	0.0	0.0
2	500.0	0.11618466	0.034043092	0.20612848	0.018734727	48000	8.8475645e-09	0.0028406093	-0.0087103825	-0.00084873824	1.3564423	0.0075065475	0.087375	127.0	122.51570343971252	0.71461576	0.2244317	1.1417136	0.37147447	0.0	0.0
3	500.0	0.13702054	0.041138805	0.22770727	0.036735576	64000	0.0	0.015891584	-0.007762176	-0.0064194016	1.3564423	0.007355102	0.078812495	127.0	163.39481019973755	1.0333688	0.6616284	3.8250704	0.39445752	0.0	0.0
4	500.0	0.25478297	0.06166395	0.45879197	0.016684156	80000	1.4901161e-08	0.0368947	-0.012072936	-0.017463317	1.3564423	0.009495729	0.117750004	127.0	202.5178952217102	1.8623261	0.96907926	4.8882117	0.31983712	0.0	0.0
5	500.0	0.47355255	0.10672889	0.91092503	0.19973342	96000	1.1175871e-08	0.18869247	-0.010023963	-0.102813214	1.3564423	0.0069956547	0.101125	127.0	244.00543928146362	3.5107622	1.7834535	9.618244	0.93595064	0.0	0.0
6	500.0	0.9566297	0.26227513	1.5745491	0.11907455	112000	0.0	0.45741194	-0.007862693	-0.25568473	1.3564423	0.0051835477	0.071875	127.0	285.09219217300415	6.2832546	2.446632	11.134412	2.0009372	0.0	0.0
7	500.0	1.528364	0.4973098	2.6418264	0.27078092	128000	-2.6077032e-08	1.0641754	-0.009481659	-0.586417	1.3564423	0.0072633573	0.09875	127.0	326.54490900039673	9.227103	4.3630633	17.777931	3.433752	0.0	0.0
8	500.0	2.6704063	0.92548186	4.5653963	0.11057028	144000	-2.514571e-08	2.2967315	-0.009733612	-1.2166674	1.3564423	0.007835034	0.088625	127.0	369.28264117240906	15.792368	5.1855164	25.392662	7.4007397	0.0	0.0
9	500.0	3.813844	1.2347018	6.2938914	0.22144215	160000	-2.0489097e-08	1.8301437	-0.01211627	-0.8408029	1.3564423	0.008914439	0.122250006	127.0	412.7567455768585	19.231255	5.2872524	29.627468	7.5944924	0.0	0.0
10	500.0	5.1094704	1.6916404	7.3561563	-0.38533908	176000	1.1175871e-08	2.1218696	-0.009901455	-0.4752202	1.3564423	0.0056387195	0.0754375	127.0	452.82594442367554	23.826368	5.2412004	34.47129	15.036219	0.0	0.0
11	500.0	5.965347	1.6021792	8.000808	0.11783452	192000	2.2351742e-08	3.0251412	-0.008814084	-0.5794831	1.3564423	0.006434033	0.0808125	127.0	494.16983461380005	28.162561	6.350461	46.814957	15.746085	0.0	0.0
12	500.0	6.9144964	1.7071718	8.862615	1.0826924	208000	-7.450581e-09	1.6936932	-0.008007068	-0.19863532	1.3564423	0.0062198443	0.0565625	127.0	534.6689274311066	28.550303	4.6120887	36.69137	19.449564	0.0	0.0
13	500.0	6.948792	1.4300908	8.389904	1.9003698	224000	-5.401671e-08	2.073615	-0.008639229	-0.34855777	1.3564423	0.007041678	0.0655625	127.0	577.8180520534515	31.99786	4.6879764	40.112167	22.028734	0.0	0.0
14	500.0	7.5578594	1.4846433	8.945087	1.7347376	240000	7.450581e-09	2.202734	-0.008446251	-0.15803218	1.3564423	0.0072522406	0.0591875	127.0	624.2761545181274	32.71909	5.903887	42.06106	20.080198	0.0	0.0
15	500.0	7.586926	1.197992	8.584635	2.2956624	256000	0.0	1.6988437	-0.00764631	-0.088211186	1.3564423	0.0061070896	0.052249998	127.0	665.8779122829437	34.05957	5.219452	42.699245	20.854609	0.0	0.0
16	500.0	7.7948895	1.1967481	8.714539	2.5523682	272000	7.450581e-09	2.0181768	-0.0074875746	-0.17459059	1.3564423	0.0061989008	0.0514375	127.0	703.4985313415527	36.411106	5.5451417	47.87892	24.404518	0.0	0.0
17	500.0	8.130437	1.1808935	9.064771	2.6931062	288000	-1.1175871e-08	2.2034872	-0.008868452	-0.20388222	1.3564423	0.0060041593	0.0581875	127.0	742.8631575107574	37.09288	5.9443502	46.117603	13.567631	0.0	0.0
18	500.0	8.465178	1.3126956	9.487739	0.83027846	304000	2.9802322e-08	1.9516943	-0.0078858845	-0.06816201	1.3564423	0.006289546	0.0551875	127.0	784.5876479148865	38.190018	5.124361	46.73759	25.019094	0.0	0.0
19	500.0	8.663871	1.2766409	9.560139	1.6886181	320000	2.9802322e-08	1.5144476	-0.008575939	-0.064602315	1.3564423	0.0048875557	0.0529375	127.0	827.1268177032471	39.04889	4.528893	48.374737	27.012917	0.0	0.0
20	500.0	8.91024	1.2966573	9.845122	2.9168506	336000	1.4901161e-08	1.4024639	-0.0071058054	-0.0503445	1.3564423	0.005450088	0.04975	127.0	869.1699562072754	39.39991	4.579561	48.407642	29.683348	0.0	0.0
21	500.0	8.895141	1.2027401	9.644831	2.2109988	352000	2.6077032e-08	1.4337398	-0.009086146	-0.2046057	1.3564423	0.0062788776	0.059437502	127.0	909.6261978149414	41.74047	3.687969	48.48387	34.2437	0.0	0.0
22	500.0	9.318403	1.2645236	10.046152	2.6249585	368000	1.8626451e-09	1.3491766	-0.0076501695	-0.118558034	1.3564423	0.0068803485	0.052249998	127.0	949.352903842926	42.736153	4.399717	50.414177	30.633633	0.0	0.0
23	500.0	9.60362	1.4187995	10.412584	2.9300373	384000	0.0	0.897393	-0.009271273	-0.07016591	1.3564423	0.0059924806	0.058437496	127.0	992.0599322319031	43.41356	3.7967687	49.52646	29.824272	0.0	0.0
24	500.0	9.829593	1.408179	10.686863	3.4587073	400000	-1.3038516e-08	0.99471164	-0.0075986614	-0.023619141	1.3564423	0.006755106	0.05775	127.0	1031.8482599258423	44.04001	3.206999	48.48867	37.021202	0.0	0.0
25	500.0	9.93072	1.4407932	10.7664175	2.9514444	416000	-9.313226e-09	0.725073	-0.009393696	-0.11247231	1.3564423	0.007532134	0.0778125	127.0	1071.519226551056	45.211216	2.479594	50.656292	39.069042	0.0	0.0
26	500.0	10.198008	1.5634241	11.134228	2.721112	432000	7.450581e-09	1.0990033	-0.008964045	-0.060175825	1.3564423	0.0054799006	0.064375	127.0	1115.5217909812927	45.146027	3.2976437	52.09082	35.77348	0.0	0.0
27	500.0	10.311557	1.5821111	11.362522	3.6315231	448000	-9.313226e-09	0.91689897	-0.008283259	-0.030314296	1.3564423	0.0061661843	0.0685625	127.0	1158.9718635082245	44.83164	3.5942287	50.063995	35.13396	0.0	0.0
28	500.0	10.256086	1.5881436	11.275332	3.608316	464000	-2.2351742e-08	0.6769346	-0.0084443735	-0.06583901	1.3564423	0.006521588	0.0624375	127.0	1204.6428956985474	46.442883	3.1675532	53.51522	36.999973	0.0	0.0
29	500.0	10.4734745	1.61481	11.556163	3.6327589	480000	3.7252903e-09	0.5805998	-0.008122472	-0.03520434	1.3564423	0.0065001496	0.0576875	127.0	1241.81689786911	46.46347	3.6985784	52.58271	35.963665	0.0	0.0
30	500.0	10.570186	1.6532164	11.720591	3.549619	496000	1.1175871e-08	3.2988868	-0.0075580096	-0.26028854	1.3564423	0.006507002	0.0755625	127.0	1280.8767137527466	48.279648	6.7143817	76.782326	35.823658	0.0	0.0
31	500.0	10.881666	1.7252302	12.04319	3.6798823	512000	3.259629e-08	0.87310016	-0.008837925	-0.0627525	1.3564423	0.006360662	0.0643125	127.0	1323.1015479564667	46.95712	3.7912724	51.938454	32.06019	0.0	0.0
32	500.0	10.711099	1.7486699	12.002061	3.5473716	528000	9.313226e-09	0.8605683	-0.007948468	-0.05214537	1.3564423	0.0062683774	0.0576875	127.0	1364.8688113689423	46.51611	4.1941476	51.56719	33.84481	0.0	0.0
