Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0853146	0.0138448505	0.122760065	0.027810749	16000	-1.3969839e-08	0.0046961927	-0.0055878097	-0.0023681498	1.3564423	0.0079623815	0.056500003	127.0	47.21227741241455	0.5302713	0.23662166	1.0493255	0.162268	0.0	0.0
1	500.0	0.10038396	0.039240647	0.1830434	-0.021811975	32000	-1.6763806e-08	0.009100154	-0.0068398807	-0.0034340096	1.3564423	0.006399513	0.07718749	127.0	85.50655198097229	0.8333172	0.44902322	1.8938166	0.13248622	0.0	0.0
2	500.0	0.165412	0.054981522	0.30785024	0.011867482	48000	1.8626451e-08	0.0149801085	-0.009316075	-0.004773102	1.3564423	0.0074391523	0.099374995	127.0	121.58606886863708	1.2106397	0.60630685	3.0461316	0.4272063	0.0	0.0
3	500.0	0.27583027	0.068921514	0.43533245	0.027879857	64000	2.9802322e-08	0.075113714	-0.008187901	-0.032783657	1.3564423	0.007436919	0.0830625	127.0	170.5841419696808	2.1308076	1.3360702	7.305408	0.6950526	0.0	0.0
4	500.0	0.54649544	0.12115871	1.039234	0.18478198	80000	-7.450581e-09	0.24019852	-0.011190008	-0.14763269	1.3564423	0.008849591	0.1070625	127.0	211.625492811203	4.01085	1.9091855	10.119348	0.87455255	0.0	0.0
5	500.0	1.0578574	0.32964614	1.9453101	0.2675968	96000	3.7252903e-09	1.9422141	-0.008224655	-1.2197485	1.3564423	0.005979577	0.0764375	127.0	252.79500484466553	9.250776	4.404874	21.858976	2.621644	0.0	0.0
6	500.0	2.3996644	0.8041409	4.037355	0.25855348	112000	2.2351742e-08	2.5225248	-0.0073929913	-1.4746983	1.3564423	0.0049176454	0.061125	127.0	300.2182230949402	14.855692	4.9144006	21.84701	3.7260795	0.0	0.0
7	500.0	3.5950313	1.3278006	5.792309	-0.17661144	128000	1.4901161e-08	1.7363561	-0.009807776	-0.84670055	1.3564423	0.0066051316	0.093312494	127.0	341.9558560848236	18.15263	4.3978744	30.69321	11.118751	0.0	0.0
8	500.0	4.843666	1.6727519	7.4701695	-0.12439278	144000	-7.450581e-09	1.1840792	-0.01117558	-0.10912026	1.3564423	0.008393077	0.097125	127.0	383.87571954727173	20.804905	5.1172047	32.833717	13.372889	0.0	0.0
9	500.0	5.257456	1.6477071	7.6209397	0.27631727	160000	-7.450581e-09	1.4370918	-0.010044098	-0.23362927	1.3564423	0.008381594	0.0773125	127.0	422.59268379211426	23.0334	4.454349	32.87358	15.15651	0.0	0.0
