Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07634793	0.025117757	0.13554417	-0.009198222	16000	-1.3038516e-08	0.0024435334	-0.0070903664	-0.001798437	1.3564423	0.0080788685	0.0646875	127.0	46.29124879837036	0.24038091	0.08958202	0.5376827	0.09424775	0.0	0.0
1	500.0	0.04906838	0.011225582	0.08605487	0.019737331	32000	-2.6077032e-08	0.0009403887	-0.008053413	-0.00041962217	1.3564423	0.0059611676	0.0729375	127.0	86.07723188400269	0.27179128	0.13182403	0.62910336	0.07183073	0.0	0.0
2	500.0	0.056455117	0.022468219	0.10666373	0.0015948601	48000	7.450581e-09	0.0009541265	-0.013214549	-0.00031311403	1.3564423	0.00979065	0.14124998	127.0	128.72088313102722	0.3937761	0.14910609	0.9070797	0.098580085	0.0	0.0
3	500.0	0.09331319	0.02368566	0.1417203	0.007305718	64000	-2.2351742e-08	0.0024629063	-0.011288246	-0.0011786513	1.3564423	0.008352876	0.10425	127.0	171.50728034973145	0.61386466	0.21687916	1.3886291	0.29826325	0.0	0.0
4	500.0	0.1341647	0.02699813	0.22841434	0.0368307	80000	0.0	0.004595542	-0.013268331	-0.0023781715	1.3564423	0.008894801	0.123375	127.0	212.2779471874237	0.845829	0.33399555	1.7968297	0.4005251	0.0	0.0
5	500.0	0.21380875	0.048622653	0.39403683	0.09120456	96000	-9.313226e-08	0.038382366	-0.010360837	-0.024202527	1.3564423	0.008062689	0.109625	127.0	250.34704303741455	1.7045065	0.657824	3.316826	0.73418516	0.0	0.0
6	500.0	0.47184974	0.1367111	0.86348075	0.1327533	112000	1.8626451e-08	0.21238846	-0.00622127	-0.11529674	1.3564423	0.0060476204	0.073125005	127.0	288.31302404403687	3.317513	1.6721342	7.9563756	1.2860589	0.0	0.0
7	500.0	0.90684617	0.36299983	1.6198525	0.110480666	128000	-7.450581e-09	0.23147872	-0.008590058	-0.11133474	1.3564423	0.0079152305	0.1025	127.0	331.098210811615	4.695538	1.8606414	8.587567	1.7436811	0.0	0.0
8	500.0	1.3573989	0.6191912	2.6428914	-0.17226075	144000	2.7939677e-08	0.9291558	-0.007817323	-0.5295938	1.3564423	0.008694379	0.0801875	127.0	375.8315899372101	8.043083	3.112531	15.664611	2.5936666	0.0	0.0
9	500.0	2.308564	1.1207004	4.433365	-0.23557834	160000	4.4703484e-08	2.0413382	-0.009075958	-1.1711911	1.3564423	0.0059719915	0.083375	127.0	425.0081317424774	13.1264515	4.4946523	20.032925	2.97304	0.0	0.0
10	500.0	3.6569514	1.6788116	6.2235174	-0.9148654	176000	0.0	1.3870814	-0.010027979	-0.38818526	1.3564423	0.0080844015	0.1015	127.0	470.08584570884705	16.08397	4.5906153	23.435755	7.19134	0.0	0.0
11	500.0	4.2733173	1.7381364	6.761927	-0.52528954	192000	-2.7939677e-08	1.6565661	-0.009545993	-0.6596521	1.3564423	0.004523303	0.0795625	127.0	509.2323260307312	19.850477	4.55289	27.657175	5.8952966	0.0	0.0
12	500.0	5.316169	2.1103153	7.652515	-0.25856653	208000	7.450581e-09	1.4289681	-0.008839332	-0.27053753	1.3564423	0.0055506807	0.07575	127.0	551.4504535198212	22.87595	4.276867	29.438215	10.965204	0.0	0.0
13	500.0	5.708005	2.2631803	8.388244	0.45590663	224000	-1.4901161e-08	2.1908097	-0.008930655	-0.50306	1.3564423	0.008219115	0.082312495	127.0	600.9966549873352	25.1665	5.617102	37.53174	5.9858203	0.0	0.0
14	500.0	6.7185245	2.4155693	9.190228	0.60384494	240000	0.0	2.5117266	-0.007226862	-0.16497457	1.3564423	0.006295263	0.0570625	127.0	648.2831704616547	27.08446	6.7020984	50.886578	15.642306	0.0	0.0
15	500.0	7.017469	2.5171173	9.497808	0.69548285	256000	2.2351742e-08	2.492089	-0.010116907	-0.053421807	1.3564423	0.0073028663	0.0721875	127.0	689.6322104930878	28.615093	6.863149	53.291515	16.868572	0.0	0.0
16	500.0	7.2863603	2.4320793	9.548567	0.84903824	272000	7.450581e-09	2.4690824	-0.0074787755	-0.2218482	1.3564423	0.0067566982	0.0555	127.0	732.3288993835449	29.190025	7.0136895	42.657787	15.78006	0.0	0.0
17	500.0	7.357514	2.4350824	9.766681	1.042605	288000	-1.4901161e-08	2.8217928	-0.008014267	-0.61498433	1.3564423	0.007422394	0.067625	127.0	770.8543169498444	30.304811	7.5983047	40.42863	7.9796143	0.0	0.0
18	500.0	7.342002	2.5327504	10.51162	0.43810612	304000	-3.7252903e-09	1.9232517	-0.008844635	-0.26682866	1.3564423	0.007600208	0.063125	127.0	824.4118111133575	31.84813	4.948324	41.048252	17.163153	0.0	0.0
19	500.0	8.128859	2.4624338	10.894926	0.059315823	320000	-4.656613e-09	5.770018	-0.007612953	-0.6532617	1.3564423	0.008557083	0.068749994	127.0	908.0300753116608	36.0331	9.465994	80.80494	22.85812	0.0	0.0
20	500.0	8.563017	2.5374308	11.11612	-0.07167802	336000	-2.2351742e-08	3.9933333	-0.007062671	-0.4988982	1.3564423	0.005841244	0.0550625	127.0	1005.9012241363525	35.0026	8.983627	71.27388	24.000618	0.0	0.0
21	500.0	8.545503	2.4547694	11.439926	0.743806	352000	-2.2351742e-08	3.717296	-0.00778764	-0.3561504	1.3564423	0.005474998	0.055375002	127.0	1050.6054265499115	34.131424	8.640976	65.93312	21.338797	0.0	0.0
22	500.0	8.557088	2.3969889	11.19297	1.6954613	368000	-7.450581e-09	3.2615151	-0.0078459345	-0.72224826	1.3564423	0.006179435	0.055437498	127.0	1099.6649188995361	33.815163	8.956319	48.80641	17.186676	0.0	0.0
23	500.0	8.105046	2.3086982	11.192488	1.2400522	384000	-7.450581e-09	3.5232894	-0.0097126905	-0.64700985	1.3564423	0.0082715815	0.0721875	127.0	1149.3697335720062	33.161316	7.217645	50.52747	18.67901	0.0	0.0
