Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.041671995	0.026858054	0.13185507	-0.059388705	16000	7.450581e-09	0.0041638687	-0.00485332	-0.0026864181	1.3564423	0.0072140926	0.045062497	127.0	63.21620464324951	0.39742506	0.1697895	0.85317975	0.11821866	0.0	0.0
1	500.0	0.06634105	0.03179234	0.1557377	-0.02033792	32000	0.0	0.0030546524	-0.009196234	-0.000976288	1.3564423	0.0070898146	0.100999996	127.0	118.78077101707458	0.49775004	0.28360265	1.5859512	0.14565994	0.0	0.0
2	500.0	0.102631494	0.03754623	0.21781594	-0.01166852	48000	4.0978193e-08	0.0068311095	-0.012126448	-0.0028707378	1.3564423	0.008377669	0.123812504	127.0	172.83962535858154	0.8378246	0.40979365	2.4708412	0.32901636	0.0	0.0
3	500.0	0.17993402	0.054498058	0.3373763	0.03476261	64000	1.4901161e-08	0.022014247	-0.0101928115	-0.008356901	1.3564423	0.00910092	0.11675	127.0	221.89919257164001	1.2502186	0.68062234	4.4027667	0.4711233	0.0	0.0
4	500.0	0.33564654	0.10286642	0.71240616	0.13745716	80000	4.0978193e-08	0.19672148	-0.006807774	-0.12398602	1.3564423	0.0070608836	0.073937505	127.0	262.4748857021332	2.7166252	1.7287362	7.3551064	0.56312585	0.0	0.0
5	500.0	0.7574649	0.3679993	1.7914053	0.02211827	96000	1.4901161e-08	1.3514143	-0.0065322286	-0.7951504	1.3564423	0.006599175	0.0680625	127.0	304.4699864387512	6.5355096	4.6094813	17.343039	0.95573694	0.0	0.0
6	500.0	1.7391804	1.1071384	3.9988663	-0.12466588	112000	-3.7252903e-08	1.6586492	-0.0066810064	-0.80837387	1.3564423	0.0046074414	0.077125	127.0	343.34128975868225	10.317462	6.590241	22.16722	1.0672232	0.0	0.0
7	500.0	2.8604348	1.6539879	5.7276077	-0.36996174	128000	2.9802322e-08	1.6580292	-0.009418158	-0.6064386	1.3564423	0.008127774	0.09325	127.0	384.9623863697052	14.155151	6.058846	26.083939	1.0475211	0.0	0.0
8	500.0	4.5202394	1.6315373	6.958838	-0.2949954	144000	-4.4703484e-08	2.0180504	-0.0072199916	-0.5296437	1.3564423	0.005088368	0.067625	127.0	430.20990014076233	20.296993	4.263558	34.53699	13.999603	0.0	0.0
9	500.0	4.492511	1.6296575	6.583103	0.60567427	160000	2.9802322e-08	1.7778859	-0.007982796	-0.5090148	1.3564423	0.007477851	0.0654375	127.0	470.9412887096405	15.617661	8.600418	31.47941	0.95900136	0.0	0.0
10	500.0	4.525436	1.5877899	6.4354205	-0.31850713	176000	-7.450581e-09	2.7703962	-0.007853374	-0.59821576	1.3564423	0.0064847125	0.0615625	127.0	508.095068693161	21.792011	7.695999	35.4106	1.4278558	0.0	0.0
11	500.0	5.420548	1.3688872	6.5931	0.41506717	192000	-3.7252903e-09	1.5161207	-0.0069484734	-0.23521794	1.3564423	0.0055080606	0.0509375	127.0	547.8924095630646	21.993336	4.457795	34.8674	11.212766	0.0	0.0
12	497.53125	5.3135824	0.9348112	6.026632	1.4562589	208000	1.4901161e-08	1.9723918	-0.008714989	-0.15494928	1.3564423	0.006943568	0.0768125	127.0	590.0956797599792	24.345526	4.9456162	35.201572	15.563079	0.0	0.0
13	499.0625	5.5619516	0.9875137	6.1607585	0.80554944	224000	1.8626451e-08	1.7522488	-0.00839074	-0.25798035	1.3564423	0.00544201	0.060875002	127.0	631.4549140930176	22.475895	5.380444	33.836376	1.5089582	0.0	0.0
14	500.0	5.1806374	0.96552885	5.7317586	1.044225	240000	-7.450581e-09	1.7744976	-0.007476439	-0.3248994	1.3564423	0.005809987	0.058875002	127.0	671.2848188877106	25.194	6.4428535	44.570366	2.151971	0.0	0.0
15	500.0	5.5920467	1.2092425	6.1730046	-0.108171664	256000	1.4901161e-08	2.0378554	-0.007993398	-0.10922515	1.3564423	0.007365023	0.062374998	127.0	714.2246832847595	25.537048	7.0209336	42.657166	1.3230263	0.0	0.0
