Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.08729958	0.013984133	0.12562975	0.02954397	16000	5.5879354e-09	0.0053605787	-0.005113168	-0.0021817682	1.3564423	0.0079956725	0.0553125	127.0	41.55356812477112	0.49270207	0.30122274	1.2245198	0.10312718	0.0	0.0
1	500.0	0.09277763	0.03408698	0.16643491	-0.013803368	32000	9.313226e-10	0.011568774	-0.0058448133	-0.004209944	1.3564423	0.0061765034	0.0644375	127.0	75.88495540618896	0.78129566	0.5320234	2.1556036	0.07928968	0.0	0.0
2	500.0	0.1507757	0.05533073	0.30409965	-0.0053335354	48000	-2.9802322e-08	0.017980652	-0.008350285	-0.005848436	1.3564423	0.0071607307	0.0951875	127.0	109.55751872062683	1.0986232	0.73722714	3.3978474	0.23860937	0.0	0.0
3	500.0	0.26518023	0.07927238	0.44263217	-0.029105024	64000	0.0	0.071360864	-0.008486211	-0.0363591	1.3564423	0.00743312	0.086062506	127.0	146.67122650146484	2.045622	1.4220265	6.2429	0.42152452	0.0	0.0
4	500.0	0.52585536	0.15581338	1.0077112	0.055750065	80000	0.0	0.15661803	-0.011035658	-0.09205823	1.3564423	0.009028465	0.10393751	127.0	186.30234122276306	3.4513621	1.8597813	8.700482	0.7265063	0.0	0.0
5	500.0	0.92661464	0.332655	1.719348	0.10493693	96000	-1.8626451e-08	1.7360446	-0.0074796136	-1.072933	1.3564423	0.0060783112	0.071625	127.0	237.247549533844	8.2876	4.665559	22.481493	2.002691	0.0	0.0
6	500.0	2.2018275	0.80475885	3.8409562	0.026080724	112000	1.8626451e-09	2.4739783	-0.0076611377	-1.3380749	1.3564423	0.005013112	0.0643125	127.0	279.32843470573425	13.306662	6.2074747	28.004757	2.4494128	0.0	0.0
7	500.0	3.1950562	1.420756	5.9619794	-0.6945224	128000	4.4703484e-08	1.0371332	-0.009854397	-0.30554286	1.3564423	0.006830819	0.09025	127.0	314.7296907901764	14.626552	4.6079364	27.202448	6.539666	0.0	0.0
8	500.0	4.161238	1.5484427	6.6332626	-0.7788986	144000	-1.4901161e-08	1.9254732	-0.009176521	-0.46659935	1.3564423	0.006008054	0.08	127.0	370.31095838546753	19.84642	6.7285447	35.449345	9.561339	0.0	0.0
9	500.0	4.68883	1.6823943	7.2899013	-0.6748581	160000	-1.1175871e-08	1.7277849	-0.008647252	-0.36908036	1.3564423	0.0075143194	0.0619375	127.0	417.7011296749115	21.016308	5.0569835	31.679026	10.956141	0.0	0.0
