Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07650763	0.025233641	0.13716221	-0.009602919	16000	-3.9115548e-08	0.0024853402	-0.0074378382	-0.0019474956	1.3564423	0.008125791	0.06725	127.0	38.850245237350464	0.19095251	0.07788772	0.35552457	0.07980098	0.0	0.0
1	500.0	0.041672904	0.006502687	0.06508918	0.017150957	32000	5.5879354e-09	0.0006831971	-0.0072382796	-0.0003444241	1.3564423	0.0059532877	0.0620625	127.0	75.2817268371582	0.2067871	0.10248927	0.52147806	0.065357864	0.0	0.0
2	500.0	0.042014807	0.017409157	0.08269414	0.002402125	48000	0.0	0.0007110904	-0.010942457	-0.00025492482	1.3564423	0.009687994	0.129	127.0	109.91599893569946	0.29494917	0.13662745	0.6015047	0.09152297	0.0	0.0
3	500.0	0.065637775	0.022807097	0.13459334	-0.0017382447	64000	0.0	0.0013136555	-0.011958033	-0.00050755055	1.3564423	0.009661781	0.11893749	127.0	144.75009608268738	0.42748836	0.16713914	1.1241888	0.15152529	0.0	0.0
4	500.0	0.09793995	0.022417452	0.15582989	0.030561518	80000	-6.7055225e-08	0.0029228092	-0.011066737	-0.001494136	1.3564423	0.0071177846	0.103875	127.0	179.11481142044067	0.59922236	0.2980431	1.4205441	0.21987349	0.0	0.0
5	500.0	0.13979883	0.038859393	0.28555655	0.019646438	96000	0.0	0.014076384	-0.009820556	-0.006836244	1.3564423	0.010008395	0.13525	127.0	229.2138855457306	0.9495747	0.5477354	3.4622998	0.2890379	0.0	0.0
6	500.0	0.3078948	0.09020514	0.5753294	0.036324736	112000	5.5879354e-09	0.012082182	-0.012324704	-0.006838017	1.3564423	0.007005064	0.113875	127.0	280.77670431137085	1.3974504	0.5278187	2.4979253	0.5861372	0.0	0.0
7	500.0	0.36254144	0.13054405	0.80725557	0.016745588	128000	1.4901161e-08	0.015034865	-0.012065843	-0.0067611667	1.3564423	0.008147783	0.123375	127.0	317.4691598415375	1.6604755	0.7136156	3.2803373	0.47398585	0.0	0.0
8	500.0	0.47364748	0.22740044	1.4440931	-0.013160137	144000	3.3527613e-08	0.02476627	-0.013342947	-0.0064373096	1.3564423	0.009910091	0.1489375	127.0	351.07719707489014	2.192603	0.8534486	4.4449406	0.6653657	0.0	0.0
9	500.0	0.7368414	0.33621866	1.6546234	0.00725653	160000	-7.450581e-09	0.19365814	-0.008437298	-0.10406454	1.3564423	0.008374969	0.1111875	127.0	388.91024017333984	3.6785016	2.3350198	11.175745	1.1833985	0.0	0.0
10	500.0	0.859265	0.39063743	2.7728984	-0.080975816	176000	7.450581e-09	0.06289773	-0.0098558515	-0.029779611	1.3564423	0.007938128	0.0861875	127.0	422.74472403526306	3.020617	1.3872188	8.614635	1.8931763	0.0	0.0
11	500.0	1.157856	0.738844	3.2960272	0.0738681	192000	2.2351742e-08	0.117921114	-0.008372807	-0.012511656	1.3564423	0.0056419065	0.078187495	127.0	459.3482196331024	4.2848682	2.6881187	11.78001	1.3143481	0.0	0.0
12	500.0	1.2643206	0.8868942	3.6558223	0.016453657	208000	7.450581e-09	0.16183485	-0.009588134	-0.047491297	1.3564423	0.008102098	0.088750005	127.0	497.7250654697418	5.651126	3.7896237	14.593075	1.7290546	0.0	0.0
13	500.0	1.8159156	1.2504894	4.6671233	0.24209738	224000	-1.8626451e-08	0.25757575	-0.0075151944	-0.032190673	1.3564423	0.0065945387	0.0719375	127.0	533.2065579891205	6.9194593	4.1275945	14.758494	0.966481	0.0	0.0
14	500.0	2.2056763	1.3669286	4.7884846	0.02427428	240000	-3.3527613e-08	0.517961	-0.008820821	-0.19607733	1.3564423	0.008474393	0.079500005	127.0	566.8850831985474	9.694489	5.363548	18.542198	1.4731867	0.0	0.0
15	500.0	2.368688	1.8127246	5.90639	-0.24074039	256000	-1.4901161e-08	0.329565	-0.009121384	-0.0557302	1.3564423	0.0059490087	0.08131251	127.0	606.1091873645782	9.357122	6.244304	20.695082	1.9697548	0.0	0.0
16	500.0	2.9880145	1.8951255	6.3198514	-0.31536755	272000	4.0978193e-08	0.58671594	-0.00921554	-0.18536271	1.3564423	0.006340782	0.0776875	127.0	647.1288254261017	12.49127	6.9146314	21.457714	1.5224617	0.0	0.0
17	500.0	3.4511518	2.1818666	7.0897274	-0.35218266	288000	7.450581e-09	5.3845406	-0.0067446725	-1.3960164	1.3564423	0.007505402	0.057125002	127.0	699.4423797130585	17.183067	13.159562	50.159863	0.7189713	0.0	0.0
18	500.0	5.1941032	2.7544646	9.224732	-0.5523293	304000	-3.1664968e-08	13.105291	-0.00711934	-1.9813408	1.3564423	0.0049524074	0.0621875	127.0	746.3591420650482	24.625225	17.905853	70.45003	1.0833416	0.0	0.0
19	500.0	5.731666	3.7347927	11.039554	-1.3074286	320000	7.450581e-09	8.883269	-0.007625389	-0.49390584	1.3564423	0.006037421	0.0715	127.0	807.4088382720947	19.879276	16.178467	63.103443	0.8436995	0.0	0.0
20	500.0	5.4321337	3.60305	11.043914	-1.3425934	336000	0.0	7.9581637	-0.0068336083	-0.7143371	1.3564423	0.007557316	0.05975	127.0	857.1465170383453	17.873936	16.114885	63.45897	1.2092943	0.0	0.0
21	500.0	5.067445	3.6939552	10.935044	-1.0204929	352000	-3.7252903e-09	10.71618	-0.0070763496	-0.55155444	1.3564423	0.0074990047	0.07	127.0	894.0892233848572	18.678959	19.398973	81.15704	0.9821921	0.0	0.0
22	500.0	4.7144446	3.8171313	11.325148	-1.2606909	368000	-5.5879354e-09	5.897147	-0.008248958	-1.0487471	1.3564423	0.006328978	0.0586875	127.0	933.9675233364105	13.535177	13.508315	69.18206	1.0001563	0.0	0.0
23	500.0	5.1716814	3.3764946	10.683622	-0.68263274	384000	-2.9802322e-08	5.637412	-0.0062347227	-0.26422364	1.3564423	0.0059351414	0.0523125	127.0	972.58673620224	18.404633	12.875151	59.58467	0.5258912	0.0	0.0
